ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,478.45,481.50,477.70,479.20,0
2026-04-27T09:20:00+05:30,479.30,487.50,479.30,485.15,147484
2026-04-27T09:25:00+05:30,485.20,485.45,483.30,485.45,76860
2026-04-27T09:30:00+05:30,485.85,486.45,483.60,484.25,53741
2026-04-27T09:35:00+05:30,484.00,485.45,482.00,482.00,37135
2026-04-27T09:40:00+05:30,482.70,484.20,482.30,483.85,42437
2026-04-27T09:45:00+05:30,484.00,486.40,484.00,485.15,47451
2026-04-27T09:50:00+05:30,485.15,485.70,484.25,485.60,35952
2026-04-27T09:55:00+05:30,485.45,489.45,485.00,489.45,93090
2026-04-27T10:00:00+05:30,489.25,492.00,489.25,490.65,109945
2026-04-27T10:05:00+05:30,490.70,492.25,489.95,491.95,72678
2026-04-27T10:10:00+05:30,491.50,492.25,490.30,491.75,53640
2026-04-27T10:15:00+05:30,491.50,494.30,491.50,493.20,96516
2026-04-27T10:20:00+05:30,493.00,497.70,492.85,497.40,171343
2026-04-27T10:25:00+05:30,497.00,497.45,494.30,494.30,66600
2026-04-27T10:30:00+05:30,494.90,496.50,494.50,495.85,43969
2026-04-27T10:35:00+05:30,495.60,495.90,495.00,495.40,36732
2026-04-27T10:40:00+05:30,495.25,497.75,495.15,497.30,63114
2026-04-27T10:45:00+05:30,497.10,498.35,496.50,497.00,66499
2026-04-27T10:50:00+05:30,497.30,497.60,494.90,495.00,47276
2026-04-27T10:55:00+05:30,495.00,495.35,492.55,492.55,61646
2026-04-27T11:00:00+05:30,493.00,493.95,492.95,493.50,40482
2026-04-27T11:05:00+05:30,493.20,493.50,492.05,493.00,36234
2026-04-27T11:10:00+05:30,493.10,493.35,492.20,492.80,27561
2026-04-27T11:15:00+05:30,492.75,493.35,490.95,491.20,39260
2026-04-27T11:20:00+05:30,491.30,494.70,491.20,494.50,45686
2026-04-27T11:25:00+05:30,494.30,494.60,492.40,492.40,29158
2026-04-27T11:30:00+05:30,492.15,493.00,492.15,492.75,11955
2026-04-27T11:35:00+05:30,492.75,492.90,491.75,492.60,13851
2026-04-27T11:40:00+05:30,492.60,492.60,490.90,491.75,23855
2026-04-27T11:45:00+05:30,492.00,492.00,491.45,492.00,9404
2026-04-27T11:50:00+05:30,492.00,492.00,491.20,491.65,14489
2026-04-27T11:55:00+05:30,491.90,492.65,491.85,492.40,18025
2026-04-27T12:00:00+05:30,492.55,492.80,492.00,492.50,14342
2026-04-27T12:05:00+05:30,492.45,495.00,492.25,494.25,43512
2026-04-27T12:10:00+05:30,494.50,494.80,493.70,494.45,19694
2026-04-27T12:15:00+05:30,494.75,494.80,493.70,494.70,13790
2026-04-27T12:20:00+05:30,494.70,494.85,493.70,494.40,9294
2026-04-27T12:25:00+05:30,494.45,494.45,493.60,494.00,17809
2026-04-27T12:30:00+05:30,493.60,494.45,493.60,494.45,6182
2026-04-27T12:35:00+05:30,494.00,494.45,493.40,493.40,13715
2026-04-27T12:40:00+05:30,493.75,493.85,493.00,493.45,10184
2026-04-27T12:45:00+05:30,493.50,493.60,492.80,493.20,6421
2026-04-27T12:50:00+05:30,493.25,493.80,492.85,493.45,7288
2026-04-27T12:55:00+05:30,493.45,494.00,489.00,489.60,55509
2026-04-27T13:00:00+05:30,489.70,490.75,489.00,490.35,48222
2026-04-27T13:05:00+05:30,490.35,491.50,490.15,491.45,17772
2026-04-27T13:10:00+05:30,491.50,491.85,490.05,490.85,11479
2026-04-27T13:15:00+05:30,491.35,492.80,491.15,491.15,20167
2026-04-27T13:20:00+05:30,490.00,490.85,490.00,490.75,20687
2026-04-27T13:25:00+05:30,490.90,491.00,490.25,491.00,11948
2026-04-27T13:30:00+05:30,490.95,491.00,490.35,490.85,7092
2026-04-27T13:35:00+05:30,490.90,491.05,489.85,490.45,11062
2026-04-27T13:40:00+05:30,490.45,490.50,490.00,490.45,11177
2026-04-27T13:45:00+05:30,490.30,490.65,489.50,489.50,7144
2026-04-27T13:50:00+05:30,489.80,489.90,488.65,488.75,13794
2026-04-27T13:55:00+05:30,489.00,491.05,489.00,491.05,18565
2026-04-27T14:00:00+05:30,491.10,492.00,490.95,491.65,14854
2026-04-27T14:05:00+05:30,491.80,492.00,490.15,490.50,10186
2026-04-27T14:10:00+05:30,490.50,490.85,490.20,490.75,8201
2026-04-27T14:15:00+05:30,490.80,490.90,488.40,489.60,20496
2026-04-27T14:20:00+05:30,489.55,489.65,488.30,488.90,11875
2026-04-27T14:25:00+05:30,488.95,489.30,488.40,488.75,12963
2026-04-27T14:30:00+05:30,488.75,489.00,488.20,488.65,8091
2026-04-27T14:35:00+05:30,488.55,488.60,487.40,488.35,20089
2026-04-27T14:40:00+05:30,488.55,488.55,487.40,487.95,15661
2026-04-27T14:45:00+05:30,487.80,488.70,487.55,488.70,9880
2026-04-27T14:50:00+05:30,488.05,488.70,488.00,488.70,16209
2026-04-27T14:55:00+05:30,488.60,489.15,488.15,488.90,11003
2026-04-27T15:00:00+05:30,488.60,488.60,487.10,488.40,24101
2026-04-27T15:05:00+05:30,488.40,489.85,488.15,489.80,21810
2026-04-27T15:10:00+05:30,489.85,489.85,488.55,489.20,34908
2026-04-27T15:15:00+05:30,489.10,489.10,488.50,488.90,44395
2026-04-27T15:20:00+05:30,489.00,489.50,488.10,489.00,37172
2026-04-27T15:25:00+05:30,489.00,489.20,488.00,488.00,29922
2026-04-28T09:15:00+05:30,491.95,492.70,489.10,492.70,0
2026-04-28T09:20:00+05:30,492.70,493.80,492.50,492.75,41613
2026-04-28T09:25:00+05:30,492.65,498.45,490.50,498.05,117492
2026-04-28T09:30:00+05:30,498.20,499.25,494.55,499.25,138672
2026-04-28T09:35:00+05:30,499.20,500.55,497.05,497.15,91179
2026-04-28T09:40:00+05:30,497.15,499.85,497.15,497.55,56699
2026-04-28T09:45:00+05:30,497.35,498.90,495.50,497.55,44273
2026-04-28T09:50:00+05:30,497.20,497.85,495.75,495.75,20798
2026-04-28T09:55:00+05:30,495.80,496.10,495.25,495.60,25797
2026-04-28T10:00:00+05:30,496.30,498.95,495.90,498.65,46485
2026-04-28T10:05:00+05:30,498.65,501.65,498.20,500.60,67229
2026-04-28T10:10:00+05:30,500.40,502.05,500.05,500.65,71476
2026-04-28T10:15:00+05:30,501.00,503.00,501.00,501.00,57461
2026-04-28T10:20:00+05:30,500.50,502.95,500.25,502.60,42614
2026-04-28T10:25:00+05:30,502.15,503.65,500.15,503.10,44737
2026-04-28T10:30:00+05:30,503.20,504.70,502.85,502.85,81982
2026-04-28T10:35:00+05:30,502.85,502.90,501.60,501.85,16431
2026-04-28T10:40:00+05:30,502.05,502.10,500.25,501.15,30018
2026-04-28T10:45:00+05:30,501.40,502.15,501.10,502.00,15273
2026-04-28T10:50:00+05:30,502.00,502.55,501.35,501.50,21318
2026-04-28T10:55:00+05:30,501.80,503.00,501.50,502.75,13825
2026-04-28T11:00:00+05:30,502.75,502.85,501.65,502.30,24493
2026-04-28T11:05:00+05:30,502.00,503.45,501.80,502.95,34779
2026-04-28T11:10:00+05:30,502.60,503.00,501.75,502.00,6289
2026-04-28T11:15:00+05:30,502.00,502.00,501.00,501.25,18703
2026-04-28T11:20:00+05:30,501.25,501.35,500.00,500.20,30276
2026-04-28T11:25:00+05:30,500.20,500.20,496.50,497.40,67798
2026-04-28T11:30:00+05:30,497.40,500.70,497.00,500.70,62774
2026-04-28T11:35:00+05:30,500.55,501.00,500.20,500.75,19972
2026-04-28T11:40:00+05:30,500.35,502.95,500.35,501.85,34270
2026-04-28T11:45:00+05:30,501.85,501.85,500.55,500.60,9004
2026-04-28T11:50:00+05:30,500.55,501.85,500.55,501.80,11678
2026-04-28T11:55:00+05:30,501.70,501.80,501.15,501.35,6464
2026-04-28T12:00:00+05:30,501.40,501.50,500.65,500.70,12975
2026-04-28T12:05:00+05:30,500.70,501.05,500.00,500.00,11439
2026-04-28T12:10:00+05:30,500.00,500.80,499.00,500.20,28874
2026-04-28T12:15:00+05:30,500.20,500.65,499.60,499.85,14750
2026-04-28T12:20:00+05:30,499.30,499.60,498.20,498.80,12133
2026-04-28T12:25:00+05:30,498.70,499.85,498.15,499.15,9899
2026-04-28T12:30:00+05:30,499.30,499.85,497.80,499.00,18403
2026-04-28T12:35:00+05:30,499.40,500.00,498.85,499.50,9295
2026-04-28T12:40:00+05:30,499.50,499.70,498.55,499.65,5050
2026-04-28T12:45:00+05:30,499.25,499.50,498.75,499.20,10821
2026-04-28T12:50:00+05:30,499.40,499.40,498.30,498.35,7133
2026-04-28T12:55:00+05:30,498.70,499.30,498.65,498.95,5747
2026-04-28T13:00:00+05:30,499.00,499.65,498.25,499.00,16260
2026-04-28T13:05:00+05:30,498.70,502.00,498.70,501.40,37936
2026-04-28T13:10:00+05:30,501.45,503.75,501.45,502.80,51476
2026-04-28T13:15:00+05:30,502.55,503.15,502.30,502.70,17027
2026-04-28T13:20:00+05:30,502.80,503.15,502.50,503.00,13902
2026-04-28T13:25:00+05:30,503.00,506.20,502.30,505.00,118968
2026-04-28T13:30:00+05:30,505.00,505.80,503.45,503.90,22882
2026-04-28T13:35:00+05:30,503.95,504.75,502.40,504.35,39831
2026-04-28T13:40:00+05:30,504.35,506.15,504.30,505.80,52027
2026-04-28T13:45:00+05:30,505.80,506.25,504.80,505.00,20837
2026-04-28T13:50:00+05:30,505.00,505.25,504.20,505.00,20659
2026-04-28T13:55:00+05:30,505.00,505.15,504.20,504.90,17826
2026-04-28T14:00:00+05:30,504.90,504.90,503.60,504.10,14816
2026-04-28T14:05:00+05:30,503.85,504.25,503.20,504.00,21493
2026-04-28T14:10:00+05:30,504.00,504.25,503.20,503.20,12767
2026-04-28T14:15:00+05:30,503.60,504.95,503.15,504.95,19341
2026-04-28T14:20:00+05:30,504.60,505.70,504.50,505.00,27851
