ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,7339.50,7398.00,7339.50,7373.00,0
2026-04-27T09:20:00+05:30,7371.50,7385.00,7345.00,7345.00,7602
2026-04-27T09:25:00+05:30,7345.00,7356.50,7326.00,7343.00,6437
2026-04-27T09:30:00+05:30,7343.50,7355.50,7304.50,7306.50,7943
2026-04-27T09:35:00+05:30,7311.00,7315.00,7285.50,7296.00,7920
2026-04-27T09:40:00+05:30,7298.50,7333.50,7295.50,7323.00,6593
2026-04-27T09:45:00+05:30,7318.50,7345.00,7313.00,7340.00,4533
2026-04-27T09:50:00+05:30,7339.50,7360.50,7336.50,7359.00,5578
2026-04-27T09:55:00+05:30,7362.00,7374.50,7355.00,7364.50,8211
2026-04-27T10:00:00+05:30,7366.00,7367.00,7343.00,7356.00,4907
2026-04-27T10:05:00+05:30,7353.00,7357.00,7337.50,7340.50,1838
2026-04-27T10:10:00+05:30,7339.00,7345.00,7332.00,7332.00,1577
2026-04-27T10:15:00+05:30,7337.00,7370.00,7337.00,7368.00,4915
2026-04-27T10:20:00+05:30,7365.00,7375.00,7364.00,7369.00,3220
2026-04-27T10:25:00+05:30,7369.00,7378.50,7360.00,7370.50,2325
2026-04-27T10:30:00+05:30,7370.00,7382.00,7367.50,7375.50,3292
2026-04-27T10:35:00+05:30,7375.50,7380.00,7367.50,7370.50,2270
2026-04-27T10:40:00+05:30,7372.00,7376.00,7362.50,7362.50,1231
2026-04-27T10:45:00+05:30,7361.50,7389.50,7361.50,7387.50,3237
2026-04-27T10:50:00+05:30,7390.00,7392.00,7369.00,7379.00,1891
2026-04-27T10:55:00+05:30,7380.00,7440.00,7380.00,7420.00,13269
2026-04-27T11:00:00+05:30,7417.00,7421.50,7386.00,7396.00,3647
2026-04-27T11:05:00+05:30,7394.50,7409.00,7381.00,7385.00,1626
2026-04-27T11:10:00+05:30,7391.00,7406.50,7387.50,7399.50,1911
2026-04-27T11:15:00+05:30,7396.50,7418.00,7395.00,7409.50,2740
2026-04-27T11:20:00+05:30,7410.00,7436.00,7410.00,7426.50,5924
2026-04-27T11:25:00+05:30,7427.00,7456.50,7424.00,7440.00,8388
2026-04-27T11:30:00+05:30,7444.00,7452.50,7425.00,7427.00,2204
2026-04-27T11:35:00+05:30,7426.00,7436.00,7411.00,7421.50,3019
2026-04-27T11:40:00+05:30,7417.50,7445.00,7417.00,7444.50,1860
2026-04-27T11:45:00+05:30,7440.50,7445.00,7431.00,7443.00,2078
2026-04-27T11:50:00+05:30,7444.00,7447.50,7436.00,7439.50,1775
2026-04-27T11:55:00+05:30,7443.50,7445.00,7438.00,7445.00,1491
2026-04-27T12:00:00+05:30,7442.00,7445.00,7431.50,7433.00,1117
2026-04-27T12:05:00+05:30,7432.50,7439.00,7414.00,7417.00,2019
2026-04-27T12:10:00+05:30,7417.00,7431.00,7417.00,7417.00,1782
2026-04-27T12:15:00+05:30,7417.00,7422.50,7410.00,7419.00,1261
2026-04-27T12:20:00+05:30,7418.00,7429.00,7414.00,7426.00,1633
