ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,62.75,62.80,62.35,62.40,0
2026-04-27T09:20:00+05:30,62.40,62.70,62.40,62.65,56950
2026-04-27T09:25:00+05:30,62.65,62.70,62.55,62.70,55960
2026-04-27T09:30:00+05:30,62.85,63.05,62.80,62.95,113847
2026-04-27T09:35:00+05:30,63.00,63.20,62.80,62.90,37506
2026-04-27T09:40:00+05:30,62.90,63.20,62.90,63.20,28440
2026-04-27T09:45:00+05:30,63.20,63.35,63.10,63.35,39587
2026-04-27T09:50:00+05:30,63.35,63.65,63.35,63.55,65521
2026-04-27T09:55:00+05:30,63.55,63.55,63.40,63.45,12777
2026-04-27T10:00:00+05:30,63.40,63.40,63.20,63.20,39497
2026-04-27T10:05:00+05:30,63.25,63.25,63.10,63.20,25217
2026-04-27T10:10:00+05:30,63.20,64.30,63.15,64.00,394066
2026-04-27T10:15:00+05:30,64.00,64.20,64.00,64.15,110902
2026-04-27T10:20:00+05:30,64.15,64.25,64.15,64.20,81525
2026-04-27T10:25:00+05:30,64.20,64.35,64.20,64.35,43949
2026-04-27T10:30:00+05:30,64.25,64.40,64.20,64.40,62210
2026-04-27T10:35:00+05:30,64.40,64.50,64.25,64.30,26345
2026-04-27T10:40:00+05:30,64.30,64.40,64.25,64.35,42414
2026-04-27T10:45:00+05:30,64.35,64.65,64.35,64.55,180420
2026-04-27T10:50:00+05:30,64.65,64.65,64.40,64.45,29028
2026-04-27T10:55:00+05:30,64.45,64.50,64.30,64.35,28768
2026-04-27T11:00:00+05:30,64.35,64.45,64.25,64.45,33066
2026-04-27T11:05:00+05:30,64.45,64.45,64.15,64.25,26169
2026-04-27T11:10:00+05:30,64.35,64.40,64.25,64.30,20630
2026-04-27T11:15:00+05:30,64.35,64.45,64.35,64.40,7125
2026-04-27T11:20:00+05:30,64.35,64.35,64.20,64.30,15511
2026-04-27T11:25:00+05:30,64.35,64.35,64.15,64.25,12060
2026-04-27T11:30:00+05:30,64.15,64.25,64.15,64.15,5764
2026-04-27T11:35:00+05:30,64.15,64.20,64.15,64.15,12400
2026-04-27T11:40:00+05:30,64.25,64.25,64.15,64.20,9569
2026-04-27T11:45:00+05:30,64.20,64.30,64.15,64.30,32485
2026-04-27T11:50:00+05:30,64.30,64.35,64.20,64.25,30059
2026-04-27T11:55:00+05:30,64.30,64.45,64.30,64.45,9340
2026-04-27T12:00:00+05:30,64.40,64.40,64.30,64.35,8067
2026-04-27T12:05:00+05:30,64.35,64.40,64.20,64.30,32111
2026-04-27T12:10:00+05:30,64.35,64.35,64.00,64.00,775441
2026-04-27T12:15:00+05:30,63.95,64.00,63.90,64.00,7372
2026-04-27T12:20:00+05:30,64.00,64.00,63.95,64.00,2015
2026-04-27T12:25:00+05:30,64.00,64.00,63.95,64.00,8031
2026-04-27T12:30:00+05:30,64.00,64.00,63.95,64.00,3300
2026-04-27T12:35:00+05:30,64.00,64.00,63.95,63.95,9659
2026-04-27T12:40:00+05:30,63.95,64.00,63.90,63.95,12562
2026-04-27T12:45:00+05:30,63.90,63.95,63.85,63.90,4968
2026-04-27T12:50:00+05:30,63.90,63.90,63.80,63.80,6713
2026-04-27T12:55:00+05:30,63.80,63.85,63.75,63.75,15277
2026-04-27T13:00:00+05:30,63.80,63.90,63.80,63.85,1982
2026-04-27T13:05:00+05:30,63.85,63.95,63.85,63.95,7683
2026-04-27T13:10:00+05:30,64.00,64.00,63.95,64.00,8483
2026-04-27T13:15:00+05:30,63.95,64.00,63.90,63.90,5881
2026-04-27T13:20:00+05:30,63.90,64.00,63.90,63.95,19998
2026-04-27T13:25:00+05:30,63.95,64.00,63.85,63.90,6333
2026-04-27T13:30:00+05:30,63.90,63.95,63.85,63.95,3364
2026-04-27T13:35:00+05:30,63.95,64.00,63.90,63.90,10444
2026-04-27T13:40:00+05:30,63.90,64.00,63.90,63.90,9998
2026-04-27T13:45:00+05:30,63.90,63.95,63.85,63.85,24995
2026-04-27T13:50:00+05:30,63.90,63.90,63.85,63.85,3524
2026-04-27T13:55:00+05:30,63.85,63.90,63.85,63.90,9095
2026-04-27T14:00:00+05:30,63.90,63.95,63.85,63.90,6555
2026-04-27T14:05:00+05:30,63.90,63.95,63.85,63.90,3434
2026-04-27T14:10:00+05:30,63.90,63.95,63.85,63.95,13123
2026-04-27T14:15:00+05:30,63.85,63.90,63.85,63.90,8635
2026-04-27T14:20:00+05:30,63.90,63.90,63.85,63.90,13837
2026-04-27T14:25:00+05:30,63.85,63.90,63.75,63.75,12718
2026-04-27T14:30:00+05:30,63.75,63.75,63.50,63.60,47226
2026-04-27T14:35:00+05:30,63.55,63.65,63.55,63.65,32354
2026-04-27T14:40:00+05:30,63.70,63.70,63.60,63.70,12944
2026-04-27T14:45:00+05:30,63.70,63.85,63.70,63.85,8526
2026-04-27T14:50:00+05:30,63.85,63.90,63.80,63.85,13205
2026-04-27T14:55:00+05:30,63.85,63.90,63.80,63.90,7602
2026-04-27T15:00:00+05:30,63.85,63.85,63.70,63.75,31163
2026-04-27T15:05:00+05:30,63.75,63.85,63.70,63.80,52237
2026-04-27T15:10:00+05:30,63.75,64.00,63.75,64.00,100427
2026-04-27T15:15:00+05:30,64.00,64.00,63.80,63.90,35461
2026-04-27T15:20:00+05:30,63.90,64.00,63.90,64.00,82106
2026-04-27T15:25:00+05:30,63.95,64.00,63.85,64.00,107818
2026-04-28T09:15:00+05:30,64.10,64.30,63.85,64.15,0
2026-04-28T09:20:00+05:30,64.00,64.10,63.75,63.75,51859
2026-04-28T09:25:00+05:30,63.75,64.10,63.75,63.80,29834
2026-04-28T09:30:00+05:30,63.85,64.35,63.75,63.95,300296
2026-04-28T09:35:00+05:30,63.95,64.10,63.80,63.95,29575
2026-04-28T09:40:00+05:30,64.00,64.20,63.95,64.10,20200
2026-04-28T09:45:00+05:30,64.10,64.10,63.95,64.05,8730
2026-04-28T09:50:00+05:30,64.00,64.00,63.65,63.80,175285
2026-04-28T09:55:00+05:30,63.85,63.90,63.75,63.90,21309
2026-04-28T10:00:00+05:30,63.85,64.10,63.85,64.05,30777
2026-04-28T10:05:00+05:30,64.05,64.20,63.90,64.10,90250
2026-04-28T10:10:00+05:30,64.05,64.15,63.65,63.70,90216
2026-04-28T10:15:00+05:30,63.65,63.95,63.60,63.90,95090
2026-04-28T10:20:00+05:30,63.90,64.05,63.85,64.05,15352
2026-04-28T10:25:00+05:30,64.00,64.10,64.00,64.05,14392
2026-04-28T10:30:00+05:30,64.05,64.10,63.90,63.95,12214
2026-04-28T10:35:00+05:30,63.90,63.95,63.75,63.80,8178
2026-04-28T10:40:00+05:30,63.75,63.85,63.75,63.85,32608
2026-04-28T10:45:00+05:30,63.80,63.95,63.80,63.90,6057
2026-04-28T10:50:00+05:30,63.90,64.05,63.90,64.00,14166
2026-04-28T10:55:00+05:30,64.00,64.15,64.00,64.10,16427
2026-04-28T11:00:00+05:30,64.10,64.10,64.00,64.05,7707
2026-04-28T11:05:00+05:30,64.05,64.05,63.95,64.00,15165
2026-04-28T11:10:00+05:30,64.00,64.10,64.00,64.05,7127
2026-04-28T11:15:00+05:30,64.00,64.05,63.90,63.90,10220
2026-04-28T11:20:00+05:30,63.90,64.05,63.90,63.90,3888
2026-04-28T11:25:00+05:30,63.90,63.90,63.70,63.75,10891
2026-04-28T11:30:00+05:30,63.80,63.80,63.75,63.75,5000
2026-04-28T11:35:00+05:30,63.75,63.95,63.60,63.60,61682
2026-04-28T11:40:00+05:30,63.60,63.70,63.60,63.65,10267
2026-04-28T11:45:00+05:30,63.70,63.80,63.65,63.80,8953
2026-04-28T11:50:00+05:30,63.80,63.85,63.75,63.80,4124
2026-04-28T11:55:00+05:30,63.75,63.80,63.70,63.70,1821
2026-04-28T12:00:00+05:30,63.65,63.75,63.60,63.75,7704
2026-04-28T12:05:00+05:30,63.70,63.75,63.65,63.75,1121
2026-04-28T12:10:00+05:30,63.70,63.75,63.70,63.70,1099
2026-04-28T12:15:00+05:30,63.70,63.75,63.70,63.75,3512
2026-04-28T12:20:00+05:30,63.75,63.75,63.60,63.65,8436
2026-04-28T12:25:00+05:30,63.60,63.70,63.60,63.70,6716
2026-04-28T12:30:00+05:30,63.65,63.70,63.50,63.50,15566
2026-04-28T12:35:00+05:30,63.55,63.60,63.50,63.60,17767
2026-04-28T12:40:00+05:30,63.55,63.60,63.50,63.60,22285
2026-04-28T12:45:00+05:30,63.55,63.60,63.50,63.60,1502
2026-04-28T12:50:00+05:30,63.55,63.60,63.50,63.60,3852
2026-04-28T12:55:00+05:30,63.60,63.60,63.50,63.60,15200
2026-04-28T13:00:00+05:30,63.65,63.75,63.65,63.75,3469
2026-04-28T13:05:00+05:30,63.75,63.75,63.65,63.70,2140
2026-04-28T13:10:00+05:30,63.65,63.65,63.55,63.55,5667
2026-04-28T13:15:00+05:30,63.55,63.75,63.45,63.65,110192
2026-04-28T13:20:00+05:30,63.75,63.75,63.65,63.70,3704
2026-04-28T13:25:00+05:30,63.70,63.75,63.65,63.65,6760
2026-04-28T13:30:00+05:30,63.65,63.65,63.55,63.55,6050
2026-04-28T13:35:00+05:30,63.55,63.60,63.45,63.55,7634
2026-04-28T13:40:00+05:30,63.55,63.60,63.50,63.50,7005
2026-04-28T13:45:00+05:30,63.50,63.60,63.50,63.50,1082
2026-04-28T13:50:00+05:30,63.55,63.60,63.50,63.55,677
2026-04-28T13:55:00+05:30,63.55,63.70,63.55,63.65,16364
2026-04-28T14:00:00+05:30,63.65,63.75,63.65,63.75,15218
2026-04-28T14:05:00+05:30,63.70,63.85,63.65,63.75,18175
2026-04-28T14:10:00+05:30,63.70,63.85,63.70,63.70,10593
2026-04-28T14:15:00+05:30,63.70,63.75,63.70,63.70,14250
2026-04-28T14:20:00+05:30,63.75,63.85,63.70,63.80,2378
2026-04-28T14:25:00+05:30,63.80,63.85,63.75,63.85,4359
2026-04-28T14:30:00+05:30,63.85,64.00,63.80,63.95,13836
2026-04-28T14:35:00+05:30,63.95,64.00,63.90,63.95,29703
2026-04-28T14:40:00+05:30,63.95,64.10,63.95,64.00,23824
2026-04-28T14:45:00+05:30,64.00,64.15,63.95,64.05,22533
2026-04-28T14:50:00+05:30,64.00,64.15,64.00,64.15,18588
2026-04-28T14:55:00+05:30,64.20,64.25,64.05,64.10,22681
2026-04-28T15:00:00+05:30,64.20,64.20,63.90,63.90,32883
2026-04-28T15:05:00+05:30,63.90,63.90,63.60,63.65,85430
2026-04-28T15:10:00+05:30,63.65,63.65,63.50,63.60,62933
2026-04-28T15:15:00+05:30,63.55,63.55,63.35,63.50,46146
2026-04-28T15:20:00+05:30,63.45,63.70,63.45,63.50,54990
2026-04-28T15:25:00+05:30,63.60,63.65,63.15,63.15,154686
2026-04-29T09:15:00+05:30,63.90,64.05,63.70,63.75,0
2026-04-29T09:20:00+05:30,63.75,63.95,63.60,63.70,68591
2026-04-29T09:25:00+05:30,63.75,64.45,63.65,64.35,170519
2026-04-29T09:30:00+05:30,64.35,64.70,64.30,64.30,263334
2026-04-29T09:35:00+05:30,64.30,64.30,63.80,63.90,121062
2026-04-29T09:40:00+05:30,63.90,63.95,63.85,63.95,41773
2026-04-29T09:45:00+05:30,63.95,63.95,63.80,63.85,37405
2026-04-29T09:50:00+05:30,63.85,63.95,63.75,63.80,17828
2026-04-29T09:55:00+05:30,63.80,63.85,63.70,63.75,4439
2026-04-29T10:00:00+05:30,63.75,63.85,63.75,63.80,15839
2026-04-29T10:05:00+05:30,63.75,63.80,63.70,63.75,16070
2026-04-29T10:10:00+05:30,63.70,63.75,63.70,63.70,13023
2026-04-29T10:15:00+05:30,63.70,63.80,63.70,63.80,25544
2026-04-29T10:20:00+05:30,63.75,63.85,63.75,63.85,9595
2026-04-29T10:25:00+05:30,63.85,63.85,63.75,63.75,11843
2026-04-29T10:30:00+05:30,63.75,63.80,63.65,63.70,25476
2026-04-29T10:35:00+05:30,63.65,63.70,63.65,63.70,9648
2026-04-29T10:40:00+05:30,63.65,63.75,63.40,63.45,77432
2026-04-29T10:45:00+05:30,63.45,63.45,63.30,63.40,21502
2026-04-29T10:50:00+05:30,63.35,64.00,63.35,63.85,1051176
2026-04-29T10:55:00+05:30,63.90,64.30,63.65,64.20,616495
2026-04-29T11:00:00+05:30,64.30,64.30,64.20,64.25,29360
2026-04-29T11:05:00+05:30,64.25,64.30,64.15,64.25,23865
2026-04-29T11:10:00+05:30,64.25,64.25,64.00,64.20,100599
2026-04-29T11:15:00+05:30,64.20,64.30,64.20,64.20,27827
2026-04-29T11:20:00+05:30,64.20,64.35,64.20,64.35,37315
2026-04-29T11:25:00+05:30,64.25,64.35,64.10,64.10,24680
2026-04-29T11:30:00+05:30,64.10,64.20,63.75,63.85,587610
2026-04-29T11:35:00+05:30,63.80,63.90,63.80,63.85,11455
2026-04-29T11:40:00+05:30,63.85,63.90,63.80,63.80,3785
2026-04-29T11:45:00+05:30,63.80,63.85,63.75,63.85,10062
2026-04-29T11:50:00+05:30,63.80,63.80,63.75,63.75,14173
2026-04-29T11:55:00+05:30,63.75,63.85,63.75,63.75,7819
2026-04-29T12:00:00+05:30,63.80,63.85,63.80,63.80,4835
2026-04-29T12:05:00+05:30,63.75,63.80,63.75,63.80,4562
2026-04-29T12:10:00+05:30,63.75,63.85,63.75,63.75,12281
2026-04-29T12:15:00+05:30,63.75,64.75,63.75,64.70,878420
2026-04-29T12:20:00+05:30,64.95,65.00,64.50,64.50,242560
2026-04-29T12:25:00+05:30,64.45,64.65,64.45,64.55,86472
2026-04-29T12:30:00+05:30,64.55,64.60,64.50,64.50,14673
2026-04-29T12:35:00+05:30,64.55,64.85,64.40,64.85,70738
2026-04-29T12:40:00+05:30,65.10,65.80,65.10,65.35,597677
2026-04-29T12:45:00+05:30,65.35,65.45,65.25,65.40,82833
2026-04-29T12:50:00+05:30,65.35,65.80,65.05,65.20,339917
2026-04-29T12:55:00+05:30,65.00,66.40,65.00,65.65,593289
2026-04-29T13:00:00+05:30,65.70,65.70,65.15,65.35,280334
2026-04-29T13:05:00+05:30,65.35,65.40,65.15,65.35,158691
2026-04-29T13:10:00+05:30,65.30,65.35,65.25,65.35,14642
2026-04-29T13:15:00+05:30,65.30,65.35,65.20,65.30,23220
2026-04-29T13:20:00+05:30,65.25,65.30,64.80,65.00,140502
2026-04-29T13:25:00+05:30,65.10,65.15,65.00,65.10,20199
2026-04-29T13:30:00+05:30,65.05,65.20,65.05,65.20,23481
2026-04-29T13:35:00+05:30,65.15,65.20,64.90,64.90,17085
2026-04-29T13:40:00+05:30,64.90,64.95,64.70,64.85,49397
2026-04-29T13:45:00+05:30,64.85,64.85,64.60,64.70,36649
2026-04-29T13:50:00+05:30,64.75,65.05,64.70,64.95,52838
2026-04-29T13:55:00+05:30,64.95,65.15,64.90,64.90,56416
2026-04-29T14:00:00+05:30,64.90,64.90,64.65,64.70,27138
2026-04-29T14:05:00+05:30,64.65,64.80,64.65,64.75,31925
2026-04-29T14:10:00+05:30,64.70,64.75,64.60,64.70,42659
2026-04-29T14:15:00+05:30,64.70,64.75,64.65,64.70,16482
2026-04-29T14:20:00+05:30,64.65,64.75,64.65,64.75,31351
2026-04-29T14:25:00+05:30,64.75,64.75,64.65,64.65,9628
2026-04-29T14:30:00+05:30,64.65,65.45,64.60,65.20,147974
2026-04-29T14:35:00+05:30,65.15,65.50,65.00,65.40,141820
2026-04-29T14:40:00+05:30,65.45,65.75,65.45,65.70,243535
2026-04-29T14:45:00+05:30,65.70,65.70,65.35,65.60,103268
2026-04-29T14:50:00+05:30,65.55,65.60,65.40,65.45,51219
2026-04-29T14:55:00+05:30,65.40,65.40,65.20,65.25,30039
2026-04-29T15:00:00+05:30,65.35,65.40,65.25,65.25,61831
2026-04-29T15:05:00+05:30,65.25,65.30,65.15,65.25,28068
2026-04-29T15:10:00+05:30,65.25,65.30,65.15,65.15,46924
2026-04-29T15:15:00+05:30,65.10,65.20,64.90,65.00,135589
2026-04-29T15:20:00+05:30,64.95,65.00,64.95,64.95,88663
2026-04-29T15:25:00+05:30,64.90,65.05,64.75,65.00,180208
2026-04-30T09:15:00+05:30,65.20,66.00,65.20,65.30,0
2026-04-30T09:20:00+05:30,65.30,65.45,64.90,65.20,255939
2026-04-30T09:25:00+05:30,65.25,66.15,65.20,65.95,247829
2026-04-30T09:30:00+05:30,65.90,65.95,65.50,65.95,146005
2026-04-30T09:35:00+05:30,66.10,66.30,65.35,65.40,426029
2026-04-30T09:40:00+05:30,65.35,65.50,65.30,65.40,71843
2026-04-30T09:45:00+05:30,65.50,65.50,65.25,65.25,199139
2026-04-30T09:50:00+05:30,65.35,65.40,65.15,65.20,36260
2026-04-30T09:55:00+05:30,65.15,65.20,65.05,65.10,55354
2026-04-30T10:00:00+05:30,65.05,65.10,64.85,64.90,90448
2026-04-30T10:05:00+05:30,64.90,64.90,64.70,64.80,59049
2026-04-30T10:10:00+05:30,64.75,64.75,64.55,64.55,51560
2026-04-30T10:15:00+05:30,64.55,64.55,64.35,64.55,55167
2026-04-30T10:20:00+05:30,64.55,64.75,64.45,64.45,85634
2026-04-30T10:25:00+05:30,64.45,64.50,64.10,64.20,102221
2026-04-30T10:30:00+05:30,64.15,64.15,64.10,64.15,21116
2026-04-30T10:35:00+05:30,64.15,64.15,63.90,64.10,98676
2026-04-30T10:40:00+05:30,64.15,64.25,64.15,64.20,33432
2026-04-30T10:45:00+05:30,64.25,64.25,64.10,64.20,5051
2026-04-30T10:50:00+05:30,64.20,64.25,64.05,64.05,20702
2026-04-30T10:55:00+05:30,64.00,64.00,63.85,63.95,28585
2026-04-30T11:00:00+05:30,63.95,64.15,63.95,64.10,11104
2026-04-30T11:05:00+05:30,64.10,64.25,64.10,64.25,12240
2026-04-30T11:10:00+05:30,64.25,64.30,64.05,64.10,30100
2026-04-30T11:15:00+05:30,64.00,64.10,64.00,64.10,3671
2026-04-30T11:20:00+05:30,64.10,64.10,64.05,64.10,8310
2026-04-30T11:25:00+05:30,64.10,64.35,64.10,64.35,15024
2026-04-30T11:30:00+05:30,64.35,64.35,64.20,64.20,5094
2026-04-30T11:35:00+05:30,64.30,64.40,64.30,64.40,14864
2026-04-30T11:40:00+05:30,64.35,64.35,64.25,64.30,26625
2026-04-30T11:45:00+05:30,64.25,64.25,64.15,64.15,3470
2026-04-30T11:50:00+05:30,64.20,64.25,64.15,64.20,4965
2026-04-30T11:55:00+05:30,64.25,64.35,64.25,64.30,2871
2026-04-30T12:00:00+05:30,64.30,64.35,64.25,64.35,2864
2026-04-30T12:05:00+05:30,64.35,64.50,64.30,64.40,17457
2026-04-30T12:10:00+05:30,64.45,64.65,64.30,64.65,28675
2026-04-30T12:15:00+05:30,64.65,64.65,64.55,64.55,11096
2026-04-30T12:20:00+05:30,64.55,64.60,64.40,64.55,20919
2026-04-30T12:25:00+05:30,64.60,64.60,64.55,64.55,8124
2026-04-30T12:30:00+05:30,64.55,64.60,64.35,64.45,4380
2026-04-30T12:35:00+05:30,64.50,64.50,64.35,64.40,18349
2026-04-30T12:40:00+05:30,64.45,64.45,64.35,64.40,8536
2026-04-30T12:45:00+05:30,64.40,64.60,64.40,64.50,3490
2026-04-30T12:50:00+05:30,64.55,64.65,64.55,64.55,2396
2026-04-30T12:55:00+05:30,64.55,64.65,64.55,64.65,11148
2026-04-30T13:00:00+05:30,64.65,64.65,64.50,64.55,22893
2026-04-30T13:05:00+05:30,64.50,64.50,64.30,64.40,7388
2026-04-30T13:10:00+05:30,64.40,64.40,64.40,64.40,2712
2026-04-30T13:15:00+05:30,64.40,64.45,64.35,64.35,3204
2026-04-30T13:20:00+05:30,64.40,64.55,64.35,64.55,3706
2026-04-30T13:25:00+05:30,64.45,64.50,64.40,64.50,2847
2026-04-30T13:30:00+05:30,64.50,64.50,64.40,64.40,822
2026-04-30T13:35:00+05:30,64.45,64.55,64.30,64.35,51614
2026-04-30T13:40:00+05:30,64.35,64.45,64.30,64.40,4836
2026-04-30T13:45:00+05:30,64.40,64.55,64.40,64.55,25355
