ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2306.00,2322.10,2296.90,2317.00,0
2026-04-27T09:20:00+05:30,2316.90,2322.70,2301.70,2301.70,63761
2026-04-27T09:25:00+05:30,2302.80,2306.00,2287.40,2293.90,45936
2026-04-27T09:30:00+05:30,2295.70,2303.80,2292.20,2297.10,33372
2026-04-27T09:35:00+05:30,2297.20,2306.60,2297.00,2300.60,36806
2026-04-27T09:40:00+05:30,2301.40,2304.80,2297.60,2304.50,17779
2026-04-27T09:45:00+05:30,2303.60,2313.60,2299.90,2310.60,33493
2026-04-27T09:50:00+05:30,2310.10,2321.40,2309.90,2320.00,36291
2026-04-27T09:55:00+05:30,2320.00,2321.50,2312.90,2317.30,19798
2026-04-27T10:00:00+05:30,2316.90,2317.60,2312.20,2313.50,23717
2026-04-27T10:05:00+05:30,2311.30,2318.10,2311.30,2316.20,21323
2026-04-27T10:10:00+05:30,2316.10,2316.70,2308.50,2308.50,17526
2026-04-27T10:15:00+05:30,2309.40,2315.00,2309.40,2312.70,10574
2026-04-27T10:20:00+05:30,2312.90,2313.60,2307.90,2307.90,14556
2026-04-27T10:25:00+05:30,2308.90,2326.50,2304.60,2320.60,106435
2026-04-27T10:30:00+05:30,2321.90,2326.60,2311.70,2313.40,37309
2026-04-27T10:35:00+05:30,2313.40,2316.40,2312.20,2314.50,14736
2026-04-27T10:40:00+05:30,2313.20,2319.90,2313.10,2316.00,11118
2026-04-27T10:45:00+05:30,2316.80,2319.40,2314.10,2315.60,11453
2026-04-27T10:50:00+05:30,2315.60,2315.60,2308.50,2313.80,18831
2026-04-27T10:55:00+05:30,2313.80,2322.90,2313.80,2320.10,42735
2026-04-27T11:00:00+05:30,2322.00,2324.40,2319.30,2323.10,13614
2026-04-27T11:05:00+05:30,2323.50,2330.50,2321.80,2323.00,40838
2026-04-27T11:10:00+05:30,2323.40,2337.00,2322.90,2334.90,40730
2026-04-27T11:15:00+05:30,2334.40,2336.20,2330.20,2331.00,25549
2026-04-27T11:20:00+05:30,2332.20,2332.60,2327.60,2330.00,15771
2026-04-27T11:25:00+05:30,2330.40,2330.80,2325.00,2325.60,10756
2026-04-27T11:30:00+05:30,2325.60,2328.00,2323.10,2324.30,20641
2026-04-27T11:35:00+05:30,2324.50,2327.50,2320.00,2322.70,18888
