ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1600.80,1622.30,1600.80,1621.20,0
2026-04-27T09:20:00+05:30,1621.80,1627.00,1621.50,1624.90,219145
2026-04-27T09:25:00+05:30,1624.30,1628.00,1622.20,1624.00,119741
2026-04-27T09:30:00+05:30,1624.80,1635.00,1624.80,1632.00,215744
2026-04-27T09:35:00+05:30,1631.90,1638.70,1631.90,1633.00,158481
2026-04-27T09:40:00+05:30,1633.00,1635.00,1629.30,1634.90,76767
2026-04-27T09:45:00+05:30,1634.10,1641.00,1633.00,1637.40,130195
2026-04-27T09:50:00+05:30,1638.00,1641.60,1634.30,1635.90,78578
2026-04-27T09:55:00+05:30,1636.00,1636.60,1633.40,1635.30,36480
2026-04-27T10:00:00+05:30,1635.30,1636.10,1631.00,1631.50,45306
2026-04-27T10:05:00+05:30,1631.00,1635.00,1631.00,1631.60,23737
2026-04-27T10:10:00+05:30,1632.00,1632.00,1629.20,1629.40,34515
2026-04-27T10:15:00+05:30,1630.10,1636.30,1630.10,1634.20,36545
2026-04-27T10:20:00+05:30,1634.50,1634.50,1632.10,1633.50,15601
2026-04-27T10:25:00+05:30,1634.00,1638.00,1633.00,1637.70,36704
2026-04-27T10:30:00+05:30,1639.40,1640.00,1636.20,1639.20,36667
2026-04-27T10:35:00+05:30,1639.20,1641.00,1638.00,1640.70,31440
2026-04-27T10:40:00+05:30,1639.90,1642.30,1639.20,1641.50,41564
2026-04-27T10:45:00+05:30,1641.50,1644.00,1640.00,1642.00,46640
2026-04-27T10:50:00+05:30,1642.40,1642.40,1638.00,1641.30,24359
2026-04-27T10:55:00+05:30,1641.00,1644.70,1641.00,1643.10,34382
2026-04-27T11:00:00+05:30,1643.70,1645.80,1642.40,1645.50,41438
2026-04-27T11:05:00+05:30,1645.10,1646.70,1642.50,1643.60,39504
2026-04-27T11:10:00+05:30,1643.90,1648.90,1643.60,1648.80,40966
2026-04-27T11:15:00+05:30,1648.40,1649.80,1647.00,1647.20,51156
2026-04-27T11:20:00+05:30,1647.00,1648.60,1644.40,1645.80,61037
2026-04-27T11:25:00+05:30,1646.00,1646.90,1643.10,1643.20,32288
2026-04-27T11:30:00+05:30,1643.80,1643.80,1638.40,1639.60,48082
2026-04-27T11:35:00+05:30,1640.00,1640.30,1636.50,1637.50,42468
2026-04-27T11:40:00+05:30,1637.50,1638.40,1634.40,1635.40,46520
2026-04-27T11:45:00+05:30,1635.10,1635.10,1632.20,1634.50,20697
2026-04-27T11:50:00+05:30,1634.00,1634.00,1632.10,1632.30,20752
2026-04-27T11:55:00+05:30,1632.50,1632.50,1628.20,1628.80,64101
2026-04-27T12:00:00+05:30,1628.80,1629.00,1627.00,1628.80,23820
2026-04-27T12:05:00+05:30,1628.50,1629.10,1627.80,1628.00,17603
2026-04-27T12:10:00+05:30,1628.00,1629.00,1627.80,1628.30,7978
2026-04-27T12:15:00+05:30,1628.30,1629.20,1626.50,1626.50,34695
2026-04-27T12:20:00+05:30,1626.50,1626.60,1623.90,1625.00,36256
2026-04-27T12:25:00+05:30,1625.00,1625.00,1621.10,1622.60,311319
2026-04-27T12:30:00+05:30,1622.40,1625.70,1621.50,1625.60,29037
2026-04-27T12:35:00+05:30,1625.50,1629.00,1625.50,1626.40,20092
2026-04-27T12:40:00+05:30,1626.50,1627.40,1624.00,1624.20,17232
2026-04-27T12:45:00+05:30,1625.30,1626.00,1624.00,1625.70,10910
2026-04-27T12:50:00+05:30,1625.00,1628.80,1624.20,1627.30,23966
2026-04-27T12:55:00+05:30,1627.70,1629.00,1626.50,1628.90,15375
2026-04-27T13:00:00+05:30,1628.90,1629.00,1626.80,1628.40,9874
2026-04-27T13:05:00+05:30,1628.40,1628.50,1627.30,1628.30,9529
2026-04-27T13:10:00+05:30,1628.40,1629.00,1627.00,1629.00,7401
2026-04-27T13:15:00+05:30,1628.90,1629.60,1628.00,1629.00,31034
2026-04-27T13:20:00+05:30,1628.80,1629.00,1626.70,1627.50,8226
2026-04-27T13:25:00+05:30,1627.30,1627.50,1624.30,1624.30,32454
2026-04-27T13:30:00+05:30,1624.80,1625.00,1623.70,1624.60,12787
2026-04-27T13:35:00+05:30,1624.60,1625.80,1623.70,1625.80,29419
2026-04-27T13:40:00+05:30,1625.80,1627.90,1625.80,1627.20,13880
2026-04-27T13:45:00+05:30,1627.20,1629.00,1625.40,1625.80,73795
2026-04-27T13:50:00+05:30,1625.80,1626.30,1622.90,1625.20,29037
2026-04-27T13:55:00+05:30,1625.00,1626.70,1624.20,1624.20,68219
2026-04-27T14:00:00+05:30,1624.10,1625.00,1624.00,1625.00,16112
2026-04-27T14:05:00+05:30,1624.70,1627.30,1624.50,1626.30,45683
2026-04-27T14:10:00+05:30,1626.50,1627.00,1625.00,1625.10,11845
2026-04-27T14:15:00+05:30,1624.90,1625.10,1623.50,1624.60,9142
2026-04-27T14:20:00+05:30,1624.00,1627.00,1624.00,1626.80,68689
2026-04-27T14:25:00+05:30,1626.60,1628.70,1625.90,1627.00,22026
2026-04-27T14:30:00+05:30,1627.50,1628.00,1625.50,1627.70,23291
2026-04-27T14:35:00+05:30,1627.60,1628.00,1626.60,1627.90,27278
2026-04-27T14:40:00+05:30,1627.30,1631.10,1626.30,1629.40,78082
2026-04-27T14:45:00+05:30,1629.40,1632.60,1628.90,1631.80,25350
2026-04-27T14:50:00+05:30,1631.80,1631.80,1628.30,1628.90,28770
2026-04-27T14:55:00+05:30,1629.00,1632.00,1628.40,1630.10,20336
2026-04-27T15:00:00+05:30,1630.40,1631.90,1627.80,1631.90,22865
2026-04-27T15:05:00+05:30,1631.10,1631.90,1629.50,1629.80,9718
2026-04-27T15:10:00+05:30,1629.30,1630.40,1628.70,1630.00,41720
2026-04-27T15:15:00+05:30,1629.30,1629.90,1626.60,1627.00,75966
2026-04-27T15:20:00+05:30,1626.60,1629.60,1626.60,1629.00,75727
2026-04-27T15:25:00+05:30,1629.30,1629.40,1627.00,1628.00,45604
2026-04-28T09:15:00+05:30,1628.50,1646.40,1625.50,1643.30,0
2026-04-28T09:20:00+05:30,1643.50,1644.00,1638.50,1639.90,84342
2026-04-28T09:25:00+05:30,1640.00,1644.00,1638.90,1638.90,68276
2026-04-28T09:30:00+05:30,1638.90,1642.80,1638.10,1640.40,29439
2026-04-28T09:35:00+05:30,1640.40,1648.00,1640.00,1643.00,80241
2026-04-28T09:40:00+05:30,1643.00,1645.80,1636.00,1636.60,59997
2026-04-28T09:45:00+05:30,1638.10,1642.30,1636.00,1636.70,33714
2026-04-28T09:50:00+05:30,1637.00,1639.50,1636.30,1638.00,18577
2026-04-28T09:55:00+05:30,1638.50,1638.90,1637.00,1637.30,10495
2026-04-28T10:00:00+05:30,1637.80,1640.50,1637.00,1639.70,19752
2026-04-28T10:05:00+05:30,1640.00,1640.00,1636.70,1636.90,27816
2026-04-28T10:10:00+05:30,1636.80,1637.00,1634.80,1636.40,25032
2026-04-28T10:15:00+05:30,1636.30,1636.50,1630.30,1630.80,32126
2026-04-28T10:20:00+05:30,1631.30,1634.10,1630.60,1633.50,18081
2026-04-28T10:25:00+05:30,1633.60,1636.00,1633.00,1634.40,11362
2026-04-28T10:30:00+05:30,1634.40,1635.30,1633.40,1634.30,6785
2026-04-28T10:35:00+05:30,1634.30,1634.60,1631.40,1633.10,9325
2026-04-28T10:40:00+05:30,1633.70,1634.00,1629.20,1631.70,20214
2026-04-28T10:45:00+05:30,1632.00,1634.80,1631.70,1633.00,9736
2026-04-28T10:50:00+05:30,1633.00,1634.80,1631.70,1634.80,14236
2026-04-28T10:55:00+05:30,1634.60,1635.00,1631.10,1631.80,13773
2026-04-28T11:00:00+05:30,1631.80,1632.20,1630.10,1630.90,6923
2026-04-28T11:05:00+05:30,1630.70,1631.20,1627.70,1629.50,24884
2026-04-28T11:10:00+05:30,1629.50,1629.60,1627.80,1628.90,12209
2026-04-28T11:15:00+05:30,1628.90,1629.40,1627.30,1628.10,12362
2026-04-28T11:20:00+05:30,1628.30,1628.30,1626.70,1627.40,15318
2026-04-28T11:25:00+05:30,1627.50,1627.50,1625.40,1625.40,62608
2026-04-28T11:30:00+05:30,1625.90,1627.50,1625.00,1626.40,77929
2026-04-28T11:35:00+05:30,1626.70,1629.90,1625.10,1629.20,68377
2026-04-28T11:40:00+05:30,1629.40,1629.40,1626.20,1628.70,111753
2026-04-28T11:45:00+05:30,1628.80,1630.90,1627.50,1630.90,19220
2026-04-28T11:50:00+05:30,1630.90,1632.00,1630.50,1631.00,23945
2026-04-28T11:55:00+05:30,1631.20,1633.10,1630.20,1631.70,17903
2026-04-28T12:00:00+05:30,1631.50,1633.40,1630.00,1632.60,17151
2026-04-28T12:05:00+05:30,1632.10,1632.40,1630.90,1631.00,9696
2026-04-28T12:10:00+05:30,1631.30,1632.00,1630.90,1631.50,9312
2026-04-28T12:15:00+05:30,1631.40,1631.60,1630.70,1630.90,11112
2026-04-28T12:20:00+05:30,1630.90,1631.10,1627.00,1628.70,18185
2026-04-28T12:25:00+05:30,1629.30,1632.00,1628.10,1628.30,22471
2026-04-28T12:30:00+05:30,1628.30,1628.80,1627.00,1628.30,18834
2026-04-28T12:35:00+05:30,1628.70,1629.70,1628.00,1628.00,8024
2026-04-28T12:40:00+05:30,1628.00,1630.00,1627.30,1629.80,10970
2026-04-28T12:45:00+05:30,1629.80,1629.90,1627.20,1627.60,7571
2026-04-28T12:50:00+05:30,1627.50,1628.00,1626.70,1626.80,9649
2026-04-28T12:55:00+05:30,1627.40,1628.00,1626.00,1626.30,12378
2026-04-28T13:00:00+05:30,1626.30,1627.30,1626.10,1626.70,20325
2026-04-28T13:05:00+05:30,1626.80,1628.20,1626.30,1628.00,9524
2026-04-28T13:10:00+05:30,1628.00,1628.10,1627.10,1627.20,7584
2026-04-28T13:15:00+05:30,1627.40,1628.70,1627.10,1628.30,7520
2026-04-28T13:20:00+05:30,1628.40,1630.00,1627.50,1629.70,10224
2026-04-28T13:25:00+05:30,1629.60,1631.60,1629.20,1630.40,13257
2026-04-28T13:30:00+05:30,1630.20,1630.20,1627.50,1628.90,10411
2026-04-28T13:35:00+05:30,1628.80,1628.80,1626.40,1626.80,24535
2026-04-28T13:40:00+05:30,1626.70,1628.50,1626.40,1627.10,14079
2026-04-28T13:45:00+05:30,1626.60,1628.10,1626.40,1627.50,19919
2026-04-28T13:50:00+05:30,1627.60,1629.10,1626.30,1628.30,23439
2026-04-28T13:55:00+05:30,1629.00,1631.30,1628.10,1628.40,35476
2026-04-28T14:00:00+05:30,1629.10,1629.30,1626.80,1628.90,25469
2026-04-28T14:05:00+05:30,1628.70,1629.40,1627.10,1629.10,25059
2026-04-28T14:10:00+05:30,1629.10,1630.70,1627.30,1628.60,29394
2026-04-28T14:15:00+05:30,1628.70,1629.80,1627.20,1629.70,26108
