ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,215.20,220.20,215.20,217.65,0
2026-04-27T09:20:00+05:30,217.70,218.80,216.20,216.30,2770438
2026-04-27T09:25:00+05:30,216.20,216.75,215.40,215.90,2051154
2026-04-27T09:30:00+05:30,215.90,217.00,215.20,216.55,1584888
2026-04-27T09:35:00+05:30,216.65,217.30,216.55,217.05,978348
2026-04-27T09:40:00+05:30,217.15,218.25,217.05,218.00,1481199
2026-04-27T09:45:00+05:30,218.05,218.10,217.25,217.65,865304
2026-04-27T09:50:00+05:30,217.60,217.95,217.30,217.85,680175
2026-04-27T09:55:00+05:30,217.85,219.20,217.80,219.15,1379449
2026-04-27T10:00:00+05:30,219.10,219.85,218.55,219.15,1749396
2026-04-27T10:05:00+05:30,219.15,219.50,218.60,219.10,886106
2026-04-27T10:10:00+05:30,219.00,219.00,218.60,218.75,512044
2026-04-27T10:15:00+05:30,218.65,219.35,218.65,219.30,478243
2026-04-27T10:20:00+05:30,219.25,219.35,218.80,218.90,496055
2026-04-27T10:25:00+05:30,219.00,219.20,218.40,218.90,535653
2026-04-27T10:30:00+05:30,219.00,219.15,218.70,218.90,348086
2026-04-27T10:35:00+05:30,218.90,219.30,218.80,219.15,460474
2026-04-27T10:40:00+05:30,219.15,219.60,219.05,219.30,616782
2026-04-27T10:45:00+05:30,219.20,220.60,219.15,220.15,2094146
2026-04-27T10:50:00+05:30,219.95,220.35,219.15,219.20,1959113
2026-04-27T10:55:00+05:30,219.20,219.65,219.15,219.45,380174
2026-04-27T11:00:00+05:30,219.55,220.20,219.45,220.15,586391
2026-04-27T11:05:00+05:30,220.20,221.40,220.10,220.60,1870547
2026-04-27T11:10:00+05:30,220.60,221.50,220.50,221.40,771488
2026-04-27T11:15:00+05:30,221.40,221.60,221.00,221.45,767287
2026-04-27T11:20:00+05:30,221.60,221.95,221.30,221.90,1209341
2026-04-27T11:25:00+05:30,221.90,222.10,221.20,221.20,1414944
2026-04-27T11:30:00+05:30,221.35,221.35,220.20,220.80,1157469
2026-04-27T11:35:00+05:30,220.75,220.80,219.95,220.05,814072
2026-04-27T11:40:00+05:30,220.10,220.55,220.00,220.15,526866
2026-04-27T11:45:00+05:30,220.10,220.20,219.60,220.00,608864
2026-04-27T11:50:00+05:30,220.10,220.10,219.50,219.90,419542
2026-04-27T11:55:00+05:30,219.80,220.20,219.70,220.00,372553
2026-04-27T12:00:00+05:30,220.10,220.15,219.55,219.65,380902
2026-04-27T12:05:00+05:30,219.60,220.10,219.55,220.00,335168
2026-04-27T12:10:00+05:30,220.00,220.55,219.70,219.80,769612
2026-04-27T12:15:00+05:30,219.80,220.00,219.65,219.75,262934
2026-04-27T12:20:00+05:30,219.70,219.80,219.10,219.70,640932
2026-04-27T12:25:00+05:30,219.70,220.15,219.65,219.90,306859
2026-04-27T12:30:00+05:30,219.90,220.10,219.65,220.05,248773
2026-04-27T12:35:00+05:30,220.05,220.40,220.00,220.20,374698
2026-04-27T12:40:00+05:30,220.15,220.65,220.00,220.60,356127
2026-04-27T12:45:00+05:30,220.55,220.60,220.40,220.40,185338
2026-04-27T12:50:00+05:30,220.50,220.50,219.75,220.10,331127
2026-04-27T12:55:00+05:30,220.10,220.30,220.05,220.30,115171
2026-04-27T13:00:00+05:30,220.30,220.30,219.90,220.05,177068
2026-04-27T13:05:00+05:30,220.10,220.20,219.85,220.00,199350
