ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,5271.00,5353.50,5252.50,5353.50,0
2026-04-27T09:20:00+05:30,5356.50,5393.50,5355.00,5359.50,4665
2026-04-27T09:25:00+05:30,5356.00,5358.50,5310.00,5315.50,2144
2026-04-27T09:30:00+05:30,5318.50,5395.50,5317.50,5373.50,10541
2026-04-27T09:35:00+05:30,5376.50,5392.00,5372.50,5388.00,15436
2026-04-27T09:40:00+05:30,5390.50,5424.00,5390.50,5418.50,19288
2026-04-27T09:45:00+05:30,5420.00,5458.00,5410.00,5458.00,26240
2026-04-27T09:50:00+05:30,5452.00,5472.50,5449.00,5471.50,3645
2026-04-27T09:55:00+05:30,5471.50,5473.50,5458.00,5461.00,2927
2026-04-27T10:00:00+05:30,5460.00,5485.50,5447.00,5449.00,6080
2026-04-27T10:05:00+05:30,5451.50,5472.50,5435.00,5437.00,4430
2026-04-27T10:10:00+05:30,5437.50,5441.00,5422.50,5428.50,3166
2026-04-27T10:15:00+05:30,5422.50,5428.00,5390.50,5398.00,7205
2026-04-27T10:20:00+05:30,5398.50,5399.00,5385.00,5397.50,1288
2026-04-27T10:25:00+05:30,5395.50,5420.00,5392.50,5420.00,2553
2026-04-27T10:30:00+05:30,5424.00,5427.00,5405.50,5407.00,2560
2026-04-27T10:35:00+05:30,5410.50,5410.50,5399.00,5399.00,1586
2026-04-27T10:40:00+05:30,5398.00,5398.00,5378.50,5384.50,2397
2026-04-27T10:45:00+05:30,5382.50,5385.00,5362.00,5370.50,3482
2026-04-27T10:50:00+05:30,5375.00,5377.50,5366.00,5368.00,2275
2026-04-27T10:55:00+05:30,5368.00,5378.00,5364.00,5372.50,1499
2026-04-27T11:00:00+05:30,5369.50,5381.00,5369.50,5378.00,1054
2026-04-27T11:05:00+05:30,5377.00,5378.50,5354.00,5362.50,3219
2026-04-27T11:10:00+05:30,5362.50,5363.00,5340.00,5340.00,729
2026-04-27T11:15:00+05:30,5340.00,5344.50,5328.00,5328.00,1912
2026-04-27T11:20:00+05:30,5330.00,5356.00,5328.00,5353.50,1245
