ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,7760.00,7774.00,7735.00,7755.00,0
2026-04-27T09:20:00+05:30,7757.50,7762.00,7745.00,7753.50,3976
2026-04-27T09:25:00+05:30,7751.00,7773.00,7745.50,7752.50,3266
2026-04-27T09:30:00+05:30,7751.50,7763.50,7748.50,7750.50,1866
2026-04-27T09:35:00+05:30,7748.50,7764.50,7748.50,7756.50,1204
2026-04-27T09:40:00+05:30,7757.00,7773.00,7757.00,7771.00,1336
2026-04-27T09:45:00+05:30,7769.50,7791.50,7769.50,7791.00,1746
2026-04-27T09:50:00+05:30,7783.00,7794.00,7776.00,7787.50,3020
2026-04-27T09:55:00+05:30,7793.50,7797.50,7781.00,7786.00,2138
2026-04-27T10:00:00+05:30,7783.50,7785.00,7767.50,7770.00,1515
2026-04-27T10:05:00+05:30,7768.00,7778.50,7763.00,7772.00,2069
2026-04-27T10:10:00+05:30,7772.50,7779.50,7765.00,7769.00,1297
2026-04-27T10:15:00+05:30,7769.00,7786.00,7769.00,7776.00,2110
2026-04-27T10:20:00+05:30,7776.00,7778.50,7765.50,7768.50,1483
2026-04-27T10:25:00+05:30,7766.00,7771.00,7763.00,7770.00,1032
2026-04-27T10:30:00+05:30,7767.50,7771.50,7757.00,7766.00,1479
2026-04-27T10:35:00+05:30,7765.50,7771.50,7761.00,7765.00,1679
2026-04-27T10:40:00+05:30,7761.50,7779.00,7761.50,7766.00,2120
2026-04-27T10:45:00+05:30,7766.50,7791.00,7762.00,7790.00,3641
2026-04-27T10:50:00+05:30,7787.00,7800.00,7787.00,7796.50,2597
2026-04-27T10:55:00+05:30,7795.50,7798.50,7787.50,7790.50,1343
2026-04-27T11:00:00+05:30,7791.50,7796.50,7789.50,7790.00,1215
2026-04-27T11:05:00+05:30,7790.00,7794.50,7778.00,7783.50,1719
2026-04-27T11:10:00+05:30,7784.00,7794.50,7782.50,7794.50,1241
2026-04-27T11:15:00+05:30,7794.00,7803.50,7782.50,7792.50,4180
2026-04-27T11:20:00+05:30,7789.50,7791.50,7783.00,7785.00,1022
2026-04-27T11:25:00+05:30,7785.00,7801.00,7783.00,7786.00,2145
2026-04-27T11:30:00+05:30,7783.00,7787.00,7770.00,7773.50,1731
2026-04-27T11:35:00+05:30,7770.50,7777.50,7767.50,7770.00,1923
2026-04-27T11:40:00+05:30,7769.50,7774.50,7769.00,7772.00,1743
2026-04-27T11:45:00+05:30,7772.00,7788.00,7770.00,7781.00,1566
2026-04-27T11:50:00+05:30,7781.00,7784.00,7775.50,7780.50,12540
2026-04-27T11:55:00+05:30,7777.00,7780.50,7776.00,7776.00,763
2026-04-27T12:00:00+05:30,7776.00,7787.50,7775.00,7783.00,932
2026-04-27T12:05:00+05:30,7782.50,7794.50,7782.50,7788.50,1086
2026-04-27T12:10:00+05:30,7788.50,7792.50,7787.00,7792.00,17440
2026-04-27T12:15:00+05:30,7790.00,7804.00,7790.00,7804.00,2842
2026-04-27T12:20:00+05:30,7802.00,7804.00,7798.50,7803.50,832
2026-04-27T12:25:00+05:30,7803.50,7815.00,7802.00,7812.50,5473
2026-04-27T12:30:00+05:30,7811.50,7818.00,7810.00,7811.50,2788
2026-04-27T12:35:00+05:30,7811.50,7815.00,7800.50,7805.50,2502
2026-04-27T12:40:00+05:30,7805.00,7807.00,7800.50,7804.00,599
2026-04-27T12:45:00+05:30,7803.00,7806.50,7800.00,7805.00,973
2026-04-27T12:50:00+05:30,7805.00,7807.50,7801.50,7807.00,861
2026-04-27T12:55:00+05:30,7807.00,7807.50,7801.00,7804.50,668
2026-04-27T13:00:00+05:30,7804.50,7807.50,7802.00,7806.00,1089
2026-04-27T13:05:00+05:30,7805.00,7810.00,7801.50,7810.00,16441
2026-04-27T13:10:00+05:30,7811.00,7815.00,7806.50,7813.00,1448
2026-04-27T13:15:00+05:30,7813.00,7818.00,7810.00,7813.00,1475
2026-04-27T13:20:00+05:30,7810.50,7815.00,7808.00,7813.00,1275
2026-04-27T13:25:00+05:30,7812.50,7818.00,7812.00,7817.00,1365
2026-04-27T13:30:00+05:30,7815.00,7816.50,7807.50,7810.00,1806
2026-04-27T13:35:00+05:30,7809.50,7814.00,7808.00,7814.00,835
2026-04-27T13:40:00+05:30,7813.00,7816.00,7811.50,7812.50,908
2026-04-27T13:45:00+05:30,7812.00,7815.00,7806.00,7807.00,1352
2026-04-27T13:50:00+05:30,7807.00,7812.50,7805.50,7812.50,1320
2026-04-27T13:55:00+05:30,7811.00,7813.00,7803.00,7806.50,16489
2026-04-27T14:00:00+05:30,7806.50,7809.50,7803.50,7806.50,455
2026-04-27T14:05:00+05:30,7806.50,7809.00,7804.50,7809.00,763
2026-04-27T14:10:00+05:30,7809.00,7816.00,7809.00,7815.50,1731
2026-04-27T14:15:00+05:30,7815.50,7816.00,7810.00,7810.50,1276
2026-04-27T14:20:00+05:30,7810.00,7811.00,7806.50,7808.50,855
2026-04-27T14:25:00+05:30,7808.50,7812.50,7806.00,7812.50,989
2026-04-27T14:30:00+05:30,7810.00,7813.00,7797.50,7805.50,1802
2026-04-27T14:35:00+05:30,7804.00,7835.00,7803.50,7832.50,8934
2026-04-27T14:40:00+05:30,7836.00,7844.50,7831.00,7841.50,9051
2026-04-27T14:45:00+05:30,7841.00,7847.00,7827.50,7843.00,13354
2026-04-27T14:50:00+05:30,7844.00,7849.50,7836.00,7845.50,9065
2026-04-27T14:55:00+05:30,7847.50,7850.00,7836.00,7841.00,8961
2026-04-27T15:00:00+05:30,7831.50,7840.00,7815.50,7815.50,12667
2026-04-27T15:05:00+05:30,7817.00,7819.50,7808.00,7817.00,14057
2026-04-27T15:10:00+05:30,7817.50,7825.50,7813.50,7819.50,9453
2026-04-27T15:15:00+05:30,7823.00,7834.50,7818.50,7830.50,10203
2026-04-27T15:20:00+05:30,7828.00,7842.50,7820.00,7822.00,13615
2026-04-27T15:25:00+05:30,7829.50,7845.00,7817.00,7840.00,8440
2026-04-28T09:15:00+05:30,7835.00,7846.50,7794.00,7837.50,0
2026-04-28T09:20:00+05:30,7839.50,7865.00,7827.00,7840.00,8613
2026-04-28T09:25:00+05:30,7839.50,7876.00,7836.50,7836.50,11001
2026-04-28T09:30:00+05:30,7836.50,7838.00,7811.00,7811.00,4659
2026-04-28T09:35:00+05:30,7814.00,7821.00,7806.50,7814.00,1619
2026-04-28T09:40:00+05:30,7814.00,7822.50,7794.00,7795.00,5393
2026-04-28T09:45:00+05:30,7796.00,7804.50,7786.50,7790.00,4088
2026-04-28T09:50:00+05:30,7785.50,7800.00,7785.50,7800.00,1501
2026-04-28T09:55:00+05:30,7800.00,7800.00,7793.50,7796.50,1037
2026-04-28T10:00:00+05:30,7797.00,7801.00,7796.00,7796.00,961
2026-04-28T10:05:00+05:30,7796.00,7796.00,7791.00,7792.00,626
2026-04-28T10:10:00+05:30,7792.00,7793.50,7788.00,7788.00,1055
2026-04-28T10:15:00+05:30,7789.00,7799.50,7785.50,7798.00,1898
2026-04-28T10:20:00+05:30,7797.50,7815.00,7797.50,7802.50,3170
2026-04-28T10:25:00+05:30,7807.50,7810.00,7796.00,7800.00,1688
2026-04-28T10:30:00+05:30,7800.00,7802.50,7782.00,7783.00,1951
2026-04-28T10:35:00+05:30,7783.00,7783.00,7777.00,7777.00,2426
2026-04-28T10:40:00+05:30,7777.00,7781.00,7767.50,7780.00,3287
2026-04-28T10:45:00+05:30,7779.50,7782.00,7771.50,7774.50,4118
2026-04-28T10:50:00+05:30,7774.50,7775.00,7772.00,7775.00,2942
2026-04-28T10:55:00+05:30,7775.00,7775.00,7769.00,7771.00,12389
2026-04-28T11:00:00+05:30,7771.50,7773.00,7769.00,7772.50,1234
2026-04-28T11:05:00+05:30,7772.50,7773.00,7758.00,7758.00,3006
2026-04-28T11:10:00+05:30,7758.00,7766.50,7757.50,7766.00,1545
2026-04-28T11:15:00+05:30,7766.50,7769.50,7760.50,7760.50,1471
2026-04-28T11:20:00+05:30,7760.50,7773.50,7760.50,7769.00,1534
2026-04-28T11:25:00+05:30,7769.50,7770.00,7752.50,7753.50,1985
2026-04-28T11:30:00+05:30,7751.00,7757.50,7750.00,7753.50,2418
2026-04-28T11:35:00+05:30,7751.00,7757.00,7751.00,7754.00,1405
2026-04-28T11:40:00+05:30,7755.50,7758.00,7754.00,7757.00,1428
2026-04-28T11:45:00+05:30,7757.00,7761.50,7756.00,7756.00,1943
2026-04-28T11:50:00+05:30,7756.00,7756.50,7754.00,7754.00,1561
2026-04-28T11:55:00+05:30,7754.00,7754.00,7743.50,7746.50,3129
2026-04-28T12:00:00+05:30,7746.50,7748.50,7738.50,7738.50,2929
2026-04-28T12:05:00+05:30,7740.00,7740.00,7727.00,7727.00,4111
2026-04-28T12:10:00+05:30,7727.00,7730.00,7723.00,7724.00,5282
2026-04-28T12:15:00+05:30,7725.00,7734.50,7725.00,7729.00,6792
2026-04-28T12:20:00+05:30,7726.50,7738.50,7711.00,7738.50,9018
2026-04-28T12:25:00+05:30,7738.50,7748.50,7731.50,7748.50,3017
2026-04-28T12:30:00+05:30,7748.50,7750.00,7743.50,7747.00,2024
