ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,426.00,428.95,426.00,427.20,0
2026-04-27T09:20:00+05:30,427.40,428.80,427.25,427.25,4323
2026-04-27T09:25:00+05:30,427.20,428.15,427.00,427.80,8038
2026-04-27T09:30:00+05:30,428.30,429.45,427.80,427.80,20855
2026-04-27T09:35:00+05:30,427.75,428.65,427.40,428.00,5516
2026-04-27T09:40:00+05:30,427.85,428.80,427.55,428.65,3243
2026-04-27T09:45:00+05:30,428.80,429.40,428.70,429.40,2832
2026-04-27T09:50:00+05:30,429.15,429.90,429.15,429.50,4581
2026-04-27T09:55:00+05:30,429.70,429.90,429.50,429.70,2442
2026-04-27T10:00:00+05:30,429.50,429.70,429.25,429.25,1451
2026-04-27T10:05:00+05:30,429.10,429.55,428.20,429.30,9262
2026-04-27T10:10:00+05:30,429.05,429.30,428.55,428.75,1342
2026-04-27T10:15:00+05:30,428.70,429.25,428.65,429.25,975
2026-04-27T10:20:00+05:30,429.00,429.20,428.90,429.00,568
2026-04-27T10:25:00+05:30,428.85,429.00,428.60,428.90,2053
2026-04-27T10:30:00+05:30,428.95,429.00,428.80,429.00,971
2026-04-27T10:35:00+05:30,429.10,429.50,429.00,429.50,1862
2026-04-27T10:40:00+05:30,429.10,429.40,429.10,429.30,440
2026-04-27T10:45:00+05:30,429.00,429.80,429.00,429.65,2496
2026-04-27T10:50:00+05:30,429.75,430.00,429.65,429.95,6034
2026-04-27T10:55:00+05:30,429.80,429.95,429.45,429.85,1720
2026-04-27T11:00:00+05:30,429.75,429.75,428.80,429.45,2315
2026-04-27T11:05:00+05:30,429.45,429.50,429.00,429.15,1099
2026-04-27T11:10:00+05:30,429.20,430.00,429.10,429.90,9648
2026-04-27T11:15:00+05:30,429.90,430.00,429.75,429.90,764
2026-04-27T11:20:00+05:30,429.90,430.00,429.85,430.00,1006
2026-04-27T11:25:00+05:30,430.00,430.00,429.55,429.60,2818
2026-04-27T11:30:00+05:30,429.80,429.80,429.30,429.30,775
2026-04-27T11:35:00+05:30,429.15,429.30,429.00,429.25,1531
2026-04-27T11:40:00+05:30,429.05,429.25,429.00,429.15,339
2026-04-27T11:45:00+05:30,429.05,429.25,429.00,429.20,573
2026-04-27T11:50:00+05:30,429.20,429.50,429.00,429.00,1354
2026-04-27T11:55:00+05:30,429.30,429.50,429.05,429.30,523
2026-04-27T12:00:00+05:30,429.35,429.60,429.35,429.60,776
2026-04-27T12:05:00+05:30,429.60,429.75,429.35,429.35,467
2026-04-27T12:10:00+05:30,429.60,429.60,429.05,429.50,1808
2026-04-27T12:15:00+05:30,429.50,430.00,429.45,429.80,1958
2026-04-27T12:20:00+05:30,429.80,430.00,429.65,429.90,1012
2026-04-27T12:25:00+05:30,429.90,430.25,427.80,428.05,34781
2026-04-27T12:30:00+05:30,428.15,428.30,427.75,427.95,3607
2026-04-27T12:35:00+05:30,428.00,428.00,427.65,427.80,1222
2026-04-27T12:40:00+05:30,427.25,427.25,425.75,426.50,11667
2026-04-27T12:45:00+05:30,426.00,426.95,425.95,426.00,25514
2026-04-27T12:50:00+05:30,426.00,426.50,425.95,426.35,3488
2026-04-27T12:55:00+05:30,426.30,426.65,425.95,426.05,3110
2026-04-27T13:00:00+05:30,426.05,426.25,425.95,426.10,2645
2026-04-27T13:05:00+05:30,426.00,426.55,426.00,426.55,2831
