ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,170.85,171.45,169.70,170.10,0
2026-04-27T09:20:00+05:30,170.00,170.70,170.00,170.05,261110
2026-04-27T09:25:00+05:30,170.05,170.05,168.95,169.00,530339
2026-04-27T09:30:00+05:30,169.15,169.35,168.70,168.70,312818
2026-04-27T09:35:00+05:30,168.60,168.90,167.75,168.30,479929
2026-04-27T09:40:00+05:30,168.25,168.75,168.05,168.50,235870
2026-04-27T09:45:00+05:30,168.50,169.00,168.45,168.95,192554
2026-04-27T09:50:00+05:30,169.00,169.45,168.95,169.45,234030
2026-04-27T09:55:00+05:30,169.45,169.65,169.35,169.40,225745
2026-04-27T10:00:00+05:30,169.40,169.50,168.95,168.95,181792
2026-04-27T10:05:00+05:30,168.95,169.00,168.55,168.90,154836
2026-04-27T10:10:00+05:30,168.95,169.45,168.90,169.35,156229
2026-04-27T10:15:00+05:30,169.30,169.95,169.30,169.90,260493
2026-04-27T10:20:00+05:30,169.85,169.85,169.50,169.80,94876
2026-04-27T10:25:00+05:30,169.80,169.90,169.55,169.85,101714
2026-04-27T10:30:00+05:30,169.85,169.90,169.00,169.15,186119
2026-04-27T10:35:00+05:30,169.10,169.35,169.05,169.35,79494
2026-04-27T10:40:00+05:30,169.30,169.70,169.15,169.15,92020
2026-04-27T10:45:00+05:30,169.10,169.25,168.85,169.20,154803
2026-04-27T10:50:00+05:30,169.20,169.40,169.15,169.35,56083
2026-04-27T10:55:00+05:30,169.35,169.55,169.30,169.35,80063
2026-04-27T11:00:00+05:30,169.35,169.70,169.30,169.65,81741
2026-04-27T11:05:00+05:30,169.65,169.85,169.10,169.15,129885
2026-04-27T11:10:00+05:30,169.15,169.40,169.10,169.35,91209
2026-04-27T11:15:00+05:30,169.35,169.55,169.10,169.25,155418
2026-04-27T11:20:00+05:30,169.25,169.45,169.15,169.20,66734
2026-04-27T11:25:00+05:30,169.20,169.35,169.15,169.30,60203
2026-04-27T11:30:00+05:30,169.25,169.35,169.00,169.05,68036
2026-04-27T11:35:00+05:30,169.00,169.05,168.60,168.85,157852
2026-04-27T11:40:00+05:30,168.85,169.20,168.80,168.90,73810
2026-04-27T11:45:00+05:30,168.85,169.10,168.65,169.10,98442
2026-04-27T11:50:00+05:30,169.10,169.10,168.80,168.95,54073
2026-04-27T11:55:00+05:30,168.95,169.00,168.75,168.90,64180
2026-04-27T12:00:00+05:30,168.85,168.90,168.60,168.90,105376
2026-04-27T12:05:00+05:30,168.85,168.90,168.65,168.85,77493
2026-04-27T12:10:00+05:30,168.75,169.05,168.75,169.05,57801
2026-04-27T12:15:00+05:30,169.05,169.50,169.00,169.20,107819
2026-04-27T12:20:00+05:30,169.20,169.20,168.85,169.00,68973
2026-04-27T12:25:00+05:30,169.00,169.15,168.90,169.00,63650
2026-04-27T12:30:00+05:30,169.00,169.50,169.00,169.40,138444
2026-04-27T12:35:00+05:30,169.45,169.75,169.45,169.60,128257
2026-04-27T12:40:00+05:30,169.60,169.90,169.55,169.85,121756
2026-04-27T12:45:00+05:30,169.80,169.90,169.75,169.80,80698
2026-04-27T12:50:00+05:30,169.80,170.10,169.70,170.00,146017
2026-04-27T12:55:00+05:30,170.00,170.30,170.00,170.30,137003
2026-04-27T13:00:00+05:30,170.30,170.55,170.30,170.45,180971
2026-04-27T13:05:00+05:30,170.45,170.70,170.20,170.70,147768
2026-04-27T13:10:00+05:30,170.70,170.75,170.40,170.50,96709
2026-04-27T13:15:00+05:30,170.50,170.60,170.30,170.35,74433
2026-04-27T13:20:00+05:30,170.35,170.40,170.25,170.40,46258
2026-04-27T13:25:00+05:30,170.35,170.40,170.10,170.15,74766
2026-04-27T13:30:00+05:30,170.10,170.30,170.05,170.20,132452
2026-04-27T13:35:00+05:30,170.25,170.35,170.10,170.20,64739
2026-04-27T13:40:00+05:30,170.15,170.25,169.80,169.95,180446
2026-04-27T13:45:00+05:30,170.00,170.00,169.70,169.75,71775
2026-04-27T13:50:00+05:30,169.75,170.20,169.75,170.10,73573
2026-04-27T13:55:00+05:30,170.10,170.20,170.05,170.10,193481
2026-04-27T14:00:00+05:30,170.10,170.25,170.05,170.20,235979
2026-04-27T14:05:00+05:30,170.20,170.25,169.85,169.90,161132
2026-04-27T14:10:00+05:30,169.85,170.20,169.85,170.05,239394
2026-04-27T14:15:00+05:30,170.05,170.05,169.80,169.85,276000
2026-04-27T14:20:00+05:30,169.85,169.95,169.70,169.90,68234
2026-04-27T14:25:00+05:30,169.90,169.95,169.65,169.70,79065
2026-04-27T14:30:00+05:30,169.65,169.80,169.65,169.70,82643
2026-04-27T14:35:00+05:30,169.65,170.00,169.60,169.95,76327
2026-04-27T14:40:00+05:30,169.95,170.20,169.85,170.10,101685
2026-04-27T14:45:00+05:30,170.10,170.20,170.00,170.10,93686
2026-04-27T14:50:00+05:30,170.15,170.20,170.00,170.00,140695
2026-04-27T14:55:00+05:30,169.95,170.35,169.95,170.15,276313
2026-04-27T15:00:00+05:30,170.10,170.10,169.20,169.60,881109
2026-04-27T15:05:00+05:30,169.65,169.65,169.25,169.40,659980
2026-04-27T15:10:00+05:30,169.40,169.45,169.20,169.30,615504
2026-04-27T15:15:00+05:30,169.25,169.35,168.95,169.05,659786
2026-04-27T15:20:00+05:30,169.20,169.25,168.90,169.05,875279
2026-04-27T15:25:00+05:30,169.10,169.95,169.05,169.70,534902
2026-04-28T09:15:00+05:30,169.25,171.25,168.35,171.10,0
2026-04-28T09:20:00+05:30,170.90,171.00,169.90,170.05,352314
2026-04-28T09:25:00+05:30,170.00,170.30,169.95,170.10,196372
2026-04-28T09:30:00+05:30,170.15,170.70,170.10,170.35,285196
2026-04-28T09:35:00+05:30,170.30,170.75,170.10,170.75,232592
2026-04-28T09:40:00+05:30,170.75,171.05,170.75,170.95,248060
2026-04-28T09:45:00+05:30,171.00,171.20,170.80,170.80,276418
2026-04-28T09:50:00+05:30,170.85,171.60,170.80,171.35,451813
2026-04-28T09:55:00+05:30,171.35,171.85,171.30,171.80,461419
2026-04-28T10:00:00+05:30,171.80,171.85,171.10,171.10,236387
2026-04-28T10:05:00+05:30,171.10,171.20,170.90,171.15,168752
2026-04-28T10:10:00+05:30,171.15,171.45,170.75,170.85,198673
2026-04-28T10:15:00+05:30,170.85,170.90,170.55,170.65,127727
2026-04-28T10:20:00+05:30,170.75,170.75,170.25,170.35,170427
2026-04-28T10:25:00+05:30,170.35,170.75,170.25,170.65,235205
2026-04-28T10:30:00+05:30,170.65,170.70,170.25,170.30,127243
2026-04-28T10:35:00+05:30,170.25,170.35,170.10,170.15,76667
2026-04-28T10:40:00+05:30,170.15,170.35,170.10,170.20,86980
2026-04-28T10:45:00+05:30,170.20,170.30,170.15,170.15,54134
2026-04-28T10:50:00+05:30,170.20,170.25,170.15,170.20,76235
2026-04-28T10:55:00+05:30,170.20,170.25,170.00,170.10,94591
2026-04-28T11:00:00+05:30,170.15,170.30,170.05,170.10,71361
