ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2493.90,2512.30,2491.80,2508.40,0
2026-04-27T09:20:00+05:30,2508.50,2514.00,2505.40,2508.40,11922
2026-04-27T09:25:00+05:30,2509.10,2513.70,2505.60,2512.40,8180
2026-04-27T09:30:00+05:30,2511.40,2515.00,2507.00,2507.30,9283
2026-04-27T09:35:00+05:30,2507.60,2510.80,2501.20,2501.20,5002
2026-04-27T09:40:00+05:30,2503.00,2505.00,2500.00,2504.40,5742
2026-04-27T09:45:00+05:30,2506.00,2509.50,2504.80,2507.40,7875
2026-04-27T09:50:00+05:30,2508.00,2519.50,2508.00,2518.00,12361
2026-04-27T09:55:00+05:30,2517.60,2519.80,2515.00,2518.00,5035
2026-04-27T10:00:00+05:30,2518.00,2518.00,2510.80,2510.80,3940
2026-04-27T10:05:00+05:30,2511.40,2511.40,2508.60,2509.40,3702
2026-04-27T10:10:00+05:30,2509.60,2509.60,2504.30,2507.10,4091
2026-04-27T10:15:00+05:30,2507.20,2513.00,2507.20,2510.50,4527
2026-04-27T10:20:00+05:30,2511.10,2511.80,2504.90,2506.00,2128
2026-04-27T10:25:00+05:30,2505.70,2507.20,2504.00,2505.70,3840
2026-04-27T10:30:00+05:30,2505.70,2505.70,2500.50,2501.10,5488
2026-04-27T10:35:00+05:30,2502.00,2502.30,2498.30,2502.30,5324
2026-04-27T10:40:00+05:30,2502.00,2506.40,2502.00,2505.90,4156
2026-04-27T10:45:00+05:30,2505.60,2507.50,2500.90,2506.20,6399
2026-04-27T10:50:00+05:30,2506.80,2507.10,2504.50,2506.40,3392
2026-04-27T10:55:00+05:30,2506.30,2508.00,2501.60,2501.60,3509
2026-04-27T11:00:00+05:30,2502.70,2502.90,2498.10,2499.00,4567
2026-04-27T11:05:00+05:30,2499.50,2500.30,2492.40,2492.70,10350
2026-04-27T11:10:00+05:30,2491.80,2498.30,2491.80,2496.60,4944
2026-04-27T11:15:00+05:30,2497.00,2499.80,2495.00,2495.40,7698
2026-04-27T11:20:00+05:30,2495.40,2495.70,2491.20,2493.90,5477
2026-04-27T11:25:00+05:30,2493.90,2493.90,2490.60,2491.00,3768
2026-04-27T11:30:00+05:30,2491.40,2493.80,2487.10,2488.20,4813
2026-04-27T11:35:00+05:30,2487.70,2488.50,2483.40,2485.70,7420
2026-04-27T11:40:00+05:30,2487.20,2488.70,2485.80,2486.70,2823
2026-04-27T11:45:00+05:30,2486.60,2492.60,2484.50,2491.00,10490
2026-04-27T11:50:00+05:30,2489.10,2491.70,2488.40,2490.80,3032
2026-04-27T11:55:00+05:30,2489.00,2495.00,2488.20,2493.60,5718
2026-04-27T12:00:00+05:30,2493.90,2493.90,2487.50,2488.90,3906
2026-04-27T12:05:00+05:30,2487.80,2491.80,2486.40,2487.50,4721
2026-04-27T12:10:00+05:30,2486.50,2486.80,2481.10,2482.00,4426
2026-04-27T12:15:00+05:30,2481.10,2482.20,2476.50,2481.10,10708
2026-04-27T12:20:00+05:30,2481.00,2483.80,2477.30,2482.70,4749
2026-04-27T12:25:00+05:30,2482.70,2485.60,2482.40,2485.40,5063
2026-04-27T12:30:00+05:30,2485.50,2486.80,2480.10,2482.90,8711
2026-04-27T12:35:00+05:30,2482.90,2485.00,2481.90,2484.90,4610
