ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1394.30,1421.10,1390.50,1417.70,0
2026-04-27T09:20:00+05:30,1418.00,1422.00,1416.70,1416.70,23074
2026-04-27T09:25:00+05:30,1416.00,1417.30,1405.30,1408.60,18493
2026-04-27T09:30:00+05:30,1409.30,1413.90,1408.50,1413.90,29333
2026-04-27T09:35:00+05:30,1413.90,1419.20,1413.90,1419.20,13760
2026-04-27T09:40:00+05:30,1419.00,1426.50,1418.70,1425.90,14656
2026-04-27T09:45:00+05:30,1426.00,1431.20,1425.90,1430.80,20045
2026-04-27T09:50:00+05:30,1429.30,1432.80,1428.00,1432.60,33054
2026-04-27T09:55:00+05:30,1432.30,1432.50,1429.30,1430.30,10065
2026-04-27T10:00:00+05:30,1430.90,1430.90,1427.70,1429.00,6566
2026-04-27T10:05:00+05:30,1428.60,1429.50,1423.40,1424.20,4545
2026-04-27T10:10:00+05:30,1424.10,1424.60,1418.90,1419.10,13735
2026-04-27T10:15:00+05:30,1418.80,1421.80,1418.80,1421.10,3326
2026-04-27T10:20:00+05:30,1421.00,1421.30,1418.70,1419.30,5188
2026-04-27T10:25:00+05:30,1419.40,1420.00,1418.40,1420.00,5763
2026-04-27T10:30:00+05:30,1420.30,1421.30,1419.40,1420.40,6391
2026-04-27T10:35:00+05:30,1421.30,1421.30,1415.00,1415.30,17055
2026-04-27T10:40:00+05:30,1415.70,1419.20,1415.50,1417.50,3799
2026-04-27T10:45:00+05:30,1417.00,1418.40,1416.00,1418.30,11928
2026-04-27T10:50:00+05:30,1418.40,1419.70,1417.30,1419.70,3807
2026-04-27T10:55:00+05:30,1418.60,1420.00,1416.20,1416.60,6988
2026-04-27T11:00:00+05:30,1416.80,1418.40,1416.20,1417.90,4261
2026-04-27T11:05:00+05:30,1417.60,1417.90,1416.00,1416.40,1946
2026-04-27T11:10:00+05:30,1416.60,1419.00,1416.40,1416.90,3911
2026-04-27T11:15:00+05:30,1416.60,1418.70,1415.30,1416.60,6270
2026-04-27T11:20:00+05:30,1416.40,1418.30,1415.00,1418.10,3801
