ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1783.90,1794.80,1778.10,1779.70,0
2026-04-27T09:20:00+05:30,1779.70,1786.90,1779.70,1783.60,22111
2026-04-27T09:25:00+05:30,1784.30,1785.40,1780.00,1781.90,12501
2026-04-27T09:30:00+05:30,1782.60,1783.80,1775.80,1775.80,14787
2026-04-27T09:35:00+05:30,1775.10,1778.20,1772.80,1776.40,18975
2026-04-27T09:40:00+05:30,1777.10,1780.40,1777.10,1780.00,22570
2026-04-27T09:45:00+05:30,1779.40,1782.90,1778.30,1780.10,45578
2026-04-27T09:50:00+05:30,1779.80,1780.20,1777.80,1779.40,60699
2026-04-27T09:55:00+05:30,1779.70,1780.00,1778.50,1779.60,26869
2026-04-27T10:00:00+05:30,1779.50,1780.00,1777.80,1777.80,18009
2026-04-27T10:05:00+05:30,1777.00,1777.00,1774.00,1774.60,12008
2026-04-27T10:10:00+05:30,1774.20,1774.80,1770.60,1770.60,15761
2026-04-27T10:15:00+05:30,1769.90,1773.40,1769.90,1773.00,11689
2026-04-27T10:20:00+05:30,1773.00,1773.00,1769.10,1769.10,9931
2026-04-27T10:25:00+05:30,1768.80,1769.40,1766.20,1767.40,19173
2026-04-27T10:30:00+05:30,1767.60,1767.70,1765.50,1766.40,10965
2026-04-27T10:35:00+05:30,1766.90,1767.90,1765.60,1765.70,23625
2026-04-27T10:40:00+05:30,1765.80,1775.40,1765.80,1775.20,14535
2026-04-27T10:45:00+05:30,1775.00,1777.20,1772.90,1776.00,14470
2026-04-27T10:50:00+05:30,1776.40,1778.50,1775.50,1777.80,10220
2026-04-27T10:55:00+05:30,1778.20,1779.00,1777.30,1778.00,15231
2026-04-27T11:00:00+05:30,1777.90,1778.20,1774.10,1774.10,22735
2026-04-27T11:05:00+05:30,1774.10,1774.90,1772.20,1772.30,12379
2026-04-27T11:10:00+05:30,1772.90,1775.40,1772.40,1775.40,9961
2026-04-27T11:15:00+05:30,1775.80,1780.70,1775.80,1778.20,25143
2026-04-27T11:20:00+05:30,1778.20,1779.40,1773.90,1774.80,11114
2026-04-27T11:25:00+05:30,1774.80,1774.90,1773.40,1774.50,4480
2026-04-27T11:30:00+05:30,1774.50,1774.90,1770.80,1771.50,11314
2026-04-27T11:35:00+05:30,1771.00,1771.40,1768.20,1770.10,15126
2026-04-27T11:40:00+05:30,1770.40,1771.60,1768.50,1771.30,11324
2026-04-27T11:45:00+05:30,1770.80,1774.80,1770.30,1772.90,13755
2026-04-27T11:50:00+05:30,1773.20,1773.20,1769.80,1770.60,7988
2026-04-27T11:55:00+05:30,1770.40,1771.30,1768.80,1770.00,35396
2026-04-27T12:00:00+05:30,1770.30,1770.30,1768.00,1769.10,11313
2026-04-27T12:05:00+05:30,1769.40,1771.30,1767.30,1767.80,9084
2026-04-27T12:10:00+05:30,1767.30,1768.90,1767.30,1768.40,7528
2026-04-27T12:15:00+05:30,1768.20,1769.90,1767.10,1769.00,13396
2026-04-27T12:20:00+05:30,1768.70,1768.90,1767.00,1767.40,6502
2026-04-27T12:25:00+05:30,1767.40,1769.90,1767.40,1768.50,12156
2026-04-27T12:30:00+05:30,1768.50,1772.80,1768.20,1772.80,4660
2026-04-27T12:35:00+05:30,1772.50,1774.50,1770.50,1770.60,22623
2026-04-27T12:40:00+05:30,1771.20,1773.90,1769.90,1773.20,10769
2026-04-27T12:45:00+05:30,1773.20,1775.80,1771.60,1773.70,11849
2026-04-27T12:50:00+05:30,1773.20,1775.00,1772.40,1773.40,3917
2026-04-27T12:55:00+05:30,1773.90,1774.20,1771.80,1772.10,5356
2026-04-27T13:00:00+05:30,1772.00,1774.50,1769.60,1770.50,52729
2026-04-27T13:05:00+05:30,1769.90,1770.20,1768.00,1770.20,5976
2026-04-27T13:10:00+05:30,1770.00,1770.50,1768.30,1770.00,26153
2026-04-27T13:15:00+05:30,1770.30,1775.30,1770.00,1774.00,42159
2026-04-27T13:20:00+05:30,1774.60,1775.50,1772.90,1774.30,9126
2026-04-27T13:25:00+05:30,1773.90,1775.10,1773.00,1773.70,4581
2026-04-27T13:30:00+05:30,1773.50,1775.70,1773.20,1775.00,7129
2026-04-27T13:35:00+05:30,1774.90,1777.20,1774.90,1775.80,11867
2026-04-27T13:40:00+05:30,1775.50,1776.60,1775.10,1775.10,9146
2026-04-27T13:45:00+05:30,1775.10,1778.60,1775.10,1775.80,10949
2026-04-27T13:50:00+05:30,1776.00,1777.50,1775.00,1776.90,6556
2026-04-27T13:55:00+05:30,1776.30,1776.80,1775.00,1776.00,12445
