ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,924.70,924.70,916.40,917.85,0
2026-04-27T09:20:00+05:30,917.85,923.10,917.85,921.45,228777
2026-04-27T09:25:00+05:30,921.30,921.75,918.95,920.00,118895
2026-04-27T09:30:00+05:30,920.50,920.55,917.60,917.90,97513
2026-04-27T09:35:00+05:30,917.75,920.05,917.00,919.95,196802
2026-04-27T09:40:00+05:30,919.75,921.50,919.30,919.50,109914
2026-04-27T09:45:00+05:30,919.55,920.55,919.35,919.90,150229
2026-04-27T09:50:00+05:30,919.95,921.80,919.75,921.60,89873
2026-04-27T09:55:00+05:30,921.75,922.45,919.00,919.35,191723
2026-04-27T10:00:00+05:30,919.05,919.50,918.55,919.05,43765
2026-04-27T10:05:00+05:30,918.75,918.75,916.65,917.60,96994
2026-04-27T10:10:00+05:30,917.75,918.00,913.50,913.95,88940
2026-04-27T10:15:00+05:30,913.75,915.95,913.35,915.95,52756
2026-04-27T10:20:00+05:30,915.95,915.95,913.20,913.25,48428
2026-04-27T10:25:00+05:30,913.30,913.40,910.50,912.20,117602
2026-04-27T10:30:00+05:30,912.20,912.40,909.65,910.25,104496
2026-04-27T10:35:00+05:30,910.25,910.85,908.35,908.95,224619
2026-04-27T10:40:00+05:30,909.00,915.65,909.00,915.50,100464
2026-04-27T10:45:00+05:30,915.45,918.45,914.85,918.20,110763
2026-04-27T10:50:00+05:30,918.15,920.65,917.80,919.75,247191
2026-04-27T10:55:00+05:30,919.75,920.85,919.00,919.50,64319
2026-04-27T11:00:00+05:30,919.40,921.75,919.25,921.20,72675
2026-04-27T11:05:00+05:30,921.30,921.60,919.85,920.50,80665
2026-04-27T11:10:00+05:30,920.65,922.00,920.15,922.00,78400
2026-04-27T11:15:00+05:30,921.80,925.60,921.80,922.95,176605
2026-04-27T11:20:00+05:30,922.95,924.20,921.20,921.70,98292
2026-04-27T11:25:00+05:30,921.65,922.90,921.35,922.55,47536
2026-04-27T11:30:00+05:30,922.30,923.00,919.10,919.85,165973
2026-04-27T11:35:00+05:30,919.65,919.95,917.60,918.60,129486
2026-04-27T11:40:00+05:30,918.60,920.90,918.25,920.50,187075
2026-04-27T11:45:00+05:30,920.30,922.00,919.60,921.35,46091
2026-04-27T11:50:00+05:30,921.35,921.85,919.50,920.30,57909
2026-04-27T11:55:00+05:30,920.05,921.30,919.45,920.85,128195
2026-04-27T12:00:00+05:30,920.65,921.50,919.65,921.35,47011
2026-04-27T12:05:00+05:30,921.25,923.20,920.95,922.55,47633
2026-04-27T12:10:00+05:30,922.55,922.95,921.10,922.05,29231
2026-04-27T12:15:00+05:30,922.05,922.15,920.20,921.00,46791
2026-04-27T12:20:00+05:30,920.95,920.95,919.30,920.30,29296
2026-04-27T12:25:00+05:30,920.30,921.50,919.95,921.00,27218
2026-04-27T12:30:00+05:30,920.85,922.85,920.85,922.80,52637
2026-04-27T12:35:00+05:30,922.80,922.90,921.75,922.25,46419
2026-04-27T12:40:00+05:30,922.15,922.60,921.20,921.95,24252
2026-04-27T12:45:00+05:30,921.75,922.80,921.70,922.80,26103
2026-04-27T12:50:00+05:30,922.80,922.80,921.05,921.05,27068
2026-04-27T12:55:00+05:30,921.00,921.35,918.80,919.20,37790
2026-04-27T13:00:00+05:30,919.20,921.75,919.20,921.45,22549
2026-04-27T13:05:00+05:30,921.60,922.00,920.05,922.00,53599
2026-04-27T13:10:00+05:30,921.85,922.30,920.30,922.00,59477
2026-04-27T13:15:00+05:30,921.90,924.35,921.90,923.55,69284
2026-04-27T13:20:00+05:30,923.50,924.90,923.10,924.05,77711
2026-04-27T13:25:00+05:30,924.15,924.60,923.10,923.30,33026
2026-04-27T13:30:00+05:30,923.30,923.80,922.70,923.75,30149
2026-04-27T13:35:00+05:30,923.80,925.40,923.50,923.95,106805
2026-04-27T13:40:00+05:30,923.55,926.90,923.35,926.90,163961
2026-04-27T13:45:00+05:30,926.90,928.90,926.70,928.10,182959
2026-04-27T13:50:00+05:30,928.15,928.95,926.90,928.50,82789
2026-04-27T13:55:00+05:30,928.15,928.50,927.50,928.50,36360
2026-04-27T14:00:00+05:30,928.45,928.50,927.05,927.85,28521
2026-04-27T14:05:00+05:30,927.75,928.55,927.15,927.35,24190
2026-04-27T14:10:00+05:30,927.35,927.95,926.10,926.90,55547
2026-04-27T14:15:00+05:30,926.90,926.90,925.15,926.15,156847
2026-04-27T14:20:00+05:30,926.15,926.50,924.60,925.75,79241
2026-04-27T14:25:00+05:30,925.65,926.15,924.50,925.00,130813
2026-04-27T14:30:00+05:30,924.90,924.90,923.50,923.95,71018
2026-04-27T14:35:00+05:30,924.15,924.25,922.30,923.00,371796
2026-04-27T14:40:00+05:30,922.80,924.50,922.35,924.50,96889
2026-04-27T14:45:00+05:30,924.50,925.00,923.30,924.60,60768
2026-04-27T14:50:00+05:30,924.65,925.00,923.10,923.50,34900
2026-04-27T14:55:00+05:30,923.45,924.65,923.40,924.40,114939
2026-04-27T15:00:00+05:30,924.25,924.25,921.45,922.00,112958
2026-04-27T15:05:00+05:30,921.55,922.25,920.00,922.15,188480
2026-04-27T15:10:00+05:30,922.10,922.65,921.15,921.20,144839
2026-04-27T15:15:00+05:30,920.90,921.65,920.50,920.80,145591
2026-04-27T15:20:00+05:30,921.05,923.45,920.80,922.85,174296
2026-04-27T15:25:00+05:30,922.90,924.00,920.60,924.00,190238
2026-04-28T09:15:00+05:30,921.85,924.50,915.75,923.80,0
2026-04-28T09:20:00+05:30,924.00,924.75,922.75,923.50,139860
2026-04-28T09:25:00+05:30,923.90,929.80,923.90,929.20,181763
2026-04-28T09:30:00+05:30,929.45,929.90,927.45,927.45,95267
2026-04-28T09:35:00+05:30,926.65,928.70,925.00,926.90,90723
2026-04-28T09:40:00+05:30,927.00,927.80,926.00,926.30,68520
2026-04-28T09:45:00+05:30,926.30,927.90,926.05,926.65,63704
2026-04-28T09:50:00+05:30,926.65,927.40,924.35,924.90,48948
2026-04-28T09:55:00+05:30,925.25,926.55,924.60,925.30,42965
2026-04-28T10:00:00+05:30,925.15,927.85,924.40,927.85,59512
2026-04-28T10:05:00+05:30,927.50,928.00,926.15,927.15,49070
2026-04-28T10:10:00+05:30,927.30,927.30,924.00,924.65,64507
2026-04-28T10:15:00+05:30,924.70,925.85,924.35,925.40,59357
2026-04-28T10:20:00+05:30,925.45,925.80,925.00,925.15,35389
2026-04-28T10:25:00+05:30,925.15,925.65,925.05,925.25,29778
2026-04-28T10:30:00+05:30,925.45,925.70,925.00,925.00,44801
2026-04-28T10:35:00+05:30,924.85,925.65,924.30,925.65,27673
2026-04-28T10:40:00+05:30,925.65,926.10,925.10,925.55,40211
2026-04-28T10:45:00+05:30,925.70,927.00,925.60,925.70,60558
2026-04-28T10:50:00+05:30,925.80,926.45,925.40,926.20,31644
2026-04-28T10:55:00+05:30,926.40,926.85,924.75,925.10,40324
2026-04-28T11:00:00+05:30,925.15,925.15,924.10,924.10,32297
2026-04-28T11:05:00+05:30,924.45,924.45,923.45,923.70,36261
2026-04-28T11:10:00+05:30,923.70,924.20,922.05,922.70,65382
2026-04-28T11:15:00+05:30,923.15,923.15,920.70,922.05,55980
2026-04-28T11:20:00+05:30,922.30,924.30,922.15,923.85,53996
2026-04-28T11:25:00+05:30,924.00,924.05,921.30,921.85,79140
2026-04-28T11:30:00+05:30,921.45,921.70,918.20,919.00,106883
2026-04-28T11:35:00+05:30,919.30,920.85,919.00,920.85,30606
2026-04-28T11:40:00+05:30,920.65,921.00,918.60,919.05,59102
2026-04-28T11:45:00+05:30,919.20,919.50,918.15,918.75,44524
2026-04-28T11:50:00+05:30,918.75,921.25,918.40,918.45,133894
2026-04-28T11:55:00+05:30,918.55,919.05,918.00,918.10,125246
2026-04-28T12:00:00+05:30,918.10,918.45,916.75,917.95,72239
2026-04-28T12:05:00+05:30,917.95,918.65,917.75,918.15,33956
2026-04-28T12:10:00+05:30,918.30,920.25,918.30,919.75,120761
2026-04-28T12:15:00+05:30,919.50,921.20,919.50,919.60,58813
2026-04-28T12:20:00+05:30,919.60,920.20,918.60,919.40,49310
2026-04-28T12:25:00+05:30,919.40,919.75,918.55,919.60,74338
2026-04-28T12:30:00+05:30,919.15,920.50,918.55,920.15,146429
2026-04-28T12:35:00+05:30,919.95,921.00,919.95,920.55,51123
2026-04-28T12:40:00+05:30,920.60,922.35,920.60,922.00,140209
2026-04-28T12:45:00+05:30,922.00,925.00,921.90,924.25,120967
2026-04-28T12:50:00+05:30,924.35,924.85,923.60,924.00,124419
2026-04-28T12:55:00+05:30,924.10,925.45,922.30,922.95,210313
2026-04-28T13:00:00+05:30,923.00,923.40,921.25,922.95,128321
2026-04-28T13:05:00+05:30,922.95,923.35,921.75,921.90,131855
2026-04-28T13:10:00+05:30,922.30,922.60,920.75,922.15,122922
2026-04-28T13:15:00+05:30,922.15,923.35,921.00,922.45,100007
2026-04-28T13:20:00+05:30,922.35,924.20,921.45,923.80,77210
2026-04-28T13:25:00+05:30,923.95,925.95,923.55,924.40,89349
2026-04-28T13:30:00+05:30,924.20,925.75,923.25,923.95,94103
2026-04-28T13:35:00+05:30,924.15,924.20,921.50,922.50,102631
