ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2251.40,2251.40,2222.20,2226.40,0
2026-04-27T09:20:00+05:30,2229.10,2237.90,2227.00,2233.00,3186
2026-04-27T09:25:00+05:30,2233.00,2237.60,2228.20,2231.20,836
2026-04-27T09:30:00+05:30,2235.10,2242.50,2235.10,2239.70,1226
2026-04-27T09:35:00+05:30,2239.70,2246.60,2239.60,2241.70,909
2026-04-27T09:40:00+05:30,2241.00,2245.90,2239.10,2243.30,1449
2026-04-27T09:45:00+05:30,2243.20,2249.80,2243.20,2247.10,960
2026-04-27T09:50:00+05:30,2253.50,2255.00,2250.50,2250.50,1200
2026-04-27T09:55:00+05:30,2250.10,2250.40,2246.10,2246.90,274
2026-04-27T10:00:00+05:30,2248.10,2248.70,2246.10,2246.20,226
2026-04-27T10:05:00+05:30,2246.20,2247.60,2244.10,2244.10,484
2026-04-27T10:10:00+05:30,2244.50,2246.60,2241.20,2244.00,334
2026-04-27T10:15:00+05:30,2242.40,2242.40,2235.70,2241.30,2639
2026-04-27T10:20:00+05:30,2239.40,2239.40,2229.20,2230.00,1474
2026-04-27T10:25:00+05:30,2231.10,2233.00,2230.00,2232.10,720
2026-04-27T10:30:00+05:30,2233.20,2234.80,2231.20,2231.20,235
2026-04-27T10:35:00+05:30,2233.60,2233.60,2224.00,2224.00,3600
2026-04-27T10:40:00+05:30,2223.70,2227.50,2222.30,2225.00,1172
2026-04-27T10:45:00+05:30,2224.00,2229.50,2223.90,2227.50,1318
2026-04-27T10:50:00+05:30,2228.80,2229.10,2226.60,2227.40,328
2026-04-27T10:55:00+05:30,2229.50,2229.50,2226.20,2226.20,699
2026-04-27T11:00:00+05:30,2227.10,2228.40,2224.80,2225.00,590
2026-04-27T11:05:00+05:30,2226.30,2226.30,2223.00,2223.30,588
2026-04-27T11:10:00+05:30,2224.20,2225.00,2224.20,2225.00,62
2026-04-27T11:15:00+05:30,2225.00,2225.10,2221.00,2223.60,2510
2026-04-27T11:20:00+05:30,2223.60,2224.90,2221.10,2224.00,396
2026-04-27T11:25:00+05:30,2224.00,2225.30,2221.70,2221.70,484
2026-04-27T11:30:00+05:30,2221.50,2222.30,2220.10,2221.20,200
2026-04-27T11:35:00+05:30,2221.20,2221.80,2220.00,2221.50,447
2026-04-27T11:40:00+05:30,2220.00,2222.50,2220.00,2222.50,499
2026-04-27T11:45:00+05:30,2222.00,2223.80,2220.20,2223.10,552
2026-04-27T11:50:00+05:30,2220.60,2222.60,2220.00,2222.40,249
2026-04-27T11:55:00+05:30,2222.30,2225.00,2221.10,2222.90,413
2026-04-27T12:00:00+05:30,2224.30,2224.40,2221.10,2222.90,368
2026-04-27T12:05:00+05:30,2224.00,2229.30,2223.00,2226.60,4303
2026-04-27T12:10:00+05:30,2226.20,2228.00,2225.00,2225.70,1618
2026-04-27T12:15:00+05:30,2230.00,2232.80,2225.00,2225.40,2846
2026-04-27T12:20:00+05:30,2225.30,2227.60,2225.00,2225.00,1489
2026-04-27T12:25:00+05:30,2227.90,2228.20,2225.00,2225.00,1615
2026-04-27T12:30:00+05:30,2226.30,2228.20,2225.00,2226.10,1643
2026-04-27T12:35:00+05:30,2226.00,2227.00,2225.00,2225.00,1445
2026-04-27T12:40:00+05:30,2226.50,2227.40,2225.00,2226.00,1430
2026-04-27T12:45:00+05:30,2227.90,2229.40,2225.30,2226.30,1898
2026-04-27T12:50:00+05:30,2226.20,2227.80,2225.20,2225.30,1622
2026-04-27T12:55:00+05:30,2225.30,2226.70,2225.00,2225.40,1172
2026-04-27T13:00:00+05:30,2225.60,2228.80,2225.00,2226.60,1597
2026-04-27T13:05:00+05:30,2226.50,2230.20,2225.30,2227.40,2058
2026-04-27T13:10:00+05:30,2227.30,2227.90,2225.30,2227.90,1164
2026-04-27T13:15:00+05:30,2226.20,2229.00,2225.00,2225.60,1526
2026-04-27T13:20:00+05:30,2226.00,2227.80,2225.00,2227.30,1340
2026-04-27T13:25:00+05:30,2227.30,2227.90,2225.10,2227.10,1219
2026-04-27T13:30:00+05:30,2227.10,2230.00,2225.00,2228.30,1746
2026-04-27T13:35:00+05:30,2231.20,2231.20,2225.20,2228.30,2645
2026-04-27T13:40:00+05:30,2225.90,2228.10,2225.20,2226.30,1587
2026-04-27T13:45:00+05:30,2226.40,2228.20,2225.20,2225.20,1457
2026-04-27T13:50:00+05:30,2225.10,2227.10,2224.60,2225.00,1406
2026-04-27T13:55:00+05:30,2226.30,2227.70,2224.50,2225.70,1797
2026-04-27T14:00:00+05:30,2226.50,2227.50,2225.70,2226.80,724
2026-04-27T14:05:00+05:30,2225.70,2227.70,2225.00,2225.00,1257
2026-04-27T14:10:00+05:30,2225.00,2226.00,2224.30,2225.00,355
2026-04-27T14:15:00+05:30,2225.00,2226.40,2224.60,2225.30,521
2026-04-27T14:20:00+05:30,2224.80,2225.20,2223.30,2225.00,496
2026-04-27T14:25:00+05:30,2225.00,2225.00,2223.20,2224.30,334
2026-04-27T14:30:00+05:30,2224.30,2224.80,2223.00,2224.00,493
2026-04-27T14:35:00+05:30,2224.00,2225.00,2223.20,2224.70,819
2026-04-27T14:40:00+05:30,2224.30,2225.00,2222.10,2223.50,643
2026-04-27T14:45:00+05:30,2223.50,2224.30,2222.30,2223.50,447
2026-04-27T14:50:00+05:30,2223.50,2225.00,2223.50,2224.50,647
2026-04-27T14:55:00+05:30,2225.00,2225.00,2223.00,2223.70,801
2026-04-27T15:00:00+05:30,2222.70,2223.50,2216.90,2221.00,3897
2026-04-27T15:05:00+05:30,2220.30,2221.70,2218.90,2221.70,1751
2026-04-27T15:10:00+05:30,2221.70,2223.00,2218.90,2222.40,3702
2026-04-27T15:15:00+05:30,2223.10,2223.10,2220.00,2222.30,3677
2026-04-27T15:20:00+05:30,2222.50,2235.40,2217.30,2225.00,8115
2026-04-27T15:25:00+05:30,2225.00,2227.90,2222.30,2226.60,8302
2026-04-28T09:15:00+05:30,2237.00,2247.60,2224.90,2236.30,0
2026-04-28T09:20:00+05:30,2236.10,2236.10,2226.00,2226.60,806
2026-04-28T09:25:00+05:30,2228.00,2229.90,2223.00,2223.00,2656
2026-04-28T09:30:00+05:30,2223.00,2223.00,2218.80,2222.90,1296
2026-04-28T09:35:00+05:30,2221.30,2221.30,2214.60,2219.40,1271
2026-04-28T09:40:00+05:30,2220.60,2223.50,2207.20,2209.80,1650
2026-04-28T09:45:00+05:30,2209.90,2212.30,2205.70,2209.40,1052
2026-04-28T09:50:00+05:30,2209.80,2210.00,2207.20,2209.90,261
2026-04-28T09:55:00+05:30,2209.90,2210.00,2196.10,2200.30,1971
2026-04-28T10:00:00+05:30,2199.60,2200.50,2197.90,2200.40,1210
2026-04-28T10:05:00+05:30,2197.50,2200.00,2197.50,2199.10,1741
2026-04-28T10:10:00+05:30,2199.40,2200.20,2198.70,2199.70,543
2026-04-28T10:15:00+05:30,2198.30,2200.70,2198.00,2199.70,1631
2026-04-28T10:20:00+05:30,2200.00,2200.90,2199.00,2200.00,2345
2026-04-28T10:25:00+05:30,2199.10,2200.00,2197.90,2198.30,1107
2026-04-28T10:30:00+05:30,2199.90,2199.90,2196.00,2199.00,802
2026-04-28T10:35:00+05:30,2198.60,2199.90,2197.20,2199.80,494
2026-04-28T10:40:00+05:30,2199.40,2199.80,2196.80,2198.20,252
2026-04-28T10:45:00+05:30,2197.90,2199.30,2197.50,2198.90,318
2026-04-28T10:50:00+05:30,2198.90,2203.00,2198.90,2200.60,457
2026-04-28T10:55:00+05:30,2201.60,2201.60,2198.60,2199.70,585
2026-04-28T11:00:00+05:30,2199.70,2200.30,2198.10,2199.00,480
2026-04-28T11:05:00+05:30,2199.00,2200.50,2197.10,2197.10,282
2026-04-28T11:10:00+05:30,2198.00,2200.50,2198.00,2200.00,171
2026-04-28T11:15:00+05:30,2200.50,2200.50,2200.00,2200.30,220
2026-04-28T11:20:00+05:30,2200.30,2201.40,2198.00,2198.00,291
2026-04-28T11:25:00+05:30,2199.00,2199.60,2197.10,2198.50,143
2026-04-28T11:30:00+05:30,2198.30,2200.30,2197.60,2199.10,442
2026-04-28T11:35:00+05:30,2199.70,2200.50,2197.70,2200.50,487
2026-04-28T11:40:00+05:30,2200.50,2200.50,2198.10,2200.20,531
2026-04-28T11:45:00+05:30,2200.20,2200.50,2197.60,2198.80,439
2026-04-28T11:50:00+05:30,2199.20,2200.50,2197.30,2200.30,119
2026-04-28T11:55:00+05:30,2198.50,2200.30,2196.10,2196.10,1194
2026-04-28T12:00:00+05:30,2196.70,2196.70,2190.70,2192.70,1345
2026-04-28T12:05:00+05:30,2192.60,2195.60,2191.10,2195.60,302
2026-04-28T12:10:00+05:30,2195.60,2196.20,2194.90,2195.00,237
2026-04-28T12:15:00+05:30,2195.00,2195.90,2192.70,2194.90,641
2026-04-28T12:20:00+05:30,2195.00,2196.80,2191.00,2196.80,2564
2026-04-28T12:25:00+05:30,2195.60,2196.20,2192.80,2194.60,3648
2026-04-28T12:30:00+05:30,2193.70,2195.30,2192.80,2195.00,125
2026-04-28T12:35:00+05:30,2195.30,2195.30,2193.00,2194.60,121
2026-04-28T12:40:00+05:30,2195.00,2195.00,2194.40,2195.00,108
2026-04-28T12:45:00+05:30,2195.00,2195.00,2194.00,2194.90,190
2026-04-28T12:50:00+05:30,2194.90,2195.00,2194.00,2195.00,179
2026-04-28T12:55:00+05:30,2195.00,2195.20,2193.50,2193.50,411
2026-04-28T13:00:00+05:30,2194.70,2195.00,2193.10,2195.00,471
2026-04-28T13:05:00+05:30,2195.00,2195.00,2194.00,2194.00,858
2026-04-28T13:10:00+05:30,2194.70,2195.00,2194.00,2194.20,520
2026-04-28T13:15:00+05:30,2194.20,2195.00,2193.50,2194.00,377
2026-04-28T13:20:00+05:30,2194.00,2194.30,2193.00,2193.20,156
2026-04-28T13:25:00+05:30,2193.20,2193.90,2192.10,2193.60,323
2026-04-28T13:30:00+05:30,2193.60,2194.30,2192.10,2193.70,244
2026-04-28T13:35:00+05:30,2193.70,2194.30,2192.40,2194.20,284
2026-04-28T13:40:00+05:30,2194.20,2194.20,2192.40,2192.40,316
2026-04-28T13:45:00+05:30,2193.90,2194.90,2192.40,2193.00,1652
2026-04-28T13:50:00+05:30,2192.70,2194.20,2190.70,2193.40,256
2026-04-28T13:55:00+05:30,2193.40,2194.00,2192.20,2193.50,764
2026-04-28T14:00:00+05:30,2193.40,2193.40,2192.20,2193.40,275
2026-04-28T14:05:00+05:30,2193.40,2193.40,2191.40,2193.00,297
2026-04-28T14:10:00+05:30,2193.00,2194.80,2191.60,2192.50,963
2026-04-28T14:15:00+05:30,2192.50,2193.10,2189.30,2189.90,1958
2026-04-28T14:20:00+05:30,2189.90,2190.00,2187.70,2187.90,430
2026-04-28T14:25:00+05:30,2187.90,2190.00,2187.20,2189.40,843
2026-04-28T14:30:00+05:30,2189.40,2190.00,2188.70,2190.00,443
2026-04-28T14:35:00+05:30,2189.70,2190.00,2188.20,2188.90,749
2026-04-28T14:40:00+05:30,2188.90,2190.00,2187.80,2189.90,428
2026-04-28T14:45:00+05:30,2189.90,2190.00,2188.40,2189.20,586
2026-04-28T14:50:00+05:30,2189.80,2190.00,2188.90,2189.80,3233
2026-04-28T14:55:00+05:30,2189.80,2190.00,2188.50,2189.20,529
2026-04-28T15:00:00+05:30,2189.60,2190.00,2189.60,2190.00,4690
2026-04-28T15:05:00+05:30,2190.00,2190.00,2189.90,2190.00,6211
2026-04-28T15:10:00+05:30,2190.00,2190.00,2189.40,2189.90,1680
2026-04-28T15:15:00+05:30,2190.00,2190.00,2189.30,2189.60,4041
2026-04-28T15:20:00+05:30,2189.60,2189.90,2187.10,2189.00,5507
2026-04-28T15:25:00+05:30,2189.60,2189.90,2187.00,2189.30,5367
2026-04-29T09:15:00+05:30,2216.00,2239.00,2204.50,2219.40,0
2026-04-29T09:20:00+05:30,2215.70,2219.90,2208.20,2219.50,2223
2026-04-29T09:25:00+05:30,2220.50,2222.60,2211.80,2218.90,1389
2026-04-29T09:30:00+05:30,2219.90,2227.90,2219.90,2222.30,1772
2026-04-29T09:35:00+05:30,2218.80,2221.20,2212.40,2216.40,801
2026-04-29T09:40:00+05:30,2216.90,2227.80,2214.70,2225.40,2050
