ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,275.50,276.80,275.45,275.45,0
2026-04-27T09:20:00+05:30,275.60,277.15,275.60,275.70,169413
2026-04-27T09:25:00+05:30,275.60,275.75,275.15,275.15,130890
2026-04-27T09:30:00+05:30,275.35,275.45,274.70,274.70,109282
2026-04-27T09:35:00+05:30,274.55,274.55,273.85,274.20,129908
2026-04-27T09:40:00+05:30,274.20,274.50,274.05,274.15,69707
2026-04-27T09:45:00+05:30,274.30,274.55,274.15,274.45,56408
2026-04-27T09:50:00+05:30,274.55,274.75,274.45,274.70,68776
2026-04-27T09:55:00+05:30,274.95,274.95,274.50,274.70,75446
2026-04-27T10:00:00+05:30,274.55,274.70,274.05,274.05,55582
2026-04-27T10:05:00+05:30,274.05,274.35,273.85,273.85,85738
2026-04-27T10:10:00+05:30,273.80,274.20,273.75,273.95,59011
2026-04-27T10:15:00+05:30,274.00,274.40,274.00,274.15,28044
2026-04-27T10:20:00+05:30,274.10,274.10,273.75,273.80,58028
2026-04-27T10:25:00+05:30,273.80,274.20,273.75,274.10,59438
2026-04-27T10:30:00+05:30,274.20,274.20,273.75,274.00,50187
2026-04-27T10:35:00+05:30,273.90,274.00,273.75,273.85,47616
2026-04-27T10:40:00+05:30,273.85,274.00,273.75,273.90,23767
2026-04-27T10:45:00+05:30,273.95,274.45,273.75,274.30,48167
2026-04-27T10:50:00+05:30,274.35,274.50,274.10,274.20,30555
2026-04-27T10:55:00+05:30,274.10,274.25,273.85,273.85,39542
2026-04-27T11:00:00+05:30,273.95,273.95,273.45,273.70,69725
2026-04-27T11:05:00+05:30,273.70,273.85,273.45,273.55,30239
2026-04-27T11:10:00+05:30,273.60,273.70,273.50,273.70,24486
2026-04-27T11:15:00+05:30,273.65,274.10,273.65,273.90,49687
2026-04-27T11:20:00+05:30,274.05,274.05,273.25,273.25,71443
2026-04-27T11:25:00+05:30,273.20,273.40,273.00,273.25,57976
2026-04-27T11:30:00+05:30,273.25,273.30,273.05,273.05,31635
2026-04-27T11:35:00+05:30,273.10,273.15,272.70,272.80,70807
2026-04-27T11:40:00+05:30,272.85,273.25,272.80,273.10,28150
2026-04-27T11:45:00+05:30,273.15,273.75,273.05,273.70,103752
2026-04-27T11:50:00+05:30,273.75,273.75,273.15,273.35,22973
2026-04-27T11:55:00+05:30,273.30,273.50,273.20,273.35,27805
2026-04-27T12:00:00+05:30,273.35,273.35,272.80,273.00,57773
2026-04-27T12:05:00+05:30,273.00,273.10,272.85,272.95,29417
2026-04-27T12:10:00+05:30,273.00,273.65,272.95,273.35,83191
2026-04-27T12:15:00+05:30,273.30,273.50,273.30,273.30,45377
2026-04-27T12:20:00+05:30,273.25,273.45,273.25,273.45,62778
