ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,445.70,448.20,445.35,446.50,0
2026-04-27T09:20:00+05:30,446.75,446.75,444.55,444.95,266230
2026-04-27T09:25:00+05:30,445.10,445.35,442.85,443.00,280302
2026-04-27T09:30:00+05:30,443.15,443.50,441.40,441.50,370297
2026-04-27T09:35:00+05:30,441.70,441.95,441.10,441.35,209580
2026-04-27T09:40:00+05:30,441.60,442.20,441.40,441.70,179696
2026-04-27T09:45:00+05:30,441.90,442.75,441.75,442.65,191268
2026-04-27T09:50:00+05:30,442.65,444.00,442.45,443.95,239895
2026-04-27T09:55:00+05:30,444.10,444.15,443.55,443.65,210929
2026-04-27T10:00:00+05:30,443.65,443.80,442.30,442.30,176744
2026-04-27T10:05:00+05:30,442.10,442.25,441.55,441.70,145814
2026-04-27T10:10:00+05:30,441.75,442.00,440.80,440.95,302781
2026-04-27T10:15:00+05:30,441.05,442.00,440.75,440.95,171457
2026-04-27T10:20:00+05:30,440.90,441.00,440.25,440.40,147280
2026-04-27T10:25:00+05:30,440.50,440.65,440.00,440.25,138894
2026-04-27T10:30:00+05:30,440.35,440.50,439.80,439.95,256887
2026-04-27T10:35:00+05:30,439.80,440.00,439.55,439.55,100201
2026-04-27T10:40:00+05:30,439.45,439.85,439.10,439.35,132629
2026-04-27T10:45:00+05:30,439.35,440.00,439.05,439.95,138534
2026-04-27T10:50:00+05:30,440.00,440.20,439.60,439.90,135487
2026-04-27T10:55:00+05:30,440.00,440.00,438.30,438.40,269577
2026-04-27T11:00:00+05:30,438.30,438.60,437.55,437.65,390739
2026-04-27T11:05:00+05:30,437.60,437.75,436.65,436.65,213537
2026-04-27T11:10:00+05:30,436.75,436.95,436.25,436.65,236913
2026-04-27T11:15:00+05:30,436.65,437.00,436.45,436.45,231959
2026-04-27T11:20:00+05:30,436.55,436.75,436.30,436.35,148750
2026-04-27T11:25:00+05:30,436.40,436.40,435.60,436.05,319349
2026-04-27T11:30:00+05:30,436.00,437.10,435.75,436.75,167575
2026-04-27T11:35:00+05:30,436.80,436.80,435.85,436.70,163799
2026-04-27T11:40:00+05:30,436.60,436.85,436.05,436.25,80858
2026-04-27T11:45:00+05:30,436.10,436.70,436.00,436.60,147003
2026-04-27T11:50:00+05:30,436.85,437.00,436.05,436.25,135441
2026-04-27T11:55:00+05:30,436.40,436.50,436.05,436.40,79109
2026-04-27T12:00:00+05:30,436.50,436.50,436.10,436.25,60774
2026-04-27T12:05:00+05:30,436.25,436.35,435.50,435.50,173548
2026-04-27T12:10:00+05:30,435.50,435.70,435.10,435.10,164969
2026-04-27T12:15:00+05:30,435.20,436.05,435.10,435.30,165983
2026-04-27T12:20:00+05:30,435.30,435.50,433.10,433.75,786027
2026-04-27T12:25:00+05:30,433.80,435.35,433.65,434.80,368248
2026-04-27T12:30:00+05:30,434.80,435.00,434.40,434.85,266600
2026-04-27T12:35:00+05:30,434.85,436.00,434.85,435.90,466212
2026-04-27T12:40:00+05:30,435.90,436.25,435.25,436.25,246064
2026-04-27T12:45:00+05:30,436.55,436.90,436.10,436.40,330577
2026-04-27T12:50:00+05:30,436.40,437.00,435.90,436.05,252988
2026-04-27T12:55:00+05:30,436.00,436.15,435.25,435.35,190063
2026-04-27T13:00:00+05:30,435.40,435.45,434.60,434.80,253747
2026-04-27T13:05:00+05:30,434.95,435.80,434.70,435.55,230421
2026-04-27T13:10:00+05:30,435.45,435.75,435.05,435.35,191349
2026-04-27T13:15:00+05:30,435.70,436.85,435.45,436.50,306873
2026-04-27T13:20:00+05:30,436.60,436.70,436.00,436.55,216275
2026-04-27T13:25:00+05:30,436.60,437.30,436.45,436.80,269696
2026-04-27T13:30:00+05:30,436.80,437.00,436.10,436.85,244733
2026-04-27T13:35:00+05:30,436.90,437.05,436.25,436.25,200426
2026-04-27T13:40:00+05:30,436.25,436.65,436.10,436.30,189040
2026-04-27T13:45:00+05:30,436.30,436.60,436.00,436.20,195688
2026-04-27T13:50:00+05:30,436.20,436.30,435.55,435.80,234302
2026-04-27T13:55:00+05:30,436.00,436.25,435.75,436.00,192281
2026-04-27T14:00:00+05:30,435.90,436.65,435.75,436.00,195770
2026-04-27T14:05:00+05:30,436.15,436.15,435.50,435.90,170292
2026-04-27T14:10:00+05:30,435.90,436.00,435.50,435.65,190841
2026-04-27T14:15:00+05:30,435.65,436.15,435.50,435.50,161996
2026-04-27T14:20:00+05:30,435.50,435.85,435.25,435.40,210838
2026-04-27T14:25:00+05:30,435.30,435.80,435.15,435.50,192864
2026-04-27T14:30:00+05:30,435.35,435.75,435.30,435.55,172524
2026-04-27T14:35:00+05:30,435.60,436.60,435.45,436.25,216649
2026-04-27T14:40:00+05:30,436.40,436.75,436.10,436.65,216889
2026-04-27T14:45:00+05:30,436.50,436.70,436.05,436.35,217525
2026-04-27T14:50:00+05:30,436.20,436.60,436.10,436.50,237947
2026-04-27T14:55:00+05:30,436.55,436.60,436.15,436.45,240988
2026-04-27T15:00:00+05:30,436.40,436.40,435.30,435.40,363428
2026-04-27T15:05:00+05:30,435.45,435.90,435.25,435.75,396992
2026-04-27T15:10:00+05:30,435.55,435.80,435.45,435.55,349153
2026-04-27T15:15:00+05:30,435.55,435.70,435.25,435.45,589859
2026-04-27T15:20:00+05:30,435.60,435.95,435.30,435.60,587246
2026-04-27T15:25:00+05:30,435.45,436.50,435.10,436.40,494668
2026-04-28T09:15:00+05:30,435.95,437.75,435.00,437.40,0
2026-04-28T09:20:00+05:30,437.40,438.45,437.05,438.25,386480
2026-04-28T09:25:00+05:30,438.15,439.75,438.10,438.95,331979
2026-04-28T09:30:00+05:30,438.95,440.40,438.60,439.45,330195
2026-04-28T09:35:00+05:30,439.40,440.35,438.75,440.10,157686
2026-04-28T09:40:00+05:30,440.40,440.40,438.95,439.45,188059
2026-04-28T09:45:00+05:30,439.40,440.20,439.40,439.60,101277
2026-04-28T09:50:00+05:30,439.70,440.10,439.60,440.10,122902
2026-04-28T09:55:00+05:30,440.05,440.25,439.65,440.25,136226
2026-04-28T10:00:00+05:30,440.45,440.90,440.20,440.75,178637
2026-04-28T10:05:00+05:30,440.90,441.00,439.70,439.85,208181
2026-04-28T10:10:00+05:30,439.95,440.10,439.65,439.95,63116
2026-04-28T10:15:00+05:30,440.00,440.25,439.55,439.60,283074
