ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,460.25,462.75,459.40,460.75,0
2026-04-27T09:20:00+05:30,460.15,461.00,460.15,460.20,1365
2026-04-27T09:25:00+05:30,460.20,461.60,459.20,461.30,3694
2026-04-27T09:30:00+05:30,461.60,463.00,460.45,461.20,3014
2026-04-27T09:35:00+05:30,461.25,462.15,460.00,460.00,1611
2026-04-27T09:40:00+05:30,459.80,462.60,459.80,461.70,2839
2026-04-27T09:45:00+05:30,462.20,462.70,461.30,462.70,1187
2026-04-27T09:50:00+05:30,462.70,462.90,462.15,462.30,1384
2026-04-27T09:55:00+05:30,462.30,462.75,462.30,462.30,1214
2026-04-27T10:00:00+05:30,462.25,463.35,462.25,462.40,1067
2026-04-27T10:05:00+05:30,462.45,462.60,462.25,462.25,1595
2026-04-27T10:10:00+05:30,462.55,462.60,462.00,462.20,1547
2026-04-27T10:15:00+05:30,462.05,464.20,462.05,463.85,456
2026-04-27T10:20:00+05:30,464.10,464.40,463.85,464.40,284
2026-04-27T10:25:00+05:30,464.40,464.90,464.40,464.75,609
2026-04-27T10:30:00+05:30,465.00,465.00,464.45,464.85,410
2026-04-27T10:35:00+05:30,464.55,465.00,464.00,464.05,955
2026-04-27T10:40:00+05:30,464.00,464.70,464.00,464.40,431
2026-04-27T10:45:00+05:30,464.35,464.70,464.35,464.60,502
2026-04-27T10:50:00+05:30,464.70,464.95,464.70,464.95,147
2026-04-27T10:55:00+05:30,464.95,464.95,464.35,464.35,273
2026-04-27T11:00:00+05:30,464.65,464.65,463.50,464.05,1094
2026-04-27T11:05:00+05:30,463.45,463.95,463.45,463.90,206
2026-04-27T11:10:00+05:30,463.80,464.00,463.70,463.70,165
2026-04-27T11:15:00+05:30,463.70,463.75,463.10,463.65,430
2026-04-27T11:20:00+05:30,463.30,463.40,463.00,463.30,445
2026-04-27T11:25:00+05:30,463.65,463.65,462.35,463.00,560
2026-04-27T11:30:00+05:30,463.00,463.00,462.00,462.00,441
2026-04-27T11:35:00+05:30,462.05,462.30,461.60,461.60,590
2026-04-27T11:40:00+05:30,461.60,461.90,461.60,461.65,173
2026-04-27T11:45:00+05:30,461.65,462.15,461.65,461.70,99
2026-04-27T11:50:00+05:30,462.00,462.00,461.85,461.85,122
2026-04-27T11:55:00+05:30,461.85,462.20,461.85,462.20,207
2026-04-27T12:00:00+05:30,462.45,462.45,462.00,462.30,460
2026-04-27T12:05:00+05:30,462.40,462.85,462.20,462.80,202
2026-04-27T12:10:00+05:30,462.80,462.80,462.45,462.80,23
2026-04-27T12:15:00+05:30,462.70,463.00,462.70,462.70,136
2026-04-27T12:20:00+05:30,462.40,462.80,462.40,462.65,609
2026-04-27T12:25:00+05:30,462.80,464.10,462.80,463.50,8236
2026-04-27T12:30:00+05:30,463.60,463.80,463.40,463.80,455
2026-04-27T12:35:00+05:30,463.80,465.15,463.60,465.15,2424
2026-04-27T12:40:00+05:30,465.15,465.75,465.15,465.40,667
2026-04-27T12:45:00+05:30,465.40,465.50,465.00,465.05,419
2026-04-27T12:50:00+05:30,465.35,465.35,465.00,465.00,186
2026-04-27T12:55:00+05:30,464.60,464.75,464.25,464.70,584
2026-04-27T13:00:00+05:30,464.70,465.00,463.75,463.75,1240
2026-04-27T13:05:00+05:30,463.75,464.05,463.75,464.05,110
2026-04-27T13:10:00+05:30,464.05,465.00,463.75,465.00,1057
2026-04-27T13:15:00+05:30,464.45,464.90,464.45,464.75,0
2026-04-27T13:20:00+05:30,464.95,464.95,464.30,464.45,695
2026-04-27T13:25:00+05:30,464.45,464.85,464.45,464.55,584
2026-04-27T13:30:00+05:30,464.80,464.80,464.60,464.80,143
2026-04-27T13:35:00+05:30,464.60,464.80,464.10,464.80,900
2026-04-27T13:40:00+05:30,464.80,464.80,464.45,464.75,100
2026-04-27T13:45:00+05:30,464.45,464.65,464.20,464.45,594
2026-04-27T13:50:00+05:30,464.10,464.40,464.10,464.40,515
2026-04-27T13:55:00+05:30,464.40,464.60,464.10,464.60,618
2026-04-27T14:00:00+05:30,464.35,464.65,464.35,464.40,162
2026-04-27T14:05:00+05:30,464.40,464.60,464.40,464.60,170
2026-04-27T14:10:00+05:30,464.60,464.60,464.40,464.40,62
2026-04-27T14:15:00+05:30,464.60,464.60,464.05,464.60,459
2026-04-27T14:20:00+05:30,464.60,464.75,464.45,464.65,345
2026-04-27T14:25:00+05:30,464.65,464.65,464.45,464.45,150
2026-04-27T14:30:00+05:30,464.65,464.65,463.30,463.85,1805
2026-04-27T14:35:00+05:30,463.50,464.40,463.50,464.40,488
2026-04-27T14:40:00+05:30,464.40,464.40,463.95,463.95,196
2026-04-27T14:45:00+05:30,464.40,464.40,463.90,463.90,332
2026-04-27T14:50:00+05:30,464.05,464.05,463.80,464.05,65
