ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1818.70,1828.40,1818.70,1823.00,0
2026-04-27T09:20:00+05:30,1822.50,1825.00,1820.80,1824.50,93882
2026-04-27T09:25:00+05:30,1825.10,1827.30,1822.30,1822.50,66993
2026-04-27T09:30:00+05:30,1822.40,1823.10,1818.20,1819.90,57557
2026-04-27T09:35:00+05:30,1820.30,1823.70,1820.30,1821.80,40132
2026-04-27T09:40:00+05:30,1821.80,1822.30,1818.90,1819.60,44311
2026-04-27T09:45:00+05:30,1819.60,1821.70,1818.20,1821.70,37865
2026-04-27T09:50:00+05:30,1821.10,1823.10,1819.90,1819.90,37819
2026-04-27T09:55:00+05:30,1819.30,1820.20,1818.20,1819.50,43516
2026-04-27T10:00:00+05:30,1819.40,1822.20,1818.30,1821.90,44103
2026-04-27T10:05:00+05:30,1821.50,1822.40,1820.00,1820.80,30425
2026-04-27T10:10:00+05:30,1820.80,1820.80,1817.50,1817.50,31349
2026-04-27T10:15:00+05:30,1817.20,1821.50,1817.20,1821.40,78414
2026-04-27T10:20:00+05:30,1821.00,1821.50,1819.60,1820.80,29408
2026-04-27T10:25:00+05:30,1820.80,1820.90,1819.30,1820.00,28292
2026-04-27T10:30:00+05:30,1819.90,1820.00,1815.70,1816.00,34493
2026-04-27T10:35:00+05:30,1816.00,1817.10,1815.00,1815.00,124492
2026-04-27T10:40:00+05:30,1815.20,1816.60,1814.40,1815.70,63098
2026-04-27T10:45:00+05:30,1815.60,1817.90,1814.30,1817.90,38675
2026-04-27T10:50:00+05:30,1818.30,1819.10,1817.50,1818.50,35313
2026-04-27T10:55:00+05:30,1818.80,1821.30,1817.50,1821.30,45391
2026-04-27T11:00:00+05:30,1821.00,1824.20,1820.20,1823.80,31618
2026-04-27T11:05:00+05:30,1823.80,1824.20,1818.80,1819.50,68135
2026-04-27T11:10:00+05:30,1819.30,1824.00,1819.20,1824.00,35009
2026-04-27T11:15:00+05:30,1824.00,1826.00,1823.90,1826.00,23838
2026-04-27T11:20:00+05:30,1826.00,1826.00,1824.10,1824.80,28100
2026-04-27T11:25:00+05:30,1824.30,1824.90,1822.00,1822.40,23206
2026-04-27T11:30:00+05:30,1822.30,1822.50,1820.80,1821.60,46335
2026-04-27T11:35:00+05:30,1821.40,1821.50,1818.00,1820.30,51837
2026-04-27T11:40:00+05:30,1819.90,1823.30,1819.70,1822.50,50577
2026-04-27T11:45:00+05:30,1822.40,1822.80,1820.20,1822.80,41495
2026-04-27T11:50:00+05:30,1822.80,1823.90,1821.60,1822.20,20583
2026-04-27T11:55:00+05:30,1822.70,1823.80,1821.90,1823.10,19830
2026-04-27T12:00:00+05:30,1823.70,1823.70,1821.80,1822.20,24624
2026-04-27T12:05:00+05:30,1822.20,1824.90,1822.20,1823.40,29490
2026-04-27T12:10:00+05:30,1823.40,1825.10,1823.30,1824.80,43045
2026-04-27T12:15:00+05:30,1824.90,1825.80,1824.00,1825.20,24593
2026-04-27T12:20:00+05:30,1824.40,1824.90,1822.40,1823.70,30459
2026-04-27T12:25:00+05:30,1823.70,1825.90,1823.10,1825.40,24829
2026-04-27T12:30:00+05:30,1825.60,1826.50,1824.60,1826.50,32777
2026-04-27T12:35:00+05:30,1826.50,1827.70,1824.50,1824.50,33122
2026-04-27T12:40:00+05:30,1824.80,1825.50,1823.40,1824.30,28315
2026-04-27T12:45:00+05:30,1824.40,1825.30,1823.60,1825.00,32972
2026-04-27T12:50:00+05:30,1824.50,1825.60,1823.00,1823.90,30011
2026-04-27T12:55:00+05:30,1823.90,1824.00,1822.00,1822.90,31668
2026-04-27T13:00:00+05:30,1822.90,1823.20,1820.60,1822.40,30322
2026-04-27T13:05:00+05:30,1822.20,1823.10,1820.90,1823.00,35751
2026-04-27T13:10:00+05:30,1823.00,1823.60,1822.30,1823.20,26349
2026-04-27T13:15:00+05:30,1823.20,1824.80,1823.10,1824.60,29185
2026-04-27T13:20:00+05:30,1824.70,1824.90,1823.30,1824.10,34328
2026-04-27T13:25:00+05:30,1824.00,1824.90,1823.40,1823.80,77309
2026-04-27T13:30:00+05:30,1823.60,1823.90,1822.50,1822.60,28714
2026-04-27T13:35:00+05:30,1822.70,1824.00,1822.40,1823.70,51323
2026-04-27T13:40:00+05:30,1823.50,1824.70,1823.40,1824.40,37579
2026-04-27T13:45:00+05:30,1824.60,1824.80,1822.50,1822.80,28984
2026-04-27T13:50:00+05:30,1822.80,1823.80,1822.30,1823.70,29889
2026-04-27T13:55:00+05:30,1823.70,1824.90,1822.40,1824.10,89322
2026-04-27T14:00:00+05:30,1824.00,1824.30,1822.90,1823.90,25486
2026-04-27T14:05:00+05:30,1823.90,1824.20,1822.70,1823.40,23766
2026-04-27T14:10:00+05:30,1823.30,1824.30,1822.40,1823.90,23741
2026-04-27T14:15:00+05:30,1823.70,1824.10,1822.40,1822.50,21900
2026-04-27T14:20:00+05:30,1822.60,1823.50,1822.00,1823.20,35243
