ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,351.40,353.85,350.80,352.55,0
2026-04-27T09:20:00+05:30,352.55,353.70,352.40,352.80,56354
2026-04-27T09:25:00+05:30,352.35,352.80,351.00,351.20,48723
2026-04-27T09:30:00+05:30,351.55,352.80,351.55,352.30,32216
2026-04-27T09:35:00+05:30,352.15,353.50,352.15,353.00,37045
2026-04-27T09:40:00+05:30,353.15,354.65,353.15,354.50,67820
2026-04-27T09:45:00+05:30,354.65,355.10,354.45,354.80,32700
2026-04-27T09:50:00+05:30,354.95,355.05,354.50,355.05,22366
2026-04-27T09:55:00+05:30,355.00,355.75,355.00,355.10,25314
2026-04-27T10:00:00+05:30,355.00,355.70,354.80,355.00,25344
2026-04-27T10:05:00+05:30,354.95,355.30,354.25,354.25,20136
2026-04-27T10:10:00+05:30,354.40,354.40,352.75,352.85,74682
2026-04-27T10:15:00+05:30,352.65,353.40,352.65,352.95,42178
2026-04-27T10:20:00+05:30,352.85,353.25,352.40,353.00,21803
2026-04-27T10:25:00+05:30,352.85,353.15,351.60,351.95,76811
2026-04-27T10:30:00+05:30,351.75,352.50,351.75,352.35,49617
2026-04-27T10:35:00+05:30,352.20,352.35,351.55,351.70,11381
2026-04-27T10:40:00+05:30,351.70,351.95,351.50,351.75,9779
2026-04-27T10:45:00+05:30,351.55,352.10,351.40,352.10,146536
2026-04-27T10:50:00+05:30,352.15,352.35,352.05,352.35,8933
2026-04-27T10:55:00+05:30,352.25,352.40,351.90,351.95,5170
2026-04-27T11:00:00+05:30,351.95,352.20,351.90,351.95,10160
2026-04-27T11:05:00+05:30,351.95,352.15,351.50,351.90,12386
2026-04-27T11:10:00+05:30,351.70,352.20,351.70,351.90,4557
2026-04-27T11:15:00+05:30,351.70,352.50,351.70,351.90,13002
2026-04-27T11:20:00+05:30,351.90,352.10,351.55,351.95,20946
2026-04-27T11:25:00+05:30,351.80,352.15,351.75,352.15,7169
2026-04-27T11:30:00+05:30,352.15,352.75,352.05,352.60,51552
2026-04-27T11:35:00+05:30,352.55,352.70,352.30,352.70,21377
2026-04-27T11:40:00+05:30,352.75,353.45,352.60,353.45,46773
2026-04-27T11:45:00+05:30,353.25,353.85,353.25,353.60,26168
2026-04-27T11:50:00+05:30,353.60,353.80,353.45,353.70,17541
2026-04-27T11:55:00+05:30,353.65,354.25,353.65,354.00,16452
2026-04-27T12:00:00+05:30,354.15,354.15,353.65,353.75,11178
2026-04-27T12:05:00+05:30,353.75,353.95,353.60,353.60,21550
2026-04-27T12:10:00+05:30,353.60,354.20,353.50,354.20,12918
