ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,36800.00,36970.00,36765.00,36960.00,0
2026-04-27T09:20:00+05:30,36935.00,37045.00,36865.00,36865.00,554
2026-04-27T09:25:00+05:30,36850.00,36975.00,36810.00,36850.00,467
2026-04-27T09:30:00+05:30,36850.00,36895.00,36755.00,36785.00,468
2026-04-27T09:35:00+05:30,36785.00,36885.00,36780.00,36815.00,370
2026-04-27T09:40:00+05:30,36815.00,36915.00,36805.00,36890.00,297
2026-04-27T09:45:00+05:30,36915.00,36940.00,36900.00,36930.00,244
2026-04-27T09:50:00+05:30,36945.00,37125.00,36920.00,37110.00,867
2026-04-27T09:55:00+05:30,37120.00,37235.00,37120.00,37195.00,852
2026-04-27T10:00:00+05:30,37185.00,37425.00,37185.00,37370.00,1043
2026-04-27T10:05:00+05:30,37320.00,37400.00,37285.00,37325.00,476
2026-04-27T10:10:00+05:30,37340.00,37425.00,37310.00,37330.00,211
2026-04-27T10:15:00+05:30,37345.00,37450.00,37325.00,37325.00,401
2026-04-27T10:20:00+05:30,37320.00,37325.00,37245.00,37280.00,341
2026-04-27T10:25:00+05:30,37280.00,37280.00,37200.00,37200.00,595
2026-04-27T10:30:00+05:30,37200.00,37225.00,37170.00,37200.00,202
2026-04-27T10:35:00+05:30,37200.00,37215.00,37000.00,37000.00,487
2026-04-27T10:40:00+05:30,37000.00,37090.00,37000.00,37060.00,383
2026-04-27T10:45:00+05:30,37050.00,37165.00,37045.00,37140.00,227
2026-04-27T10:50:00+05:30,37145.00,37170.00,37125.00,37125.00,183
2026-04-27T10:55:00+05:30,37120.00,37175.00,37090.00,37090.00,204
2026-04-27T11:00:00+05:30,37080.00,37140.00,37040.00,37080.00,336
2026-04-27T11:05:00+05:30,37080.00,37185.00,37080.00,37140.00,878
2026-04-27T11:10:00+05:30,37155.00,37190.00,37155.00,37190.00,252
2026-04-27T11:15:00+05:30,37190.00,37230.00,37180.00,37180.00,372
2026-04-27T11:20:00+05:30,37185.00,37205.00,37130.00,37140.00,312
2026-04-27T11:25:00+05:30,37140.00,37140.00,37060.00,37090.00,171
2026-04-27T11:30:00+05:30,37090.00,37125.00,37065.00,37065.00,242
2026-04-27T11:35:00+05:30,37065.00,37085.00,37000.00,37065.00,354
2026-04-27T11:40:00+05:30,37065.00,37125.00,37020.00,37045.00,402
2026-04-27T11:45:00+05:30,37045.00,37215.00,37040.00,37200.00,866
2026-04-27T11:50:00+05:30,37190.00,37220.00,37155.00,37165.00,251
2026-04-27T11:55:00+05:30,37245.00,37290.00,37190.00,37240.00,771
2026-04-27T12:00:00+05:30,37245.00,37285.00,37240.00,37265.00,221
2026-04-27T12:05:00+05:30,37265.00,37295.00,37245.00,37245.00,332
2026-04-27T12:10:00+05:30,37245.00,37325.00,37240.00,37305.00,387
2026-04-27T12:15:00+05:30,37305.00,37340.00,37300.00,37310.00,312
2026-04-27T12:20:00+05:30,37305.00,37340.00,37255.00,37305.00,578
2026-04-27T12:25:00+05:30,37310.00,37390.00,37300.00,37380.00,368
2026-04-27T12:30:00+05:30,37380.00,37395.00,37360.00,37370.00,356
2026-04-27T12:35:00+05:30,37365.00,37405.00,37320.00,37320.00,499
2026-04-27T12:40:00+05:30,37340.00,37400.00,37315.00,37340.00,386
2026-04-27T12:45:00+05:30,37340.00,37370.00,37315.00,37350.00,232
2026-04-27T12:50:00+05:30,37350.00,37415.00,37350.00,37375.00,335
2026-04-27T12:55:00+05:30,37375.00,37425.00,37375.00,37380.00,288
2026-04-27T13:00:00+05:30,37400.00,37460.00,37355.00,37375.00,436
2026-04-27T13:05:00+05:30,37375.00,37385.00,37355.00,37365.00,185
2026-04-27T13:10:00+05:30,37365.00,37380.00,37270.00,37280.00,269
2026-04-27T13:15:00+05:30,37280.00,37360.00,37260.00,37305.00,339
2026-04-27T13:20:00+05:30,37290.00,37315.00,37275.00,37275.00,227
2026-04-27T13:25:00+05:30,37270.00,37300.00,37245.00,37295.00,234
2026-04-27T13:30:00+05:30,37285.00,37325.00,37270.00,37305.00,234
2026-04-27T13:35:00+05:30,37305.00,37325.00,37250.00,37250.00,258
2026-04-27T13:40:00+05:30,37250.00,37265.00,37205.00,37235.00,235
2026-04-27T13:45:00+05:30,37235.00,37340.00,37235.00,37285.00,285
2026-04-27T13:50:00+05:30,37285.00,37330.00,37285.00,37315.00,256
2026-04-27T13:55:00+05:30,37315.00,37345.00,37260.00,37345.00,399
2026-04-27T14:00:00+05:30,37345.00,37360.00,37295.00,37315.00,265
2026-04-27T14:05:00+05:30,37315.00,37350.00,37295.00,37295.00,296
2026-04-27T14:10:00+05:30,37295.00,37335.00,37270.00,37325.00,290
2026-04-27T14:15:00+05:30,37320.00,37320.00,37250.00,37265.00,292
2026-04-27T14:20:00+05:30,37260.00,37285.00,37205.00,37205.00,298
2026-04-27T14:25:00+05:30,37200.00,37275.00,37195.00,37235.00,254
2026-04-27T14:30:00+05:30,37220.00,37300.00,37220.00,37280.00,271
2026-04-27T14:35:00+05:30,37275.00,37300.00,37265.00,37270.00,229
2026-04-27T14:40:00+05:30,37270.00,37300.00,37250.00,37255.00,265
2026-04-27T14:45:00+05:30,37255.00,37300.00,37240.00,37260.00,370
2026-04-27T14:50:00+05:30,37250.00,37285.00,37245.00,37255.00,356
2026-04-27T14:55:00+05:30,37280.00,37300.00,37260.00,37275.00,303
2026-04-27T15:00:00+05:30,37300.00,37300.00,37225.00,37225.00,557
2026-04-27T15:05:00+05:30,37220.00,37255.00,37215.00,37215.00,368
2026-04-27T15:10:00+05:30,37225.00,37245.00,37200.00,37225.00,420
2026-04-27T15:15:00+05:30,37200.00,37225.00,37175.00,37190.00,686
