ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,307.85,309.80,306.90,308.80,0
2026-04-27T09:20:00+05:30,309.25,311.15,309.25,310.40,192337
2026-04-27T09:25:00+05:30,310.25,310.45,308.85,308.85,103548
2026-04-27T09:30:00+05:30,309.10,310.15,309.10,309.10,157445
2026-04-27T09:35:00+05:30,309.30,309.85,309.10,309.10,90969
2026-04-27T09:40:00+05:30,309.40,310.00,309.10,309.85,89925
2026-04-27T09:45:00+05:30,309.75,311.00,309.75,311.00,93670
2026-04-27T09:50:00+05:30,311.20,314.25,311.20,314.25,508741
2026-04-27T09:55:00+05:30,314.05,314.70,313.55,314.60,140279
2026-04-27T10:00:00+05:30,314.45,315.00,314.10,314.60,252328
2026-04-27T10:05:00+05:30,314.60,314.60,313.35,313.45,127551
2026-04-27T10:10:00+05:30,313.45,313.60,312.45,312.50,100473
2026-04-27T10:15:00+05:30,312.55,313.40,312.55,312.80,71058
2026-04-27T10:20:00+05:30,312.90,313.10,312.40,312.40,69141
2026-04-27T10:25:00+05:30,312.40,313.00,311.90,313.00,72904
2026-04-27T10:30:00+05:30,312.95,313.25,312.75,313.05,72174
2026-04-27T10:35:00+05:30,313.10,313.60,313.00,313.25,56257
2026-04-27T10:40:00+05:30,313.35,313.45,312.75,312.90,51833
2026-04-27T10:45:00+05:30,313.00,313.55,312.90,313.00,29657
2026-04-27T10:50:00+05:30,313.10,313.20,313.00,313.05,25209
2026-04-27T10:55:00+05:30,313.00,313.30,312.45,312.50,51445
2026-04-27T11:00:00+05:30,312.70,312.90,312.40,312.75,38568
2026-04-27T11:05:00+05:30,312.80,313.05,312.75,312.90,25938
2026-04-27T11:10:00+05:30,312.85,313.05,312.80,312.95,25545
2026-04-27T11:15:00+05:30,312.95,313.25,312.95,313.05,32238
2026-04-27T11:20:00+05:30,313.00,313.20,312.95,312.95,32472
2026-04-27T11:25:00+05:30,312.90,313.00,312.60,312.70,33976
2026-04-27T11:30:00+05:30,312.70,312.95,312.35,312.40,38393
2026-04-27T11:35:00+05:30,312.40,312.40,311.75,312.00,57339
2026-04-27T11:40:00+05:30,312.00,312.10,311.90,312.00,22701
2026-04-27T11:45:00+05:30,312.00,312.40,311.90,312.40,34445
2026-04-27T11:50:00+05:30,312.40,312.50,312.15,312.25,19725
2026-04-27T11:55:00+05:30,312.25,312.25,311.90,311.90,23102
2026-04-27T12:00:00+05:30,311.90,312.00,311.70,311.80,23034
2026-04-27T12:05:00+05:30,311.80,312.10,311.80,311.90,27713
2026-04-27T12:10:00+05:30,311.90,312.30,311.90,312.15,39604
2026-04-27T12:15:00+05:30,312.05,312.15,311.85,311.85,20612
2026-04-27T12:20:00+05:30,311.75,311.75,311.40,311.55,24440
2026-04-27T12:25:00+05:30,311.65,311.90,311.40,311.70,53215
2026-04-27T12:30:00+05:30,311.65,311.95,311.55,311.90,37656
2026-04-27T12:35:00+05:30,311.90,312.25,311.85,311.85,34100
2026-04-27T12:40:00+05:30,311.95,312.15,311.80,311.95,27692
2026-04-27T12:45:00+05:30,311.90,311.95,311.65,311.85,31369
2026-04-27T12:50:00+05:30,311.85,312.20,311.70,312.10,24479
2026-04-27T12:55:00+05:30,311.95,312.15,311.80,311.95,28272
2026-04-27T13:00:00+05:30,311.95,312.25,311.95,312.15,33744
2026-04-27T13:05:00+05:30,312.25,312.25,311.95,312.00,25367
