ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,5750.00,5777.50,5738.50,5740.00,0
2026-04-27T09:20:00+05:30,5745.50,5762.50,5744.00,5749.00,4305
2026-04-27T09:25:00+05:30,5749.50,5753.50,5725.50,5728.00,2218
2026-04-27T09:30:00+05:30,5733.00,5736.00,5719.00,5723.50,3201
2026-04-27T09:35:00+05:30,5720.50,5734.00,5720.50,5725.50,2676
2026-04-27T09:40:00+05:30,5726.00,5729.50,5723.00,5727.50,2879
2026-04-27T09:45:00+05:30,5731.00,5740.50,5730.50,5737.00,2158
2026-04-27T09:50:00+05:30,5734.00,5735.50,5713.00,5725.50,3299
2026-04-27T09:55:00+05:30,5724.50,5731.00,5719.00,5721.00,4971
2026-04-27T10:00:00+05:30,5724.00,5730.00,5720.00,5722.50,1763
2026-04-27T10:05:00+05:30,5722.50,5725.00,5705.00,5707.00,3973
2026-04-27T10:10:00+05:30,5707.00,5710.00,5704.00,5704.00,1306
2026-04-27T10:15:00+05:30,5704.50,5720.00,5704.50,5716.50,1895
2026-04-27T10:20:00+05:30,5715.00,5715.00,5705.00,5708.00,1829
2026-04-27T10:25:00+05:30,5706.00,5706.00,5700.50,5703.00,984
2026-04-27T10:30:00+05:30,5703.00,5706.00,5701.00,5701.00,1192
2026-04-27T10:35:00+05:30,5701.00,5702.50,5692.50,5697.00,1999
2026-04-27T10:40:00+05:30,5697.00,5711.50,5697.00,5709.50,2230
2026-04-27T10:45:00+05:30,5709.50,5711.00,5703.00,5708.00,614
2026-04-27T10:50:00+05:30,5708.00,5716.00,5708.00,5713.00,1000
2026-04-27T10:55:00+05:30,5715.50,5717.00,5712.00,5712.00,1023
2026-04-27T11:00:00+05:30,5712.50,5713.50,5707.00,5707.50,725
2026-04-27T11:05:00+05:30,5707.50,5716.00,5707.00,5714.50,842
2026-04-27T11:10:00+05:30,5713.00,5717.50,5707.00,5711.50,1064
2026-04-27T11:15:00+05:30,5711.50,5721.00,5708.50,5709.00,1473
2026-04-27T11:20:00+05:30,5709.00,5709.00,5698.00,5701.00,1446
2026-04-27T11:25:00+05:30,5700.00,5702.00,5695.50,5698.50,523
2026-04-27T11:30:00+05:30,5695.50,5698.00,5691.00,5692.50,1480
2026-04-27T11:35:00+05:30,5695.00,5698.50,5690.00,5698.00,2039
2026-04-27T11:40:00+05:30,5698.00,5705.00,5696.50,5701.50,2229
2026-04-27T11:45:00+05:30,5705.00,5713.50,5697.50,5707.50,14765
2026-04-27T11:50:00+05:30,5709.00,5719.50,5705.00,5719.50,3324
2026-04-27T11:55:00+05:30,5719.00,5719.50,5705.00,5710.00,36427
2026-04-27T12:00:00+05:30,5712.50,5716.50,5709.50,5715.50,3536
2026-04-27T12:05:00+05:30,5716.00,5720.50,5708.50,5709.50,2701
2026-04-27T12:10:00+05:30,5709.50,5751.50,5708.50,5751.50,31725
2026-04-27T12:15:00+05:30,5753.00,5760.00,5750.00,5754.00,22576
2026-04-27T12:20:00+05:30,5753.50,5758.50,5750.50,5753.00,4309
2026-04-27T12:25:00+05:30,5753.00,5758.50,5750.00,5757.50,3679
2026-04-27T12:30:00+05:30,5759.50,5766.00,5753.00,5766.00,3320
2026-04-27T12:35:00+05:30,5770.00,5804.00,5757.00,5759.50,82206
2026-04-27T12:40:00+05:30,5763.50,5769.00,5753.00,5755.00,7994
2026-04-27T12:45:00+05:30,5756.00,5761.00,5754.00,5758.50,3136
2026-04-27T12:50:00+05:30,5758.50,5762.50,5755.00,5756.50,2345
2026-04-27T12:55:00+05:30,5758.50,5762.50,5750.50,5750.50,4860
2026-04-27T13:00:00+05:30,5753.00,5756.00,5731.50,5745.00,13860
2026-04-27T13:05:00+05:30,5743.00,5746.00,5738.00,5738.00,2488
2026-04-27T13:10:00+05:30,5740.50,5741.50,5732.50,5737.50,2966
2026-04-27T13:15:00+05:30,5737.00,5745.50,5737.00,5739.50,2195
2026-04-27T13:20:00+05:30,5737.50,5746.00,5737.50,5745.50,11062
2026-04-27T13:25:00+05:30,5746.50,5749.00,5741.50,5742.50,22414
2026-04-27T13:30:00+05:30,5742.00,5745.00,5733.50,5735.00,2084
2026-04-27T13:35:00+05:30,5733.00,5741.50,5733.00,5739.00,3268
2026-04-27T13:40:00+05:30,5741.50,5746.00,5739.00,5739.50,2006
2026-04-27T13:45:00+05:30,5742.50,5749.50,5741.00,5744.50,2671
2026-04-27T13:50:00+05:30,5741.50,5743.50,5733.50,5739.00,14181
2026-04-27T13:55:00+05:30,5737.50,5743.50,5733.50,5735.00,3800
2026-04-27T14:00:00+05:30,5733.50,5736.50,5721.00,5725.50,10204
2026-04-27T14:05:00+05:30,5724.50,5734.00,5724.50,5730.50,5365
2026-04-27T14:10:00+05:30,5729.50,5734.50,5727.00,5734.50,3347
2026-04-27T14:15:00+05:30,5733.50,5735.00,5727.50,5731.50,6126
2026-04-27T14:20:00+05:30,5727.50,5731.00,5722.00,5725.00,5597
2026-04-27T14:25:00+05:30,5723.00,5732.00,5721.50,5729.50,11700
2026-04-27T14:30:00+05:30,5727.50,5728.00,5718.50,5722.50,7134
2026-04-27T14:35:00+05:30,5720.00,5731.00,5718.50,5725.00,9854
2026-04-27T14:40:00+05:30,5723.50,5733.00,5723.00,5726.00,8604
2026-04-27T14:45:00+05:30,5726.00,5726.00,5720.00,5724.00,4842
2026-04-27T14:50:00+05:30,5725.00,5732.00,5724.50,5729.50,4852
2026-04-27T14:55:00+05:30,5732.50,5732.50,5718.50,5721.50,31909
2026-04-27T15:00:00+05:30,5722.00,5724.00,5720.00,5722.00,20972
2026-04-27T15:05:00+05:30,5720.00,5722.00,5714.50,5717.00,35462
2026-04-27T15:10:00+05:30,5716.00,5721.50,5715.00,5719.50,15694
2026-04-27T15:15:00+05:30,5720.00,5721.00,5710.50,5716.00,44846
2026-04-27T15:20:00+05:30,5710.00,5720.50,5705.00,5715.00,40717
2026-04-27T15:25:00+05:30,5720.00,5720.00,5713.50,5720.00,13030
2026-04-28T09:15:00+05:30,5719.00,5734.00,5698.50,5730.50,0
2026-04-28T09:20:00+05:30,5730.50,5730.50,5700.00,5702.50,6054
2026-04-28T09:25:00+05:30,5708.50,5710.50,5680.00,5689.50,7989
2026-04-28T09:30:00+05:30,5692.00,5693.00,5682.00,5682.00,2199
2026-04-28T09:35:00+05:30,5681.50,5689.50,5677.00,5687.00,3497
2026-04-28T09:40:00+05:30,5687.00,5699.50,5686.00,5689.50,2820
2026-04-28T09:45:00+05:30,5690.00,5694.00,5689.00,5693.00,1835
2026-04-28T09:50:00+05:30,5695.00,5697.00,5686.00,5692.00,2933
2026-04-28T09:55:00+05:30,5689.00,5697.00,5689.00,5696.50,1015
2026-04-28T10:00:00+05:30,5695.50,5696.50,5690.00,5694.00,777
2026-04-28T10:05:00+05:30,5693.50,5695.00,5689.00,5689.00,1145
2026-04-28T10:10:00+05:30,5688.00,5693.00,5688.00,5693.00,469
2026-04-28T10:15:00+05:30,5690.00,5700.50,5690.00,5699.50,2916
2026-04-28T10:20:00+05:30,5699.50,5709.50,5690.00,5691.50,4160
2026-04-28T10:25:00+05:30,5692.00,5694.00,5658.50,5665.00,12335
2026-04-28T10:30:00+05:30,5666.00,5668.00,5660.50,5664.50,4617
2026-04-28T10:35:00+05:30,5664.50,5664.50,5655.50,5660.00,2235
2026-04-28T10:40:00+05:30,5660.00,5660.50,5655.00,5656.50,865
2026-04-28T10:45:00+05:30,5656.50,5661.00,5650.00,5657.00,3108
2026-04-28T10:50:00+05:30,5655.00,5660.00,5654.50,5658.50,1874
2026-04-28T10:55:00+05:30,5656.00,5660.00,5650.00,5652.00,2676
2026-04-28T11:00:00+05:30,5650.50,5652.50,5647.50,5650.00,2449
2026-04-28T11:05:00+05:30,5649.50,5652.00,5641.00,5648.50,2361
2026-04-28T11:10:00+05:30,5651.50,5660.50,5651.50,5657.50,1360
2026-04-28T11:15:00+05:30,5659.00,5660.50,5653.00,5653.50,2107
2026-04-28T11:20:00+05:30,5656.00,5667.50,5656.00,5661.00,1790
2026-04-28T11:25:00+05:30,5663.00,5663.00,5650.50,5650.50,1944
2026-04-28T11:30:00+05:30,5650.50,5655.00,5646.50,5646.50,1718
2026-04-28T11:35:00+05:30,5649.50,5651.00,5645.50,5647.50,591
2026-04-28T11:40:00+05:30,5649.50,5652.50,5647.50,5651.50,446
2026-04-28T11:45:00+05:30,5653.00,5659.50,5649.50,5657.00,1036
2026-04-28T11:50:00+05:30,5657.00,5674.50,5656.50,5665.00,29384
2026-04-28T11:55:00+05:30,5667.50,5668.50,5663.00,5663.00,1113
2026-04-28T12:00:00+05:30,5665.00,5668.50,5664.00,5664.00,1363
2026-04-28T12:05:00+05:30,5666.50,5666.50,5662.50,5663.50,578
2026-04-28T12:10:00+05:30,5665.00,5665.00,5653.00,5654.00,1320
2026-04-28T12:15:00+05:30,5656.00,5662.00,5653.50,5658.00,1770
2026-04-28T12:20:00+05:30,5658.00,5659.00,5650.00,5653.50,702
2026-04-28T12:25:00+05:30,5653.00,5663.50,5652.50,5659.00,881
2026-04-28T12:30:00+05:30,5659.50,5661.50,5653.00,5658.50,988
2026-04-28T12:35:00+05:30,5657.00,5663.50,5656.50,5658.00,602
2026-04-28T12:40:00+05:30,5659.50,5666.00,5657.00,5661.00,994
2026-04-28T12:45:00+05:30,5661.00,5661.00,5650.50,5651.00,1697
2026-04-28T12:50:00+05:30,5653.50,5660.50,5650.00,5652.00,1930
2026-04-28T12:55:00+05:30,5655.00,5661.00,5652.50,5655.00,597
2026-04-28T13:00:00+05:30,5657.50,5663.50,5654.00,5656.50,1419
2026-04-28T13:05:00+05:30,5658.50,5658.50,5650.50,5655.50,971
2026-04-28T13:10:00+05:30,5653.50,5660.00,5652.00,5655.00,739
2026-04-28T13:15:00+05:30,5655.00,5659.00,5655.00,5657.00,586
2026-04-28T13:20:00+05:30,5657.00,5661.50,5655.00,5661.50,1017
2026-04-28T13:25:00+05:30,5659.50,5660.00,5656.00,5659.50,556
2026-04-28T13:30:00+05:30,5660.00,5661.00,5656.00,5656.50,780
2026-04-28T13:35:00+05:30,5658.00,5661.00,5655.00,5657.50,782
2026-04-28T13:40:00+05:30,5659.50,5661.00,5655.50,5659.50,1247
2026-04-28T13:45:00+05:30,5659.50,5663.50,5655.50,5662.00,1270
2026-04-28T13:50:00+05:30,5660.50,5668.00,5660.00,5665.50,1760
2026-04-28T13:55:00+05:30,5667.00,5674.50,5665.50,5665.50,1799
2026-04-28T14:00:00+05:30,5668.50,5671.00,5665.00,5665.50,1353
2026-04-28T14:05:00+05:30,5667.00,5668.00,5665.00,5665.00,891
2026-04-28T14:10:00+05:30,5667.00,5667.00,5658.50,5665.00,8405
2026-04-28T14:15:00+05:30,5665.50,5666.50,5660.00,5661.50,5546
2026-04-28T14:20:00+05:30,5663.50,5667.00,5663.00,5663.00,1964
2026-04-28T14:25:00+05:30,5664.00,5664.50,5652.50,5652.50,1809
2026-04-28T14:30:00+05:30,5655.00,5666.00,5655.00,5658.50,3702
2026-04-28T14:35:00+05:30,5658.50,5669.50,5656.50,5666.50,4485
2026-04-28T14:40:00+05:30,5669.00,5670.50,5663.00,5669.00,3520
2026-04-28T14:45:00+05:30,5669.00,5671.50,5666.50,5668.50,3782
2026-04-28T14:50:00+05:30,5670.00,5675.00,5667.00,5671.50,4223
2026-04-28T14:55:00+05:30,5673.50,5675.00,5668.00,5670.00,4438
2026-04-28T15:00:00+05:30,5671.50,5671.50,5650.50,5664.50,19124
2026-04-28T15:05:00+05:30,5664.00,5664.50,5655.00,5660.00,6937
2026-04-28T15:10:00+05:30,5660.50,5666.50,5659.50,5664.00,5611
2026-04-28T15:15:00+05:30,5665.00,5669.00,5659.50,5665.00,8124
2026-04-28T15:20:00+05:30,5665.00,5665.00,5660.00,5662.50,6579
2026-04-28T15:25:00+05:30,5662.50,5677.00,5660.00,5670.00,9235
2026-04-29T09:15:00+05:30,5684.00,5692.50,5684.00,5685.50,0
2026-04-29T09:20:00+05:30,5686.50,5699.50,5683.50,5699.50,3466
2026-04-29T09:25:00+05:30,5699.50,5730.00,5699.50,5725.50,8708
2026-04-29T09:30:00+05:30,5726.00,5729.00,5716.50,5716.50,2870
2026-04-29T09:35:00+05:30,5716.50,5723.50,5709.50,5713.00,3767
2026-04-29T09:40:00+05:30,5716.50,5726.00,5707.00,5722.50,5582
2026-04-29T09:45:00+05:30,5722.00,5730.00,5719.00,5730.00,1647
2026-04-29T09:50:00+05:30,5727.00,5730.00,5723.50,5727.00,1810
2026-04-29T09:55:00+05:30,5724.50,5724.50,5716.50,5716.50,2206
2026-04-29T10:00:00+05:30,5716.50,5719.00,5715.50,5718.50,1642
2026-04-29T10:05:00+05:30,5717.00,5718.50,5711.50,5716.00,1064
2026-04-29T10:10:00+05:30,5716.00,5716.00,5714.00,5715.50,440
