ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,141.25,142.40,141.20,141.70,0
2026-04-27T09:20:00+05:30,141.65,142.40,141.65,141.80,554954
2026-04-27T09:25:00+05:30,141.75,141.75,141.30,141.40,316386
2026-04-27T09:30:00+05:30,141.45,141.50,141.10,141.10,652688
2026-04-27T09:35:00+05:30,141.10,141.10,140.65,140.90,285502
2026-04-27T09:40:00+05:30,140.90,141.10,140.75,140.85,202856
2026-04-27T09:45:00+05:30,140.95,141.15,140.85,141.10,221289
2026-04-27T09:50:00+05:30,141.10,141.20,140.95,141.20,186519
2026-04-27T09:55:00+05:30,141.20,141.40,141.10,141.20,278351
2026-04-27T10:00:00+05:30,141.20,141.20,140.80,140.85,346357
2026-04-27T10:05:00+05:30,140.80,141.05,140.70,140.75,225299
2026-04-27T10:10:00+05:30,140.75,141.00,140.70,140.70,136422
2026-04-27T10:15:00+05:30,140.70,140.90,140.70,140.75,117909
2026-04-27T10:20:00+05:30,140.75,140.75,140.50,140.60,115482
2026-04-27T10:25:00+05:30,140.55,140.70,140.50,140.65,110445
2026-04-27T10:30:00+05:30,140.60,140.65,140.30,140.40,257281
2026-04-27T10:35:00+05:30,140.40,140.55,140.30,140.55,269403
2026-04-27T10:40:00+05:30,140.55,140.55,140.40,140.45,49133
2026-04-27T10:45:00+05:30,140.45,140.70,140.40,140.65,93123
2026-04-27T10:50:00+05:30,140.65,140.70,140.60,140.60,116412
2026-04-27T10:55:00+05:30,140.60,140.65,140.40,140.40,69216
2026-04-27T11:00:00+05:30,140.45,140.50,140.35,140.50,101577
2026-04-27T11:05:00+05:30,140.45,140.50,140.35,140.40,81832
2026-04-27T11:10:00+05:30,140.35,140.40,140.30,140.30,89710
2026-04-27T11:15:00+05:30,140.30,140.45,140.30,140.40,106307
2026-04-27T11:20:00+05:30,140.45,140.50,140.30,140.30,192712
2026-04-27T11:25:00+05:30,140.25,140.25,140.10,140.25,255986
2026-04-27T11:30:00+05:30,140.30,140.35,140.20,140.20,98927
2026-04-27T11:35:00+05:30,140.25,140.25,139.90,139.95,229908
2026-04-27T11:40:00+05:30,140.00,140.25,139.95,140.15,90836
2026-04-27T11:45:00+05:30,140.15,140.50,140.15,140.45,118633
2026-04-27T11:50:00+05:30,140.45,140.45,140.30,140.40,57307
2026-04-27T11:55:00+05:30,140.40,140.45,140.20,140.30,181355
2026-04-27T12:00:00+05:30,140.30,140.30,139.90,140.00,101265
2026-04-27T12:05:00+05:30,140.00,140.00,139.85,139.85,117427
2026-04-27T12:10:00+05:30,139.90,140.25,139.80,140.05,145310
2026-04-27T12:15:00+05:30,140.10,140.20,140.00,140.05,333548
2026-04-27T12:20:00+05:30,140.05,140.05,139.85,139.90,139954
2026-04-27T12:25:00+05:30,139.95,140.00,139.90,139.90,61673
2026-04-27T12:30:00+05:30,139.90,140.05,139.85,140.05,66362
2026-04-27T12:35:00+05:30,140.05,140.20,140.00,140.10,70777
2026-04-27T12:40:00+05:30,140.05,140.10,139.90,140.00,64355
2026-04-27T12:45:00+05:30,140.00,140.00,139.90,139.95,60737
2026-04-27T12:50:00+05:30,139.95,140.00,139.90,139.95,72471
2026-04-27T12:55:00+05:30,139.90,139.95,139.85,139.90,75026
2026-04-27T13:00:00+05:30,139.90,140.25,139.90,140.25,155360
2026-04-27T13:05:00+05:30,140.20,140.30,140.15,140.25,82158
