ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1574.00,1574.00,1537.50,1541.50,0
2026-04-27T09:20:00+05:30,1541.00,1551.90,1541.00,1542.00,36711
2026-04-27T09:25:00+05:30,1542.20,1545.50,1540.30,1545.50,25007
2026-04-27T09:30:00+05:30,1548.00,1549.90,1543.20,1544.50,14694
2026-04-27T09:35:00+05:30,1544.50,1551.00,1543.30,1547.60,26516
2026-04-27T09:40:00+05:30,1549.20,1550.10,1547.60,1549.00,7360
2026-04-27T09:45:00+05:30,1549.60,1550.40,1545.50,1548.40,10936
2026-04-27T09:50:00+05:30,1548.80,1551.50,1546.40,1550.40,11434
2026-04-27T09:55:00+05:30,1551.20,1551.40,1548.20,1549.00,7329
2026-04-27T10:00:00+05:30,1549.40,1549.60,1546.20,1546.20,8356
2026-04-27T10:05:00+05:30,1546.20,1546.20,1540.30,1540.30,10259
2026-04-27T10:10:00+05:30,1541.50,1541.50,1535.00,1535.90,27221
2026-04-27T10:15:00+05:30,1535.70,1539.40,1535.70,1538.90,12886
2026-04-27T10:20:00+05:30,1538.70,1539.00,1535.50,1538.00,25456
2026-04-27T10:25:00+05:30,1538.00,1538.40,1535.30,1538.00,39036
2026-04-27T10:30:00+05:30,1538.10,1538.50,1535.60,1536.80,46606
2026-04-27T10:35:00+05:30,1538.00,1541.60,1535.10,1539.20,42906
2026-04-27T10:40:00+05:30,1539.50,1549.00,1539.20,1548.10,20564
2026-04-27T10:45:00+05:30,1549.40,1557.70,1548.00,1555.50,38189
2026-04-27T10:50:00+05:30,1555.00,1558.00,1554.00,1558.00,16378
2026-04-27T10:55:00+05:30,1557.90,1560.50,1557.50,1559.40,16519
2026-04-27T11:00:00+05:30,1560.00,1561.90,1559.20,1559.70,32764
2026-04-27T11:05:00+05:30,1560.40,1563.30,1558.00,1560.00,44883
2026-04-27T11:10:00+05:30,1560.70,1562.90,1558.70,1560.00,98525
2026-04-27T11:15:00+05:30,1560.80,1563.00,1558.90,1559.30,171407
2026-04-27T11:20:00+05:30,1559.30,1559.50,1550.50,1551.80,19140
2026-04-27T11:25:00+05:30,1552.30,1559.60,1551.40,1559.60,9438
2026-04-27T11:30:00+05:30,1559.50,1560.00,1558.80,1559.50,14217
2026-04-27T11:35:00+05:30,1559.10,1562.40,1559.00,1561.90,48900
2026-04-27T11:40:00+05:30,1561.30,1561.30,1559.20,1560.00,7605
2026-04-27T11:45:00+05:30,1559.70,1559.70,1556.70,1558.10,5736
2026-04-27T11:50:00+05:30,1558.50,1558.50,1557.60,1557.80,2876
2026-04-27T11:55:00+05:30,1557.80,1557.90,1550.90,1554.80,56268
2026-04-27T12:00:00+05:30,1554.80,1555.30,1554.00,1554.70,38373
2026-04-27T12:05:00+05:30,1554.10,1556.70,1552.60,1556.70,9827
2026-04-27T12:10:00+05:30,1554.80,1555.40,1554.00,1554.00,40344
2026-04-27T12:15:00+05:30,1554.00,1555.30,1553.30,1553.40,56973
2026-04-27T12:20:00+05:30,1553.30,1553.30,1548.70,1549.20,13783
2026-04-27T12:25:00+05:30,1550.00,1551.90,1550.00,1551.30,34091
2026-04-27T12:30:00+05:30,1551.80,1554.00,1551.20,1553.70,32291
2026-04-27T12:35:00+05:30,1553.60,1554.00,1551.00,1551.00,5264
2026-04-27T12:40:00+05:30,1551.00,1551.50,1548.90,1549.10,6988
2026-04-27T12:45:00+05:30,1548.40,1550.90,1548.40,1550.40,30208
2026-04-27T12:50:00+05:30,1550.00,1551.40,1550.00,1551.30,8391
2026-04-27T12:55:00+05:30,1551.40,1553.60,1551.40,1552.90,30047
2026-04-27T13:00:00+05:30,1553.20,1554.00,1552.40,1552.90,4411
2026-04-27T13:05:00+05:30,1552.90,1552.90,1550.40,1552.00,54030
2026-04-27T13:10:00+05:30,1551.90,1552.90,1551.00,1552.90,35232
2026-04-27T13:15:00+05:30,1552.90,1554.90,1550.50,1551.80,78026
2026-04-27T13:20:00+05:30,1551.30,1553.20,1551.00,1551.90,70033
2026-04-27T13:25:00+05:30,1551.00,1556.70,1550.40,1553.70,19464
2026-04-27T13:30:00+05:30,1553.70,1559.90,1553.70,1559.60,94522
2026-04-27T13:35:00+05:30,1559.70,1560.20,1557.70,1557.90,38324
2026-04-27T13:40:00+05:30,1557.90,1559.80,1555.80,1559.80,39708
2026-04-27T13:45:00+05:30,1559.80,1560.90,1559.10,1560.80,63150
2026-04-27T13:50:00+05:30,1560.80,1569.10,1560.00,1567.50,155929
2026-04-27T13:55:00+05:30,1566.90,1567.00,1563.90,1565.00,6815
2026-04-27T14:00:00+05:30,1564.80,1564.90,1561.70,1564.90,15929
2026-04-27T14:05:00+05:30,1564.40,1564.90,1562.90,1563.00,6888
2026-04-27T14:10:00+05:30,1563.10,1563.10,1559.90,1560.80,39536
2026-04-27T14:15:00+05:30,1560.20,1563.00,1559.90,1562.60,88877
2026-04-27T14:20:00+05:30,1562.20,1563.90,1560.50,1563.90,71882
2026-04-27T14:25:00+05:30,1563.40,1564.70,1563.40,1563.90,42457
2026-04-27T14:30:00+05:30,1563.90,1566.80,1563.90,1566.80,41100
2026-04-27T14:35:00+05:30,1566.70,1569.10,1566.30,1569.10,33423
2026-04-27T14:40:00+05:30,1569.10,1569.50,1560.80,1562.70,109837
2026-04-27T14:45:00+05:30,1562.60,1563.50,1559.90,1561.30,80775
2026-04-27T14:50:00+05:30,1561.40,1561.70,1557.60,1560.50,32542
2026-04-27T14:55:00+05:30,1559.90,1562.20,1559.60,1560.30,18525
2026-04-27T15:00:00+05:30,1560.20,1560.30,1558.40,1559.60,21135
