ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1304.20,1311.40,1299.50,1305.20,0
2026-04-27T09:20:00+05:30,1305.90,1311.60,1305.90,1306.20,31646
2026-04-27T09:25:00+05:30,1306.50,1307.10,1299.70,1300.80,37763
2026-04-27T09:30:00+05:30,1301.70,1302.50,1300.00,1301.20,19445
2026-04-27T09:35:00+05:30,1301.80,1305.00,1301.80,1303.50,24880
2026-04-27T09:40:00+05:30,1304.20,1310.60,1304.20,1309.60,37752
2026-04-27T09:45:00+05:30,1310.10,1312.00,1309.70,1311.00,17118
2026-04-27T09:50:00+05:30,1310.30,1312.40,1309.00,1310.90,20432
2026-04-27T09:55:00+05:30,1310.60,1310.90,1309.00,1309.20,9779
2026-04-27T10:00:00+05:30,1309.40,1311.70,1308.40,1310.60,15645
2026-04-27T10:05:00+05:30,1310.10,1313.50,1309.80,1312.30,16660
2026-04-27T10:10:00+05:30,1312.60,1313.80,1310.20,1311.30,46280
2026-04-27T10:15:00+05:30,1313.00,1317.50,1313.00,1317.50,38306
2026-04-27T10:20:00+05:30,1317.40,1318.50,1316.50,1318.00,26427
2026-04-27T10:25:00+05:30,1317.40,1318.00,1313.40,1315.00,25050
2026-04-27T10:30:00+05:30,1315.00,1316.00,1314.40,1315.20,39122
2026-04-27T10:35:00+05:30,1314.80,1315.30,1312.20,1313.90,18933
2026-04-27T10:40:00+05:30,1313.90,1317.00,1313.80,1314.90,16971
2026-04-27T10:45:00+05:30,1315.00,1317.00,1314.60,1316.60,22705
2026-04-27T10:50:00+05:30,1316.90,1320.30,1316.80,1319.60,50168
2026-04-27T10:55:00+05:30,1319.50,1319.50,1315.20,1315.50,16872
2026-04-27T11:00:00+05:30,1315.50,1315.90,1314.50,1315.30,11832
2026-04-27T11:05:00+05:30,1315.40,1315.40,1311.60,1312.50,18760
2026-04-27T11:10:00+05:30,1312.50,1314.40,1312.50,1313.00,11425
2026-04-27T11:15:00+05:30,1313.00,1314.90,1311.50,1312.30,19504
2026-04-27T11:20:00+05:30,1312.50,1313.00,1309.70,1312.00,53769
2026-04-27T11:25:00+05:30,1312.00,1314.70,1312.00,1313.70,8521
2026-04-27T11:30:00+05:30,1313.80,1314.90,1313.00,1314.10,8418
2026-04-27T11:35:00+05:30,1314.00,1314.90,1313.10,1314.10,13119
2026-04-27T11:40:00+05:30,1314.10,1316.70,1314.10,1316.00,13902
2026-04-27T11:45:00+05:30,1316.00,1318.70,1316.00,1318.20,12241
2026-04-27T11:50:00+05:30,1318.00,1318.30,1315.20,1315.60,13892
2026-04-27T11:55:00+05:30,1315.60,1315.80,1313.50,1314.50,16396
2026-04-27T12:00:00+05:30,1314.10,1314.40,1312.80,1314.40,38204
2026-04-27T12:05:00+05:30,1314.20,1315.70,1312.90,1312.90,49570
2026-04-27T12:10:00+05:30,1312.40,1313.70,1312.20,1313.00,11671
2026-04-27T12:15:00+05:30,1313.00,1314.10,1312.90,1314.10,6121
2026-04-27T12:20:00+05:30,1313.30,1313.50,1312.40,1313.50,5542
2026-04-27T12:25:00+05:30,1313.40,1314.00,1313.20,1313.30,4238
2026-04-27T12:30:00+05:30,1313.30,1314.60,1312.80,1314.00,9371
2026-04-27T12:35:00+05:30,1313.50,1314.70,1312.90,1313.50,13427
2026-04-27T12:40:00+05:30,1313.40,1314.50,1313.40,1313.90,4184
2026-04-27T12:45:00+05:30,1313.90,1314.80,1313.80,1314.30,6234
2026-04-27T12:50:00+05:30,1314.00,1314.70,1313.60,1314.70,8757
2026-04-27T12:55:00+05:30,1314.70,1314.80,1313.80,1314.30,5741
2026-04-27T13:00:00+05:30,1313.80,1314.60,1313.80,1314.40,4488
2026-04-27T13:05:00+05:30,1314.50,1315.40,1314.00,1315.00,8462
2026-04-27T13:10:00+05:30,1314.90,1318.00,1314.90,1317.20,83443
2026-04-27T13:15:00+05:30,1317.20,1317.70,1316.10,1317.10,11193
2026-04-27T13:20:00+05:30,1317.10,1317.10,1316.00,1316.40,14039
2026-04-27T13:25:00+05:30,1316.40,1316.70,1315.10,1315.50,17985
2026-04-27T13:30:00+05:30,1315.00,1316.00,1314.60,1315.00,14267
