ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,458.50,458.85,455.15,458.45,0
2026-04-27T09:20:00+05:30,458.80,460.35,458.80,460.00,271190
2026-04-27T09:25:00+05:30,459.90,460.50,459.45,459.45,128247
2026-04-27T09:30:00+05:30,459.65,459.65,457.20,457.40,174718
2026-04-27T09:35:00+05:30,457.50,458.65,457.10,457.10,96819
2026-04-27T09:40:00+05:30,457.50,457.50,455.65,456.50,149552
2026-04-27T09:45:00+05:30,456.50,457.20,456.40,456.85,65340
2026-04-27T09:50:00+05:30,456.75,457.00,456.10,456.75,54296
2026-04-27T09:55:00+05:30,456.50,456.65,455.65,455.75,83083
2026-04-27T10:00:00+05:30,455.85,455.90,452.55,452.70,187795
2026-04-27T10:05:00+05:30,452.80,453.50,452.60,452.60,86390
2026-04-27T10:10:00+05:30,453.05,453.05,451.50,452.05,170724
2026-04-27T10:15:00+05:30,452.35,453.50,452.30,453.50,75738
2026-04-27T10:20:00+05:30,453.45,453.60,452.60,453.00,45115
2026-04-27T10:25:00+05:30,453.15,453.15,451.65,452.70,65859
2026-04-27T10:30:00+05:30,452.55,452.90,452.10,452.50,36108
2026-04-27T10:35:00+05:30,452.55,452.55,451.20,451.70,74384
2026-04-27T10:40:00+05:30,451.70,452.60,451.70,452.30,40649
2026-04-27T10:45:00+05:30,452.10,452.25,451.70,451.90,40240
2026-04-27T10:50:00+05:30,452.15,452.85,452.15,452.70,39127
2026-04-27T10:55:00+05:30,452.70,452.85,451.60,451.60,51679
2026-04-27T11:00:00+05:30,451.80,452.25,451.65,451.70,40748
2026-04-27T11:05:00+05:30,451.85,451.85,450.75,450.85,81327
2026-04-27T11:10:00+05:30,450.85,451.80,450.85,451.80,35818
2026-04-27T11:15:00+05:30,451.80,453.35,451.80,453.25,83488
2026-04-27T11:20:00+05:30,453.25,453.50,452.90,453.40,48794
2026-04-27T11:25:00+05:30,453.35,453.35,452.05,452.15,223809
2026-04-27T11:30:00+05:30,452.00,452.75,451.50,451.55,53165
2026-04-27T11:35:00+05:30,451.60,452.10,451.45,451.85,61139
2026-04-27T11:40:00+05:30,451.85,452.05,451.35,451.75,27436
2026-04-27T11:45:00+05:30,451.75,452.45,451.65,452.35,42472
2026-04-27T11:50:00+05:30,452.55,452.55,451.90,452.00,51347
2026-04-27T11:55:00+05:30,451.90,452.15,451.25,451.80,34384
2026-04-27T12:00:00+05:30,451.75,451.80,451.15,451.60,28515
2026-04-27T12:05:00+05:30,451.35,451.80,451.10,451.45,42597
2026-04-27T12:10:00+05:30,451.25,452.15,451.25,452.00,29033
2026-04-27T12:15:00+05:30,452.00,452.15,451.55,451.90,23803
2026-04-27T12:20:00+05:30,451.70,452.35,451.35,452.30,44503
2026-04-27T12:25:00+05:30,452.45,453.00,451.60,451.90,66841
2026-04-27T12:30:00+05:30,452.00,452.35,451.75,452.20,27058
2026-04-27T12:35:00+05:30,452.25,452.75,452.25,452.35,28075
2026-04-27T12:40:00+05:30,452.35,452.65,452.20,452.60,30218
2026-04-27T12:45:00+05:30,452.60,452.70,452.25,452.55,15773
2026-04-27T12:50:00+05:30,452.55,452.70,452.35,452.60,30999
2026-04-27T12:55:00+05:30,452.60,452.90,452.20,452.30,31050
2026-04-27T13:00:00+05:30,452.40,452.75,452.30,452.50,25076
2026-04-27T13:05:00+05:30,452.65,453.35,452.50,453.10,66120
2026-04-27T13:10:00+05:30,453.25,453.85,453.05,453.85,78123
2026-04-27T13:15:00+05:30,453.70,454.40,453.70,454.20,76220
2026-04-27T13:20:00+05:30,454.10,454.80,453.65,454.60,70544
2026-04-27T13:25:00+05:30,454.65,455.00,454.30,454.40,46914
2026-04-27T13:30:00+05:30,454.30,454.75,453.80,453.80,56789
2026-04-27T13:35:00+05:30,453.95,454.40,452.80,452.80,248405
2026-04-27T13:40:00+05:30,453.00,453.00,452.50,452.75,81836
2026-04-27T13:45:00+05:30,452.80,453.00,452.60,452.75,96218
2026-04-27T13:50:00+05:30,452.75,453.20,452.60,453.00,116035
2026-04-27T13:55:00+05:30,453.20,454.05,452.75,453.75,148487
2026-04-27T14:00:00+05:30,453.85,454.00,453.15,453.60,54244
2026-04-27T14:05:00+05:30,453.60,454.00,453.40,453.60,34162
2026-04-27T14:10:00+05:30,453.55,453.90,452.60,453.30,208693
2026-04-27T14:15:00+05:30,453.30,453.30,452.40,452.80,46702
2026-04-27T14:20:00+05:30,452.75,452.90,452.35,452.35,38296
2026-04-27T14:25:00+05:30,452.35,452.40,451.90,452.20,67803
2026-04-27T14:30:00+05:30,452.20,452.55,451.70,452.20,41170
2026-04-27T14:35:00+05:30,452.15,452.70,451.95,452.70,46180
2026-04-27T14:40:00+05:30,452.70,452.70,452.35,452.60,37051
2026-04-27T14:45:00+05:30,452.60,453.10,452.40,453.00,207286
2026-04-27T14:50:00+05:30,453.00,453.10,452.30,452.95,92561
2026-04-27T14:55:00+05:30,453.05,453.15,452.65,452.75,48246
2026-04-27T15:00:00+05:30,452.75,452.90,452.05,452.85,97851
2026-04-27T15:05:00+05:30,452.70,453.15,452.25,452.50,120967
2026-04-27T15:10:00+05:30,452.70,452.70,451.80,452.00,147705
2026-04-27T15:15:00+05:30,451.80,451.95,451.00,451.35,259715
2026-04-27T15:20:00+05:30,451.30,453.00,451.30,453.00,290848
2026-04-27T15:25:00+05:30,452.85,454.95,452.75,454.95,404350
2026-04-28T09:15:00+05:30,456.70,465.75,456.70,464.35,0
2026-04-28T09:20:00+05:30,464.35,467.85,463.50,467.70,1412826
2026-04-28T09:25:00+05:30,468.00,470.00,467.85,469.00,1289964
2026-04-28T09:30:00+05:30,469.20,473.85,468.20,472.85,1745412
2026-04-28T09:35:00+05:30,473.25,473.55,468.85,469.20,1489019
2026-04-28T09:40:00+05:30,469.20,473.65,469.10,473.00,1205311
2026-04-28T09:45:00+05:30,473.10,473.10,470.40,471.20,946909
2026-04-28T09:50:00+05:30,471.20,472.70,470.05,470.90,627840
2026-04-28T09:55:00+05:30,470.90,471.20,469.85,470.35,393859
2026-04-28T10:00:00+05:30,470.50,470.50,468.75,469.80,532870
2026-04-28T10:05:00+05:30,470.00,470.80,469.00,470.45,301689
2026-04-28T10:10:00+05:30,470.50,472.15,470.25,472.00,556184
2026-04-28T10:15:00+05:30,471.85,472.15,470.30,470.50,358480
2026-04-28T10:20:00+05:30,470.55,470.60,470.00,470.15,191256
2026-04-28T10:25:00+05:30,470.35,471.00,470.20,470.35,162122
2026-04-28T10:30:00+05:30,470.35,471.40,470.10,471.00,176330
2026-04-28T10:35:00+05:30,470.90,471.00,470.30,470.55,116842
2026-04-28T10:40:00+05:30,470.70,472.10,470.50,471.90,400354
2026-04-28T10:45:00+05:30,471.95,472.45,471.45,471.95,248893
2026-04-28T10:50:00+05:30,471.80,472.00,470.25,470.55,244707
2026-04-28T10:55:00+05:30,470.40,470.75,470.10,470.20,154312
2026-04-28T11:00:00+05:30,470.25,470.45,469.60,469.90,290448
2026-04-28T11:05:00+05:30,469.85,470.15,469.00,469.20,209824
2026-04-28T11:10:00+05:30,469.35,469.95,469.20,469.70,122370
2026-04-28T11:15:00+05:30,469.70,471.20,469.60,471.05,277997
2026-04-28T11:20:00+05:30,471.20,471.20,470.20,470.30,149093
2026-04-28T11:25:00+05:30,470.40,470.50,468.85,469.60,350643
2026-04-28T11:30:00+05:30,469.55,470.45,469.15,470.10,320090
2026-04-28T11:35:00+05:30,470.20,472.00,470.20,470.55,611540
2026-04-28T11:40:00+05:30,470.60,470.60,469.60,470.25,396326
2026-04-28T11:45:00+05:30,470.25,470.40,469.10,470.40,182301
2026-04-28T11:50:00+05:30,470.25,470.55,469.20,469.65,126745
2026-04-28T11:55:00+05:30,469.75,469.90,469.40,469.40,135698
2026-04-28T12:00:00+05:30,469.40,469.65,469.05,469.25,131593
2026-04-28T12:05:00+05:30,469.30,469.40,466.45,466.85,699843
2026-04-28T12:10:00+05:30,466.75,468.25,466.60,468.15,146361
2026-04-28T12:15:00+05:30,468.20,468.80,467.45,467.45,242387
2026-04-28T12:20:00+05:30,467.45,467.55,466.00,466.15,217002
2026-04-28T12:25:00+05:30,466.30,467.20,466.10,466.80,190357
2026-04-28T12:30:00+05:30,466.80,466.90,466.15,466.60,83146
2026-04-28T12:35:00+05:30,466.75,467.50,466.50,466.65,125865
2026-04-28T12:40:00+05:30,466.70,467.00,466.25,466.65,126745
2026-04-28T12:45:00+05:30,466.70,467.00,465.55,466.60,332250
2026-04-28T12:50:00+05:30,466.70,467.90,466.70,467.10,273676
2026-04-28T12:55:00+05:30,467.25,468.50,467.10,468.15,190909
2026-04-28T13:00:00+05:30,468.25,468.85,468.05,468.35,76069
2026-04-28T13:05:00+05:30,468.35,468.35,466.00,466.20,279651
2026-04-28T13:10:00+05:30,466.20,466.65,465.60,465.60,130995
2026-04-28T13:15:00+05:30,465.65,466.50,465.65,466.35,193339
2026-04-28T13:20:00+05:30,466.35,466.80,466.20,466.65,59291
2026-04-28T13:25:00+05:30,466.75,467.30,466.40,466.70,94791
2026-04-28T13:30:00+05:30,466.80,466.80,466.25,466.45,37343
2026-04-28T13:35:00+05:30,466.45,466.50,466.00,466.50,120720
2026-04-28T13:40:00+05:30,466.50,467.50,466.40,466.65,108793
2026-04-28T13:45:00+05:30,466.80,467.40,466.45,467.30,50134
2026-04-28T13:50:00+05:30,467.30,467.55,467.15,467.45,73598
2026-04-28T13:55:00+05:30,467.25,467.95,467.25,467.40,90000
2026-04-28T14:00:00+05:30,467.45,467.45,466.40,466.45,80341
2026-04-28T14:05:00+05:30,466.50,466.75,466.00,466.15,208527
2026-04-28T14:10:00+05:30,466.15,466.20,465.60,465.75,107755
2026-04-28T14:15:00+05:30,465.75,465.75,465.30,465.45,105986
2026-04-28T14:20:00+05:30,465.45,465.60,464.95,465.35,343635
2026-04-28T14:25:00+05:30,465.35,465.35,464.70,464.90,194901
2026-04-28T14:30:00+05:30,465.00,465.70,463.70,464.00,360844
2026-04-28T14:35:00+05:30,464.00,464.60,463.85,464.30,182742
2026-04-28T14:40:00+05:30,464.30,464.95,464.15,464.95,90912
2026-04-28T14:45:00+05:30,464.80,465.45,464.80,465.30,168017
2026-04-28T14:50:00+05:30,465.20,465.95,465.20,465.85,149842
2026-04-28T14:55:00+05:30,465.95,467.55,465.30,467.20,421555
2026-04-28T15:00:00+05:30,467.20,467.20,465.90,466.30,189343
2026-04-28T15:05:00+05:30,466.45,466.45,465.35,466.20,186434
2026-04-28T15:10:00+05:30,466.25,466.25,465.30,465.55,272611
2026-04-28T15:15:00+05:30,465.55,467.85,465.30,467.70,549414
2026-04-28T15:20:00+05:30,467.50,468.20,467.10,467.95,511620
2026-04-28T15:25:00+05:30,467.95,468.75,467.00,467.00,548296
2026-04-29T09:15:00+05:30,470.20,473.15,465.80,466.10,0
2026-04-29T09:20:00+05:30,466.20,466.90,464.30,464.75,312366
2026-04-29T09:25:00+05:30,465.05,466.00,464.25,465.80,107832
2026-04-29T09:30:00+05:30,465.65,466.05,464.25,465.75,121707
2026-04-29T09:35:00+05:30,465.90,466.65,465.00,465.55,162379
2026-04-29T09:40:00+05:30,465.55,468.00,465.15,467.80,168965
2026-04-29T09:45:00+05:30,468.20,469.85,468.20,469.30,168217
2026-04-29T09:50:00+05:30,469.30,469.75,468.35,469.75,114844
2026-04-29T09:55:00+05:30,469.65,470.45,469.55,470.15,144585
2026-04-29T10:00:00+05:30,470.00,471.70,469.00,471.60,288235
2026-04-29T10:05:00+05:30,471.55,471.60,470.70,470.80,93753
2026-04-29T10:10:00+05:30,470.65,471.30,470.60,471.00,138638
2026-04-29T10:15:00+05:30,471.30,471.80,471.10,471.60,153588
2026-04-29T10:20:00+05:30,471.60,472.30,471.45,472.10,136321
2026-04-29T10:25:00+05:30,472.05,472.10,470.60,470.70,101830
2026-04-29T10:30:00+05:30,470.60,474.90,470.60,474.50,626643
2026-04-29T10:35:00+05:30,474.40,478.60,474.35,478.30,1063733
2026-04-29T10:40:00+05:30,478.40,481.80,478.15,481.70,847964
2026-04-29T10:45:00+05:30,481.50,484.85,480.30,484.85,960798
2026-04-29T10:50:00+05:30,484.65,485.70,483.30,484.50,699084
2026-04-29T10:55:00+05:30,484.75,485.45,482.30,482.30,558381
2026-04-29T11:00:00+05:30,482.30,484.15,481.60,483.50,867467
2026-04-29T11:05:00+05:30,483.50,484.25,482.95,483.45,482070
2026-04-29T11:10:00+05:30,483.60,484.15,482.40,482.75,543078
2026-04-29T11:15:00+05:30,482.85,483.00,481.65,482.50,248331
2026-04-29T11:20:00+05:30,482.40,482.60,481.60,481.75,136500
2026-04-29T11:25:00+05:30,481.75,481.75,480.60,480.95,259811
2026-04-29T11:30:00+05:30,480.95,482.40,480.85,481.05,432348
2026-04-29T11:35:00+05:30,481.15,482.40,481.05,482.30,215944
2026-04-29T11:40:00+05:30,482.45,482.80,481.45,481.70,336453
2026-04-29T11:45:00+05:30,481.80,481.80,480.95,481.50,293282
2026-04-29T11:50:00+05:30,481.55,482.50,481.55,482.00,124651
2026-04-29T11:55:00+05:30,482.25,483.65,482.20,482.95,367904
2026-04-29T12:00:00+05:30,482.80,483.80,482.80,483.50,125214
2026-04-29T12:05:00+05:30,483.50,483.65,482.80,482.90,137109
2026-04-29T12:10:00+05:30,482.90,483.40,482.20,482.30,81765
2026-04-29T12:15:00+05:30,482.40,483.20,482.25,482.60,73644
2026-04-29T12:20:00+05:30,482.75,483.00,482.35,483.00,46916
2026-04-29T12:25:00+05:30,482.90,483.95,482.90,483.80,320548
2026-04-29T12:30:00+05:30,483.80,484.50,483.45,483.45,273813
2026-04-29T12:35:00+05:30,483.55,484.90,483.00,484.25,428940
2026-04-29T12:40:00+05:30,484.25,484.85,483.45,484.35,261120
2026-04-29T12:45:00+05:30,484.25,484.30,483.40,483.50,65732
2026-04-29T12:50:00+05:30,483.40,483.80,483.10,483.65,82707
2026-04-29T12:55:00+05:30,483.60,484.00,483.60,483.95,52191
2026-04-29T13:00:00+05:30,484.00,484.60,483.95,484.05,106409
2026-04-29T13:05:00+05:30,484.05,484.15,483.05,483.10,100935
2026-04-29T13:10:00+05:30,483.10,483.85,483.00,483.45,137374
2026-04-29T13:15:00+05:30,483.60,483.80,483.40,483.55,42216
2026-04-29T13:20:00+05:30,483.60,483.75,483.15,483.30,69346
2026-04-29T13:25:00+05:30,483.25,483.85,483.20,483.70,66121
2026-04-29T13:30:00+05:30,483.75,483.80,483.10,483.60,71819
2026-04-29T13:35:00+05:30,483.60,483.75,482.30,482.45,147418
2026-04-29T13:40:00+05:30,482.50,482.60,481.35,481.40,137995
2026-04-29T13:45:00+05:30,481.35,481.95,481.25,481.85,94610
2026-04-29T13:50:00+05:30,481.95,482.00,481.70,481.75,49079
2026-04-29T13:55:00+05:30,481.80,481.95,481.15,481.15,143315
2026-04-29T14:00:00+05:30,481.10,481.65,480.80,481.00,101852
