ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,253.65,255.30,253.65,254.00,0
2026-04-27T09:20:00+05:30,253.95,254.90,252.75,253.15,66546
2026-04-27T09:25:00+05:30,253.00,253.50,252.50,252.80,34253
2026-04-27T09:30:00+05:30,253.15,253.35,252.20,252.20,32198
2026-04-27T09:35:00+05:30,252.20,253.10,252.20,252.70,25351
2026-04-27T09:40:00+05:30,253.05,254.50,253.05,254.30,17371
2026-04-27T09:45:00+05:30,254.30,254.50,254.00,254.20,14182
2026-04-27T09:50:00+05:30,254.05,254.55,253.50,254.20,39949
2026-04-27T09:55:00+05:30,254.10,254.45,254.05,254.35,12660
2026-04-27T10:00:00+05:30,254.30,254.50,253.85,253.85,15790
2026-04-27T10:05:00+05:30,254.00,254.10,253.60,253.60,15889
2026-04-27T10:10:00+05:30,253.60,253.80,252.50,252.80,28822
2026-04-27T10:15:00+05:30,252.80,253.75,252.80,253.30,12968
2026-04-27T10:20:00+05:30,253.30,253.60,252.80,253.35,7333
2026-04-27T10:25:00+05:30,253.60,254.45,253.40,254.20,18536
2026-04-27T10:30:00+05:30,254.20,254.45,253.55,254.15,8727
2026-04-27T10:35:00+05:30,254.15,255.80,254.00,255.55,60304
2026-04-27T10:40:00+05:30,255.85,258.10,255.50,257.20,170119
2026-04-27T10:45:00+05:30,257.00,258.40,256.70,258.40,82926
2026-04-27T10:50:00+05:30,258.40,259.25,258.00,258.40,114518
2026-04-27T10:55:00+05:30,258.40,258.60,256.80,257.00,50726
2026-04-27T11:00:00+05:30,257.20,257.35,256.50,256.75,16989
2026-04-27T11:05:00+05:30,256.85,257.80,256.50,257.40,16589
2026-04-27T11:10:00+05:30,257.45,258.25,257.20,257.55,24391
2026-04-27T11:15:00+05:30,257.80,258.30,257.45,257.85,15521
2026-04-27T11:20:00+05:30,257.75,257.95,257.30,257.70,17261
2026-04-27T11:25:00+05:30,257.65,258.00,257.40,257.55,26048
2026-04-27T11:30:00+05:30,257.65,257.70,257.00,257.30,15577
2026-04-27T11:35:00+05:30,257.30,257.45,256.60,256.70,14685
2026-04-27T11:40:00+05:30,256.80,257.25,256.60,256.80,9688
2026-04-27T11:45:00+05:30,256.90,257.30,256.65,257.20,4244
2026-04-27T11:50:00+05:30,257.35,257.55,257.00,257.20,9025
2026-04-27T11:55:00+05:30,257.30,257.45,257.15,257.45,6376
2026-04-27T12:00:00+05:30,257.45,257.50,257.05,257.30,8067
2026-04-27T12:05:00+05:30,257.40,257.55,257.20,257.55,5132
2026-04-27T12:10:00+05:30,257.55,257.75,257.25,257.35,3572
2026-04-27T12:15:00+05:30,257.50,257.80,257.15,257.45,46943
2026-04-27T12:20:00+05:30,257.40,257.75,257.10,257.70,57344
