ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,452.50,456.90,452.50,455.80,0
2026-04-27T09:20:00+05:30,455.70,456.55,454.95,455.05,20272
2026-04-27T09:25:00+05:30,454.95,455.15,452.70,453.45,33770
2026-04-27T09:30:00+05:30,453.75,454.65,453.75,454.55,18804
2026-04-27T09:35:00+05:30,454.20,455.05,454.05,454.05,17945
2026-04-27T09:40:00+05:30,454.00,455.65,453.65,455.50,11325
2026-04-27T09:45:00+05:30,455.95,456.45,455.60,456.15,6326
2026-04-27T09:50:00+05:30,456.40,456.90,455.70,456.25,19242
2026-04-27T09:55:00+05:30,456.55,456.85,456.25,456.45,4266
2026-04-27T10:00:00+05:30,456.65,457.40,456.50,456.55,6489
2026-04-27T10:05:00+05:30,456.50,456.60,455.10,455.30,7334
2026-04-27T10:10:00+05:30,455.15,456.05,455.10,455.35,10439
2026-04-27T10:15:00+05:30,455.40,457.20,455.40,456.95,9659
2026-04-27T10:20:00+05:30,456.95,456.95,455.65,456.10,3785
2026-04-27T10:25:00+05:30,456.10,456.55,456.00,456.35,11168
2026-04-27T10:30:00+05:30,456.45,456.50,455.60,456.10,8585
2026-04-27T10:35:00+05:30,456.10,456.25,455.80,456.10,3135
2026-04-27T10:40:00+05:30,456.00,456.95,455.95,456.65,4431
2026-04-27T10:45:00+05:30,456.75,457.00,456.30,457.00,5861
2026-04-27T10:50:00+05:30,456.90,457.00,456.60,456.70,3491
2026-04-27T10:55:00+05:30,456.70,456.70,456.40,456.55,2411
2026-04-27T11:00:00+05:30,456.50,456.55,455.40,456.10,5009
2026-04-27T11:05:00+05:30,456.05,456.25,455.65,455.65,3023
2026-04-27T11:10:00+05:30,455.70,456.15,455.35,456.10,1924
2026-04-27T11:15:00+05:30,455.80,456.20,455.40,455.65,10515
2026-04-27T11:20:00+05:30,455.65,455.65,455.35,455.40,6222
2026-04-27T11:25:00+05:30,455.20,455.35,454.65,454.90,6054
2026-04-27T11:30:00+05:30,454.80,454.95,454.10,454.10,13321
2026-04-27T11:35:00+05:30,454.40,455.50,454.30,455.50,5044
2026-04-27T11:40:00+05:30,455.70,455.70,454.80,455.05,6270
2026-04-27T11:45:00+05:30,455.05,455.30,454.70,455.25,8651
2026-04-27T11:50:00+05:30,455.25,455.45,454.90,455.10,4939
2026-04-27T11:55:00+05:30,455.20,455.50,455.10,455.35,1640
2026-04-27T12:00:00+05:30,455.10,455.90,454.95,455.05,5730
2026-04-27T12:05:00+05:30,455.05,455.50,454.85,455.25,3089
2026-04-27T12:10:00+05:30,455.10,455.20,454.90,454.90,2434
2026-04-27T12:15:00+05:30,454.95,455.00,454.15,454.20,5957
2026-04-27T12:20:00+05:30,454.30,454.85,453.80,454.85,4360
2026-04-27T12:25:00+05:30,455.00,455.10,454.70,454.70,1637
2026-04-27T12:30:00+05:30,454.75,455.20,454.30,454.90,4085
2026-04-27T12:35:00+05:30,455.00,455.90,454.90,455.35,4987
2026-04-27T12:40:00+05:30,455.35,455.45,455.00,455.45,1902
2026-04-27T12:45:00+05:30,455.40,455.70,455.35,455.40,3708
2026-04-27T12:50:00+05:30,455.40,455.45,454.75,455.20,3343
2026-04-27T12:55:00+05:30,455.15,455.20,454.90,454.90,1603
2026-04-27T13:00:00+05:30,454.80,455.10,454.60,454.75,2493
2026-04-27T13:05:00+05:30,454.60,454.90,454.20,454.85,1810
2026-04-27T13:10:00+05:30,455.00,455.05,454.20,455.05,2326
2026-04-27T13:15:00+05:30,454.85,455.30,454.35,454.35,4790
2026-04-27T13:20:00+05:30,454.55,454.85,454.15,454.50,1496
2026-04-27T13:25:00+05:30,454.90,455.15,454.55,454.55,1092
2026-04-27T13:30:00+05:30,454.95,454.95,454.05,454.15,13285
2026-04-27T13:35:00+05:30,454.25,454.45,454.05,454.15,2273
2026-04-27T13:40:00+05:30,454.10,454.40,453.65,453.65,3571
2026-04-27T13:45:00+05:30,453.80,454.40,453.60,453.65,2034
2026-04-27T13:50:00+05:30,453.30,454.00,453.05,454.00,7297
2026-04-27T13:55:00+05:30,454.00,454.05,453.35,453.70,3151
2026-04-27T14:00:00+05:30,453.95,453.95,453.50,453.60,4137
2026-04-27T14:05:00+05:30,453.30,453.60,453.15,453.15,2559
2026-04-27T14:10:00+05:30,453.35,453.40,453.05,453.25,4779
2026-04-27T14:15:00+05:30,453.25,453.40,453.15,453.30,1872
2026-04-27T14:20:00+05:30,453.30,453.30,452.60,452.80,4985
2026-04-27T14:25:00+05:30,452.80,453.30,452.80,453.30,3081
2026-04-27T14:30:00+05:30,453.25,453.25,451.70,451.80,15638
2026-04-27T14:35:00+05:30,451.80,452.85,451.50,452.80,13577
2026-04-27T14:40:00+05:30,452.85,453.45,452.55,453.45,6792
2026-04-27T14:45:00+05:30,453.40,453.55,453.00,453.45,5282
2026-04-27T14:50:00+05:30,453.50,453.50,452.90,453.15,4227
2026-04-27T14:55:00+05:30,453.10,453.30,452.50,452.85,14230
2026-04-27T15:00:00+05:30,452.20,452.60,451.55,452.10,22695
2026-04-27T15:05:00+05:30,452.30,452.45,451.80,452.25,28818
2026-04-27T15:10:00+05:30,452.40,452.90,452.00,452.00,28292
2026-04-27T15:15:00+05:30,452.30,452.50,451.35,451.75,26802
2026-04-27T15:20:00+05:30,451.65,452.00,451.35,451.80,36454
2026-04-27T15:25:00+05:30,452.00,452.40,451.00,452.40,25349
2026-04-28T09:15:00+05:30,451.00,452.05,450.25,451.80,0
2026-04-28T09:20:00+05:30,452.35,452.85,451.00,451.30,27154
2026-04-28T09:25:00+05:30,451.05,451.95,450.50,450.85,6499
2026-04-28T09:30:00+05:30,451.05,451.10,449.40,449.40,13381
2026-04-28T09:35:00+05:30,449.60,450.00,449.20,449.75,12521
2026-04-28T09:40:00+05:30,450.00,450.80,450.00,450.35,10606
2026-04-28T09:45:00+05:30,450.35,451.00,450.10,450.45,3621
2026-04-28T09:50:00+05:30,450.20,450.80,450.20,450.70,1998
2026-04-28T09:55:00+05:30,450.60,450.70,450.25,450.60,3935
2026-04-28T10:00:00+05:30,450.90,450.90,450.30,450.50,7184
2026-04-28T10:05:00+05:30,450.30,450.35,449.70,449.90,8317
2026-04-28T10:10:00+05:30,449.90,450.15,449.75,450.10,3250
2026-04-28T10:15:00+05:30,450.00,450.40,450.00,450.40,1750
2026-04-28T10:20:00+05:30,450.20,450.70,450.15,450.55,4061
2026-04-28T10:25:00+05:30,450.40,450.60,450.00,450.35,2937
2026-04-28T10:30:00+05:30,450.15,450.15,449.60,449.65,1366
2026-04-28T10:35:00+05:30,449.80,450.10,449.60,450.00,4839
2026-04-28T10:40:00+05:30,449.95,450.15,449.60,450.15,2426
2026-04-28T10:45:00+05:30,449.95,450.20,449.80,449.80,1991
2026-04-28T10:50:00+05:30,449.80,450.15,449.80,450.10,1465
2026-04-28T10:55:00+05:30,450.40,450.50,450.00,450.00,2441
2026-04-28T11:00:00+05:30,450.00,450.00,449.50,449.75,5324
2026-04-28T11:05:00+05:30,449.75,450.30,449.50,450.05,3294
2026-04-28T11:10:00+05:30,449.85,450.45,449.70,449.80,6266
2026-04-28T11:15:00+05:30,449.80,450.00,449.55,449.65,3934
2026-04-28T11:20:00+05:30,449.65,450.90,449.65,450.15,7761
2026-04-28T11:25:00+05:30,450.15,450.25,449.50,449.50,13166
2026-04-28T11:30:00+05:30,449.50,450.30,449.40,450.15,3289
2026-04-28T11:35:00+05:30,450.10,450.25,449.85,449.95,4475
2026-04-28T11:40:00+05:30,449.75,450.35,449.75,450.30,2382
2026-04-28T11:45:00+05:30,450.30,450.55,449.65,449.90,4123
2026-04-28T11:50:00+05:30,450.05,450.55,449.85,449.85,1868
2026-04-28T11:55:00+05:30,449.95,450.20,449.50,449.55,2541
2026-04-28T12:00:00+05:30,449.80,449.90,449.35,449.80,3478
2026-04-28T12:05:00+05:30,449.60,450.35,449.50,449.90,3224
