ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1690.30,1700.00,1685.90,1694.10,0
2026-04-27T09:20:00+05:30,1693.50,1713.40,1691.60,1711.30,11901
2026-04-27T09:25:00+05:30,1709.80,1709.80,1704.30,1707.20,5190
2026-04-27T09:30:00+05:30,1707.30,1713.40,1704.70,1707.10,5052
2026-04-27T09:35:00+05:30,1708.70,1713.20,1704.30,1704.30,2329
2026-04-27T09:40:00+05:30,1705.20,1713.10,1705.20,1708.50,3629
2026-04-27T09:45:00+05:30,1707.60,1710.00,1706.10,1708.90,1393
2026-04-27T09:50:00+05:30,1708.50,1710.00,1706.60,1708.90,602
2026-04-27T09:55:00+05:30,1708.10,1710.10,1705.20,1707.50,2660
2026-04-27T10:00:00+05:30,1708.70,1709.00,1705.60,1707.60,958
2026-04-27T10:05:00+05:30,1704.30,1707.50,1703.60,1705.40,695
2026-04-27T10:10:00+05:30,1705.40,1706.60,1701.00,1701.00,956
2026-04-27T10:15:00+05:30,1701.50,1706.80,1701.50,1706.80,735
2026-04-27T10:20:00+05:30,1705.80,1705.80,1704.50,1704.50,127
2026-04-27T10:25:00+05:30,1705.40,1706.00,1701.40,1703.20,490
2026-04-27T10:30:00+05:30,1703.90,1703.90,1702.30,1703.10,1056
2026-04-27T10:35:00+05:30,1703.10,1703.10,1698.20,1699.30,1397
2026-04-27T10:40:00+05:30,1699.30,1705.00,1698.40,1704.90,458
2026-04-27T10:45:00+05:30,1704.90,1706.50,1702.70,1706.50,640
2026-04-27T10:50:00+05:30,1707.70,1707.80,1705.20,1705.90,3103
2026-04-27T10:55:00+05:30,1706.00,1706.00,1701.90,1701.90,969
2026-04-27T11:00:00+05:30,1700.70,1701.80,1695.30,1697.30,1858
2026-04-27T11:05:00+05:30,1695.60,1698.70,1695.30,1695.30,705
2026-04-27T11:10:00+05:30,1696.70,1697.40,1695.00,1695.10,947
2026-04-27T11:15:00+05:30,1696.40,1696.80,1695.00,1696.00,261
2026-04-27T11:20:00+05:30,1695.00,1695.00,1691.00,1694.00,2286
2026-04-27T11:25:00+05:30,1692.60,1693.90,1692.00,1692.80,1121
2026-04-27T11:30:00+05:30,1692.00,1695.00,1692.00,1693.10,142
2026-04-27T11:35:00+05:30,1692.20,1693.40,1690.00,1690.00,1298
2026-04-27T11:40:00+05:30,1690.70,1690.80,1690.10,1690.10,228
2026-04-27T11:45:00+05:30,1690.80,1692.60,1688.60,1692.60,1245
2026-04-27T11:50:00+05:30,1692.10,1692.20,1690.00,1690.00,758
2026-04-27T11:55:00+05:30,1690.60,1692.80,1690.50,1691.20,221
2026-04-27T12:00:00+05:30,1691.90,1692.00,1691.00,1691.00,229
2026-04-27T12:05:00+05:30,1691.90,1693.70,1691.00,1692.60,234
2026-04-27T12:10:00+05:30,1693.70,1694.10,1692.00,1693.90,778
2026-04-27T12:15:00+05:30,1692.40,1693.90,1692.10,1692.10,190
2026-04-27T12:20:00+05:30,1693.70,1693.70,1692.00,1692.90,803
2026-04-27T12:25:00+05:30,1692.10,1693.70,1692.00,1692.90,275
2026-04-27T12:30:00+05:30,1693.00,1693.60,1692.40,1692.50,590
2026-04-27T12:35:00+05:30,1693.50,1693.60,1691.70,1691.70,156
2026-04-27T12:40:00+05:30,1692.00,1692.00,1684.10,1687.30,4024
2026-04-27T12:45:00+05:30,1686.80,1688.00,1686.80,1687.70,188
2026-04-27T12:50:00+05:30,1687.70,1690.20,1687.00,1690.20,1509
2026-04-27T12:55:00+05:30,1690.20,1691.00,1689.10,1690.20,167
2026-04-27T13:00:00+05:30,1690.20,1692.70,1689.10,1692.70,1172
2026-04-27T13:05:00+05:30,1692.10,1694.60,1692.00,1693.00,225
2026-04-27T13:10:00+05:30,1694.10,1694.10,1691.80,1692.90,963
2026-04-27T13:15:00+05:30,1693.00,1693.10,1692.20,1693.10,191
2026-04-27T13:20:00+05:30,1693.10,1693.10,1690.00,1691.60,529
2026-04-27T13:25:00+05:30,1691.60,1691.60,1690.20,1691.50,221
2026-04-27T13:30:00+05:30,1690.20,1692.00,1690.20,1691.20,1366
2026-04-27T13:35:00+05:30,1691.80,1692.80,1691.00,1692.10,355
2026-04-27T13:40:00+05:30,1692.10,1692.30,1691.20,1691.20,231
2026-04-27T13:45:00+05:30,1691.20,1692.40,1691.00,1691.00,820
2026-04-27T13:50:00+05:30,1690.00,1690.30,1688.60,1689.60,1159
2026-04-27T13:55:00+05:30,1689.60,1689.80,1688.00,1689.20,742
2026-04-27T14:00:00+05:30,1691.00,1691.00,1687.40,1688.00,1746
2026-04-27T14:05:00+05:30,1686.80,1688.40,1686.80,1687.90,168
2026-04-27T14:10:00+05:30,1688.00,1688.40,1687.70,1688.30,511
2026-04-27T14:15:00+05:30,1688.00,1688.30,1686.00,1687.00,644
2026-04-27T14:20:00+05:30,1687.00,1687.00,1685.10,1686.70,520
2026-04-27T14:25:00+05:30,1686.70,1686.80,1685.90,1686.30,131
2026-04-27T14:30:00+05:30,1686.10,1686.10,1682.80,1683.20,951
2026-04-27T14:35:00+05:30,1683.80,1684.00,1680.50,1683.60,531
2026-04-27T14:40:00+05:30,1683.20,1683.20,1682.00,1683.10,163
2026-04-27T14:45:00+05:30,1682.10,1683.60,1681.00,1681.70,663
2026-04-27T14:50:00+05:30,1681.80,1684.70,1681.60,1682.90,647
2026-04-27T14:55:00+05:30,1683.00,1687.20,1683.00,1685.90,1393
2026-04-27T15:00:00+05:30,1686.40,1686.70,1683.40,1685.00,1464
2026-04-27T15:05:00+05:30,1686.10,1687.00,1683.40,1686.00,2321
2026-04-27T15:10:00+05:30,1685.50,1686.20,1684.10,1685.50,1621
2026-04-27T15:15:00+05:30,1685.60,1688.00,1683.50,1685.70,1944
2026-04-27T15:20:00+05:30,1685.80,1686.60,1684.00,1684.00,1898
2026-04-27T15:25:00+05:30,1683.70,1686.30,1681.00,1684.90,3660
2026-04-28T09:15:00+05:30,1684.90,1688.00,1682.00,1687.20,0
2026-04-28T09:20:00+05:30,1687.20,1692.40,1685.20,1687.90,1713
2026-04-28T09:25:00+05:30,1689.90,1689.90,1685.80,1687.00,1788
2026-04-28T09:30:00+05:30,1687.00,1687.00,1680.00,1681.80,1979
2026-04-28T09:35:00+05:30,1683.70,1685.30,1681.80,1683.10,454
2026-04-28T09:40:00+05:30,1683.10,1687.30,1683.10,1686.10,800
2026-04-28T09:45:00+05:30,1685.90,1689.90,1682.40,1682.40,4017
2026-04-28T09:50:00+05:30,1682.40,1683.40,1678.10,1679.60,1273
2026-04-28T09:55:00+05:30,1678.70,1679.60,1674.70,1675.30,1698
2026-04-28T10:00:00+05:30,1676.70,1681.80,1675.40,1680.30,787
2026-04-28T10:05:00+05:30,1680.30,1680.30,1677.20,1678.00,551
2026-04-28T10:10:00+05:30,1677.00,1679.70,1676.50,1678.90,1934
2026-04-28T10:15:00+05:30,1679.70,1681.60,1679.70,1680.70,213
2026-04-28T10:20:00+05:30,1681.10,1683.00,1679.30,1682.20,286
2026-04-28T10:25:00+05:30,1683.60,1686.20,1683.00,1686.00,904
2026-04-28T10:30:00+05:30,1686.00,1686.90,1683.40,1684.10,469
2026-04-28T10:35:00+05:30,1684.30,1685.50,1683.00,1683.00,420
2026-04-28T10:40:00+05:30,1683.00,1683.00,1681.50,1681.50,74
2026-04-28T10:45:00+05:30,1682.00,1684.70,1680.20,1684.70,848
2026-04-28T10:50:00+05:30,1683.50,1686.80,1683.50,1686.00,607
2026-04-28T10:55:00+05:30,1686.00,1687.00,1685.00,1686.50,123
2026-04-28T11:00:00+05:30,1685.50,1686.50,1684.30,1686.00,1254
2026-04-28T11:05:00+05:30,1686.00,1688.30,1686.00,1688.30,649
2026-04-28T11:10:00+05:30,1688.30,1689.90,1685.20,1687.00,1341
2026-04-28T11:15:00+05:30,1688.10,1688.50,1685.20,1686.80,257
2026-04-28T11:20:00+05:30,1685.20,1686.90,1684.10,1685.30,190
2026-04-28T11:25:00+05:30,1683.80,1684.00,1678.10,1678.80,1514
2026-04-28T11:30:00+05:30,1679.00,1679.00,1675.90,1678.70,2505
2026-04-28T11:35:00+05:30,1678.70,1679.30,1676.90,1679.00,409
2026-04-28T11:40:00+05:30,1679.20,1680.90,1676.20,1680.50,927
2026-04-28T11:45:00+05:30,1682.60,1683.90,1680.70,1683.90,2104
2026-04-28T11:50:00+05:30,1682.00,1682.90,1682.00,1682.90,87
2026-04-28T11:55:00+05:30,1683.90,1684.00,1682.40,1684.00,406
2026-04-28T12:00:00+05:30,1683.30,1685.30,1680.60,1680.80,1724
2026-04-28T12:05:00+05:30,1681.80,1684.30,1680.50,1682.20,191
2026-04-28T12:10:00+05:30,1683.80,1683.80,1682.20,1683.30,73
2026-04-28T12:15:00+05:30,1682.00,1683.80,1682.00,1683.70,159
2026-04-28T12:20:00+05:30,1682.10,1683.80,1680.00,1681.70,672
2026-04-28T12:25:00+05:30,1681.90,1682.70,1680.80,1681.30,145
2026-04-28T12:30:00+05:30,1680.50,1682.10,1680.50,1682.10,45
2026-04-28T12:35:00+05:30,1680.40,1682.10,1680.40,1680.40,378
2026-04-28T12:40:00+05:30,1682.10,1682.10,1680.10,1680.30,162
2026-04-28T12:45:00+05:30,1681.20,1681.60,1680.00,1681.60,91
2026-04-28T12:50:00+05:30,1681.70,1681.90,1680.00,1680.50,114
2026-04-28T12:55:00+05:30,1680.30,1682.10,1680.00,1680.00,337
2026-04-28T13:00:00+05:30,1680.20,1680.70,1678.90,1680.00,111
2026-04-28T13:05:00+05:30,1680.10,1680.20,1678.70,1680.20,57
2026-04-28T13:10:00+05:30,1680.20,1682.80,1679.40,1682.80,512
2026-04-28T13:15:00+05:30,1684.30,1687.90,1684.30,1686.40,317
2026-04-28T13:20:00+05:30,1685.70,1687.70,1685.10,1686.30,249
2026-04-28T13:25:00+05:30,1686.90,1692.40,1686.00,1692.40,1093
2026-04-28T13:30:00+05:30,1694.00,1694.00,1688.50,1688.50,749
2026-04-28T13:35:00+05:30,1690.10,1690.10,1685.00,1687.20,1412
2026-04-28T13:40:00+05:30,1686.50,1687.10,1686.50,1686.50,134
2026-04-28T13:45:00+05:30,1686.50,1688.50,1683.70,1683.80,443
2026-04-28T13:50:00+05:30,1683.00,1686.10,1683.00,1686.10,314
2026-04-28T13:55:00+05:30,1687.80,1688.60,1686.60,1686.70,209
2026-04-28T14:00:00+05:30,1688.20,1688.20,1684.10,1685.90,336
2026-04-28T14:05:00+05:30,1685.00,1685.60,1681.90,1683.50,552
2026-04-28T14:10:00+05:30,1685.10,1685.10,1682.00,1683.30,257
2026-04-28T14:15:00+05:30,1681.10,1684.10,1680.50,1682.20,454
2026-04-28T14:20:00+05:30,1683.50,1685.10,1682.20,1685.10,335
2026-04-28T14:25:00+05:30,1686.80,1687.50,1683.80,1685.70,211
2026-04-28T14:30:00+05:30,1685.60,1687.20,1685.60,1685.70,815
2026-04-28T14:35:00+05:30,1685.70,1686.90,1683.20,1683.20,1252
2026-04-28T14:40:00+05:30,1682.30,1686.10,1682.30,1686.10,708
2026-04-28T14:45:00+05:30,1684.50,1687.00,1683.50,1686.90,474
2026-04-28T14:50:00+05:30,1686.00,1686.70,1684.40,1685.00,409
2026-04-28T14:55:00+05:30,1685.10,1688.20,1684.70,1687.50,1515
2026-04-28T15:00:00+05:30,1689.00,1689.00,1681.20,1682.10,1192
2026-04-28T15:05:00+05:30,1682.10,1682.50,1680.90,1682.40,782
2026-04-28T15:10:00+05:30,1686.60,1686.60,1683.10,1684.00,1944
2026-04-28T15:15:00+05:30,1683.40,1684.00,1682.10,1682.60,1731
2026-04-28T15:20:00+05:30,1682.30,1682.40,1677.80,1679.10,3389
2026-04-28T15:25:00+05:30,1681.80,1687.00,1676.50,1685.00,2171
2026-04-29T09:15:00+05:30,1687.60,1695.50,1685.10,1695.50,0
2026-04-29T09:20:00+05:30,1694.50,1697.00,1686.50,1697.00,3023
2026-04-29T09:25:00+05:30,1697.90,1709.70,1692.80,1704.70,3104
2026-04-29T09:30:00+05:30,1704.80,1706.70,1699.80,1700.20,3154
2026-04-29T09:35:00+05:30,1698.20,1700.00,1689.20,1691.80,2320
2026-04-29T09:40:00+05:30,1692.00,1692.50,1689.10,1690.20,1278
2026-04-29T09:45:00+05:30,1691.80,1691.80,1685.50,1688.20,2232
2026-04-29T09:50:00+05:30,1688.50,1688.50,1680.20,1680.80,1619
2026-04-29T09:55:00+05:30,1682.80,1684.40,1681.10,1684.00,843
2026-04-29T10:00:00+05:30,1684.70,1686.00,1683.50,1684.50,275
2026-04-29T10:05:00+05:30,1684.50,1685.60,1683.80,1684.00,574
2026-04-29T10:10:00+05:30,1683.90,1684.00,1681.20,1684.00,463
2026-04-29T10:15:00+05:30,1684.10,1687.70,1682.00,1683.60,748
2026-04-29T10:20:00+05:30,1683.50,1688.40,1683.50,1685.70,373
2026-04-29T10:25:00+05:30,1687.00,1687.00,1682.70,1685.70,756
2026-04-29T10:30:00+05:30,1687.00,1687.00,1685.40,1686.70,585
2026-04-29T10:35:00+05:30,1686.00,1686.00,1682.00,1682.00,315
2026-04-29T10:40:00+05:30,1683.30,1703.90,1681.70,1702.80,4258
2026-04-29T10:45:00+05:30,1702.80,1707.00,1701.40,1703.00,4848
2026-04-29T10:50:00+05:30,1700.90,1703.40,1700.90,1701.40,516
2026-04-29T10:55:00+05:30,1701.70,1702.10,1699.10,1700.00,3105
2026-04-29T11:00:00+05:30,1701.90,1704.50,1700.70,1703.80,1341
2026-04-29T11:05:00+05:30,1704.00,1707.30,1701.00,1707.30,2955
2026-04-29T11:10:00+05:30,1707.50,1729.70,1705.60,1723.10,22454
2026-04-29T11:15:00+05:30,1723.30,1727.80,1716.30,1725.40,4128
2026-04-29T11:20:00+05:30,1727.00,1738.90,1724.60,1738.60,10021
2026-04-29T11:25:00+05:30,1736.70,1738.50,1731.20,1731.90,13600
2026-04-29T11:30:00+05:30,1730.70,1740.60,1730.70,1736.40,7744
2026-04-29T11:35:00+05:30,1735.00,1748.00,1735.00,1741.90,13367
2026-04-29T11:40:00+05:30,1741.90,1742.40,1737.00,1737.00,6418
2026-04-29T11:45:00+05:30,1737.00,1738.30,1723.70,1726.20,7583
2026-04-29T11:50:00+05:30,1725.90,1734.80,1724.00,1732.00,3169
2026-04-29T11:55:00+05:30,1733.20,1734.00,1731.00,1732.00,1225
2026-04-29T12:00:00+05:30,1732.00,1734.50,1731.00,1731.10,2541
2026-04-29T12:05:00+05:30,1731.90,1735.00,1731.60,1735.00,1920
2026-04-29T12:10:00+05:30,1735.80,1738.00,1731.00,1735.00,6612
2026-04-29T12:15:00+05:30,1735.10,1738.40,1735.00,1738.00,5054
2026-04-29T12:20:00+05:30,1739.00,1753.30,1736.00,1750.60,16694
2026-04-29T12:25:00+05:30,1750.70,1757.50,1743.00,1743.90,11579
2026-04-29T12:30:00+05:30,1743.80,1744.00,1738.00,1740.50,3478
2026-04-29T12:35:00+05:30,1738.70,1740.20,1731.70,1732.10,1864
2026-04-29T12:40:00+05:30,1733.60,1733.60,1728.00,1728.00,1471
2026-04-29T12:45:00+05:30,1728.00,1728.00,1726.50,1727.20,1815
2026-04-29T12:50:00+05:30,1727.20,1731.60,1727.20,1730.00,1582
2026-04-29T12:55:00+05:30,1731.30,1738.00,1727.40,1738.00,2142
2026-04-29T13:00:00+05:30,1740.10,1742.00,1733.10,1734.70,3202
2026-04-29T13:05:00+05:30,1735.00,1735.00,1730.00,1730.10,1180
2026-04-29T13:10:00+05:30,1730.10,1733.90,1730.10,1733.10,973
2026-04-29T13:15:00+05:30,1733.10,1734.10,1732.20,1734.10,209
2026-04-29T13:20:00+05:30,1735.00,1735.00,1729.20,1729.20,1707
2026-04-29T13:25:00+05:30,1728.10,1729.40,1724.40,1729.40,7767
2026-04-29T13:30:00+05:30,1727.90,1729.90,1724.00,1724.90,3115
2026-04-29T13:35:00+05:30,1725.50,1726.10,1724.00,1724.00,499
2026-04-29T13:40:00+05:30,1724.80,1725.90,1724.00,1724.00,4955
2026-04-29T13:45:00+05:30,1724.60,1726.90,1724.00,1724.30,4592
2026-04-29T13:50:00+05:30,1725.20,1730.00,1724.40,1726.50,1712
2026-04-29T13:55:00+05:30,1726.50,1728.00,1724.30,1724.50,434
2026-04-29T14:00:00+05:30,1725.60,1725.60,1724.00,1724.00,9389
2026-04-29T14:05:00+05:30,1724.00,1725.60,1724.00,1725.00,1038
2026-04-29T14:10:00+05:30,1725.10,1727.30,1724.80,1726.80,1056
2026-04-29T14:15:00+05:30,1726.40,1727.20,1724.80,1724.80,846
2026-04-29T14:20:00+05:30,1724.20,1727.20,1724.00,1725.30,3584
2026-04-29T14:25:00+05:30,1725.70,1729.50,1725.60,1727.50,1473
2026-04-29T14:30:00+05:30,1724.50,1727.80,1724.50,1726.20,1789
2026-04-29T14:35:00+05:30,1725.60,1727.60,1724.30,1727.40,704
2026-04-29T14:40:00+05:30,1727.40,1728.40,1726.30,1728.00,833
2026-04-29T14:45:00+05:30,1728.00,1728.00,1724.00,1725.50,1790
2026-04-29T14:50:00+05:30,1726.50,1726.50,1724.00,1726.10,3278
