ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,592.90,598.40,591.60,596.35,0
2026-04-27T09:20:00+05:30,596.85,599.75,596.20,596.55,66162
2026-04-27T09:25:00+05:30,596.50,597.45,593.95,595.95,148410
2026-04-27T09:30:00+05:30,596.75,596.75,594.30,594.85,65339
2026-04-27T09:35:00+05:30,594.95,596.75,594.70,595.45,29673
2026-04-27T09:40:00+05:30,595.35,596.45,594.45,595.60,31500
2026-04-27T09:45:00+05:30,595.60,597.15,595.20,597.15,25560
2026-04-27T09:50:00+05:30,597.15,598.50,596.70,597.95,29845
2026-04-27T09:55:00+05:30,597.80,598.40,597.25,597.95,30697
2026-04-27T10:00:00+05:30,597.95,598.30,595.25,595.40,50539
2026-04-27T10:05:00+05:30,595.70,596.45,595.40,595.90,18083
2026-04-27T10:10:00+05:30,596.40,596.40,594.35,594.35,18242
2026-04-27T10:15:00+05:30,594.65,596.30,594.65,596.00,15936
2026-04-27T10:20:00+05:30,595.75,596.50,595.35,596.50,13376
2026-04-27T10:25:00+05:30,596.55,597.00,596.00,596.40,13990
2026-04-27T10:30:00+05:30,596.70,596.75,595.65,596.20,12704
2026-04-27T10:35:00+05:30,596.60,596.80,596.05,596.30,16275
2026-04-27T10:40:00+05:30,596.65,597.75,596.55,597.10,11986
2026-04-27T10:45:00+05:30,597.10,597.55,596.60,597.10,11260
2026-04-27T10:50:00+05:30,596.85,597.15,596.60,596.70,12300
2026-04-27T10:55:00+05:30,597.00,597.45,596.60,597.45,4501
2026-04-27T11:00:00+05:30,597.20,598.55,596.65,597.45,207653
2026-04-27T11:05:00+05:30,597.45,597.65,596.80,597.00,6471
2026-04-27T11:10:00+05:30,597.00,597.90,597.00,597.50,6459
2026-04-27T11:15:00+05:30,597.50,598.30,597.20,597.40,11575
2026-04-27T11:20:00+05:30,597.60,597.60,595.95,596.40,11107
2026-04-27T11:25:00+05:30,596.20,596.55,595.45,595.45,24519
2026-04-27T11:30:00+05:30,595.25,595.60,594.95,595.00,12551
2026-04-27T11:35:00+05:30,594.90,595.20,593.50,594.50,18306
2026-04-27T11:40:00+05:30,594.35,594.55,593.35,593.95,26351
2026-04-27T11:45:00+05:30,593.95,594.20,592.60,594.15,14748
2026-04-27T11:50:00+05:30,593.95,594.00,593.00,593.45,13478
2026-04-27T11:55:00+05:30,593.45,593.70,593.00,593.05,19360
2026-04-27T12:00:00+05:30,592.95,593.40,592.15,592.60,12893
2026-04-27T12:05:00+05:30,592.95,593.50,592.80,593.30,11576
2026-04-27T12:10:00+05:30,593.25,594.50,593.10,594.10,64111
2026-04-27T12:15:00+05:30,594.35,594.35,593.50,593.65,9141
2026-04-27T12:20:00+05:30,593.60,593.90,592.80,593.75,16226
2026-04-27T12:25:00+05:30,593.45,594.80,593.45,594.40,14144
2026-04-27T12:30:00+05:30,594.50,595.30,594.25,594.95,21715
2026-04-27T12:35:00+05:30,594.95,595.75,594.95,595.25,8518
2026-04-27T12:40:00+05:30,595.00,595.35,594.45,594.75,8373
2026-04-27T12:45:00+05:30,594.75,596.00,594.55,595.85,9856
2026-04-27T12:50:00+05:30,596.10,596.20,595.55,595.55,8377
2026-04-27T12:55:00+05:30,595.55,595.60,594.65,594.90,5201
2026-04-27T13:00:00+05:30,594.90,595.60,594.90,595.45,5791
2026-04-27T13:05:00+05:30,595.05,595.45,594.85,595.15,9271
2026-04-27T13:10:00+05:30,595.30,595.30,594.50,594.90,5525
2026-04-27T13:15:00+05:30,595.00,595.75,595.00,595.45,15146
2026-04-27T13:20:00+05:30,595.40,596.50,594.80,595.30,11840
2026-04-27T13:25:00+05:30,596.25,597.05,595.95,596.50,16610
2026-04-27T13:30:00+05:30,596.45,597.25,596.10,596.70,13439
2026-04-27T13:35:00+05:30,596.90,597.00,596.50,596.65,7913
2026-04-27T13:40:00+05:30,596.50,596.70,595.60,595.75,16733
2026-04-27T13:45:00+05:30,595.65,596.50,595.65,595.70,12066
2026-04-27T13:50:00+05:30,595.55,596.05,595.00,596.05,12783
2026-04-27T13:55:00+05:30,595.90,596.10,595.00,595.40,8209
2026-04-27T14:00:00+05:30,595.40,595.45,594.35,594.75,15133
2026-04-27T14:05:00+05:30,594.75,594.90,593.40,594.40,19413
2026-04-27T14:10:00+05:30,593.90,594.30,593.60,594.20,7696
2026-04-27T14:15:00+05:30,594.05,594.55,593.35,594.55,15701
2026-04-27T14:20:00+05:30,594.65,594.75,593.55,594.00,12196
2026-04-27T14:25:00+05:30,593.75,594.90,593.50,593.50,38430
2026-04-27T14:30:00+05:30,593.80,593.80,592.50,592.95,16163
2026-04-27T14:35:00+05:30,593.00,594.75,592.75,594.00,18111
2026-04-27T14:40:00+05:30,594.00,594.25,592.95,593.80,14854
2026-04-27T14:45:00+05:30,594.00,594.00,593.60,593.70,6986
2026-04-27T14:50:00+05:30,593.70,593.85,592.85,593.60,11012
2026-04-27T14:55:00+05:30,593.60,593.85,592.80,593.00,10634
2026-04-27T15:00:00+05:30,592.50,593.50,592.50,593.35,26925
2026-04-27T15:05:00+05:30,593.25,593.45,592.65,593.00,30687
2026-04-27T15:10:00+05:30,592.65,592.95,592.30,592.40,33636
2026-04-27T15:15:00+05:30,592.60,592.70,591.65,591.90,48385
2026-04-27T15:20:00+05:30,592.05,592.50,591.40,591.95,69408
2026-04-27T15:25:00+05:30,591.75,593.90,591.30,593.00,86919
2026-04-28T09:15:00+05:30,594.85,595.55,592.85,594.45,0
2026-04-28T09:20:00+05:30,594.00,594.00,591.70,591.70,54276
2026-04-28T09:25:00+05:30,591.60,593.10,591.35,591.55,44519
2026-04-28T09:30:00+05:30,591.55,591.80,590.35,591.15,58852
2026-04-28T09:35:00+05:30,590.70,592.05,590.15,591.00,33446
2026-04-28T09:40:00+05:30,591.35,591.75,589.50,589.50,70929
2026-04-28T09:45:00+05:30,590.20,591.00,589.45,589.75,52764
2026-04-28T09:50:00+05:30,590.00,590.65,589.20,590.55,37290
2026-04-28T09:55:00+05:30,590.45,590.90,589.95,590.90,22476
2026-04-28T10:00:00+05:30,591.10,592.80,591.05,591.50,38712
2026-04-28T10:05:00+05:30,591.55,591.55,590.25,590.40,19716
2026-04-28T10:10:00+05:30,590.35,590.55,589.55,589.60,9907
2026-04-28T10:15:00+05:30,589.70,589.85,589.05,589.50,26248
2026-04-28T10:20:00+05:30,589.40,590.50,589.20,590.05,21689
2026-04-28T10:25:00+05:30,589.90,590.80,589.80,590.70,12412
2026-04-28T10:30:00+05:30,590.80,591.40,589.35,590.00,28974
2026-04-28T10:35:00+05:30,590.00,590.00,588.85,589.15,10243
2026-04-28T10:40:00+05:30,589.10,589.10,587.65,588.30,20033
2026-04-28T10:45:00+05:30,588.45,589.00,587.80,588.70,31314
2026-04-28T10:50:00+05:30,589.15,589.15,588.20,588.55,15352
2026-04-28T10:55:00+05:30,588.55,589.20,588.55,588.85,15412
2026-04-28T11:00:00+05:30,588.85,589.05,588.25,588.30,9852
2026-04-28T11:05:00+05:30,588.60,588.95,588.30,588.95,14598
2026-04-28T11:10:00+05:30,588.90,589.20,588.60,589.20,21926
2026-04-28T11:15:00+05:30,589.25,590.00,588.75,589.80,15023
2026-04-28T11:20:00+05:30,589.75,590.20,588.75,588.75,19155
2026-04-28T11:25:00+05:30,588.85,588.85,587.05,587.85,26392
2026-04-28T11:30:00+05:30,587.90,588.20,587.65,587.70,10106
2026-04-28T11:35:00+05:30,587.85,589.25,587.85,589.10,8147
2026-04-28T11:40:00+05:30,589.20,589.75,588.45,589.75,7201
2026-04-28T11:45:00+05:30,589.50,590.55,589.50,590.25,15997
2026-04-28T11:50:00+05:30,590.30,590.65,590.30,590.50,4908
2026-04-28T11:55:00+05:30,590.50,590.60,590.00,590.20,7928
2026-04-28T12:00:00+05:30,590.30,590.30,588.70,589.40,32015
2026-04-28T12:05:00+05:30,589.45,589.45,588.00,588.40,14541
2026-04-28T12:10:00+05:30,588.55,588.95,588.10,588.95,10354
2026-04-28T12:15:00+05:30,588.75,589.20,588.45,588.65,11803
2026-04-28T12:20:00+05:30,588.65,589.00,587.65,588.15,18358
2026-04-28T12:25:00+05:30,588.30,588.70,587.05,587.50,11764
2026-04-28T12:30:00+05:30,587.50,587.65,586.85,587.50,30025
2026-04-28T12:35:00+05:30,587.45,588.10,586.75,586.75,18440
2026-04-28T12:40:00+05:30,587.00,587.25,586.75,587.10,16167
2026-04-28T12:45:00+05:30,587.10,587.80,586.75,587.00,14378
2026-04-28T12:50:00+05:30,587.00,587.55,587.00,587.05,17309
2026-04-28T12:55:00+05:30,587.05,587.80,587.00,587.25,98082
2026-04-28T13:00:00+05:30,587.15,587.80,587.00,587.30,70296
2026-04-28T13:05:00+05:30,587.20,587.55,587.00,587.00,14656
2026-04-28T13:10:00+05:30,587.25,587.75,587.00,587.25,24657
2026-04-28T13:15:00+05:30,587.45,587.85,587.00,587.55,64130
2026-04-28T13:20:00+05:30,587.55,588.25,587.30,588.25,8072
2026-04-28T13:25:00+05:30,588.10,588.85,587.95,588.00,13031
2026-04-28T13:30:00+05:30,588.00,588.25,587.35,587.95,10354
