ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,294.25,297.25,294.00,296.20,0
2026-04-27T09:20:00+05:30,296.55,297.45,296.40,296.80,96116
2026-04-27T09:25:00+05:30,296.65,296.95,296.00,296.40,91130
2026-04-27T09:30:00+05:30,296.90,297.10,295.80,295.80,98890
2026-04-27T09:35:00+05:30,295.70,296.00,295.20,295.50,128231
2026-04-27T09:40:00+05:30,295.45,295.85,295.25,295.75,31157
2026-04-27T09:45:00+05:30,295.75,295.90,295.40,295.40,41972
2026-04-27T09:50:00+05:30,295.30,295.50,295.05,295.30,20267
2026-04-27T09:55:00+05:30,295.30,295.55,295.05,295.50,38034
2026-04-27T10:00:00+05:30,295.50,295.50,293.30,293.40,113486
2026-04-27T10:05:00+05:30,293.40,294.00,293.30,293.70,53400
2026-04-27T10:10:00+05:30,293.65,293.85,293.40,293.50,50792
2026-04-27T10:15:00+05:30,293.60,293.75,293.30,293.50,57356
2026-04-27T10:20:00+05:30,293.35,294.25,293.30,294.05,74617
2026-04-27T10:25:00+05:30,294.05,294.25,293.20,293.65,30531
2026-04-27T10:30:00+05:30,293.50,293.60,293.05,293.20,30651
2026-04-27T10:35:00+05:30,293.20,293.20,292.80,292.85,21842
2026-04-27T10:40:00+05:30,292.90,293.45,292.80,293.30,45371
2026-04-27T10:45:00+05:30,293.30,295.15,293.30,295.00,63729
2026-04-27T10:50:00+05:30,295.00,295.60,295.00,295.45,51851
2026-04-27T10:55:00+05:30,295.30,295.80,295.15,295.55,23830
2026-04-27T11:00:00+05:30,295.55,295.80,295.35,295.60,31083
2026-04-27T11:05:00+05:30,295.75,295.95,295.40,295.40,35234
2026-04-27T11:10:00+05:30,295.40,295.50,295.20,295.50,30199
2026-04-27T11:15:00+05:30,295.35,296.00,295.25,295.75,43208
2026-04-27T11:20:00+05:30,295.75,296.00,294.80,295.20,62635
2026-04-27T11:25:00+05:30,295.15,295.65,294.95,295.50,75765
2026-04-27T11:30:00+05:30,295.40,295.95,295.40,295.85,22905
2026-04-27T11:35:00+05:30,295.75,295.90,295.45,295.60,36199
2026-04-27T11:40:00+05:30,295.60,295.80,295.50,295.55,30716
2026-04-27T11:45:00+05:30,295.70,296.10,295.55,296.05,81232
2026-04-27T11:50:00+05:30,295.95,295.95,295.40,295.80,32429
2026-04-27T11:55:00+05:30,295.70,295.95,295.60,295.80,29731
2026-04-27T12:00:00+05:30,295.65,295.80,294.85,295.00,26354
2026-04-27T12:05:00+05:30,295.00,295.10,294.65,294.90,34254
2026-04-27T12:10:00+05:30,294.85,295.40,294.75,295.20,47465
2026-04-27T12:15:00+05:30,295.30,295.30,295.00,295.25,34037
2026-04-27T12:20:00+05:30,295.10,295.20,294.90,295.15,18187
2026-04-27T12:25:00+05:30,295.15,295.20,294.65,294.80,42420
2026-04-27T12:30:00+05:30,294.80,295.20,294.60,295.15,30327
2026-04-27T12:35:00+05:30,295.05,295.40,294.80,294.80,23308
2026-04-27T12:40:00+05:30,294.75,295.00,294.55,294.80,39052
2026-04-27T12:45:00+05:30,294.75,294.80,294.55,294.65,26361
2026-04-27T12:50:00+05:30,294.75,295.00,294.60,295.00,36563
2026-04-27T12:55:00+05:30,295.00,295.05,294.80,294.95,19038
2026-04-27T13:00:00+05:30,294.95,295.80,294.90,295.65,50831
2026-04-27T13:05:00+05:30,295.60,296.00,295.55,295.90,45724
2026-04-27T13:10:00+05:30,296.00,296.15,295.85,296.15,24132
2026-04-27T13:15:00+05:30,296.15,296.45,296.00,296.00,44727
2026-04-27T13:20:00+05:30,296.10,296.10,295.75,295.95,26807
2026-04-27T13:25:00+05:30,295.95,296.20,295.80,295.95,28259
2026-04-27T13:30:00+05:30,295.90,296.50,295.90,296.40,24110
2026-04-27T13:35:00+05:30,296.40,296.50,296.10,296.35,18122
2026-04-27T13:40:00+05:30,296.25,296.45,296.00,296.15,24742
2026-04-27T13:45:00+05:30,296.15,296.25,295.60,295.60,38243
2026-04-27T13:50:00+05:30,295.60,295.75,295.30,295.35,23274
2026-04-27T13:55:00+05:30,295.45,295.50,295.25,295.30,22219
2026-04-27T14:00:00+05:30,295.45,295.45,294.75,295.20,34084
2026-04-27T14:05:00+05:30,295.20,295.45,294.95,295.05,22087
2026-04-27T14:10:00+05:30,295.10,295.10,294.80,295.05,26063
2026-04-27T14:15:00+05:30,295.05,295.35,294.95,295.30,33720
2026-04-27T14:20:00+05:30,295.35,295.40,295.15,295.30,28457
2026-04-27T14:25:00+05:30,295.35,295.50,295.25,295.35,29238
2026-04-27T14:30:00+05:30,295.35,295.45,294.90,295.00,46109
2026-04-27T14:35:00+05:30,295.00,295.40,294.95,295.05,77496
2026-04-27T14:40:00+05:30,295.10,295.10,294.70,295.00,89462
2026-04-27T14:45:00+05:30,295.00,295.15,294.75,294.95,133436
2026-04-27T14:50:00+05:30,294.80,294.95,294.55,294.75,75152
2026-04-27T14:55:00+05:30,294.60,294.90,294.45,294.65,83230
2026-04-27T15:00:00+05:30,294.60,294.60,294.30,294.40,58360
2026-04-27T15:05:00+05:30,294.50,294.60,294.45,294.55,43792
2026-04-27T15:10:00+05:30,294.55,294.60,293.85,294.00,135495
2026-04-27T15:15:00+05:30,294.10,294.10,293.75,293.75,138564
2026-04-27T15:20:00+05:30,293.75,293.95,293.65,293.65,72106
2026-04-27T15:25:00+05:30,293.65,294.45,293.45,294.40,126857
2026-04-28T09:15:00+05:30,293.70,295.45,293.20,294.00,0
2026-04-28T09:20:00+05:30,294.15,294.30,293.35,293.60,61501
2026-04-28T09:25:00+05:30,293.75,295.00,293.75,294.60,71741
2026-04-28T09:30:00+05:30,294.65,295.05,294.10,294.30,58795
2026-04-28T09:35:00+05:30,294.35,294.75,294.15,294.45,33798
2026-04-28T09:40:00+05:30,294.50,294.50,293.25,293.50,89140
