ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,937.00,945.00,936.50,941.25,0
2026-04-27T09:20:00+05:30,942.00,943.80,939.90,939.90,26563
2026-04-27T09:25:00+05:30,940.00,941.20,935.85,938.40,32997
2026-04-27T09:30:00+05:30,938.40,939.45,936.20,936.40,18783
2026-04-27T09:35:00+05:30,936.80,940.50,936.80,939.35,18571
2026-04-27T09:40:00+05:30,939.90,943.25,939.60,943.25,16168
2026-04-27T09:45:00+05:30,942.50,944.00,942.50,943.45,15865
2026-04-27T09:50:00+05:30,943.80,946.50,943.70,946.35,54246
2026-04-27T09:55:00+05:30,946.35,948.50,946.00,948.25,19990
2026-04-27T10:00:00+05:30,948.45,948.90,948.00,948.75,22429
2026-04-27T10:05:00+05:30,948.60,948.85,947.20,947.90,13182
2026-04-27T10:10:00+05:30,947.60,948.60,947.30,947.90,10841
2026-04-27T10:15:00+05:30,947.65,948.60,947.25,948.05,43557
2026-04-27T10:20:00+05:30,947.25,947.45,945.60,946.25,11732
2026-04-27T10:25:00+05:30,946.00,946.00,944.45,945.75,14334
2026-04-27T10:30:00+05:30,945.90,946.45,944.15,945.80,31231
2026-04-27T10:35:00+05:30,946.80,947.95,946.75,947.80,28645
2026-04-27T10:40:00+05:30,947.80,949.00,947.55,948.80,12190
2026-04-27T10:45:00+05:30,948.80,949.90,946.90,949.50,13590
2026-04-27T10:50:00+05:30,949.50,952.50,949.30,951.85,25767
2026-04-27T10:55:00+05:30,951.85,952.15,950.20,950.25,10673
2026-04-27T11:00:00+05:30,950.25,950.40,948.15,949.80,27669
2026-04-27T11:05:00+05:30,950.00,950.30,947.70,948.00,16577
2026-04-27T11:10:00+05:30,948.20,949.45,948.00,948.95,5306
2026-04-27T11:15:00+05:30,949.10,950.00,947.80,948.25,6647
2026-04-27T11:20:00+05:30,948.25,948.40,946.40,948.00,7541
2026-04-27T11:25:00+05:30,947.55,948.20,946.20,946.50,7367
