ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,166.45,167.70,166.30,166.75,0
2026-04-27T09:20:00+05:30,166.75,167.35,165.80,165.80,334371
2026-04-27T09:25:00+05:30,165.75,165.90,165.60,165.60,205435
2026-04-27T09:30:00+05:30,166.05,166.10,165.75,165.90,183125
2026-04-27T09:35:00+05:30,165.85,166.20,165.85,166.05,79644
2026-04-27T09:40:00+05:30,166.10,166.40,166.00,166.15,158621
2026-04-27T09:45:00+05:30,166.15,166.80,166.10,166.75,194067
2026-04-27T09:50:00+05:30,166.80,167.15,166.75,167.05,214193
2026-04-27T09:55:00+05:30,167.00,167.10,166.80,166.80,122711
2026-04-27T10:00:00+05:30,166.75,166.95,166.45,166.65,172815
2026-04-27T10:05:00+05:30,166.55,166.65,166.30,166.40,82918
2026-04-27T10:10:00+05:30,166.35,166.55,166.20,166.40,55462
2026-04-27T10:15:00+05:30,166.40,166.90,166.40,166.75,113235
2026-04-27T10:20:00+05:30,166.70,166.75,166.45,166.65,50164
2026-04-27T10:25:00+05:30,166.65,166.75,166.45,166.70,65271
2026-04-27T10:30:00+05:30,166.70,166.90,166.50,166.90,139695
2026-04-27T10:35:00+05:30,166.80,167.15,166.80,167.05,98902
2026-04-27T10:40:00+05:30,167.15,167.25,167.00,167.05,64556
2026-04-27T10:45:00+05:30,167.00,167.30,166.75,167.10,60494
2026-04-27T10:50:00+05:30,167.15,167.15,166.85,167.00,59743
2026-04-27T10:55:00+05:30,166.90,167.15,166.90,167.05,59976
2026-04-27T11:00:00+05:30,167.00,167.25,167.00,167.10,39341
2026-04-27T11:05:00+05:30,167.10,167.30,166.90,166.90,54454
2026-04-27T11:10:00+05:30,166.90,167.00,166.85,166.95,37414
2026-04-27T11:15:00+05:30,166.90,166.95,166.70,166.80,66050
2026-04-27T11:20:00+05:30,166.80,166.85,166.60,166.75,66866
2026-04-27T11:25:00+05:30,166.75,166.75,166.55,166.65,39343
2026-04-27T11:30:00+05:30,166.65,166.65,166.25,166.40,83403
2026-04-27T11:35:00+05:30,166.45,166.45,166.05,166.20,139586
2026-04-27T11:40:00+05:30,166.15,166.20,166.05,166.20,55645
2026-04-27T11:45:00+05:30,166.20,166.50,166.00,166.35,151919
2026-04-27T11:50:00+05:30,166.35,166.50,166.30,166.35,39720
2026-04-27T11:55:00+05:30,166.35,166.45,166.15,166.30,44246
2026-04-27T12:00:00+05:30,166.25,166.30,166.10,166.20,33063
2026-04-27T12:05:00+05:30,166.20,166.35,166.05,166.05,37588
2026-04-27T12:10:00+05:30,166.10,166.35,166.05,166.30,39050
2026-04-27T12:15:00+05:30,166.30,166.40,166.25,166.40,23699
2026-04-27T12:20:00+05:30,166.25,166.25,166.10,166.20,42325
2026-04-27T12:25:00+05:30,166.15,166.30,165.85,165.95,132152
2026-04-27T12:30:00+05:30,165.90,166.05,165.80,166.00,61805
2026-04-27T12:35:00+05:30,166.00,166.15,165.85,166.10,105403
2026-04-27T12:40:00+05:30,166.15,166.20,166.00,166.10,43547
2026-04-27T12:45:00+05:30,166.10,166.10,165.90,166.10,44189
2026-04-27T12:50:00+05:30,166.10,166.20,166.00,166.05,48218
2026-04-27T12:55:00+05:30,166.10,166.20,166.05,166.10,23296
2026-04-27T13:00:00+05:30,166.10,166.20,166.05,166.05,31394
2026-04-27T13:05:00+05:30,166.05,166.20,165.75,166.10,75301
2026-04-27T13:10:00+05:30,166.10,166.20,165.95,166.05,74348
2026-04-27T13:15:00+05:30,166.10,166.30,166.00,166.05,33490
2026-04-27T13:20:00+05:30,166.05,166.20,166.00,166.10,55701
2026-04-27T13:25:00+05:30,166.10,166.15,166.00,166.10,59361
2026-04-27T13:30:00+05:30,166.10,166.15,165.95,166.15,40562
2026-04-27T13:35:00+05:30,166.15,166.25,166.10,166.25,34190
2026-04-27T13:40:00+05:30,166.25,166.35,166.05,166.05,59566
2026-04-27T13:45:00+05:30,166.15,166.25,166.05,166.20,35623
2026-04-27T13:50:00+05:30,166.20,166.20,166.00,166.15,53132
2026-04-27T13:55:00+05:30,166.20,166.25,166.00,166.00,57341
2026-04-27T14:00:00+05:30,166.00,166.00,165.70,165.75,66713
2026-04-27T14:05:00+05:30,165.80,165.85,165.30,165.40,122470
2026-04-27T14:10:00+05:30,165.40,166.15,165.35,165.45,6110943
2026-04-27T14:15:00+05:30,165.50,165.55,165.00,165.00,254523
2026-04-27T14:20:00+05:30,165.05,165.55,165.05,165.50,186527
2026-04-27T14:25:00+05:30,165.55,165.80,165.40,165.40,2125759
2026-04-27T14:30:00+05:30,165.40,165.65,165.30,165.65,109686
2026-04-27T14:35:00+05:30,165.65,165.75,165.15,165.40,519098
2026-04-27T14:40:00+05:30,165.40,165.50,165.00,165.10,736357
2026-04-27T14:45:00+05:30,165.15,165.25,164.90,165.25,162517
2026-04-27T14:50:00+05:30,165.25,165.55,165.20,165.55,52433
2026-04-27T14:55:00+05:30,165.55,165.75,165.50,165.60,100169
2026-04-27T15:00:00+05:30,165.55,165.60,165.05,165.55,185820
2026-04-27T15:05:00+05:30,165.55,165.75,165.50,165.70,142043
2026-04-27T15:10:00+05:30,165.70,165.85,165.50,165.60,194183
2026-04-27T15:15:00+05:30,165.65,165.75,165.40,165.75,302684
2026-04-27T15:20:00+05:30,165.80,165.85,165.50,165.70,768574
2026-04-27T15:25:00+05:30,165.70,166.10,165.60,165.75,476663
2026-04-28T09:15:00+05:30,165.90,167.10,165.80,166.70,0
2026-04-28T09:20:00+05:30,166.60,166.65,165.95,166.05,188413
2026-04-28T09:25:00+05:30,166.10,166.55,166.10,166.25,92477
2026-04-28T09:30:00+05:30,166.30,166.50,166.20,166.25,144383
2026-04-28T09:35:00+05:30,166.20,166.60,166.05,166.55,86080
2026-04-28T09:40:00+05:30,166.55,166.70,166.50,166.65,80979
2026-04-28T09:45:00+05:30,166.70,166.75,166.50,166.50,77288
2026-04-28T09:50:00+05:30,166.50,166.60,166.40,166.45,62833
2026-04-28T09:55:00+05:30,166.45,166.60,166.30,166.40,67200
2026-04-28T10:00:00+05:30,166.40,166.45,165.90,166.05,109532
2026-04-28T10:05:00+05:30,165.95,166.05,165.70,166.00,98419
2026-04-28T10:10:00+05:30,166.00,166.25,166.00,166.25,56409
