ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1783.90,1815.70,1783.30,1805.90,0
2026-04-27T09:20:00+05:30,1812.00,1815.90,1805.00,1806.20,16285
2026-04-27T09:25:00+05:30,1805.20,1809.20,1796.70,1801.40,26118
2026-04-27T09:30:00+05:30,1804.60,1805.30,1799.20,1803.40,15987
2026-04-27T09:35:00+05:30,1803.40,1808.00,1801.90,1802.10,13768
2026-04-27T09:40:00+05:30,1802.80,1805.30,1799.10,1800.30,14833
2026-04-27T09:45:00+05:30,1802.90,1807.00,1799.10,1806.50,9830
2026-04-27T09:50:00+05:30,1806.30,1811.00,1804.40,1810.30,22118
2026-04-27T09:55:00+05:30,1810.70,1814.90,1810.40,1812.90,31304
2026-04-27T10:00:00+05:30,1813.70,1814.50,1806.30,1807.00,13546
2026-04-27T10:05:00+05:30,1806.30,1809.10,1805.10,1807.40,8170
2026-04-27T10:10:00+05:30,1806.90,1807.80,1800.10,1800.90,8772
2026-04-27T10:15:00+05:30,1801.00,1811.90,1801.00,1810.90,14518
2026-04-27T10:20:00+05:30,1810.90,1811.80,1808.70,1810.70,4983
2026-04-27T10:25:00+05:30,1810.90,1812.40,1809.60,1812.20,9365
2026-04-27T10:30:00+05:30,1812.10,1813.10,1809.90,1812.40,9312
2026-04-27T10:35:00+05:30,1812.40,1813.90,1811.40,1811.40,3543
2026-04-27T10:40:00+05:30,1811.30,1813.60,1811.30,1813.00,3936
2026-04-27T10:45:00+05:30,1813.00,1814.50,1811.60,1814.50,4287
2026-04-27T10:50:00+05:30,1814.50,1814.50,1811.80,1813.20,3462
2026-04-27T10:55:00+05:30,1813.40,1820.00,1812.60,1819.40,38742
2026-04-27T11:00:00+05:30,1819.40,1820.00,1815.00,1817.20,21400
2026-04-27T11:05:00+05:30,1817.30,1818.20,1815.90,1816.30,4381
2026-04-27T11:10:00+05:30,1817.10,1817.50,1814.80,1814.80,4993
2026-04-27T11:15:00+05:30,1815.40,1818.00,1813.10,1813.80,6336
2026-04-27T11:20:00+05:30,1814.00,1814.20,1811.70,1813.80,4745
2026-04-27T11:25:00+05:30,1814.00,1814.10,1810.20,1811.10,5557
2026-04-27T11:30:00+05:30,1811.50,1811.50,1808.60,1809.60,2277
2026-04-27T11:35:00+05:30,1809.30,1809.80,1805.50,1807.40,7350
2026-04-27T11:40:00+05:30,1807.40,1807.40,1804.20,1807.30,4024
2026-04-27T11:45:00+05:30,1807.20,1807.20,1803.00,1803.90,5308
2026-04-27T11:50:00+05:30,1803.10,1807.40,1802.00,1806.20,6386
2026-04-27T11:55:00+05:30,1805.50,1806.60,1803.30,1806.40,3484
2026-04-27T12:00:00+05:30,1806.60,1806.80,1801.40,1803.90,4302
2026-04-27T12:05:00+05:30,1804.00,1806.90,1803.00,1806.50,7590
2026-04-27T12:10:00+05:30,1806.20,1809.70,1805.00,1808.50,10366
2026-04-27T12:15:00+05:30,1808.70,1809.10,1805.90,1808.90,10246
2026-04-27T12:20:00+05:30,1808.10,1815.00,1807.80,1814.70,9721
2026-04-27T12:25:00+05:30,1814.80,1816.50,1813.90,1814.80,5254
2026-04-27T12:30:00+05:30,1814.90,1817.10,1812.80,1817.10,8483
2026-04-27T12:35:00+05:30,1817.20,1819.20,1816.60,1817.90,6167
2026-04-27T12:40:00+05:30,1817.50,1817.90,1814.20,1816.40,4195
2026-04-27T12:45:00+05:30,1816.60,1827.00,1815.00,1824.70,23479
2026-04-27T12:50:00+05:30,1824.50,1825.30,1822.00,1823.50,9092
2026-04-27T12:55:00+05:30,1822.60,1824.60,1822.60,1824.60,8773
2026-04-27T13:00:00+05:30,1823.80,1826.30,1823.80,1825.50,11656
2026-04-27T13:05:00+05:30,1825.50,1830.00,1824.80,1829.00,23557
2026-04-27T13:10:00+05:30,1829.80,1830.10,1828.20,1829.30,18715
2026-04-27T13:15:00+05:30,1830.10,1834.40,1828.20,1830.10,23576
2026-04-27T13:20:00+05:30,1830.70,1830.80,1827.70,1828.50,7757
2026-04-27T13:25:00+05:30,1829.00,1834.70,1829.00,1833.50,46842
2026-04-27T13:30:00+05:30,1831.40,1832.40,1830.20,1831.30,10520
2026-04-27T13:35:00+05:30,1830.30,1833.30,1827.40,1831.30,36228
2026-04-27T13:40:00+05:30,1832.10,1833.30,1829.90,1831.80,9109
2026-04-27T13:45:00+05:30,1831.00,1833.00,1829.30,1830.00,4219
2026-04-27T13:50:00+05:30,1829.60,1830.50,1829.00,1830.00,9412
2026-04-27T13:55:00+05:30,1830.80,1833.30,1829.70,1832.80,8352
2026-04-27T14:00:00+05:30,1833.50,1833.80,1831.70,1833.10,5802
2026-04-27T14:05:00+05:30,1833.80,1833.80,1831.20,1832.60,6326
2026-04-27T14:10:00+05:30,1832.50,1832.60,1829.30,1831.40,8296
2026-04-27T14:15:00+05:30,1831.50,1832.30,1829.60,1832.00,5781
2026-04-27T14:20:00+05:30,1832.50,1838.90,1828.90,1838.90,80492
2026-04-27T14:25:00+05:30,1839.00,1842.00,1833.00,1834.00,25194
2026-04-27T14:30:00+05:30,1833.90,1834.80,1830.70,1832.00,12833
2026-04-27T14:35:00+05:30,1832.20,1835.60,1830.30,1832.00,18029
2026-04-27T14:40:00+05:30,1833.20,1834.10,1829.20,1830.80,12999
2026-04-27T14:45:00+05:30,1830.80,1830.80,1827.70,1829.10,16798
2026-04-27T14:50:00+05:30,1829.20,1830.90,1826.60,1830.20,41735
2026-04-27T14:55:00+05:30,1830.20,1832.10,1828.50,1828.50,12457
2026-04-27T15:00:00+05:30,1829.30,1832.30,1826.50,1832.30,10975
2026-04-27T15:05:00+05:30,1832.40,1832.50,1829.50,1830.30,12764
2026-04-27T15:10:00+05:30,1830.00,1830.50,1828.30,1829.10,13909
2026-04-27T15:15:00+05:30,1829.70,1831.10,1828.70,1829.70,25558
2026-04-27T15:20:00+05:30,1830.30,1831.60,1823.00,1825.30,23162
2026-04-27T15:25:00+05:30,1825.30,1830.00,1820.10,1828.20,30589
2026-04-28T09:15:00+05:30,1829.30,1837.50,1823.60,1836.00,0
2026-04-28T09:20:00+05:30,1836.50,1838.10,1829.20,1831.20,37057
