ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2765.70,2775.00,2754.30,2757.10,0
2026-04-27T09:20:00+05:30,2759.30,2760.30,2756.00,2760.00,25417
2026-04-27T09:25:00+05:30,2767.40,2778.40,2767.40,2774.00,13378
2026-04-27T09:30:00+05:30,2774.30,2784.60,2771.10,2781.40,13311
2026-04-27T09:35:00+05:30,2780.30,2784.60,2771.70,2778.80,17817
2026-04-27T09:40:00+05:30,2779.10,2783.80,2777.30,2783.30,3742
2026-04-27T09:45:00+05:30,2783.10,2787.00,2775.00,2775.00,6129
2026-04-27T09:50:00+05:30,2775.00,2780.80,2774.60,2780.50,3304
2026-04-27T09:55:00+05:30,2779.00,2780.00,2775.30,2777.00,1899
2026-04-27T10:00:00+05:30,2775.80,2777.10,2771.90,2772.10,2991
2026-04-27T10:05:00+05:30,2770.10,2771.30,2765.20,2768.00,4092
2026-04-27T10:10:00+05:30,2768.30,2771.50,2763.20,2763.20,4113
2026-04-27T10:15:00+05:30,2764.00,2771.40,2764.00,2771.40,2977
2026-04-27T10:20:00+05:30,2771.60,2771.60,2768.20,2770.90,1433
2026-04-27T10:25:00+05:30,2770.90,2774.90,2762.20,2773.60,20595
2026-04-27T10:30:00+05:30,2774.80,2782.60,2774.50,2782.00,54681
2026-04-27T10:35:00+05:30,2782.60,2782.60,2780.20,2780.70,2713
2026-04-27T10:40:00+05:30,2781.00,2784.70,2781.00,2783.10,5014
2026-04-27T10:45:00+05:30,2783.80,2787.80,2780.50,2787.80,6964
2026-04-27T10:50:00+05:30,2787.80,2789.00,2787.00,2788.00,4024
2026-04-27T10:55:00+05:30,2788.00,2789.00,2786.20,2787.10,2925
2026-04-27T11:00:00+05:30,2787.10,2787.10,2784.30,2786.10,1524
2026-04-27T11:05:00+05:30,2785.70,2787.00,2780.00,2780.60,5166
2026-04-27T11:10:00+05:30,2780.60,2785.50,2780.50,2785.00,4306
2026-04-27T11:15:00+05:30,2784.00,2785.50,2783.50,2784.20,16829
2026-04-27T11:20:00+05:30,2784.20,2785.00,2782.10,2784.30,3644
2026-04-27T11:25:00+05:30,2784.30,2784.40,2779.80,2780.00,15372
2026-04-27T11:30:00+05:30,2780.00,2781.70,2775.00,2776.00,5603
2026-04-27T11:35:00+05:30,2775.30,2778.20,2774.90,2776.50,9544
2026-04-27T11:40:00+05:30,2776.20,2779.50,2774.90,2779.20,9192
2026-04-27T11:45:00+05:30,2777.60,2778.50,2774.60,2777.90,1679
2026-04-27T11:50:00+05:30,2777.80,2778.20,2774.30,2778.20,949
2026-04-27T11:55:00+05:30,2777.40,2779.40,2776.00,2779.30,981
2026-04-27T12:00:00+05:30,2779.30,2779.30,2775.50,2777.10,1636
2026-04-27T12:05:00+05:30,2777.70,2781.00,2774.20,2775.30,2470
2026-04-27T12:10:00+05:30,2775.90,2780.40,2775.90,2779.40,2180
2026-04-27T12:15:00+05:30,2779.40,2788.00,2779.20,2785.60,8338
2026-04-27T12:20:00+05:30,2786.60,2786.60,2780.40,2782.30,2881
2026-04-27T12:25:00+05:30,2782.40,2784.80,2782.20,2784.10,1188
2026-04-27T12:30:00+05:30,2784.20,2784.80,2782.60,2783.60,1959
