ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,4286.50,4322.00,4286.50,4310.70,0
2026-04-27T09:20:00+05:30,4309.00,4325.00,4300.00,4301.30,14720
2026-04-27T09:25:00+05:30,4303.70,4307.10,4295.00,4298.50,10660
2026-04-27T09:30:00+05:30,4299.10,4304.90,4290.10,4295.70,14389
2026-04-27T09:35:00+05:30,4295.60,4306.60,4295.40,4300.00,8701
2026-04-27T09:40:00+05:30,4302.40,4305.00,4297.70,4304.30,4151
2026-04-27T09:45:00+05:30,4302.80,4328.60,4302.80,4328.00,25508
2026-04-27T09:50:00+05:30,4326.40,4339.00,4325.10,4336.00,12526
2026-04-27T09:55:00+05:30,4337.00,4340.20,4331.00,4338.90,16152
2026-04-27T10:00:00+05:30,4338.00,4339.00,4320.60,4320.90,20920
2026-04-27T10:05:00+05:30,4320.80,4323.70,4311.00,4316.20,9508
2026-04-27T10:10:00+05:30,4316.40,4316.40,4302.00,4305.40,9271
2026-04-27T10:15:00+05:30,4305.00,4318.40,4305.00,4316.80,6680
2026-04-27T10:20:00+05:30,4317.80,4318.30,4308.70,4312.30,2743
2026-04-27T10:25:00+05:30,4313.30,4313.80,4307.80,4309.80,4513
2026-04-27T10:30:00+05:30,4312.00,4315.00,4306.00,4315.00,3563
2026-04-27T10:35:00+05:30,4315.00,4315.10,4310.80,4310.80,1667
2026-04-27T10:40:00+05:30,4310.70,4314.00,4310.50,4310.50,2263
2026-04-27T10:45:00+05:30,4312.30,4321.00,4310.00,4319.10,5236
2026-04-27T10:50:00+05:30,4320.10,4322.40,4315.10,4319.80,5977
2026-04-27T10:55:00+05:30,4320.10,4320.40,4315.10,4317.30,2333
2026-04-27T11:00:00+05:30,4317.70,4318.00,4307.50,4311.70,3628
2026-04-27T11:05:00+05:30,4312.00,4312.00,4306.20,4306.20,2695
2026-04-27T11:10:00+05:30,4307.60,4309.10,4303.20,4306.70,2925
2026-04-27T11:15:00+05:30,4306.20,4308.80,4303.60,4305.00,3128
2026-04-27T11:20:00+05:30,4305.00,4305.00,4301.20,4304.00,3736
2026-04-27T11:25:00+05:30,4304.40,4305.80,4296.80,4304.40,5707
2026-04-27T11:30:00+05:30,4304.60,4309.80,4302.20,4307.20,1888
2026-04-27T11:35:00+05:30,4309.00,4309.00,4300.80,4303.30,5105
2026-04-27T11:40:00+05:30,4301.80,4303.70,4298.20,4301.70,7856
2026-04-27T11:45:00+05:30,4300.80,4304.90,4300.00,4304.80,3958
2026-04-27T11:50:00+05:30,4304.70,4305.90,4301.00,4304.00,3162
2026-04-27T11:55:00+05:30,4304.00,4305.90,4301.10,4303.10,2626
2026-04-27T12:00:00+05:30,4303.60,4309.40,4303.60,4305.00,1755
2026-04-27T12:05:00+05:30,4304.60,4306.40,4300.00,4302.00,3520
2026-04-27T12:10:00+05:30,4302.00,4307.50,4299.90,4304.20,2481
2026-04-27T12:15:00+05:30,4305.00,4308.40,4303.10,4308.10,1568
2026-04-27T12:20:00+05:30,4305.30,4306.30,4300.20,4305.80,3367
2026-04-27T12:25:00+05:30,4305.90,4309.00,4300.80,4308.80,5045
2026-04-27T12:30:00+05:30,4307.30,4311.20,4304.10,4310.40,5919
2026-04-27T12:35:00+05:30,4310.40,4317.90,4310.00,4314.30,4551
2026-04-27T12:40:00+05:30,4314.30,4315.50,4306.30,4312.60,2925
2026-04-27T12:45:00+05:30,4312.90,4317.10,4311.00,4313.80,3858
2026-04-27T12:50:00+05:30,4311.60,4318.20,4311.10,4314.40,3641
2026-04-27T12:55:00+05:30,4317.20,4317.70,4307.00,4307.90,5986
2026-04-27T13:00:00+05:30,4307.50,4310.00,4306.40,4309.80,2477
2026-04-27T13:05:00+05:30,4309.30,4315.90,4309.30,4314.00,6854
2026-04-27T13:10:00+05:30,4314.70,4315.90,4307.70,4313.50,2439
2026-04-27T13:15:00+05:30,4313.10,4318.00,4311.10,4315.20,2437
