ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1248.00,1256.00,1246.40,1246.40,0
2026-04-27T09:20:00+05:30,1247.20,1252.30,1246.20,1251.70,36784
2026-04-27T09:25:00+05:30,1251.90,1258.60,1250.60,1257.70,36108
2026-04-27T09:30:00+05:30,1258.60,1260.10,1253.90,1254.50,34245
2026-04-27T09:35:00+05:30,1254.00,1257.70,1253.60,1253.80,22565
2026-04-27T09:40:00+05:30,1255.00,1258.80,1255.00,1258.10,19315
2026-04-27T09:45:00+05:30,1258.10,1261.80,1258.10,1261.30,25060
2026-04-27T09:50:00+05:30,1261.50,1261.70,1258.80,1260.40,20163
2026-04-27T09:55:00+05:30,1261.00,1262.00,1249.50,1250.80,271694
2026-04-27T10:00:00+05:30,1249.90,1250.00,1248.30,1248.40,93845
2026-04-27T10:05:00+05:30,1248.40,1252.60,1248.10,1250.90,33280
2026-04-27T10:10:00+05:30,1251.10,1251.80,1249.00,1250.30,20269
2026-04-27T10:15:00+05:30,1250.60,1254.80,1250.20,1254.70,20229
2026-04-27T10:20:00+05:30,1254.20,1255.00,1252.90,1254.10,22138
2026-04-27T10:25:00+05:30,1254.30,1259.00,1254.00,1256.80,39015
2026-04-27T10:30:00+05:30,1258.00,1258.90,1256.10,1258.20,27353
2026-04-27T10:35:00+05:30,1257.70,1260.80,1257.70,1260.80,29078
2026-04-27T10:40:00+05:30,1260.80,1265.40,1260.80,1262.30,46408
2026-04-27T10:45:00+05:30,1262.40,1267.00,1262.40,1266.60,41805
2026-04-27T10:50:00+05:30,1269.90,1275.00,1269.10,1270.90,68045
2026-04-27T10:55:00+05:30,1270.90,1272.90,1270.40,1271.30,23774
2026-04-27T11:00:00+05:30,1271.70,1272.20,1270.00,1272.20,27450
2026-04-27T11:05:00+05:30,1272.60,1273.60,1271.50,1272.70,32464
2026-04-27T11:10:00+05:30,1272.70,1274.70,1272.50,1272.80,37743
2026-04-27T11:15:00+05:30,1273.00,1275.50,1272.90,1274.60,32719
2026-04-27T11:20:00+05:30,1274.50,1276.50,1273.90,1276.20,31700
2026-04-27T11:25:00+05:30,1275.50,1276.50,1273.80,1276.00,34624
