ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1208.20,1211.00,1201.00,1204.90,0
2026-04-27T09:20:00+05:30,1204.50,1212.30,1203.00,1211.50,178522
2026-04-27T09:25:00+05:30,1212.80,1214.20,1211.00,1213.20,104139
2026-04-27T09:30:00+05:30,1213.70,1216.60,1210.00,1210.80,153886
2026-04-27T09:35:00+05:30,1210.80,1211.90,1206.50,1207.50,92632
2026-04-27T09:40:00+05:30,1208.40,1211.90,1207.00,1211.80,55293
2026-04-27T09:45:00+05:30,1214.20,1216.80,1212.80,1213.40,125027
2026-04-27T09:50:00+05:30,1213.40,1216.00,1211.80,1213.50,131857
2026-04-27T09:55:00+05:30,1213.80,1215.90,1210.60,1210.80,123185
2026-04-27T10:00:00+05:30,1210.50,1212.70,1208.70,1210.70,125473
2026-04-27T10:05:00+05:30,1209.80,1210.80,1208.00,1208.30,64058
2026-04-27T10:10:00+05:30,1208.10,1212.70,1207.70,1212.10,73604
2026-04-27T10:15:00+05:30,1212.00,1217.90,1211.80,1217.40,104667
2026-04-27T10:20:00+05:30,1217.20,1217.60,1214.60,1215.90,49108
2026-04-27T10:25:00+05:30,1215.90,1217.60,1215.20,1216.30,52657
2026-04-27T10:30:00+05:30,1216.90,1217.40,1214.50,1215.80,57264
2026-04-27T10:35:00+05:30,1215.20,1216.00,1214.30,1214.70,36787
2026-04-27T10:40:00+05:30,1214.10,1215.30,1214.10,1215.00,36123
2026-04-27T10:45:00+05:30,1215.00,1216.40,1214.10,1216.40,46394
2026-04-27T10:50:00+05:30,1216.40,1217.60,1215.20,1215.80,58379
2026-04-27T10:55:00+05:30,1215.90,1216.80,1215.20,1216.50,29973
2026-04-27T11:00:00+05:30,1216.50,1219.40,1216.50,1218.20,84262
2026-04-27T11:05:00+05:30,1218.30,1218.30,1214.20,1215.40,79134
2026-04-27T11:10:00+05:30,1215.60,1217.90,1215.00,1217.10,44025
2026-04-27T11:15:00+05:30,1217.10,1217.30,1216.10,1216.60,48735
2026-04-27T11:20:00+05:30,1216.90,1217.00,1215.30,1215.90,56548
2026-04-27T11:25:00+05:30,1215.90,1216.60,1214.40,1215.70,83447
2026-04-27T11:30:00+05:30,1215.90,1217.70,1215.00,1217.30,100526
2026-04-27T11:35:00+05:30,1217.20,1217.80,1214.50,1216.50,125702
2026-04-27T11:40:00+05:30,1216.50,1218.80,1215.50,1217.80,204933
2026-04-27T11:45:00+05:30,1217.40,1217.70,1215.20,1216.30,96039
2026-04-27T11:50:00+05:30,1216.80,1216.80,1212.30,1214.30,83346
2026-04-27T11:55:00+05:30,1214.30,1215.60,1214.00,1215.50,23713
2026-04-27T12:00:00+05:30,1215.60,1215.80,1214.50,1214.90,28589
2026-04-27T12:05:00+05:30,1215.10,1219.50,1214.90,1219.40,135730
2026-04-27T12:10:00+05:30,1219.30,1221.10,1218.90,1220.30,67814
2026-04-27T12:15:00+05:30,1220.30,1221.80,1219.30,1220.00,43939
2026-04-27T12:20:00+05:30,1220.00,1220.00,1217.70,1220.00,33686
2026-04-27T12:25:00+05:30,1220.00,1220.00,1218.30,1218.30,29588
2026-04-27T12:30:00+05:30,1218.30,1219.60,1218.10,1218.80,31187
2026-04-27T12:35:00+05:30,1218.90,1218.90,1217.50,1218.10,48630
2026-04-27T12:40:00+05:30,1218.30,1219.10,1217.00,1219.10,63837
2026-04-27T12:45:00+05:30,1219.10,1219.50,1218.00,1218.60,66669
2026-04-27T12:50:00+05:30,1218.60,1219.70,1217.60,1218.60,49841
2026-04-27T12:55:00+05:30,1218.60,1218.80,1218.00,1218.50,23801
2026-04-27T13:00:00+05:30,1218.50,1221.00,1218.50,1220.10,29300
2026-04-27T13:05:00+05:30,1220.40,1220.60,1219.90,1219.90,19491
2026-04-27T13:10:00+05:30,1220.00,1221.00,1219.60,1220.80,44697
2026-04-27T13:15:00+05:30,1220.80,1221.60,1220.00,1220.20,44994
2026-04-27T13:20:00+05:30,1220.20,1221.50,1220.00,1221.00,51046
2026-04-27T13:25:00+05:30,1221.00,1221.50,1220.10,1220.20,53716
