ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2745.50,2757.50,2730.10,2737.80,0
2026-04-27T09:20:00+05:30,2736.70,2746.10,2728.00,2728.00,11468
2026-04-27T09:25:00+05:30,2730.70,2732.00,2725.70,2731.00,9526
2026-04-27T09:30:00+05:30,2734.00,2734.00,2724.40,2725.00,4276
2026-04-27T09:35:00+05:30,2725.10,2729.90,2725.00,2727.30,5160
2026-04-27T09:40:00+05:30,2727.30,2738.10,2727.30,2730.50,4721
2026-04-27T09:45:00+05:30,2730.40,2740.00,2730.10,2740.00,3697
2026-04-27T09:50:00+05:30,2739.90,2741.10,2735.10,2739.80,5014
2026-04-27T09:55:00+05:30,2739.80,2747.20,2739.80,2745.70,5184
2026-04-27T10:00:00+05:30,2745.70,2746.80,2740.00,2740.90,6186
2026-04-27T10:05:00+05:30,2739.10,2739.70,2731.20,2732.60,6306
2026-04-27T10:10:00+05:30,2732.90,2732.90,2728.60,2729.50,5321
2026-04-27T10:15:00+05:30,2729.90,2736.30,2729.90,2732.80,2275
2026-04-27T10:20:00+05:30,2732.20,2733.50,2729.50,2732.00,4102
2026-04-27T10:25:00+05:30,2732.00,2732.50,2728.00,2729.50,3055
2026-04-27T10:30:00+05:30,2729.50,2731.00,2724.90,2728.50,6634
2026-04-27T10:35:00+05:30,2728.40,2729.00,2722.30,2725.90,13038
2026-04-27T10:40:00+05:30,2725.20,2729.90,2725.20,2729.90,6061
2026-04-27T10:45:00+05:30,2731.40,2732.50,2719.90,2723.50,10360
2026-04-27T10:50:00+05:30,2723.50,2726.20,2722.40,2723.90,4369
2026-04-27T10:55:00+05:30,2722.70,2726.50,2722.70,2722.90,4290
2026-04-27T11:00:00+05:30,2723.90,2725.00,2720.30,2723.00,8159
2026-04-27T11:05:00+05:30,2723.00,2724.20,2720.10,2721.90,2809
2026-04-27T11:10:00+05:30,2721.80,2734.00,2720.00,2733.10,18411
2026-04-27T11:15:00+05:30,2733.00,2749.50,2733.00,2747.00,10770
2026-04-27T11:20:00+05:30,2747.00,2748.00,2744.90,2748.00,3565
2026-04-27T11:25:00+05:30,2746.90,2750.00,2743.40,2745.10,3205
2026-04-27T11:30:00+05:30,2745.00,2747.80,2744.70,2745.30,3183
2026-04-27T11:35:00+05:30,2745.40,2747.80,2742.60,2744.60,4962
2026-04-27T11:40:00+05:30,2744.60,2746.90,2743.60,2744.80,2367
2026-04-27T11:45:00+05:30,2743.90,2746.30,2741.40,2746.00,2644
2026-04-27T11:50:00+05:30,2746.00,2746.60,2741.70,2742.50,3082
2026-04-27T11:55:00+05:30,2742.50,2753.90,2742.50,2751.90,8001
2026-04-27T12:00:00+05:30,2750.30,2751.40,2747.20,2749.40,2665
2026-04-27T12:05:00+05:30,2749.40,2750.20,2747.00,2747.80,1807
2026-04-27T12:10:00+05:30,2747.80,2749.40,2746.30,2749.00,2364
2026-04-27T12:15:00+05:30,2748.80,2750.80,2746.00,2748.70,3254
2026-04-27T12:20:00+05:30,2748.60,2750.00,2746.80,2748.20,3833
2026-04-27T12:25:00+05:30,2748.20,2752.10,2748.10,2748.30,2955
2026-04-27T12:30:00+05:30,2747.70,2765.60,2746.90,2761.30,18866
2026-04-27T12:35:00+05:30,2761.30,2762.80,2758.30,2758.70,3312
2026-04-27T12:40:00+05:30,2758.10,2758.80,2756.30,2758.80,3256
2026-04-27T12:45:00+05:30,2758.60,2760.60,2757.80,2759.90,3515
2026-04-27T12:50:00+05:30,2759.00,2760.30,2757.30,2757.30,2003
2026-04-27T12:55:00+05:30,2757.30,2759.00,2756.90,2757.00,1966
2026-04-27T13:00:00+05:30,2757.00,2760.00,2756.60,2760.00,6864
2026-04-27T13:05:00+05:30,2759.90,2765.00,2759.80,2760.90,6599
2026-04-27T13:10:00+05:30,2761.80,2764.70,2759.90,2764.70,3460
2026-04-27T13:15:00+05:30,2763.60,2774.50,2762.80,2762.80,14835
2026-04-27T13:20:00+05:30,2762.60,2763.40,2759.20,2763.40,2156
2026-04-27T13:25:00+05:30,2762.50,2766.90,2761.10,2764.10,3382
2026-04-27T13:30:00+05:30,2763.20,2764.90,2760.50,2761.40,1974
2026-04-27T13:35:00+05:30,2761.50,2764.20,2760.40,2760.60,1815
2026-04-27T13:40:00+05:30,2760.60,2763.00,2759.40,2759.40,2067
2026-04-27T13:45:00+05:30,2759.40,2761.00,2755.70,2756.00,3306
2026-04-27T13:50:00+05:30,2756.00,2760.20,2754.20,2758.50,1987
2026-04-27T13:55:00+05:30,2758.70,2761.90,2757.80,2760.00,2434
2026-04-27T14:00:00+05:30,2760.00,2762.40,2758.20,2762.40,2502
2026-04-27T14:05:00+05:30,2761.30,2763.90,2758.10,2759.50,3174
2026-04-27T14:10:00+05:30,2758.70,2761.70,2757.90,2761.60,2515
2026-04-27T14:15:00+05:30,2760.70,2761.80,2758.90,2761.60,2840
2026-04-27T14:20:00+05:30,2761.80,2762.50,2759.40,2762.50,2079
2026-04-27T14:25:00+05:30,2763.30,2763.30,2760.90,2762.30,2662
2026-04-27T14:30:00+05:30,2762.70,2763.00,2758.10,2760.50,2638
2026-04-27T14:35:00+05:30,2759.70,2763.50,2759.60,2763.10,4716
2026-04-27T14:40:00+05:30,2762.50,2763.00,2760.40,2761.90,2756
2026-04-27T14:45:00+05:30,2761.40,2761.90,2756.50,2760.70,3352
2026-04-27T14:50:00+05:30,2759.90,2762.50,2759.80,2762.00,4385
2026-04-27T14:55:00+05:30,2762.00,2762.30,2756.90,2756.90,3962
2026-04-27T15:00:00+05:30,2758.70,2758.70,2754.10,2755.70,8370
2026-04-27T15:05:00+05:30,2755.00,2755.10,2751.10,2753.30,7313
2026-04-27T15:10:00+05:30,2756.20,2756.70,2751.90,2753.50,12093
2026-04-27T15:15:00+05:30,2752.80,2757.40,2750.80,2754.50,14383
2026-04-27T15:20:00+05:30,2755.00,2759.50,2753.10,2757.30,31202
2026-04-27T15:25:00+05:30,2755.20,2767.30,2753.00,2761.20,22867
2026-04-28T09:15:00+05:30,2749.80,2774.80,2749.80,2765.10,0
2026-04-28T09:20:00+05:30,2763.70,2764.10,2754.00,2754.90,8330
2026-04-28T09:25:00+05:30,2754.10,2761.00,2754.00,2758.10,8318
2026-04-28T09:30:00+05:30,2756.60,2756.60,2753.00,2753.80,7345
2026-04-28T09:35:00+05:30,2752.40,2756.30,2746.60,2751.50,6407
2026-04-28T09:40:00+05:30,2752.50,2753.70,2749.80,2750.90,5108
2026-04-28T09:45:00+05:30,2750.10,2755.00,2750.10,2752.50,7089
2026-04-28T09:50:00+05:30,2753.10,2761.20,2751.60,2761.20,8564
2026-04-28T09:55:00+05:30,2760.80,2762.00,2757.90,2761.10,4669
2026-04-28T10:00:00+05:30,2759.70,2762.70,2756.00,2757.20,8952
2026-04-28T10:05:00+05:30,2756.00,2756.40,2751.80,2754.00,11197
2026-04-28T10:10:00+05:30,2754.00,2754.00,2746.40,2749.00,7009
2026-04-28T10:15:00+05:30,2749.00,2753.20,2745.80,2752.20,8590
2026-04-28T10:20:00+05:30,2752.20,2759.60,2751.00,2751.00,17585
2026-04-28T10:25:00+05:30,2751.00,2755.40,2750.30,2754.30,9878
2026-04-28T10:30:00+05:30,2753.70,2754.30,2751.00,2751.30,2174
2026-04-28T10:35:00+05:30,2751.00,2751.30,2744.70,2745.70,12626
2026-04-28T10:40:00+05:30,2745.70,2747.40,2742.00,2745.30,9994
2026-04-28T10:45:00+05:30,2745.20,2746.90,2744.20,2745.00,4191
2026-04-28T10:50:00+05:30,2745.00,2749.10,2745.00,2748.70,5307
2026-04-28T10:55:00+05:30,2748.70,2749.00,2744.60,2745.00,6483
2026-04-28T11:00:00+05:30,2745.60,2750.60,2745.00,2748.80,4839
2026-04-28T11:05:00+05:30,2748.20,2748.20,2743.30,2743.50,3584
2026-04-28T11:10:00+05:30,2743.10,2743.80,2742.50,2743.00,3176
2026-04-28T11:15:00+05:30,2743.00,2743.40,2738.40,2740.70,8844
2026-04-28T11:20:00+05:30,2740.70,2750.60,2740.00,2749.70,7418
2026-04-28T11:25:00+05:30,2749.00,2768.00,2749.00,2763.70,60451
2026-04-28T11:30:00+05:30,2763.30,2784.00,2762.80,2783.00,59401
2026-04-28T11:35:00+05:30,2783.00,2788.60,2777.90,2778.90,21157
2026-04-28T11:40:00+05:30,2777.00,2779.70,2775.40,2778.50,11340
2026-04-28T11:45:00+05:30,2778.50,2780.50,2775.90,2779.10,11315
2026-04-28T11:50:00+05:30,2779.10,2779.10,2768.10,2771.20,19871
2026-04-28T11:55:00+05:30,2771.20,2772.70,2767.60,2770.00,16007
2026-04-28T12:00:00+05:30,2770.00,2771.10,2766.00,2767.70,15162
2026-04-28T12:05:00+05:30,2767.70,2767.80,2764.40,2765.90,8807
2026-04-28T12:10:00+05:30,2766.50,2766.70,2764.40,2765.30,8360
2026-04-28T12:15:00+05:30,2766.10,2767.10,2764.60,2765.40,8401
2026-04-28T12:20:00+05:30,2765.40,2771.80,2764.50,2770.30,14724
2026-04-28T12:25:00+05:30,2769.60,2773.00,2769.20,2770.30,8332
2026-04-28T12:30:00+05:30,2770.30,2771.40,2767.20,2770.50,7672
2026-04-28T12:35:00+05:30,2770.40,2770.80,2765.50,2770.00,6894
2026-04-28T12:40:00+05:30,2770.00,2773.70,2768.40,2771.80,7723
2026-04-28T12:45:00+05:30,2771.80,2771.90,2769.10,2771.10,6619
2026-04-28T12:50:00+05:30,2770.70,2775.40,2768.30,2769.50,29787
2026-04-28T12:55:00+05:30,2769.50,2769.50,2763.90,2766.40,7292
2026-04-28T13:00:00+05:30,2766.40,2769.30,2760.60,2761.90,12388
2026-04-28T13:05:00+05:30,2761.60,2765.00,2758.70,2760.00,13093
2026-04-28T13:10:00+05:30,2759.60,2759.90,2755.10,2756.00,7365
2026-04-28T13:15:00+05:30,2756.00,2760.00,2756.00,2759.00,7642
2026-04-28T13:20:00+05:30,2759.80,2759.80,2756.10,2757.30,7212
2026-04-28T13:25:00+05:30,2756.60,2759.90,2756.60,2758.90,6858
2026-04-28T13:30:00+05:30,2758.10,2758.90,2754.80,2756.00,6132
2026-04-28T13:35:00+05:30,2756.00,2756.50,2753.10,2754.10,6928
2026-04-28T13:40:00+05:30,2754.00,2757.50,2754.00,2755.60,5765
2026-04-28T13:45:00+05:30,2756.10,2766.50,2754.40,2765.10,18753
2026-04-28T13:50:00+05:30,2765.00,2773.70,2765.00,2770.60,12031
2026-04-28T13:55:00+05:30,2770.60,2772.00,2769.40,2769.90,8480
2026-04-28T14:00:00+05:30,2769.90,2770.90,2769.40,2770.00,11009
2026-04-28T14:05:00+05:30,2770.00,2770.90,2762.40,2770.20,55676
2026-04-28T14:10:00+05:30,2770.00,2771.30,2763.00,2768.60,28115
2026-04-28T14:15:00+05:30,2768.60,2771.80,2767.40,2771.70,10659
2026-04-28T14:20:00+05:30,2772.30,2779.10,2772.30,2776.50,18262
2026-04-28T14:25:00+05:30,2775.00,2776.50,2771.40,2773.50,6352
2026-04-28T14:30:00+05:30,2773.50,2778.80,2773.50,2774.30,16153
2026-04-28T14:35:00+05:30,2774.30,2776.20,2772.30,2775.00,7451
2026-04-28T14:40:00+05:30,2775.00,2777.90,2775.00,2777.90,9303
2026-04-28T14:45:00+05:30,2777.90,2778.60,2774.90,2775.10,8968
2026-04-28T14:50:00+05:30,2775.90,2777.30,2773.20,2776.90,9537
2026-04-28T14:55:00+05:30,2777.00,2777.00,2773.70,2774.30,10103
2026-04-28T15:00:00+05:30,2774.50,2774.50,2754.70,2757.30,42944
2026-04-28T15:05:00+05:30,2756.60,2758.20,2753.70,2755.60,30061
2026-04-28T15:10:00+05:30,2755.70,2760.50,2755.70,2758.40,53126
2026-04-28T15:15:00+05:30,2758.40,2761.10,2755.60,2760.10,42111
2026-04-28T15:20:00+05:30,2760.10,2765.00,2756.00,2761.50,57028
2026-04-28T15:25:00+05:30,2761.40,2773.00,2756.00,2770.00,35306
2026-04-29T09:15:00+05:30,2775.00,2792.80,2775.00,2780.10,0
2026-04-29T09:20:00+05:30,2785.00,2785.00,2762.90,2765.60,11970
2026-04-29T09:25:00+05:30,2767.50,2773.60,2766.00,2770.00,4911
2026-04-29T09:30:00+05:30,2769.00,2769.00,2760.30,2761.20,8875
2026-04-29T09:35:00+05:30,2764.10,2773.90,2764.10,2773.80,9372
2026-04-29T09:40:00+05:30,2774.20,2777.20,2772.00,2773.00,7221
2026-04-29T09:45:00+05:30,2773.00,2773.60,2767.40,2768.00,6392
2026-04-29T09:50:00+05:30,2769.00,2770.30,2765.50,2769.00,3218
2026-04-29T09:55:00+05:30,2768.60,2770.40,2766.00,2768.10,4962
2026-04-29T10:00:00+05:30,2768.10,2789.40,2768.10,2786.40,23149
2026-04-29T10:05:00+05:30,2786.30,2786.50,2780.00,2782.30,8496
2026-04-29T10:10:00+05:30,2783.90,2783.90,2779.30,2780.80,4084
2026-04-29T10:15:00+05:30,2780.70,2786.20,2780.70,2782.00,5385
2026-04-29T10:20:00+05:30,2782.80,2786.30,2782.80,2783.10,3514
2026-04-29T10:25:00+05:30,2783.40,2786.00,2782.10,2785.30,8186
2026-04-29T10:30:00+05:30,2785.30,2785.30,2780.80,2781.90,1730
2026-04-29T10:35:00+05:30,2781.80,2783.60,2777.30,2780.00,4335
2026-04-29T10:40:00+05:30,2780.00,2783.30,2777.70,2781.60,4472
2026-04-29T10:45:00+05:30,2782.90,2801.00,2782.90,2801.00,34553
2026-04-29T10:50:00+05:30,2800.00,2805.00,2799.80,2800.40,10938
2026-04-29T10:55:00+05:30,2801.60,2801.60,2796.10,2797.20,8452
2026-04-29T11:00:00+05:30,2797.90,2798.20,2790.90,2790.90,5366
2026-04-29T11:05:00+05:30,2790.70,2802.90,2790.70,2802.80,19309
2026-04-29T11:10:00+05:30,2802.30,2803.80,2798.70,2801.00,11690
2026-04-29T11:15:00+05:30,2800.70,2802.30,2800.00,2801.00,2453
2026-04-29T11:20:00+05:30,2801.70,2802.10,2798.00,2801.10,13652
2026-04-29T11:25:00+05:30,2800.60,2801.50,2793.80,2793.80,10568
2026-04-29T11:30:00+05:30,2794.10,2795.00,2788.10,2790.00,5589
2026-04-29T11:35:00+05:30,2790.00,2795.50,2789.60,2795.30,11197
2026-04-29T11:40:00+05:30,2795.30,2797.10,2793.60,2794.80,4401
2026-04-29T11:45:00+05:30,2793.80,2794.70,2792.70,2794.30,4477
2026-04-29T11:50:00+05:30,2794.90,2800.00,2793.20,2797.30,14409
2026-04-29T11:55:00+05:30,2797.40,2798.80,2796.10,2797.10,7321
2026-04-29T12:00:00+05:30,2796.00,2797.10,2793.80,2796.60,8197
2026-04-29T12:05:00+05:30,2795.50,2802.00,2795.40,2801.10,9408
2026-04-29T12:10:00+05:30,2801.10,2804.40,2801.00,2804.00,8132
2026-04-29T12:15:00+05:30,2804.00,2808.30,2804.00,2805.90,6996
2026-04-29T12:20:00+05:30,2805.90,2805.90,2804.00,2804.10,19377
2026-04-29T12:25:00+05:30,2804.00,2804.10,2803.90,2804.10,9613
2026-04-29T12:30:00+05:30,2804.00,2805.60,2804.00,2805.50,14156
2026-04-29T12:35:00+05:30,2805.50,2805.60,2798.20,2801.00,10135
2026-04-29T12:40:00+05:30,2800.50,2802.20,2799.00,2801.70,3639
2026-04-29T12:45:00+05:30,2801.50,2801.70,2800.10,2800.20,2597
2026-04-29T12:50:00+05:30,2799.50,2802.40,2798.30,2802.10,5032
2026-04-29T12:55:00+05:30,2801.90,2802.40,2800.20,2801.40,1698
2026-04-29T13:00:00+05:30,2801.30,2805.00,2800.50,2804.90,4421
2026-04-29T13:05:00+05:30,2805.00,2806.80,2804.40,2804.50,5205
2026-04-29T13:10:00+05:30,2804.50,2806.60,2803.10,2804.10,17321
2026-04-29T13:15:00+05:30,2803.20,2803.70,2802.00,2802.10,7512
2026-04-29T13:20:00+05:30,2802.90,2803.20,2802.00,2802.10,19772
2026-04-29T13:25:00+05:30,2802.10,2802.30,2802.00,2802.10,6220
2026-04-29T13:30:00+05:30,2802.00,2803.90,2801.30,2803.90,7465
2026-04-29T13:35:00+05:30,2804.00,2805.10,2802.00,2802.00,19885
2026-04-29T13:40:00+05:30,2802.10,2802.10,2788.90,2792.00,35673
2026-04-29T13:45:00+05:30,2792.30,2793.00,2788.60,2791.10,8726
2026-04-29T13:50:00+05:30,2791.10,2795.80,2791.00,2793.30,5838
2026-04-29T13:55:00+05:30,2793.30,2793.80,2789.90,2789.90,15235
2026-04-29T14:00:00+05:30,2790.20,2791.90,2790.00,2791.30,20848
2026-04-29T14:05:00+05:30,2792.40,2796.20,2789.70,2790.20,10244
2026-04-29T14:10:00+05:30,2790.70,2792.60,2789.50,2790.10,10537
2026-04-29T14:15:00+05:30,2790.50,2791.40,2790.10,2790.40,7312
2026-04-29T14:20:00+05:30,2790.40,2790.80,2781.20,2788.10,16034
2026-04-29T14:25:00+05:30,2789.00,2789.00,2783.00,2783.00,4955
2026-04-29T14:30:00+05:30,2782.10,2786.30,2780.00,2785.70,11406
2026-04-29T14:35:00+05:30,2785.10,2786.80,2783.90,2785.30,4940
2026-04-29T14:40:00+05:30,2785.40,2791.00,2785.00,2790.80,5948
2026-04-29T14:45:00+05:30,2789.90,2790.00,2784.70,2786.10,7487
2026-04-29T14:50:00+05:30,2786.20,2786.20,2782.30,2783.50,4764
2026-04-29T14:55:00+05:30,2783.00,2783.60,2780.00,2782.40,8902
2026-04-29T15:00:00+05:30,2782.50,2795.40,2782.50,2790.50,51251
2026-04-29T15:05:00+05:30,2791.50,2794.20,2790.30,2791.10,25257
2026-04-29T15:10:00+05:30,2791.40,2791.40,2785.00,2785.00,22780
2026-04-29T15:15:00+05:30,2786.10,2786.60,2780.50,2781.60,22598
2026-04-29T15:20:00+05:30,2782.10,2784.10,2780.80,2781.10,17738
2026-04-29T15:25:00+05:30,2782.30,2790.00,2779.30,2788.00,23332
2026-04-30T09:15:00+05:30,2774.90,2774.90,2745.50,2763.00,0
2026-04-30T09:20:00+05:30,2764.20,2764.90,2755.50,2757.20,11290
2026-04-30T09:25:00+05:30,2757.20,2758.40,2750.40,2755.40,6701
2026-04-30T09:30:00+05:30,2756.00,2769.40,2755.10,2762.50,10482
2026-04-30T09:35:00+05:30,2762.50,2764.20,2747.60,2754.10,18064
2026-04-30T09:40:00+05:30,2752.10,2755.80,2747.10,2753.30,7112
2026-04-30T09:45:00+05:30,2753.00,2760.30,2750.10,2751.50,10956
2026-04-30T09:50:00+05:30,2752.00,2756.00,2750.10,2754.60,5494
2026-04-30T09:55:00+05:30,2755.00,2755.10,2747.60,2750.50,8867
2026-04-30T10:00:00+05:30,2749.50,2756.50,2745.10,2755.00,14771
2026-04-30T10:05:00+05:30,2755.20,2758.10,2754.10,2754.70,4321
2026-04-30T10:10:00+05:30,2755.00,2758.10,2752.60,2753.80,45767
2026-04-30T10:15:00+05:30,2752.70,2752.70,2734.40,2739.30,26195
2026-04-30T10:20:00+05:30,2739.20,2740.50,2730.00,2731.40,11449
2026-04-30T10:25:00+05:30,2730.50,2731.80,2727.00,2728.30,6905
2026-04-30T10:30:00+05:30,2728.60,2731.20,2723.50,2724.30,7165
2026-04-30T10:35:00+05:30,2724.40,2727.70,2723.50,2727.70,5615
2026-04-30T10:40:00+05:30,2727.50,2730.90,2725.30,2728.20,6280
2026-04-30T10:45:00+05:30,2728.20,2728.20,2723.20,2726.00,6442
2026-04-30T10:50:00+05:30,2726.90,2733.50,2726.30,2731.50,8901
2026-04-30T10:55:00+05:30,2731.50,2732.30,2730.90,2731.60,3001
2026-04-30T11:00:00+05:30,2731.50,2733.60,2729.90,2730.00,4869
2026-04-30T11:05:00+05:30,2730.00,2738.30,2729.50,2738.30,11153
2026-04-30T11:10:00+05:30,2739.90,2740.30,2733.00,2733.00,16386
2026-04-30T11:15:00+05:30,2733.10,2736.00,2732.00,2732.60,5061
2026-04-30T11:20:00+05:30,2732.00,2736.30,2732.00,2735.30,4239
2026-04-30T11:25:00+05:30,2735.60,2742.70,2735.20,2740.10,13277
2026-04-30T11:30:00+05:30,2740.00,2741.10,2734.20,2734.20,13383
2026-04-30T11:35:00+05:30,2734.20,2737.80,2733.00,2734.10,15207
2026-04-30T11:40:00+05:30,2734.10,2734.10,2730.60,2732.40,9444
2026-04-30T11:45:00+05:30,2732.40,2732.40,2731.00,2731.40,2398
2026-04-30T11:50:00+05:30,2731.50,2731.50,2730.10,2730.30,2249
2026-04-30T11:55:00+05:30,2730.40,2733.10,2730.30,2730.80,4161
2026-04-30T12:00:00+05:30,2730.60,2731.50,2724.10,2726.90,43791
2026-04-30T12:05:00+05:30,2726.50,2726.90,2717.10,2718.80,13245
2026-04-30T12:10:00+05:30,2720.00,2722.20,2717.50,2719.40,12131
2026-04-30T12:15:00+05:30,2720.00,2720.00,2713.90,2713.90,6275
2026-04-30T12:20:00+05:30,2713.50,2717.70,2711.30,2715.60,9393
2026-04-30T12:25:00+05:30,2716.00,2717.90,2713.60,2714.20,7866
2026-04-30T12:30:00+05:30,2714.50,2715.00,2709.20,2712.50,7912
2026-04-30T12:35:00+05:30,2712.50,2712.50,2708.00,2710.60,10702
2026-04-30T12:40:00+05:30,2710.70,2712.20,2710.10,2710.50,7035
2026-04-30T12:45:00+05:30,2711.00,2715.70,2710.60,2713.80,10967
2026-04-30T12:50:00+05:30,2714.40,2715.50,2711.40,2713.00,5782
2026-04-30T12:55:00+05:30,2711.90,2714.80,2711.90,2714.40,5586
2026-04-30T13:00:00+05:30,2714.40,2716.80,2710.40,2711.20,10760
2026-04-30T13:05:00+05:30,2711.00,2712.30,2709.80,2711.40,4891
2026-04-30T13:10:00+05:30,2711.40,2711.90,2710.00,2710.40,5765
2026-04-30T13:15:00+05:30,2710.60,2713.50,2709.50,2712.00,9415
2026-04-30T13:20:00+05:30,2712.20,2720.00,2712.00,2716.00,12994
2026-04-30T13:25:00+05:30,2715.60,2718.30,2715.00,2717.40,8858
2026-04-30T13:30:00+05:30,2717.50,2725.30,2717.50,2723.00,70101
2026-04-30T13:35:00+05:30,2723.30,2723.50,2718.60,2718.80,20984
2026-04-30T13:40:00+05:30,2718.70,2722.80,2718.40,2722.80,7165
2026-04-30T13:45:00+05:30,2721.50,2724.80,2720.30,2724.00,13886
2026-04-30T13:50:00+05:30,2724.20,2729.00,2723.80,2727.20,33877
2026-04-30T13:55:00+05:30,2727.20,2737.80,2727.20,2736.70,20716
2026-04-30T14:00:00+05:30,2736.80,2736.80,2720.20,2721.10,50740
2026-04-30T14:05:00+05:30,2721.00,2722.40,2717.40,2720.90,11780
2026-04-30T14:10:00+05:30,2721.00,2721.00,2718.40,2720.00,9128
2026-04-30T14:15:00+05:30,2720.10,2725.90,2720.00,2721.00,19887
2026-04-30T14:20:00+05:30,2721.00,2722.10,2718.10,2720.40,11328
2026-04-30T14:25:00+05:30,2720.30,2723.60,2718.60,2720.90,20374
2026-04-30T14:30:00+05:30,2721.00,2726.90,2720.10,2726.00,20191
2026-04-30T14:35:00+05:30,2725.20,2729.40,2725.20,2728.60,21012
2026-04-30T14:40:00+05:30,2729.70,2733.00,2727.90,2729.60,23033
2026-04-30T14:45:00+05:30,2730.30,2730.30,2725.30,2726.80,17120
2026-04-30T14:50:00+05:30,2726.30,2727.90,2722.50,2726.40,20299
2026-04-30T14:55:00+05:30,2726.10,2729.20,2722.50,2723.20,30446
2026-04-30T15:00:00+05:30,2725.20,2725.20,2710.70,2712.30,61548
2026-04-30T15:05:00+05:30,2712.50,2712.60,2707.80,2710.70,35793
2026-04-30T15:10:00+05:30,2709.90,2709.90,2703.70,2709.30,48314
2026-04-30T15:15:00+05:30,2708.60,2715.90,2708.60,2715.50,38032
2026-04-30T15:20:00+05:30,2715.30,2715.60,2710.30,2712.10,53057
