ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,788.50,792.80,787.35,788.80,0
2026-04-27T09:20:00+05:30,788.80,790.00,788.65,789.15,327758
2026-04-27T09:25:00+05:30,789.15,789.90,788.20,789.40,371512
2026-04-27T09:30:00+05:30,789.40,789.50,787.25,787.25,266134
2026-04-27T09:35:00+05:30,787.50,787.50,786.80,786.90,262593
2026-04-27T09:40:00+05:30,786.90,788.05,786.80,788.00,231254
2026-04-27T09:45:00+05:30,787.95,788.65,787.75,788.50,198662
2026-04-27T09:50:00+05:30,788.50,789.40,788.15,789.35,224259
2026-04-27T09:55:00+05:30,789.20,789.90,789.05,789.70,287913
2026-04-27T10:00:00+05:30,789.70,790.00,789.40,789.90,243866
2026-04-27T10:05:00+05:30,789.95,792.00,789.30,791.70,477995
2026-04-27T10:10:00+05:30,791.60,792.40,790.50,790.65,323407
2026-04-27T10:15:00+05:30,790.65,792.20,790.65,791.80,122619
2026-04-27T10:20:00+05:30,791.80,791.90,790.30,790.60,107794
2026-04-27T10:25:00+05:30,790.45,791.00,788.75,789.00,190263
2026-04-27T10:30:00+05:30,789.00,789.00,787.15,787.65,193021
2026-04-27T10:35:00+05:30,787.65,788.35,787.50,787.60,179583
2026-04-27T10:40:00+05:30,787.50,789.70,787.05,789.45,186876
2026-04-27T10:45:00+05:30,789.25,790.35,788.05,790.20,170273
2026-04-27T10:50:00+05:30,790.20,790.95,790.00,790.40,131802
2026-04-27T10:55:00+05:30,790.40,790.75,790.25,790.45,51522
2026-04-27T11:00:00+05:30,790.45,790.50,789.40,790.10,93795
2026-04-27T11:05:00+05:30,790.25,790.25,788.40,788.50,111233
2026-04-27T11:10:00+05:30,788.60,789.10,788.25,788.80,135353
2026-04-27T11:15:00+05:30,788.65,789.15,788.40,788.70,82070
2026-04-27T11:20:00+05:30,788.70,788.75,787.40,787.50,140780
2026-04-27T11:25:00+05:30,787.40,787.40,785.25,785.50,237724
2026-04-27T11:30:00+05:30,785.70,787.55,785.50,787.05,379425
2026-04-27T11:35:00+05:30,787.05,787.05,785.35,786.15,261255
2026-04-27T11:40:00+05:30,786.15,786.30,785.55,785.95,378323
2026-04-27T11:45:00+05:30,785.95,788.00,785.50,787.70,283116
2026-04-27T11:50:00+05:30,787.70,787.85,786.55,787.60,153405
2026-04-27T11:55:00+05:30,787.70,787.95,787.40,787.95,116233
2026-04-27T12:00:00+05:30,787.95,788.60,787.45,788.15,209374
2026-04-27T12:05:00+05:30,788.25,788.50,787.55,787.65,190776
2026-04-27T12:10:00+05:30,787.90,788.00,786.20,787.00,236089
2026-04-27T12:15:00+05:30,787.00,787.30,786.65,787.20,102960
2026-04-27T12:20:00+05:30,787.15,787.40,786.60,787.35,165499
2026-04-27T12:25:00+05:30,787.15,787.85,787.00,787.50,110311
2026-04-27T12:30:00+05:30,787.20,788.05,787.15,787.65,141428
2026-04-27T12:35:00+05:30,787.50,788.00,787.30,787.75,104539
2026-04-27T12:40:00+05:30,787.60,787.95,786.65,786.80,221632
2026-04-27T12:45:00+05:30,786.80,786.95,786.05,786.20,131404
2026-04-27T12:50:00+05:30,786.25,787.00,786.05,786.75,239606
2026-04-27T12:55:00+05:30,786.55,787.35,786.05,787.25,136801
2026-04-27T13:00:00+05:30,787.20,788.90,787.20,788.45,159672
2026-04-27T13:05:00+05:30,788.45,789.10,788.10,789.00,150629
2026-04-27T13:10:00+05:30,788.85,789.60,788.85,789.50,106754
2026-04-27T13:15:00+05:30,789.55,790.40,789.50,789.90,297997
2026-04-27T13:20:00+05:30,789.95,790.25,789.20,790.10,141753
2026-04-27T13:25:00+05:30,789.85,790.75,789.70,790.00,149174
2026-04-27T13:30:00+05:30,790.00,790.05,789.50,790.00,214863
2026-04-27T13:35:00+05:30,789.90,790.40,789.75,790.05,125210
2026-04-27T13:40:00+05:30,790.05,791.45,789.75,790.65,182033
2026-04-27T13:45:00+05:30,790.65,792.00,790.50,791.10,154572
2026-04-27T13:50:00+05:30,791.10,791.70,790.80,791.50,173795
2026-04-27T13:55:00+05:30,791.40,791.60,790.80,791.40,315602
2026-04-27T14:00:00+05:30,791.45,791.70,790.75,790.80,101234
2026-04-27T14:05:00+05:30,790.80,791.05,790.20,791.00,185727
2026-04-27T14:10:00+05:30,791.00,791.50,790.85,791.40,85272
2026-04-27T14:15:00+05:30,791.35,792.65,791.25,792.40,273684
2026-04-27T14:20:00+05:30,792.40,792.60,791.75,792.15,170468
2026-04-27T14:25:00+05:30,792.15,792.20,791.30,791.35,110158
2026-04-27T14:30:00+05:30,791.30,791.30,789.75,790.00,292361
2026-04-27T14:35:00+05:30,790.00,791.10,789.40,790.45,330609
2026-04-27T14:40:00+05:30,790.35,790.90,790.00,790.65,227928
2026-04-27T14:45:00+05:30,790.65,790.65,789.25,789.55,218812
2026-04-27T14:50:00+05:30,789.35,790.40,789.20,789.90,269983
2026-04-27T14:55:00+05:30,789.80,790.15,789.55,790.05,229620
2026-04-27T15:00:00+05:30,790.05,790.05,789.40,789.55,518559
