ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,593.95,593.95,590.15,592.50,0
2026-04-27T09:20:00+05:30,592.95,596.00,592.95,595.90,116668
2026-04-27T09:25:00+05:30,596.30,597.00,595.25,596.80,81322
2026-04-27T09:30:00+05:30,597.35,597.35,593.05,593.30,67223
2026-04-27T09:35:00+05:30,593.15,595.00,593.15,594.05,50360
2026-04-27T09:40:00+05:30,594.05,596.25,593.90,596.10,251330
2026-04-27T09:45:00+05:30,596.25,596.80,594.90,596.65,146246
2026-04-27T09:50:00+05:30,596.65,598.25,595.65,598.25,41720
2026-04-27T09:55:00+05:30,598.50,599.55,597.30,599.55,50563
2026-04-27T10:00:00+05:30,599.30,600.55,598.10,600.00,60997
2026-04-27T10:05:00+05:30,600.00,600.00,598.00,598.05,47553
2026-04-27T10:10:00+05:30,598.10,598.40,597.20,597.35,26474
2026-04-27T10:15:00+05:30,597.50,598.70,597.50,598.70,13784
2026-04-27T10:20:00+05:30,598.80,600.95,598.35,600.15,221935
2026-04-27T10:25:00+05:30,600.15,601.00,599.90,600.50,218893
2026-04-27T10:30:00+05:30,600.45,601.20,600.05,600.70,124228
2026-04-27T10:35:00+05:30,600.75,600.95,600.20,600.80,72862
2026-04-27T10:40:00+05:30,601.65,602.50,601.25,602.40,86286
2026-04-27T10:45:00+05:30,602.50,602.85,601.90,602.55,53435
2026-04-27T10:50:00+05:30,602.55,603.30,602.25,602.95,91586
2026-04-27T10:55:00+05:30,602.90,602.90,601.75,601.75,42511
2026-04-27T11:00:00+05:30,601.80,602.50,601.10,601.50,96555
2026-04-27T11:05:00+05:30,601.50,602.10,600.10,600.90,62192
2026-04-27T11:10:00+05:30,601.30,602.15,601.00,601.30,73297
2026-04-27T11:15:00+05:30,601.05,601.35,600.00,600.00,46325
2026-04-27T11:20:00+05:30,600.20,601.90,599.40,601.05,321304
2026-04-27T11:25:00+05:30,601.10,601.70,598.65,598.95,214621
2026-04-27T11:30:00+05:30,598.50,599.80,598.35,598.65,32648
2026-04-27T11:35:00+05:30,598.60,598.70,597.20,597.70,50510
2026-04-27T11:40:00+05:30,597.40,600.20,597.40,599.20,249794
2026-04-27T11:45:00+05:30,599.40,599.45,598.15,599.00,26711
2026-04-27T11:50:00+05:30,598.70,598.70,598.05,598.40,32695
2026-04-27T11:55:00+05:30,598.45,599.05,598.05,598.90,14145
2026-04-27T12:00:00+05:30,598.90,598.90,597.60,598.05,29656
2026-04-27T12:05:00+05:30,598.25,598.35,596.80,596.85,36116
2026-04-27T12:10:00+05:30,596.80,597.60,596.55,597.60,23069
2026-04-27T12:15:00+05:30,597.60,598.50,597.00,597.60,190325
2026-04-27T12:20:00+05:30,597.60,597.90,596.40,596.90,42454
2026-04-27T12:25:00+05:30,596.95,598.35,596.70,598.35,147029
2026-04-27T12:30:00+05:30,598.40,599.10,598.20,598.90,15275
2026-04-27T12:35:00+05:30,598.85,599.00,598.20,598.35,11267
2026-04-27T12:40:00+05:30,598.35,598.45,597.40,597.95,13792
2026-04-27T12:45:00+05:30,597.75,598.30,597.75,598.20,8109
2026-04-27T12:50:00+05:30,598.10,599.30,598.10,598.25,336097
2026-04-27T12:55:00+05:30,598.60,598.60,597.70,597.90,14307
