ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,375.00,377.40,373.25,377.40,0
2026-04-27T09:20:00+05:30,377.15,381.40,377.15,379.65,215597
2026-04-27T09:25:00+05:30,379.40,379.40,376.05,376.25,109733
2026-04-27T09:30:00+05:30,376.65,378.80,376.65,377.10,85800
2026-04-27T09:35:00+05:30,376.80,377.45,376.50,376.85,40096
2026-04-27T09:40:00+05:30,377.45,378.70,376.70,378.50,51835
2026-04-27T09:45:00+05:30,378.60,379.05,377.90,378.85,42188
2026-04-27T09:50:00+05:30,380.80,382.95,380.75,382.95,303919
2026-04-27T09:55:00+05:30,382.95,384.70,382.20,383.95,102790
2026-04-27T10:00:00+05:30,383.95,384.35,383.20,383.60,87384
2026-04-27T10:05:00+05:30,383.55,383.85,382.10,382.10,40826
2026-04-27T10:10:00+05:30,382.00,382.00,381.50,381.75,36775
2026-04-27T10:15:00+05:30,381.80,383.00,381.80,382.25,32179
2026-04-27T10:20:00+05:30,382.35,382.55,381.90,382.00,21449
2026-04-27T10:25:00+05:30,382.00,382.75,381.25,382.65,33867
2026-04-27T10:30:00+05:30,382.55,382.85,381.90,382.00,15283
2026-04-27T10:35:00+05:30,382.05,382.65,382.00,382.30,15816
2026-04-27T10:40:00+05:30,382.40,382.75,382.00,382.00,23662
2026-04-27T10:45:00+05:30,382.00,383.25,382.00,383.05,24940
2026-04-27T10:50:00+05:30,383.05,383.20,382.60,383.20,18476
2026-04-27T10:55:00+05:30,383.10,383.10,382.20,382.25,25839
2026-04-27T11:00:00+05:30,382.20,382.45,381.60,382.25,22540
2026-04-27T11:05:00+05:30,382.10,382.55,381.65,381.90,17404
2026-04-27T11:10:00+05:30,381.90,382.35,381.05,381.40,39621
2026-04-27T11:15:00+05:30,381.50,381.95,380.95,381.30,67257
2026-04-27T11:20:00+05:30,381.30,381.45,381.10,381.25,12533
2026-04-27T11:25:00+05:30,381.25,381.35,380.90,381.00,18055
2026-04-27T11:30:00+05:30,381.00,381.60,380.90,380.90,17226
2026-04-27T11:35:00+05:30,380.55,380.80,379.55,380.25,41613
2026-04-27T11:40:00+05:30,380.10,380.65,380.00,380.45,18652
2026-04-27T11:45:00+05:30,380.45,381.05,380.15,380.70,15730
2026-04-27T11:50:00+05:30,380.80,380.80,380.05,380.10,17172
2026-04-27T11:55:00+05:30,380.10,380.30,379.85,379.95,14296
2026-04-27T12:00:00+05:30,380.00,380.25,379.75,380.25,21118
2026-04-27T12:05:00+05:30,380.25,380.45,379.75,380.05,12234
2026-04-27T12:10:00+05:30,380.10,380.40,380.00,380.35,11411
2026-04-27T12:15:00+05:30,380.35,380.50,380.15,380.25,11616
2026-04-27T12:20:00+05:30,380.10,380.15,379.70,379.95,13379
2026-04-27T12:25:00+05:30,379.90,380.05,379.25,379.65,22116
2026-04-27T12:30:00+05:30,379.65,380.35,379.40,380.25,23012
2026-04-27T12:35:00+05:30,380.25,380.85,379.75,379.75,27493
2026-04-27T12:40:00+05:30,379.75,380.00,379.50,379.75,14288
2026-04-27T12:45:00+05:30,379.75,380.00,379.40,379.85,17094
2026-04-27T12:50:00+05:30,380.00,380.50,379.85,380.20,12460
2026-04-27T12:55:00+05:30,380.10,380.70,379.95,380.50,14702
2026-04-27T13:00:00+05:30,380.60,380.75,379.95,380.20,17554
2026-04-27T13:05:00+05:30,380.35,380.55,380.15,380.30,11543
2026-04-27T13:10:00+05:30,380.30,380.80,380.15,380.70,10991
2026-04-27T13:15:00+05:30,380.70,381.25,380.65,380.95,16732
2026-04-27T13:20:00+05:30,380.95,381.10,380.55,381.00,15237
2026-04-27T13:25:00+05:30,380.85,381.00,380.55,380.75,15555
2026-04-27T13:30:00+05:30,380.70,381.00,380.50,380.95,16539
