ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2334.20,2349.00,2328.70,2333.40,0
2026-04-27T09:20:00+05:30,2333.30,2346.00,2333.00,2341.60,21697
2026-04-27T09:25:00+05:30,2342.20,2346.00,2338.60,2343.70,13814
2026-04-27T09:30:00+05:30,2343.70,2346.80,2342.00,2345.90,22719
2026-04-27T09:35:00+05:30,2345.90,2357.90,2345.30,2347.30,21433
2026-04-27T09:40:00+05:30,2347.30,2353.70,2341.30,2353.70,18465
2026-04-27T09:45:00+05:30,2352.60,2361.90,2351.50,2356.60,21250
2026-04-27T09:50:00+05:30,2357.20,2361.90,2354.00,2358.30,7993
2026-04-27T09:55:00+05:30,2357.50,2359.60,2353.10,2354.20,5994
2026-04-27T10:00:00+05:30,2353.70,2357.10,2353.70,2354.40,6510
2026-04-27T10:05:00+05:30,2354.10,2354.10,2344.80,2346.50,13581
2026-04-27T10:10:00+05:30,2346.80,2349.70,2345.10,2346.70,4585
2026-04-27T10:15:00+05:30,2347.40,2355.30,2347.40,2349.40,11089
2026-04-27T10:20:00+05:30,2349.60,2349.60,2340.40,2341.30,18730
2026-04-27T10:25:00+05:30,2341.00,2344.70,2340.40,2343.00,8250
2026-04-27T10:30:00+05:30,2343.20,2345.90,2341.10,2344.10,11130
2026-04-27T10:35:00+05:30,2344.10,2347.00,2343.00,2346.60,7558
2026-04-27T10:40:00+05:30,2346.60,2351.40,2346.60,2347.50,14508
2026-04-27T10:45:00+05:30,2346.50,2349.10,2343.80,2345.70,11666
2026-04-27T10:50:00+05:30,2346.10,2350.40,2345.80,2348.10,23710
2026-04-27T10:55:00+05:30,2348.10,2350.00,2347.00,2349.60,14587
2026-04-27T11:00:00+05:30,2348.90,2349.30,2344.00,2344.70,7610
2026-04-27T11:05:00+05:30,2344.70,2346.70,2341.40,2342.40,12741
2026-04-27T11:10:00+05:30,2342.60,2347.00,2342.60,2345.40,6877
2026-04-27T11:15:00+05:30,2344.80,2347.00,2343.50,2343.50,4900
2026-04-27T11:20:00+05:30,2343.50,2344.00,2342.30,2343.40,5288
2026-04-27T11:25:00+05:30,2343.40,2343.40,2339.00,2339.00,6706
2026-04-27T11:30:00+05:30,2339.20,2339.20,2331.00,2331.90,34905
2026-04-27T11:35:00+05:30,2331.90,2331.90,2326.30,2330.90,14586
2026-04-27T11:40:00+05:30,2330.80,2333.00,2330.20,2331.60,5341
2026-04-27T11:45:00+05:30,2331.20,2334.00,2330.10,2333.90,5180
2026-04-27T11:50:00+05:30,2333.90,2334.00,2330.40,2332.60,5822
2026-04-27T11:55:00+05:30,2332.50,2332.80,2331.20,2332.70,4609
2026-04-27T12:00:00+05:30,2332.70,2333.00,2330.10,2330.50,5447
2026-04-27T12:05:00+05:30,2330.50,2334.00,2330.50,2331.50,5385
2026-04-27T12:10:00+05:30,2331.50,2334.60,2331.50,2332.80,12083
2026-04-27T12:15:00+05:30,2332.80,2335.00,2332.00,2333.40,5225
2026-04-27T12:20:00+05:30,2331.90,2335.00,2331.30,2334.40,5873
2026-04-27T12:25:00+05:30,2334.30,2337.70,2334.20,2335.50,10416
2026-04-27T12:30:00+05:30,2335.30,2342.70,2335.00,2342.70,7610
2026-04-27T12:35:00+05:30,2343.00,2346.00,2341.50,2342.10,15530
2026-04-27T12:40:00+05:30,2342.10,2343.00,2340.00,2340.00,8886
2026-04-27T12:45:00+05:30,2341.30,2343.00,2339.00,2339.00,10776
2026-04-27T12:50:00+05:30,2339.00,2339.80,2336.20,2338.50,12885
2026-04-27T12:55:00+05:30,2338.90,2339.30,2337.10,2338.00,8205
2026-04-27T13:00:00+05:30,2338.50,2340.00,2338.10,2338.30,9284
2026-04-27T13:05:00+05:30,2338.30,2339.60,2336.60,2339.60,6995
2026-04-27T13:10:00+05:30,2339.60,2340.00,2337.60,2340.00,15677
2026-04-27T13:15:00+05:30,2339.90,2343.00,2339.50,2340.00,27402
2026-04-27T13:20:00+05:30,2339.40,2340.30,2338.30,2339.50,9305
2026-04-27T13:25:00+05:30,2339.50,2340.00,2338.40,2338.40,9192
2026-04-27T13:30:00+05:30,2338.00,2338.80,2336.40,2337.20,13388
2026-04-27T13:35:00+05:30,2337.60,2339.60,2336.40,2339.00,7847
2026-04-27T13:40:00+05:30,2339.00,2340.00,2338.30,2339.50,8491
2026-04-27T13:45:00+05:30,2339.70,2342.90,2338.40,2339.00,13134
2026-04-27T13:50:00+05:30,2338.70,2338.70,2334.40,2338.50,36244
2026-04-27T13:55:00+05:30,2337.90,2338.70,2336.30,2337.50,7864
2026-04-27T14:00:00+05:30,2337.60,2338.80,2337.30,2338.60,9410
2026-04-27T14:05:00+05:30,2338.50,2339.90,2336.50,2337.00,11411
2026-04-27T14:10:00+05:30,2337.00,2338.20,2331.60,2335.90,40217
2026-04-27T14:15:00+05:30,2335.70,2336.30,2333.50,2333.90,10795
2026-04-27T14:20:00+05:30,2333.90,2334.00,2329.90,2330.00,13041
2026-04-27T14:25:00+05:30,2330.00,2333.90,2330.00,2333.10,14535
2026-04-27T14:30:00+05:30,2332.60,2333.60,2328.70,2329.80,14925
2026-04-27T14:35:00+05:30,2330.00,2334.00,2329.50,2333.60,10865
2026-04-27T14:40:00+05:30,2333.80,2336.60,2332.60,2333.70,24113
2026-04-27T14:45:00+05:30,2334.00,2335.10,2333.10,2334.00,20298
2026-04-27T14:50:00+05:30,2334.30,2335.10,2332.10,2332.30,12622
2026-04-27T14:55:00+05:30,2332.80,2333.70,2330.70,2331.10,13203
2026-04-27T15:00:00+05:30,2329.20,2330.60,2327.30,2329.00,25817
2026-04-27T15:05:00+05:30,2328.90,2329.20,2327.40,2327.90,16857
2026-04-27T15:10:00+05:30,2327.90,2331.40,2327.80,2328.80,38300
2026-04-27T15:15:00+05:30,2328.30,2328.80,2326.70,2327.00,27098
2026-04-27T15:20:00+05:30,2327.40,2329.40,2325.70,2328.20,29207
2026-04-27T15:25:00+05:30,2328.30,2329.80,2325.30,2326.50,22396
2026-04-28T09:15:00+05:30,2321.10,2332.20,2309.50,2332.20,0
2026-04-28T09:20:00+05:30,2333.00,2334.20,2322.40,2325.00,27390
2026-04-28T09:25:00+05:30,2325.00,2328.00,2323.50,2324.40,17615
2026-04-28T09:30:00+05:30,2323.50,2325.10,2308.20,2308.90,25589
2026-04-28T09:35:00+05:30,2309.00,2311.90,2305.20,2307.00,17356
2026-04-28T09:40:00+05:30,2308.00,2312.40,2307.60,2311.50,16455
2026-04-28T09:45:00+05:30,2312.30,2313.70,2310.80,2311.00,7930
2026-04-28T09:50:00+05:30,2311.00,2312.20,2311.00,2312.10,6263
2026-04-28T09:55:00+05:30,2312.40,2313.00,2309.30,2309.30,11119
2026-04-28T10:00:00+05:30,2309.40,2310.00,2307.40,2307.40,5583
2026-04-28T10:05:00+05:30,2307.40,2307.40,2295.70,2296.50,40453
2026-04-28T10:10:00+05:30,2296.40,2310.90,2295.90,2310.60,28405
2026-04-28T10:15:00+05:30,2310.90,2311.60,2307.50,2310.30,11610
2026-04-28T10:20:00+05:30,2310.30,2316.90,2310.30,2312.00,20268
2026-04-28T10:25:00+05:30,2312.00,2315.00,2310.30,2314.40,11201
2026-04-28T10:30:00+05:30,2314.70,2315.00,2311.50,2312.60,8031
2026-04-28T10:35:00+05:30,2312.60,2314.20,2312.00,2313.00,7226
2026-04-28T10:40:00+05:30,2313.00,2313.10,2310.00,2311.10,15097
2026-04-28T10:45:00+05:30,2311.10,2314.90,2310.00,2312.80,8153
2026-04-28T10:50:00+05:30,2313.30,2314.30,2312.30,2313.90,7771
2026-04-28T10:55:00+05:30,2313.90,2315.90,2312.50,2312.80,11096
2026-04-28T11:00:00+05:30,2311.50,2314.80,2310.40,2314.30,8926
2026-04-28T11:05:00+05:30,2313.50,2318.60,2312.00,2317.80,14360
2026-04-28T11:10:00+05:30,2317.80,2320.00,2317.80,2320.00,6405
2026-04-28T11:15:00+05:30,2320.00,2320.00,2316.50,2316.60,6172
2026-04-28T11:20:00+05:30,2317.00,2323.80,2316.60,2321.60,41095
2026-04-28T11:25:00+05:30,2321.30,2321.30,2315.20,2315.20,31813
2026-04-28T11:30:00+05:30,2315.90,2316.80,2313.90,2314.70,10263
2026-04-28T11:35:00+05:30,2314.70,2315.00,2312.00,2312.60,7005
2026-04-28T11:40:00+05:30,2312.70,2313.00,2309.40,2309.50,6765
2026-04-28T11:45:00+05:30,2309.50,2313.90,2309.40,2311.80,19323
2026-04-28T11:50:00+05:30,2312.10,2314.50,2310.40,2311.60,10702
2026-04-28T11:55:00+05:30,2311.60,2312.00,2310.40,2311.10,23936
2026-04-28T12:00:00+05:30,2311.00,2314.80,2310.00,2312.60,25473
2026-04-28T12:05:00+05:30,2312.70,2315.00,2311.60,2312.90,8341
2026-04-28T12:10:00+05:30,2313.00,2315.80,2310.00,2315.70,44023
2026-04-28T12:15:00+05:30,2315.70,2316.50,2313.30,2313.30,15858
2026-04-28T12:20:00+05:30,2313.30,2314.00,2303.70,2305.80,25995
2026-04-28T12:25:00+05:30,2307.00,2307.70,2301.40,2304.60,27364
2026-04-28T12:30:00+05:30,2304.60,2306.40,2301.80,2305.80,12119
2026-04-28T12:35:00+05:30,2304.50,2306.60,2299.80,2300.00,46595
2026-04-28T12:40:00+05:30,2300.00,2308.30,2299.60,2308.30,36010
2026-04-28T12:45:00+05:30,2309.00,2310.00,2305.60,2307.70,32172
2026-04-28T12:50:00+05:30,2308.20,2310.50,2306.90,2306.90,7875
2026-04-28T12:55:00+05:30,2306.70,2309.80,2303.50,2303.50,7887
2026-04-28T13:00:00+05:30,2303.90,2305.50,2297.20,2298.60,29991
2026-04-28T13:05:00+05:30,2297.80,2299.40,2296.00,2299.20,11242
2026-04-28T13:10:00+05:30,2299.20,2299.20,2291.40,2291.80,18675
2026-04-28T13:15:00+05:30,2291.90,2295.00,2291.90,2295.00,8595
2026-04-28T13:20:00+05:30,2295.00,2297.80,2294.30,2297.40,65079
2026-04-28T13:25:00+05:30,2297.40,2300.00,2296.50,2299.80,27186
2026-04-28T13:30:00+05:30,2299.80,2302.00,2298.60,2299.90,24623
2026-04-28T13:35:00+05:30,2300.90,2300.90,2294.60,2297.80,11255
2026-04-28T13:40:00+05:30,2297.70,2299.50,2297.00,2297.50,6321
2026-04-28T13:45:00+05:30,2297.40,2299.50,2297.20,2298.70,5128
2026-04-28T13:50:00+05:30,2298.10,2299.90,2297.90,2299.20,4043
2026-04-28T13:55:00+05:30,2299.50,2300.00,2293.30,2294.60,26397
2026-04-28T14:00:00+05:30,2294.00,2299.00,2292.00,2298.80,20522
2026-04-28T14:05:00+05:30,2298.10,2299.50,2297.60,2299.20,8598
2026-04-28T14:10:00+05:30,2299.20,2299.40,2296.00,2298.00,12727
2026-04-28T14:15:00+05:30,2297.60,2299.00,2295.70,2298.00,7077
2026-04-28T14:20:00+05:30,2298.10,2300.90,2298.10,2300.10,8975
2026-04-28T14:25:00+05:30,2300.10,2300.80,2295.10,2297.60,9780
2026-04-28T14:30:00+05:30,2297.40,2299.00,2292.80,2292.80,40686
2026-04-28T14:35:00+05:30,2293.20,2298.80,2292.90,2298.70,9756
2026-04-28T14:40:00+05:30,2298.70,2299.70,2297.50,2299.70,8198
2026-04-28T14:45:00+05:30,2299.00,2302.20,2298.10,2302.20,9396
2026-04-28T14:50:00+05:30,2302.00,2304.30,2295.00,2299.80,44588
2026-04-28T14:55:00+05:30,2300.00,2301.90,2298.90,2298.90,18970
2026-04-28T15:00:00+05:30,2299.20,2299.20,2293.80,2293.80,54078
2026-04-28T15:05:00+05:30,2294.70,2295.00,2292.80,2293.20,34137
