ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1331.20,1335.50,1326.20,1331.40,0
2026-04-27T09:20:00+05:30,1331.30,1332.00,1329.80,1330.60,198999
2026-04-27T09:25:00+05:30,1330.70,1331.40,1329.00,1329.90,132818
2026-04-27T09:30:00+05:30,1330.40,1330.40,1327.00,1328.60,133870
2026-04-27T09:35:00+05:30,1328.40,1329.30,1326.60,1327.40,100496
2026-04-27T09:40:00+05:30,1327.50,1330.50,1327.50,1329.70,202646
2026-04-27T09:45:00+05:30,1329.90,1330.90,1329.60,1330.70,126744
2026-04-27T09:50:00+05:30,1330.70,1331.30,1329.80,1330.70,120839
2026-04-27T09:55:00+05:30,1330.70,1330.70,1329.50,1330.50,103505
2026-04-27T10:00:00+05:30,1330.00,1331.20,1329.70,1329.90,130601
2026-04-27T10:05:00+05:30,1329.50,1330.10,1328.90,1329.30,87563
2026-04-27T10:10:00+05:30,1329.10,1330.00,1327.50,1327.50,74712
2026-04-27T10:15:00+05:30,1327.80,1329.20,1327.00,1328.50,65924
2026-04-27T10:20:00+05:30,1328.40,1328.40,1321.50,1322.00,132708
2026-04-27T10:25:00+05:30,1321.90,1322.30,1319.40,1320.50,137204
2026-04-27T10:30:00+05:30,1320.50,1320.70,1315.30,1315.80,141611
2026-04-27T10:35:00+05:30,1316.00,1316.30,1313.50,1313.50,321540
2026-04-27T10:40:00+05:30,1313.70,1317.70,1312.30,1315.80,611248
2026-04-27T10:45:00+05:30,1315.50,1320.30,1315.10,1320.00,202223
2026-04-27T10:50:00+05:30,1320.00,1320.90,1317.50,1319.80,170057
2026-04-27T10:55:00+05:30,1319.90,1320.20,1317.90,1318.80,120906
2026-04-27T11:00:00+05:30,1318.80,1319.00,1316.00,1316.10,219119
2026-04-27T11:05:00+05:30,1316.60,1316.60,1314.10,1314.40,153589
2026-04-27T11:10:00+05:30,1314.40,1315.60,1314.20,1315.00,102503
2026-04-27T11:15:00+05:30,1315.00,1317.00,1314.50,1316.50,109143
2026-04-27T11:20:00+05:30,1316.10,1318.80,1315.10,1318.10,172686
2026-04-27T11:25:00+05:30,1317.70,1318.20,1314.70,1315.50,197107
2026-04-27T11:30:00+05:30,1315.00,1315.60,1312.00,1312.70,270422
2026-04-27T11:35:00+05:30,1312.60,1313.40,1311.60,1312.00,169755
2026-04-27T11:40:00+05:30,1312.00,1312.90,1311.40,1311.80,128331
2026-04-27T11:45:00+05:30,1312.00,1316.20,1311.00,1316.20,202328
2026-04-27T11:50:00+05:30,1315.70,1317.30,1315.30,1316.80,113902
2026-04-27T11:55:00+05:30,1316.50,1318.30,1315.80,1318.10,123401
2026-04-27T12:00:00+05:30,1318.10,1318.20,1317.30,1317.70,72403
2026-04-27T12:05:00+05:30,1317.30,1318.30,1316.90,1318.00,77189
2026-04-27T12:10:00+05:30,1318.00,1318.30,1316.50,1317.00,303918
2026-04-27T12:15:00+05:30,1316.80,1318.30,1316.50,1318.30,78694
2026-04-27T12:20:00+05:30,1318.30,1318.30,1317.60,1318.10,87000
2026-04-27T12:25:00+05:30,1318.10,1320.40,1317.80,1319.70,387258
2026-04-27T12:30:00+05:30,1318.80,1320.50,1318.80,1320.50,234985
2026-04-27T12:35:00+05:30,1320.50,1320.50,1319.90,1320.50,141099
2026-04-27T12:40:00+05:30,1320.50,1320.50,1319.50,1320.50,81942
2026-04-27T12:45:00+05:30,1320.50,1320.50,1319.60,1320.20,92948
2026-04-27T12:50:00+05:30,1320.30,1320.50,1319.90,1320.30,73164
2026-04-27T12:55:00+05:30,1320.00,1320.50,1318.60,1319.80,360815
2026-04-27T13:00:00+05:30,1319.90,1321.60,1319.90,1321.50,184913
2026-04-27T13:05:00+05:30,1321.60,1323.90,1320.80,1323.60,189646
2026-04-27T13:10:00+05:30,1323.30,1323.70,1322.30,1323.40,65656
2026-04-27T13:15:00+05:30,1323.40,1323.50,1322.70,1323.00,202910
2026-04-27T13:20:00+05:30,1322.70,1322.90,1320.50,1321.50,108147
2026-04-27T13:25:00+05:30,1321.50,1322.60,1321.40,1321.80,68385
2026-04-27T13:30:00+05:30,1321.70,1323.40,1321.20,1323.10,70206
2026-04-27T13:35:00+05:30,1323.40,1323.50,1323.00,1323.40,67396
2026-04-27T13:40:00+05:30,1323.30,1323.50,1321.70,1322.10,134960
2026-04-27T13:45:00+05:30,1321.70,1323.40,1321.20,1321.60,244490
2026-04-27T13:50:00+05:30,1321.30,1323.30,1321.00,1322.30,172019
2026-04-27T13:55:00+05:30,1322.10,1322.40,1319.30,1320.60,292133
2026-04-27T14:00:00+05:30,1320.20,1321.30,1319.50,1320.00,207346
2026-04-27T14:05:00+05:30,1319.60,1320.00,1318.90,1319.90,66513
2026-04-27T14:10:00+05:30,1319.70,1321.90,1319.60,1321.00,694800
2026-04-27T14:15:00+05:30,1320.90,1321.20,1318.80,1320.00,190264
2026-04-27T14:20:00+05:30,1319.80,1320.00,1317.70,1318.00,301529
2026-04-27T14:25:00+05:30,1317.80,1318.60,1317.70,1318.30,96532
2026-04-27T14:30:00+05:30,1318.10,1318.30,1314.90,1315.50,201678
2026-04-27T14:35:00+05:30,1315.20,1316.50,1314.40,1315.50,297364
2026-04-27T14:40:00+05:30,1315.00,1316.00,1314.90,1315.80,146505
2026-04-27T14:45:00+05:30,1315.30,1316.10,1314.30,1316.10,192892
2026-04-27T14:50:00+05:30,1316.10,1318.00,1315.60,1317.70,202746
2026-04-27T14:55:00+05:30,1317.60,1318.10,1315.50,1316.30,218703
2026-04-27T15:00:00+05:30,1316.10,1316.60,1312.90,1313.70,460118
2026-04-27T15:05:00+05:30,1314.10,1314.10,1312.50,1313.60,456089
2026-04-27T15:10:00+05:30,1313.60,1315.00,1313.40,1313.80,390297
2026-04-27T15:15:00+05:30,1313.80,1314.80,1312.70,1313.40,476469
2026-04-27T15:20:00+05:30,1313.40,1314.90,1313.10,1314.00,571176
2026-04-27T15:25:00+05:30,1314.20,1317.00,1313.90,1314.10,374970
2026-04-28T09:15:00+05:30,1314.30,1317.60,1312.90,1313.10,0
2026-04-28T09:20:00+05:30,1313.10,1314.50,1312.00,1314.20,109042
2026-04-28T09:25:00+05:30,1314.30,1316.60,1313.40,1313.40,146431
2026-04-28T09:30:00+05:30,1314.00,1314.50,1313.10,1313.40,118143
2026-04-28T09:35:00+05:30,1313.50,1313.60,1310.30,1311.20,152038
2026-04-28T09:40:00+05:30,1311.30,1313.40,1311.30,1312.20,131548
2026-04-28T09:45:00+05:30,1312.30,1314.00,1311.40,1311.40,89265
2026-04-28T09:50:00+05:30,1311.40,1312.40,1310.20,1310.20,335112
2026-04-28T09:55:00+05:30,1310.30,1312.00,1310.00,1311.70,50491
