ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1762.20,1781.30,1762.20,1776.20,0
2026-04-27T09:20:00+05:30,1777.40,1785.60,1776.90,1781.40,7506
2026-04-27T09:25:00+05:30,1782.20,1782.30,1774.30,1777.90,13850
2026-04-27T09:30:00+05:30,1779.90,1781.10,1772.30,1773.90,12190
2026-04-27T09:35:00+05:30,1773.10,1777.00,1771.80,1772.30,6573
2026-04-27T09:40:00+05:30,1772.30,1779.60,1771.70,1778.00,4184
2026-04-27T09:45:00+05:30,1777.80,1782.10,1774.40,1781.70,4273
2026-04-27T09:50:00+05:30,1781.70,1783.40,1777.40,1783.40,4473
2026-04-27T09:55:00+05:30,1783.90,1783.90,1780.40,1781.90,4096
2026-04-27T10:00:00+05:30,1781.60,1782.70,1780.30,1780.30,1554
2026-04-27T10:05:00+05:30,1780.40,1780.80,1778.70,1779.10,1653
2026-04-27T10:10:00+05:30,1778.50,1782.90,1775.70,1778.80,34429
2026-04-27T10:15:00+05:30,1779.50,1785.50,1779.50,1785.50,2772
2026-04-27T10:20:00+05:30,1785.00,1785.10,1782.30,1782.30,4037
2026-04-27T10:25:00+05:30,1782.90,1782.90,1780.00,1781.10,3134
2026-04-27T10:30:00+05:30,1781.10,1785.50,1780.90,1785.50,3372
2026-04-27T10:35:00+05:30,1785.50,1786.00,1778.60,1784.40,6011
2026-04-27T10:40:00+05:30,1784.00,1789.00,1784.00,1789.00,2526
2026-04-27T10:45:00+05:30,1789.00,1792.20,1787.10,1791.30,3053
2026-04-27T10:50:00+05:30,1792.00,1792.20,1790.90,1790.90,1049
2026-04-27T10:55:00+05:30,1790.90,1790.90,1788.10,1788.80,1343
2026-04-27T11:00:00+05:30,1788.70,1790.30,1788.10,1790.30,1066
2026-04-27T11:05:00+05:30,1790.30,1791.10,1787.30,1787.30,4406
2026-04-27T11:10:00+05:30,1788.60,1788.90,1787.00,1788.50,3924
2026-04-27T11:15:00+05:30,1789.50,1789.50,1788.80,1788.80,579
2026-04-27T11:20:00+05:30,1787.70,1787.70,1786.30,1787.40,926
2026-04-27T11:25:00+05:30,1787.20,1788.50,1787.20,1787.90,3929
2026-04-27T11:30:00+05:30,1787.50,1787.80,1786.40,1786.40,870
2026-04-27T11:35:00+05:30,1786.10,1788.10,1785.40,1788.00,5484
2026-04-27T11:40:00+05:30,1787.90,1788.50,1787.70,1787.70,1048
2026-04-27T11:45:00+05:30,1787.70,1790.00,1787.50,1789.60,2580
2026-04-27T11:50:00+05:30,1789.20,1789.30,1788.10,1788.70,1319
2026-04-27T11:55:00+05:30,1788.70,1790.00,1788.40,1789.70,2269
2026-04-27T12:00:00+05:30,1789.70,1790.50,1789.50,1790.50,1053
2026-04-27T12:05:00+05:30,1790.90,1791.50,1787.60,1787.60,2695
2026-04-27T12:10:00+05:30,1788.10,1788.30,1787.60,1787.60,894
2026-04-27T12:15:00+05:30,1788.20,1790.90,1788.00,1790.40,786
2026-04-27T12:20:00+05:30,1790.30,1790.30,1787.20,1787.20,1280
2026-04-27T12:25:00+05:30,1788.00,1788.70,1786.90,1787.00,1135
2026-04-27T12:30:00+05:30,1787.60,1790.40,1787.60,1790.40,1504
