ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,514.50,518.25,512.05,516.60,0
2026-04-27T09:20:00+05:30,516.95,518.60,516.95,517.20,28502
2026-04-27T09:25:00+05:30,517.35,517.70,515.75,517.00,23180
2026-04-27T09:30:00+05:30,518.05,518.10,515.75,516.05,49940
2026-04-27T09:35:00+05:30,515.90,517.85,515.90,516.70,28100
2026-04-27T09:40:00+05:30,516.70,519.00,516.65,518.55,12652
2026-04-27T09:45:00+05:30,518.70,518.95,517.70,518.65,14749
2026-04-27T09:50:00+05:30,518.65,519.25,517.70,519.25,17116
2026-04-27T09:55:00+05:30,519.00,519.25,518.20,518.70,9760
2026-04-27T10:00:00+05:30,518.65,520.95,518.50,519.00,16671
2026-04-27T10:05:00+05:30,518.80,518.90,517.40,517.40,10829
2026-04-27T10:10:00+05:30,517.60,518.30,517.05,517.40,31964
2026-04-27T10:15:00+05:30,517.55,518.60,517.55,518.60,14113
2026-04-27T10:20:00+05:30,518.60,519.35,518.35,518.95,4092
2026-04-27T10:25:00+05:30,518.80,519.30,518.60,518.75,4153
2026-04-27T10:30:00+05:30,518.50,519.00,518.20,518.90,5232
2026-04-27T10:35:00+05:30,519.15,519.95,518.60,519.60,9932
2026-04-27T10:40:00+05:30,519.55,521.25,519.55,520.95,13285
2026-04-27T10:45:00+05:30,520.70,522.55,520.65,522.15,19438
2026-04-27T10:50:00+05:30,522.20,522.30,521.40,521.90,9211
2026-04-27T10:55:00+05:30,521.90,521.90,521.00,521.20,5028
2026-04-27T11:00:00+05:30,521.10,521.10,520.40,520.70,6132
2026-04-27T11:05:00+05:30,520.65,520.95,520.25,520.45,4306
2026-04-27T11:10:00+05:30,520.75,521.35,520.75,521.05,2606
2026-04-27T11:15:00+05:30,521.10,521.25,520.00,520.00,3661
2026-04-27T11:20:00+05:30,520.00,520.30,519.65,520.10,5160
2026-04-27T11:25:00+05:30,520.05,520.10,519.40,519.60,4616
2026-04-27T11:30:00+05:30,519.50,520.80,519.00,520.05,84010
2026-04-27T11:35:00+05:30,519.80,520.15,519.50,519.70,41556
2026-04-27T11:40:00+05:30,519.85,520.30,519.10,520.05,80069
2026-04-27T11:45:00+05:30,520.30,520.70,519.50,520.05,20954
2026-04-27T11:50:00+05:30,520.50,520.95,519.95,520.70,10929
2026-04-27T11:55:00+05:30,520.70,521.55,520.20,521.55,8018
2026-04-27T12:00:00+05:30,521.50,521.65,520.60,521.15,2623
2026-04-27T12:05:00+05:30,521.20,521.40,520.30,520.70,10162
2026-04-27T12:10:00+05:30,520.65,521.00,520.30,521.00,2968
2026-04-27T12:15:00+05:30,520.95,521.30,520.65,521.25,8609
2026-04-27T12:20:00+05:30,521.25,521.25,520.25,520.50,8726
2026-04-27T12:25:00+05:30,520.65,521.15,520.20,520.65,7192
2026-04-27T12:30:00+05:30,520.65,521.35,520.35,521.10,5786
2026-04-27T12:35:00+05:30,521.00,521.30,520.10,520.80,6796
2026-04-27T12:40:00+05:30,520.80,520.80,520.05,520.60,5097
2026-04-27T12:45:00+05:30,520.40,520.70,520.05,520.55,3538
2026-04-27T12:50:00+05:30,520.50,520.80,520.05,520.45,4241
2026-04-27T12:55:00+05:30,520.40,520.50,519.50,519.60,3600
2026-04-27T13:00:00+05:30,519.60,519.65,518.40,518.50,8481
2026-04-27T13:05:00+05:30,518.70,518.70,518.00,518.25,5656
2026-04-27T13:10:00+05:30,518.25,519.50,518.25,518.80,8259
2026-04-27T13:15:00+05:30,519.15,519.60,518.85,518.85,5899
2026-04-27T13:20:00+05:30,518.75,519.20,518.45,519.15,4896
2026-04-27T13:25:00+05:30,519.15,519.45,518.75,519.20,4213
2026-04-27T13:30:00+05:30,519.10,520.55,519.10,520.40,6676
2026-04-27T13:35:00+05:30,520.35,521.00,520.35,520.75,2777
2026-04-27T13:40:00+05:30,520.60,520.85,520.00,520.25,2843
2026-04-27T13:45:00+05:30,520.25,520.45,520.00,520.30,2581
2026-04-27T13:50:00+05:30,520.20,520.45,519.95,520.40,2951
2026-04-27T13:55:00+05:30,520.25,520.70,520.25,520.65,2511
2026-04-27T14:00:00+05:30,520.30,520.30,519.80,519.90,2306
2026-04-27T14:05:00+05:30,519.95,520.20,519.70,520.00,4412
2026-04-27T14:10:00+05:30,519.95,520.65,519.95,520.60,3271
2026-04-27T14:15:00+05:30,520.40,520.60,519.40,520.20,6333
2026-04-27T14:20:00+05:30,520.15,520.20,519.85,519.90,1511
2026-04-27T14:25:00+05:30,519.90,520.25,519.90,520.20,2130
2026-04-27T14:30:00+05:30,520.10,520.20,519.00,519.55,12389
2026-04-27T14:35:00+05:30,519.50,520.00,519.30,519.70,11129
2026-04-27T14:40:00+05:30,519.70,520.15,519.50,520.00,4368
2026-04-27T14:45:00+05:30,520.15,520.40,520.00,520.00,4181
2026-04-27T14:50:00+05:30,520.00,520.40,520.00,520.00,2965
