ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,68.30,69.40,68.00,69.25,0
2026-04-27T09:20:00+05:30,69.30,69.35,69.05,69.35,1474171
2026-04-27T09:25:00+05:30,69.25,69.35,69.00,69.15,1487180
2026-04-27T09:30:00+05:30,69.20,69.25,69.00,69.00,657252
2026-04-27T09:35:00+05:30,68.95,69.05,68.90,69.00,550883
2026-04-27T09:40:00+05:30,69.00,69.60,69.00,69.60,1451785
2026-04-27T09:45:00+05:30,69.60,69.65,69.45,69.60,697538
2026-04-27T09:50:00+05:30,69.65,69.65,69.40,69.45,884860
2026-04-27T09:55:00+05:30,69.55,69.70,69.50,69.55,407049
2026-04-27T10:00:00+05:30,69.55,69.60,68.95,69.00,683645
2026-04-27T10:05:00+05:30,69.00,69.00,68.65,68.75,901024
2026-04-27T10:10:00+05:30,68.75,68.90,68.70,68.70,417430
2026-04-27T10:15:00+05:30,68.75,68.85,68.75,68.80,630981
2026-04-27T10:20:00+05:30,68.80,68.85,68.65,68.80,525508
2026-04-27T10:25:00+05:30,68.80,68.80,68.60,68.70,336370
2026-04-27T10:30:00+05:30,68.70,68.70,68.25,68.35,524789
2026-04-27T10:35:00+05:30,68.30,68.35,68.10,68.15,750514
2026-04-27T10:40:00+05:30,68.15,68.20,68.05,68.20,426345
2026-04-27T10:45:00+05:30,68.20,68.45,68.20,68.40,347151
2026-04-27T10:50:00+05:30,68.45,68.50,68.35,68.40,329681
2026-04-27T10:55:00+05:30,68.40,68.45,68.30,68.30,170551
2026-04-27T11:00:00+05:30,68.30,68.70,68.25,68.70,1922942
2026-04-27T11:05:00+05:30,68.70,68.90,68.60,68.80,568972
2026-04-27T11:10:00+05:30,68.80,68.85,68.60,68.60,163889
2026-04-27T11:15:00+05:30,68.65,68.65,68.55,68.60,295527
2026-04-27T11:20:00+05:30,68.60,68.60,68.45,68.50,171109
2026-04-27T11:25:00+05:30,68.45,68.50,68.40,68.45,155875
2026-04-27T11:30:00+05:30,68.50,68.80,68.50,68.70,371685
2026-04-27T11:35:00+05:30,68.70,68.75,68.65,68.70,195873
2026-04-27T11:40:00+05:30,68.70,68.90,68.70,68.85,601387
2026-04-27T11:45:00+05:30,68.85,69.05,68.85,69.00,852206
2026-04-27T11:50:00+05:30,68.95,68.95,68.85,68.90,133589
2026-04-27T11:55:00+05:30,68.95,68.95,68.80,68.85,276122
2026-04-27T12:00:00+05:30,68.85,68.85,68.75,68.75,138277
2026-04-27T12:05:00+05:30,68.75,68.80,68.75,68.75,93426
2026-04-27T12:10:00+05:30,68.75,68.85,68.75,68.80,114621
2026-04-27T12:15:00+05:30,68.80,68.80,68.70,68.70,194094
2026-04-27T12:20:00+05:30,68.70,68.80,68.70,68.75,88337
2026-04-27T12:25:00+05:30,68.75,68.75,68.65,68.70,98000
2026-04-27T12:30:00+05:30,68.70,68.80,68.70,68.75,87481
2026-04-27T12:35:00+05:30,68.80,69.15,68.80,69.10,679394
2026-04-27T12:40:00+05:30,69.10,69.10,68.85,68.90,96353
2026-04-27T12:45:00+05:30,68.95,69.05,68.85,68.90,450195
2026-04-27T12:50:00+05:30,68.95,69.05,68.90,69.05,826996
2026-04-27T12:55:00+05:30,69.00,69.15,69.00,69.15,522512
2026-04-27T13:00:00+05:30,69.15,69.40,69.15,69.30,465018
2026-04-27T13:05:00+05:30,69.35,69.50,69.30,69.45,443723
2026-04-27T13:10:00+05:30,69.45,69.45,69.40,69.45,211960
2026-04-27T13:15:00+05:30,69.45,69.70,69.45,69.50,812271
2026-04-27T13:20:00+05:30,69.50,69.70,69.50,69.65,263339
2026-04-27T13:25:00+05:30,69.65,69.90,69.65,69.85,1947471
2026-04-27T13:30:00+05:30,69.85,70.25,69.85,70.05,1505117
2026-04-27T13:35:00+05:30,70.10,70.10,69.95,70.00,600315
2026-04-27T13:40:00+05:30,70.00,70.05,70.00,70.05,571195
2026-04-27T13:45:00+05:30,70.05,70.30,70.00,70.05,577923
2026-04-27T13:50:00+05:30,70.05,70.20,70.00,70.20,255153
2026-04-27T13:55:00+05:30,70.20,70.20,70.10,70.15,253381
2026-04-27T14:00:00+05:30,70.20,70.25,70.05,70.10,430063
2026-04-27T14:05:00+05:30,70.10,70.15,70.00,70.05,550978
2026-04-27T14:10:00+05:30,70.05,70.20,70.05,70.10,204488
2026-04-27T14:15:00+05:30,70.15,70.15,70.05,70.10,3716024
2026-04-27T14:20:00+05:30,70.10,70.10,69.80,69.95,393271
2026-04-27T14:25:00+05:30,69.90,70.10,69.90,70.05,339797
2026-04-27T14:30:00+05:30,70.05,70.05,69.90,69.95,279295
2026-04-27T14:35:00+05:30,69.95,70.05,69.90,70.00,504516
2026-04-27T14:40:00+05:30,70.00,70.05,69.95,70.05,334699
2026-04-27T14:45:00+05:30,70.05,70.20,70.05,70.10,396700
2026-04-27T14:50:00+05:30,70.10,70.10,70.05,70.10,527455
2026-04-27T14:55:00+05:30,70.10,70.15,70.00,70.00,434649
2026-04-27T15:00:00+05:30,70.05,70.05,69.95,70.05,659128
2026-04-27T15:05:00+05:30,70.05,70.15,70.00,70.15,1160062
2026-04-27T15:10:00+05:30,70.15,70.35,70.15,70.35,1020102
2026-04-27T15:15:00+05:30,70.35,70.40,70.35,70.35,950518
2026-04-27T15:20:00+05:30,70.35,70.45,70.35,70.45,974542
2026-04-27T15:25:00+05:30,70.45,70.50,70.25,70.25,843921
2026-04-28T09:15:00+05:30,69.70,69.70,69.00,69.20,0
2026-04-28T09:20:00+05:30,69.20,69.45,69.20,69.30,1287605
2026-04-28T09:25:00+05:30,69.30,69.55,69.30,69.45,612214
2026-04-28T09:30:00+05:30,69.50,69.65,69.45,69.60,238913
2026-04-28T09:35:00+05:30,69.65,69.80,69.60,69.80,706545
2026-04-28T09:40:00+05:30,69.85,69.95,69.60,69.70,916844
2026-04-28T09:45:00+05:30,69.70,69.70,69.50,69.55,762757
2026-04-28T09:50:00+05:30,69.55,69.55,69.50,69.50,326963
2026-04-28T09:55:00+05:30,69.50,69.70,69.50,69.65,632000
2026-04-28T10:00:00+05:30,69.70,69.70,69.45,69.55,370076
2026-04-28T10:05:00+05:30,69.55,69.55,69.45,69.50,180185
2026-04-28T10:10:00+05:30,69.45,69.45,69.30,69.30,285100
2026-04-28T10:15:00+05:30,69.30,69.40,69.30,69.30,166062
2026-04-28T10:20:00+05:30,69.30,69.30,69.20,69.20,371733
2026-04-28T10:25:00+05:30,69.20,69.25,69.15,69.20,322240
2026-04-28T10:30:00+05:30,69.20,69.25,69.20,69.20,287170
2026-04-28T10:35:00+05:30,69.20,69.20,69.05,69.10,930400
2026-04-28T10:40:00+05:30,69.10,69.15,69.05,69.10,66444
2026-04-28T10:45:00+05:30,69.15,69.25,69.15,69.20,198908
2026-04-28T10:50:00+05:30,69.20,69.25,69.15,69.25,208860
2026-04-28T10:55:00+05:30,69.25,69.30,69.20,69.30,190175
2026-04-28T11:00:00+05:30,69.30,69.30,69.20,69.25,97293
2026-04-28T11:05:00+05:30,69.25,69.25,69.10,69.15,175549
2026-04-28T11:10:00+05:30,69.15,69.15,69.10,69.10,88483
2026-04-28T11:15:00+05:30,69.15,69.15,69.10,69.15,76509
2026-04-28T11:20:00+05:30,69.15,69.20,69.10,69.10,55533
2026-04-28T11:25:00+05:30,69.10,69.10,69.00,69.05,184196
2026-04-28T11:30:00+05:30,69.05,69.05,69.00,69.05,187537
2026-04-28T11:35:00+05:30,69.00,69.05,69.00,69.00,225576
2026-04-28T11:40:00+05:30,69.05,69.05,69.00,69.05,87210
2026-04-28T11:45:00+05:30,69.05,69.10,69.00,69.05,71906
2026-04-28T11:50:00+05:30,69.10,69.10,69.00,69.05,64464
2026-04-28T11:55:00+05:30,69.05,69.05,68.85,68.85,359594
2026-04-28T12:00:00+05:30,68.85,68.90,68.80,68.85,173428
2026-04-28T12:05:00+05:30,68.85,68.90,68.80,68.85,159656
2026-04-28T12:10:00+05:30,68.80,68.85,68.80,68.85,114191
2026-04-28T12:15:00+05:30,68.80,68.85,68.80,68.80,145751
2026-04-28T12:20:00+05:30,68.75,68.85,68.70,68.70,497490
2026-04-28T12:25:00+05:30,68.75,68.75,68.70,68.70,197851
2026-04-28T12:30:00+05:30,68.70,68.80,68.70,68.80,172880
2026-04-28T12:35:00+05:30,68.75,68.90,68.75,68.85,254669
2026-04-28T12:40:00+05:30,68.85,68.90,68.80,68.85,114015
2026-04-28T12:45:00+05:30,68.85,68.90,68.80,68.85,215788
2026-04-28T12:50:00+05:30,68.80,68.85,68.80,68.85,101399
2026-04-28T12:55:00+05:30,68.85,68.85,68.80,68.80,35419
2026-04-28T13:00:00+05:30,68.80,68.80,68.70,68.80,213628
2026-04-28T13:05:00+05:30,68.80,68.90,68.80,68.90,368816
2026-04-28T13:10:00+05:30,68.95,68.95,68.75,68.75,299191
2026-04-28T13:15:00+05:30,68.75,68.80,68.70,68.80,190988
2026-04-28T13:20:00+05:30,68.80,68.80,68.70,68.80,110533
2026-04-28T13:25:00+05:30,68.80,68.85,68.75,68.75,172711
2026-04-28T13:30:00+05:30,68.75,68.80,68.65,68.65,195915
2026-04-28T13:35:00+05:30,68.65,68.75,68.65,68.70,116078
2026-04-28T13:40:00+05:30,68.70,68.70,68.65,68.70,71776
2026-04-28T13:45:00+05:30,68.70,68.75,68.65,68.75,92588
2026-04-28T13:50:00+05:30,68.75,68.80,68.70,68.80,79259
2026-04-28T13:55:00+05:30,68.80,68.85,68.70,68.75,221579
2026-04-28T14:00:00+05:30,68.70,68.70,68.65,68.70,151200
