ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,165.45,165.45,163.90,164.50,0
2026-04-27T09:20:00+05:30,164.45,164.75,164.25,164.60,35926
2026-04-27T09:25:00+05:30,164.70,164.70,163.90,164.20,60058
2026-04-27T09:30:00+05:30,164.30,164.60,164.00,164.05,22850
2026-04-27T09:35:00+05:30,164.00,164.45,163.65,163.75,32480
2026-04-27T09:40:00+05:30,163.75,165.70,163.75,165.70,57062
2026-04-27T09:45:00+05:30,165.70,166.00,165.60,165.80,49110
2026-04-27T09:50:00+05:30,165.80,165.80,165.30,165.50,31644
2026-04-27T09:55:00+05:30,165.60,165.75,165.40,165.75,8225
2026-04-27T10:00:00+05:30,165.75,165.80,165.50,165.60,25907
2026-04-27T10:05:00+05:30,165.60,165.80,165.50,165.65,11933
2026-04-27T10:10:00+05:30,165.65,165.65,165.40,165.45,9097
2026-04-27T10:15:00+05:30,165.50,166.10,165.50,165.85,46852
2026-04-27T10:20:00+05:30,165.85,165.85,165.70,165.75,4328
2026-04-27T10:25:00+05:30,165.70,165.80,165.55,165.70,11292
2026-04-27T10:30:00+05:30,165.65,165.70,165.65,165.65,4945
2026-04-27T10:35:00+05:30,165.70,165.75,165.50,165.60,34412
2026-04-27T10:40:00+05:30,165.65,165.85,165.65,165.75,5764
2026-04-27T10:45:00+05:30,165.75,166.05,165.70,166.00,15496
2026-04-27T10:50:00+05:30,166.00,166.10,165.90,166.05,43792
2026-04-27T10:55:00+05:30,166.05,166.05,165.85,165.95,13038
2026-04-27T11:00:00+05:30,166.05,166.05,165.80,165.95,3984
2026-04-27T11:05:00+05:30,165.95,165.95,165.75,165.90,9470
2026-04-27T11:10:00+05:30,165.90,165.95,165.85,165.95,4051
2026-04-27T11:15:00+05:30,165.95,165.95,165.75,165.80,5779
2026-04-27T11:20:00+05:30,165.80,165.80,165.70,165.75,2618
2026-04-27T11:25:00+05:30,165.75,165.75,165.55,165.70,5143
2026-04-27T11:30:00+05:30,165.70,165.70,165.55,165.60,3639
2026-04-27T11:35:00+05:30,165.60,165.60,165.25,165.35,10014
2026-04-27T11:40:00+05:30,165.35,165.45,165.20,165.30,19756
2026-04-27T11:45:00+05:30,165.30,165.30,165.10,165.30,10113
2026-04-27T11:50:00+05:30,165.30,165.45,165.25,165.35,6793
2026-04-27T11:55:00+05:30,165.40,165.40,165.35,165.40,3559
2026-04-27T12:00:00+05:30,165.40,165.40,165.30,165.30,1758
2026-04-27T12:05:00+05:30,165.30,165.30,165.30,165.30,3594
2026-04-27T12:10:00+05:30,165.30,165.35,165.30,165.35,3259
2026-04-27T12:15:00+05:30,165.35,165.40,165.35,165.40,3355
2026-04-27T12:20:00+05:30,165.40,165.40,165.00,165.20,13112
2026-04-27T12:25:00+05:30,165.20,165.30,165.20,165.25,3136
2026-04-27T12:30:00+05:30,165.25,165.30,165.20,165.30,4396
2026-04-27T12:35:00+05:30,165.25,165.30,165.20,165.30,6383
2026-04-27T12:40:00+05:30,165.30,165.30,165.05,165.20,9949
2026-04-27T12:45:00+05:30,165.20,165.25,165.05,165.15,2523
2026-04-27T12:50:00+05:30,165.15,165.15,165.05,165.10,21295
2026-04-27T12:55:00+05:30,165.10,165.15,165.10,165.15,3802
2026-04-27T13:00:00+05:30,165.15,165.35,165.05,165.35,9332
2026-04-27T13:05:00+05:30,165.35,165.35,165.30,165.35,3213
2026-04-27T13:10:00+05:30,165.35,165.35,165.30,165.35,8854
2026-04-27T13:15:00+05:30,165.35,165.50,165.30,165.40,7012
2026-04-27T13:20:00+05:30,165.40,165.45,165.30,165.30,26627
2026-04-27T13:25:00+05:30,165.35,165.35,165.20,165.25,4599
2026-04-27T13:30:00+05:30,165.20,165.30,165.20,165.25,6573
2026-04-27T13:35:00+05:30,165.20,165.30,165.20,165.25,3858
2026-04-27T13:40:00+05:30,165.30,165.30,165.10,165.15,10363
2026-04-27T13:45:00+05:30,165.15,165.15,165.10,165.15,5433
2026-04-27T13:50:00+05:30,165.15,165.15,165.00,165.05,3537
2026-04-27T13:55:00+05:30,165.15,165.15,165.05,165.10,8279
2026-04-27T14:00:00+05:30,165.10,165.15,165.05,165.15,2638
2026-04-27T14:05:00+05:30,165.15,165.15,165.10,165.10,4062
2026-04-27T14:10:00+05:30,165.10,165.25,165.10,165.15,7231
2026-04-27T14:15:00+05:30,165.15,165.20,165.05,165.05,3969
2026-04-27T14:20:00+05:30,165.05,165.05,165.00,165.05,12756
2026-04-27T14:25:00+05:30,165.05,165.10,164.85,164.85,17559
2026-04-27T14:30:00+05:30,164.95,164.95,164.80,164.85,4623
2026-04-27T14:35:00+05:30,164.85,164.85,164.70,164.85,12220
2026-04-27T14:40:00+05:30,164.85,164.85,164.75,164.80,3426
2026-04-27T14:45:00+05:30,164.85,164.85,164.75,164.75,10626
2026-04-27T14:50:00+05:30,164.80,165.05,164.75,165.05,9899
2026-04-27T14:55:00+05:30,165.10,165.35,165.10,165.30,24136
2026-04-27T15:00:00+05:30,165.25,165.25,164.80,164.85,57966
2026-04-27T15:05:00+05:30,164.85,164.95,164.80,164.80,17868
2026-04-27T15:10:00+05:30,164.85,164.90,164.80,164.90,42151
2026-04-27T15:15:00+05:30,164.90,165.00,164.85,164.85,48207
2026-04-27T15:20:00+05:30,164.85,164.90,164.85,164.85,21457
2026-04-27T15:25:00+05:30,164.80,164.90,164.80,164.85,31859
2026-04-28T09:15:00+05:30,164.35,166.05,163.95,166.05,0
2026-04-28T09:20:00+05:30,165.90,165.90,165.10,165.10,61435
2026-04-28T09:25:00+05:30,165.20,166.35,165.10,166.25,31939
2026-04-28T09:30:00+05:30,166.25,166.25,165.30,165.70,123158
2026-04-28T09:35:00+05:30,165.60,166.15,165.50,165.70,49613
2026-04-28T09:40:00+05:30,165.70,166.60,165.55,166.40,50792
2026-04-28T09:45:00+05:30,166.70,166.70,166.00,166.55,49520
2026-04-28T09:50:00+05:30,166.60,166.75,166.00,166.25,27662
2026-04-28T09:55:00+05:30,166.25,166.25,165.80,166.25,60169
