ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,867.00,899.80,867.00,890.65,0
2026-04-27T09:20:00+05:30,890.75,892.15,880.00,883.10,668091
2026-04-27T09:25:00+05:30,882.05,887.45,882.05,883.85,214601
2026-04-27T09:30:00+05:30,884.80,887.30,880.80,882.00,198962
2026-04-27T09:35:00+05:30,881.75,884.50,877.50,877.95,278210
2026-04-27T09:40:00+05:30,877.80,882.35,877.80,881.60,177449
2026-04-27T09:45:00+05:30,881.60,884.00,879.15,881.25,187562
2026-04-27T09:50:00+05:30,881.25,881.25,876.35,878.50,256353
2026-04-27T09:55:00+05:30,878.50,881.05,876.30,880.90,221918
2026-04-27T10:00:00+05:30,881.00,883.55,880.55,880.65,95295
2026-04-27T10:05:00+05:30,880.65,883.65,880.00,881.45,85448
2026-04-27T10:10:00+05:30,881.40,883.00,880.55,880.80,109583
2026-04-27T10:15:00+05:30,880.70,884.20,880.55,881.25,108195
2026-04-27T10:20:00+05:30,881.05,881.80,880.00,880.90,77967
2026-04-27T10:25:00+05:30,880.90,882.35,879.40,881.95,131830
2026-04-27T10:30:00+05:30,881.75,882.10,878.50,879.40,55021
2026-04-27T10:35:00+05:30,879.25,881.95,877.00,877.60,79155
2026-04-27T10:40:00+05:30,878.10,881.35,877.80,879.90,66629
2026-04-27T10:45:00+05:30,879.90,881.75,879.70,881.30,71838
2026-04-27T10:50:00+05:30,881.25,881.75,880.50,881.75,50902
2026-04-27T10:55:00+05:30,881.65,882.35,880.10,881.40,49726
2026-04-27T11:00:00+05:30,881.65,887.35,880.75,884.55,279052
2026-04-27T11:05:00+05:30,884.10,885.90,881.00,881.00,238301
2026-04-27T11:10:00+05:30,881.40,881.40,879.00,879.25,91812
2026-04-27T11:15:00+05:30,879.35,880.45,878.00,878.00,35406
2026-04-27T11:20:00+05:30,878.30,878.30,876.35,877.35,54717
2026-04-27T11:25:00+05:30,877.35,877.95,876.10,876.25,44847
2026-04-27T11:30:00+05:30,876.20,876.50,873.40,874.85,66991
2026-04-27T11:35:00+05:30,875.25,875.25,873.75,874.75,37564
2026-04-27T11:40:00+05:30,874.50,875.15,874.00,874.90,40239
2026-04-27T11:45:00+05:30,875.20,875.85,874.20,875.75,38704
2026-04-27T11:50:00+05:30,875.55,876.90,874.65,875.35,70299
2026-04-27T11:55:00+05:30,875.40,877.85,875.30,877.25,32917
2026-04-27T12:00:00+05:30,877.50,877.55,874.20,876.50,50638
2026-04-27T12:05:00+05:30,876.35,877.85,875.90,877.40,29012
2026-04-27T12:10:00+05:30,877.55,880.00,877.10,879.10,220302
2026-04-27T12:15:00+05:30,879.45,880.20,877.60,879.30,31320
2026-04-27T12:20:00+05:30,879.05,880.00,878.40,879.75,31228
2026-04-27T12:25:00+05:30,879.60,882.55,879.60,881.00,198273
2026-04-27T12:30:00+05:30,881.35,884.90,880.50,884.65,93555
2026-04-27T12:35:00+05:30,884.45,886.00,881.55,882.80,307499
2026-04-27T12:40:00+05:30,882.80,884.15,880.60,881.30,185175
