ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,405.00,407.45,404.25,405.75,0
2026-04-27T09:20:00+05:30,406.70,406.70,405.05,405.50,90635
2026-04-27T09:25:00+05:30,405.40,405.65,403.50,403.50,59642
2026-04-27T09:30:00+05:30,403.70,403.85,402.75,403.05,30402
2026-04-27T09:35:00+05:30,403.00,404.40,403.00,403.90,48078
2026-04-27T09:40:00+05:30,404.15,404.15,403.10,403.30,27723
2026-04-27T09:45:00+05:30,403.35,403.60,402.85,403.55,51563
2026-04-27T09:50:00+05:30,403.50,404.35,403.35,403.95,36220
2026-04-27T09:55:00+05:30,403.85,404.65,403.65,403.95,26927
2026-04-27T10:00:00+05:30,403.90,404.70,403.75,404.35,28029
2026-04-27T10:05:00+05:30,404.25,404.35,403.65,403.65,25211
2026-04-27T10:10:00+05:30,403.75,403.75,403.20,403.35,26723
2026-04-27T10:15:00+05:30,403.20,404.00,403.15,403.40,21794
2026-04-27T10:20:00+05:30,403.25,403.45,403.00,403.05,21320
2026-04-27T10:25:00+05:30,403.00,403.25,402.75,402.95,20560
2026-04-27T10:30:00+05:30,402.80,402.90,402.20,402.70,19595
2026-04-27T10:35:00+05:30,402.55,402.55,401.75,401.90,33019
2026-04-27T10:40:00+05:30,401.95,402.40,401.90,402.30,19054
2026-04-27T10:45:00+05:30,402.05,402.90,401.95,402.75,25865
2026-04-27T10:50:00+05:30,402.85,402.85,402.20,402.60,68810
2026-04-27T10:55:00+05:30,402.70,403.30,402.40,402.40,68861
2026-04-27T11:00:00+05:30,402.70,403.00,401.90,402.70,37212
2026-04-27T11:05:00+05:30,402.55,402.90,402.00,402.15,39756
2026-04-27T11:10:00+05:30,402.25,402.95,402.20,402.90,9244
2026-04-27T11:15:00+05:30,402.75,403.25,402.15,402.60,25470
2026-04-27T11:20:00+05:30,402.45,402.60,401.85,402.05,31526
2026-04-27T11:25:00+05:30,401.60,402.10,401.50,401.75,37216
2026-04-27T11:30:00+05:30,401.60,401.70,400.45,400.80,50949
2026-04-27T11:35:00+05:30,400.75,400.85,399.65,400.55,78526
2026-04-27T11:40:00+05:30,400.45,401.20,400.30,400.95,20059
2026-04-27T11:45:00+05:30,400.90,401.80,400.75,401.35,34218
2026-04-27T11:50:00+05:30,401.35,401.50,400.85,401.00,36206
2026-04-27T11:55:00+05:30,401.00,401.25,400.55,401.25,24756
2026-04-27T12:00:00+05:30,401.40,401.40,400.80,400.90,12017
2026-04-27T12:05:00+05:30,400.90,401.40,400.90,401.00,19183
2026-04-27T12:10:00+05:30,401.00,401.00,400.65,400.90,7817
2026-04-27T12:15:00+05:30,400.90,401.40,400.75,401.20,21411
2026-04-27T12:20:00+05:30,401.15,401.35,400.75,401.15,31458
2026-04-27T12:25:00+05:30,401.15,401.75,400.55,401.65,111123
2026-04-27T12:30:00+05:30,401.50,402.80,401.15,402.70,41018
2026-04-27T12:35:00+05:30,402.80,403.70,402.70,402.85,59500
2026-04-27T12:40:00+05:30,402.80,403.15,402.70,403.05,14542
2026-04-27T12:45:00+05:30,403.00,403.45,402.75,403.00,83114
2026-04-27T12:50:00+05:30,403.05,403.15,402.75,402.75,13776
2026-04-27T12:55:00+05:30,402.75,402.90,402.00,402.00,34031
2026-04-27T13:00:00+05:30,401.90,402.45,401.70,402.45,59693
2026-04-27T13:05:00+05:30,402.30,403.00,402.30,402.70,32350
2026-04-27T13:10:00+05:30,402.75,402.85,401.40,402.00,55223
2026-04-27T13:15:00+05:30,402.00,403.15,402.00,403.10,27114
2026-04-27T13:20:00+05:30,403.00,403.45,402.85,403.15,50031
2026-04-27T13:25:00+05:30,402.95,403.35,402.70,403.05,25576
2026-04-27T13:30:00+05:30,402.90,403.25,402.55,402.75,27303
2026-04-27T13:35:00+05:30,402.55,402.85,402.45,402.70,27871
2026-04-27T13:40:00+05:30,402.50,402.85,402.45,402.50,53889
2026-04-27T13:45:00+05:30,402.55,402.90,402.30,402.60,26019
2026-04-27T13:50:00+05:30,402.45,402.90,402.45,402.85,28487
2026-04-27T13:55:00+05:30,402.60,402.85,402.40,402.65,24083
2026-04-27T14:00:00+05:30,402.45,402.95,402.25,402.95,30987
2026-04-27T14:05:00+05:30,402.75,402.95,402.20,402.30,33658
2026-04-27T14:10:00+05:30,402.25,402.90,402.05,402.85,45085
2026-04-27T14:15:00+05:30,402.90,402.95,402.30,402.60,39487
2026-04-27T14:20:00+05:30,402.55,402.95,402.55,402.90,21871
2026-04-27T14:25:00+05:30,402.90,403.30,402.60,403.30,41829
2026-04-27T14:30:00+05:30,403.25,403.70,402.50,402.50,59749
2026-04-27T14:35:00+05:30,402.50,402.95,402.20,402.80,41309
2026-04-27T14:40:00+05:30,402.80,403.10,402.75,403.00,16298
2026-04-27T14:45:00+05:30,402.95,403.15,402.75,403.05,21214
2026-04-27T14:50:00+05:30,403.00,403.10,402.50,402.80,21527
2026-04-27T14:55:00+05:30,402.70,403.05,402.40,402.40,44008
2026-04-27T15:00:00+05:30,402.40,403.05,402.25,402.70,167905
2026-04-27T15:05:00+05:30,402.60,402.75,402.20,402.20,61645
2026-04-27T15:10:00+05:30,402.20,402.40,402.15,402.15,59728
2026-04-27T15:15:00+05:30,402.00,402.50,401.70,401.85,110527
2026-04-27T15:20:00+05:30,402.00,402.50,402.00,402.20,160659
2026-04-27T15:25:00+05:30,402.25,402.40,401.65,402.20,170426
2026-04-28T09:15:00+05:30,410.00,416.00,410.00,415.70,0
2026-04-28T09:20:00+05:30,415.95,416.90,412.85,413.05,613704
2026-04-28T09:25:00+05:30,413.00,415.90,413.00,415.05,209308
2026-04-28T09:30:00+05:30,415.10,415.45,414.10,414.75,192306
2026-04-28T09:35:00+05:30,414.75,416.15,414.10,415.30,198576
2026-04-28T09:40:00+05:30,415.20,415.80,413.70,415.00,153551
2026-04-28T09:45:00+05:30,415.20,415.20,413.45,414.95,129530
2026-04-28T09:50:00+05:30,415.05,416.50,414.70,416.00,328302
2026-04-28T09:55:00+05:30,416.25,417.50,414.30,415.50,541512
2026-04-28T10:00:00+05:30,415.50,417.50,414.70,417.10,212979
2026-04-28T10:05:00+05:30,417.10,417.65,415.90,416.20,228742
2026-04-28T10:10:00+05:30,416.05,416.05,415.00,415.75,133048
2026-04-28T10:15:00+05:30,415.75,416.10,415.15,415.80,71587
2026-04-28T10:20:00+05:30,415.80,417.65,415.80,416.70,216944
2026-04-28T10:25:00+05:30,416.50,417.15,416.40,416.95,69753
2026-04-28T10:30:00+05:30,416.90,417.00,416.30,416.45,46610
2026-04-28T10:35:00+05:30,416.40,417.70,416.40,416.70,150480
2026-04-28T10:40:00+05:30,416.65,417.10,416.35,416.95,59134
2026-04-28T10:45:00+05:30,417.05,417.85,416.90,417.45,88441
2026-04-28T10:50:00+05:30,417.40,417.40,416.50,416.95,121780
2026-04-28T10:55:00+05:30,416.95,417.00,416.65,416.80,116758
2026-04-28T11:00:00+05:30,416.80,417.60,416.65,417.10,117554
2026-04-28T11:05:00+05:30,417.10,418.70,416.90,418.50,472716
2026-04-28T11:10:00+05:30,418.50,419.00,417.30,417.75,290455
2026-04-28T11:15:00+05:30,417.75,417.80,417.20,417.45,107141
2026-04-28T11:20:00+05:30,417.45,417.60,416.50,416.95,178888
2026-04-28T11:25:00+05:30,416.75,416.75,415.85,416.50,142611
2026-04-28T11:30:00+05:30,416.55,416.75,416.15,416.60,66756
2026-04-28T11:35:00+05:30,416.75,417.10,416.65,417.00,40680
2026-04-28T11:40:00+05:30,416.95,417.00,416.10,416.15,38235
2026-04-28T11:45:00+05:30,416.15,416.80,416.05,416.75,27618
2026-04-28T11:50:00+05:30,416.70,416.80,415.55,416.05,53443
2026-04-28T11:55:00+05:30,416.00,416.00,414.45,414.75,131196
2026-04-28T12:00:00+05:30,415.00,415.00,414.15,414.75,59895
2026-04-28T12:05:00+05:30,414.70,415.25,414.55,415.15,30901
2026-04-28T12:10:00+05:30,415.05,415.65,415.00,415.65,50120
2026-04-28T12:15:00+05:30,415.50,415.75,415.15,415.20,35748
2026-04-28T12:20:00+05:30,415.15,415.40,414.70,415.05,47959
2026-04-28T12:25:00+05:30,415.00,415.30,414.30,414.45,29390
2026-04-28T12:30:00+05:30,414.50,414.60,413.60,413.95,88699
2026-04-28T12:35:00+05:30,414.15,414.50,413.90,413.95,40831
2026-04-28T12:40:00+05:30,413.90,414.00,411.75,412.15,188717
2026-04-28T12:45:00+05:30,412.20,413.25,412.10,412.65,61901
2026-04-28T12:50:00+05:30,412.65,412.75,412.10,412.10,65073
2026-04-28T12:55:00+05:30,412.10,412.50,412.00,412.20,29704
2026-04-28T13:00:00+05:30,412.20,412.30,411.55,411.60,58259
2026-04-28T13:05:00+05:30,411.85,414.20,411.80,413.55,42696
2026-04-28T13:10:00+05:30,413.65,413.75,412.95,413.35,30591
2026-04-28T13:15:00+05:30,413.40,413.55,412.70,412.85,62104
2026-04-28T13:20:00+05:30,413.10,413.45,412.60,413.40,64275
2026-04-28T13:25:00+05:30,413.50,413.65,413.00,413.15,37244
2026-04-28T13:30:00+05:30,413.05,413.15,412.55,412.60,28204
2026-04-28T13:35:00+05:30,412.60,412.75,411.80,412.55,38133
2026-04-28T13:40:00+05:30,412.55,413.15,412.45,413.05,25542
2026-04-28T13:45:00+05:30,413.05,413.15,412.20,412.75,43649
2026-04-28T13:50:00+05:30,412.75,414.00,412.55,414.00,32247
2026-04-28T13:55:00+05:30,413.85,413.95,413.00,413.05,35185
2026-04-28T14:00:00+05:30,413.05,413.30,413.00,413.25,16275
2026-04-28T14:05:00+05:30,413.20,413.30,412.50,412.60,32823
2026-04-28T14:10:00+05:30,412.65,412.90,412.40,412.40,15948
2026-04-28T14:15:00+05:30,412.45,413.25,412.20,413.00,28596
2026-04-28T14:20:00+05:30,413.10,413.85,412.90,413.70,26798
2026-04-28T14:25:00+05:30,413.70,414.10,413.30,413.70,31693
2026-04-28T14:30:00+05:30,413.75,415.20,413.75,414.20,85763
2026-04-28T14:35:00+05:30,414.20,414.55,413.90,414.05,32690
2026-04-28T14:40:00+05:30,414.25,414.25,413.60,413.80,35995
2026-04-28T14:45:00+05:30,413.85,414.25,413.35,414.00,49886
2026-04-28T14:50:00+05:30,414.05,414.80,414.05,414.70,34059
2026-04-28T14:55:00+05:30,414.75,414.80,414.30,414.30,62335
2026-04-28T15:00:00+05:30,414.65,414.65,413.45,413.50,118104
2026-04-28T15:05:00+05:30,413.60,414.25,413.55,413.65,127446
2026-04-28T15:10:00+05:30,413.85,414.15,413.50,413.85,163358
2026-04-28T15:15:00+05:30,413.80,414.40,413.55,414.40,141253
2026-04-28T15:20:00+05:30,414.15,414.45,413.70,414.05,230497
2026-04-28T15:25:00+05:30,413.95,414.50,413.90,413.95,161518
2026-04-29T09:15:00+05:30,419.00,419.00,415.30,417.75,0
2026-04-29T09:20:00+05:30,418.30,418.30,416.30,416.30,92496
2026-04-29T09:25:00+05:30,416.70,418.00,415.50,416.65,148150
2026-04-29T09:30:00+05:30,417.00,417.50,415.80,415.80,179645
2026-04-29T09:35:00+05:30,415.80,417.35,415.80,416.80,44537
2026-04-29T09:40:00+05:30,416.85,418.55,416.85,418.40,245569
2026-04-29T09:45:00+05:30,418.40,419.70,418.20,419.60,497067
2026-04-29T09:50:00+05:30,419.50,420.05,418.45,418.90,225193
2026-04-29T09:55:00+05:30,418.95,419.70,418.70,419.45,101395
2026-04-29T10:00:00+05:30,419.40,419.75,418.80,418.85,94722
2026-04-29T10:05:00+05:30,419.10,420.10,418.85,419.45,145120
2026-04-29T10:10:00+05:30,419.40,420.80,419.35,420.20,270232
2026-04-29T10:15:00+05:30,420.15,421.70,419.70,421.65,316772
2026-04-29T10:20:00+05:30,421.60,421.60,419.60,419.90,165106
2026-04-29T10:25:00+05:30,420.10,420.10,419.40,419.90,92416
2026-04-29T10:30:00+05:30,420.00,420.60,419.20,420.05,83596
2026-04-29T10:35:00+05:30,420.25,420.50,419.30,419.55,71480
2026-04-29T10:40:00+05:30,419.85,420.00,419.30,419.55,101939
2026-04-29T10:45:00+05:30,419.75,419.75,418.35,418.35,140568
2026-04-29T10:50:00+05:30,418.55,418.90,416.95,416.95,140124
2026-04-29T10:55:00+05:30,417.00,417.50,416.50,417.35,94004
2026-04-29T11:00:00+05:30,417.35,417.75,416.85,416.95,95210
2026-04-29T11:05:00+05:30,416.95,418.00,416.85,417.45,106927
2026-04-29T11:10:00+05:30,417.55,418.35,417.45,418.05,74752
2026-04-29T11:15:00+05:30,418.05,418.20,417.00,417.25,109043
2026-04-29T11:20:00+05:30,417.65,418.95,417.55,418.45,92562
2026-04-29T11:25:00+05:30,418.25,419.00,417.75,417.85,132470
2026-04-29T11:30:00+05:30,417.90,418.50,417.40,418.40,90367
2026-04-29T11:35:00+05:30,418.60,419.55,418.05,419.05,112411
2026-04-29T11:40:00+05:30,419.05,419.55,418.50,419.50,113724
2026-04-29T11:45:00+05:30,419.45,419.70,418.80,419.50,120810
2026-04-29T11:50:00+05:30,419.55,419.75,419.05,419.35,77771
2026-04-29T11:55:00+05:30,419.55,420.40,419.55,419.85,87488
2026-04-29T12:00:00+05:30,419.85,419.95,418.85,418.95,62372
2026-04-29T12:05:00+05:30,418.80,419.05,418.40,418.45,72455
2026-04-29T12:10:00+05:30,418.80,418.80,417.75,418.00,73786
2026-04-29T12:15:00+05:30,418.00,418.65,418.00,418.10,57368
2026-04-29T12:20:00+05:30,418.25,418.75,418.05,418.35,64806
