ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,144.00,145.65,143.75,145.25,0
2026-04-27T09:20:00+05:30,145.45,145.95,145.20,145.20,344373
2026-04-27T09:25:00+05:30,145.25,145.25,144.40,144.45,282860
2026-04-27T09:30:00+05:30,144.65,144.95,144.50,144.65,285793
2026-04-27T09:35:00+05:30,144.55,144.70,144.40,144.45,189726
2026-04-27T09:40:00+05:30,144.60,144.90,144.40,144.85,326120
2026-04-27T09:45:00+05:30,144.90,145.30,144.80,145.20,189770
2026-04-27T09:50:00+05:30,145.45,145.95,145.40,145.85,304395
2026-04-27T09:55:00+05:30,145.85,146.15,145.60,146.05,273021
2026-04-27T10:00:00+05:30,146.05,146.05,145.70,145.75,116672
2026-04-27T10:05:00+05:30,145.75,145.75,145.30,145.40,188163
2026-04-27T10:10:00+05:30,145.50,145.55,145.35,145.40,107411
2026-04-27T10:15:00+05:30,145.45,145.75,145.45,145.60,77991
2026-04-27T10:20:00+05:30,145.65,145.70,145.50,145.50,73291
2026-04-27T10:25:00+05:30,145.50,145.65,145.25,145.60,70464
2026-04-27T10:30:00+05:30,145.60,145.70,145.40,145.50,96524
2026-04-27T10:35:00+05:30,145.50,145.75,145.50,145.55,66337
2026-04-27T10:40:00+05:30,145.55,145.75,145.55,145.65,63998
2026-04-27T10:45:00+05:30,145.65,145.75,145.55,145.70,52857
2026-04-27T10:50:00+05:30,145.70,145.75,145.65,145.70,25442
2026-04-27T10:55:00+05:30,145.70,145.90,145.65,145.70,56062
2026-04-27T11:00:00+05:30,145.70,145.80,145.60,145.75,40122
2026-04-27T11:05:00+05:30,145.75,145.85,145.60,145.70,74183
2026-04-27T11:10:00+05:30,145.70,145.85,145.70,145.75,63017
2026-04-27T11:15:00+05:30,145.75,145.85,145.70,145.75,140532
2026-04-27T11:20:00+05:30,145.75,145.80,145.70,145.80,21479
2026-04-27T11:25:00+05:30,145.85,145.85,145.65,145.70,37628
2026-04-27T11:30:00+05:30,145.70,145.70,145.50,145.55,74335
2026-04-27T11:35:00+05:30,145.55,145.55,145.40,145.45,66196
2026-04-27T11:40:00+05:30,145.45,145.55,145.40,145.45,49155
2026-04-27T11:45:00+05:30,145.45,145.65,145.45,145.65,38096
2026-04-27T11:50:00+05:30,145.65,145.70,145.60,145.65,32123
2026-04-27T11:55:00+05:30,145.60,145.65,145.50,145.65,27126
2026-04-27T12:00:00+05:30,145.65,145.70,145.55,145.70,84001
2026-04-27T12:05:00+05:30,145.70,145.75,145.45,145.45,61222
2026-04-27T12:10:00+05:30,145.45,145.70,145.45,145.65,22701
2026-04-27T12:15:00+05:30,145.65,145.70,145.60,145.60,34752
2026-04-27T12:20:00+05:30,145.60,145.60,145.35,145.45,64087
2026-04-27T12:25:00+05:30,145.45,145.65,145.40,145.55,44134
2026-04-27T12:30:00+05:30,145.55,145.60,145.45,145.60,33907
2026-04-27T12:35:00+05:30,145.60,145.80,145.60,145.65,43893
2026-04-27T12:40:00+05:30,145.65,145.65,145.50,145.60,30910
2026-04-27T12:45:00+05:30,145.60,145.65,145.40,145.55,41289
2026-04-27T12:50:00+05:30,145.55,145.70,145.50,145.60,29707
2026-04-27T12:55:00+05:30,145.60,145.65,145.60,145.65,18493
2026-04-27T13:00:00+05:30,145.65,145.75,145.65,145.65,51298
2026-04-27T13:05:00+05:30,145.65,145.75,145.60,145.65,57784
2026-04-27T13:10:00+05:30,145.65,145.75,145.50,145.75,41464
2026-04-27T13:15:00+05:30,145.70,145.90,145.70,145.85,73913
2026-04-27T13:20:00+05:30,145.80,145.85,145.75,145.75,45121
2026-04-27T13:25:00+05:30,145.75,145.80,145.65,145.70,34012
2026-04-27T13:30:00+05:30,145.65,145.80,145.60,145.80,56736
2026-04-27T13:35:00+05:30,145.75,146.00,145.75,145.95,149837
2026-04-27T13:40:00+05:30,145.95,146.00,145.90,145.90,41093
2026-04-27T13:45:00+05:30,145.95,146.00,145.85,145.85,112236
2026-04-27T13:50:00+05:30,145.85,146.00,145.75,146.00,36601
2026-04-27T13:55:00+05:30,146.10,146.10,145.90,146.00,65938
2026-04-27T14:00:00+05:30,145.95,146.00,145.80,145.85,60526
2026-04-27T14:05:00+05:30,145.90,145.95,145.60,145.70,105730
2026-04-27T14:10:00+05:30,145.70,146.05,145.70,146.00,72695
2026-04-27T14:15:00+05:30,146.00,146.00,145.85,145.90,63766
2026-04-27T14:20:00+05:30,145.90,145.90,145.80,145.90,37117
2026-04-27T14:25:00+05:30,145.90,145.95,145.75,145.85,66823
2026-04-27T14:30:00+05:30,145.85,145.95,145.80,145.95,49111
2026-04-27T14:35:00+05:30,145.95,146.05,145.85,146.00,73270
2026-04-27T14:40:00+05:30,145.95,146.10,145.90,146.05,78258
2026-04-27T14:45:00+05:30,146.05,146.35,146.00,146.30,174082
2026-04-27T14:50:00+05:30,146.35,146.35,146.15,146.25,113077
2026-04-27T14:55:00+05:30,146.25,146.30,146.15,146.15,123292
2026-04-27T15:00:00+05:30,146.05,146.20,146.05,146.20,188348
