ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,543.00,546.10,541.50,541.90,0
2026-04-27T09:20:00+05:30,542.00,544.65,542.00,542.30,37707
2026-04-27T09:25:00+05:30,542.50,542.50,541.20,541.80,38359
2026-04-27T09:30:00+05:30,542.80,543.40,541.25,542.00,42566
2026-04-27T09:35:00+05:30,542.25,543.35,541.15,541.15,26315
2026-04-27T09:40:00+05:30,541.50,543.25,541.25,543.25,34765
2026-04-27T09:45:00+05:30,543.60,544.40,542.25,544.00,59534
2026-04-27T09:50:00+05:30,543.85,544.90,543.00,544.90,35552
2026-04-27T09:55:00+05:30,544.70,545.15,543.00,543.00,65681
2026-04-27T10:00:00+05:30,542.75,544.05,542.60,543.35,47206
2026-04-27T10:05:00+05:30,543.35,543.35,542.40,542.50,13017
2026-04-27T10:10:00+05:30,542.50,542.75,542.50,542.75,9351
2026-04-27T10:15:00+05:30,542.75,543.90,542.75,542.90,25245
2026-04-27T10:20:00+05:30,543.10,543.25,542.75,542.95,7240
2026-04-27T10:25:00+05:30,543.00,543.10,542.55,543.10,7157
2026-04-27T10:30:00+05:30,543.10,543.80,543.00,543.20,7444
2026-04-27T10:35:00+05:30,543.05,543.20,542.75,542.75,4861
2026-04-27T10:40:00+05:30,542.70,543.30,542.70,543.15,5700
2026-04-27T10:45:00+05:30,543.15,544.25,542.90,544.00,11179
2026-04-27T10:50:00+05:30,543.90,544.40,543.70,544.00,19034
2026-04-27T10:55:00+05:30,543.90,544.80,543.55,543.55,10511
2026-04-27T11:00:00+05:30,543.55,544.00,543.50,543.70,5990
2026-04-27T11:05:00+05:30,543.70,543.75,543.10,543.25,4389
2026-04-27T11:10:00+05:30,543.25,543.55,543.20,543.45,5146
2026-04-27T11:15:00+05:30,543.45,543.75,543.20,543.70,5006
2026-04-27T11:20:00+05:30,543.50,543.70,543.10,543.45,9331
2026-04-27T11:25:00+05:30,543.45,543.75,543.00,543.25,20862
2026-04-27T11:30:00+05:30,543.25,543.45,543.10,543.10,4117
2026-04-27T11:35:00+05:30,543.15,543.45,542.85,543.05,9559
2026-04-27T11:40:00+05:30,543.05,543.30,542.70,542.90,3719
2026-04-27T11:45:00+05:30,542.90,542.95,542.60,542.80,6217
2026-04-27T11:50:00+05:30,542.80,542.85,542.55,542.85,5395
2026-04-27T11:55:00+05:30,542.85,543.10,542.70,543.10,10548
2026-04-27T12:00:00+05:30,543.05,543.10,542.70,542.70,5879
2026-04-27T12:05:00+05:30,542.85,543.05,542.70,543.00,3765
2026-04-27T12:10:00+05:30,543.00,543.10,542.75,542.85,3565
2026-04-27T12:15:00+05:30,543.00,543.25,542.80,542.95,2903
2026-04-27T12:20:00+05:30,542.85,542.95,542.65,542.80,3556
2026-04-27T12:25:00+05:30,542.65,542.90,542.60,542.80,3162
2026-04-27T12:30:00+05:30,542.70,543.00,542.65,543.00,13073
2026-04-27T12:35:00+05:30,543.05,543.55,542.85,543.30,9562
2026-04-27T12:40:00+05:30,543.35,543.35,542.70,542.90,7602
2026-04-27T12:45:00+05:30,542.90,543.10,542.70,543.00,6251
2026-04-27T12:50:00+05:30,542.95,543.00,542.60,542.75,5501
2026-04-27T12:55:00+05:30,542.75,543.00,542.60,542.85,9354
2026-04-27T13:00:00+05:30,542.85,543.65,542.75,543.65,41116
2026-04-27T13:05:00+05:30,543.50,543.50,542.90,543.40,11081
2026-04-27T13:10:00+05:30,543.35,544.20,543.10,544.10,16767
2026-04-27T13:15:00+05:30,544.05,545.35,544.05,544.75,27058
2026-04-27T13:20:00+05:30,544.70,546.45,544.30,545.65,37861
2026-04-27T13:25:00+05:30,545.70,546.00,544.70,544.80,6944
2026-04-27T13:30:00+05:30,544.90,545.30,544.60,545.00,15079
2026-04-27T13:35:00+05:30,545.15,545.40,545.00,545.25,5334
2026-04-27T13:40:00+05:30,545.45,545.60,545.15,545.40,8981
2026-04-27T13:45:00+05:30,545.35,545.65,545.20,545.55,10210
2026-04-27T13:50:00+05:30,545.20,545.45,545.15,545.25,3498
2026-04-27T13:55:00+05:30,545.30,545.45,545.10,545.25,4891
2026-04-27T14:00:00+05:30,545.40,545.40,545.00,545.10,23180
2026-04-27T14:05:00+05:30,545.05,545.25,545.00,545.20,4693
2026-04-27T14:10:00+05:30,545.20,545.40,545.00,545.35,4239
2026-04-27T14:15:00+05:30,545.35,545.35,545.00,545.15,4734
2026-04-27T14:20:00+05:30,545.15,545.30,545.00,545.05,9238
2026-04-27T14:25:00+05:30,545.05,545.25,544.85,545.05,27746
2026-04-27T14:30:00+05:30,545.05,545.05,544.40,545.00,32997
2026-04-27T14:35:00+05:30,545.00,545.10,544.95,545.00,6412
2026-04-27T14:40:00+05:30,545.05,545.05,544.75,544.80,8020
