ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,104.80,105.55,104.40,105.35,0
2026-04-27T09:20:00+05:30,105.35,105.85,105.30,105.40,934802
2026-04-27T09:25:00+05:30,105.35,105.40,105.05,105.30,481533
2026-04-27T09:30:00+05:30,105.35,105.50,105.15,105.25,316184
2026-04-27T09:35:00+05:30,105.30,105.50,105.20,105.20,201835
2026-04-27T09:40:00+05:30,105.25,105.40,105.15,105.35,174140
2026-04-27T09:45:00+05:30,105.30,105.30,105.20,105.25,227125
2026-04-27T09:50:00+05:30,105.25,105.65,105.20,105.60,307010
2026-04-27T09:55:00+05:30,105.60,105.75,105.35,105.45,351960
2026-04-27T10:00:00+05:30,105.45,105.50,105.25,105.35,160630
2026-04-27T10:05:00+05:30,105.40,105.40,105.15,105.15,129099
2026-04-27T10:10:00+05:30,105.20,105.20,105.05,105.15,118990
2026-04-27T10:15:00+05:30,105.15,105.35,105.10,105.20,176371
2026-04-27T10:20:00+05:30,105.25,105.25,105.00,105.10,154202
2026-04-27T10:25:00+05:30,105.10,105.15,105.00,105.10,128737
2026-04-27T10:30:00+05:30,105.20,105.30,105.05,105.20,79735
2026-04-27T10:35:00+05:30,105.20,105.30,105.10,105.25,60399
2026-04-27T10:40:00+05:30,105.25,105.55,105.25,105.50,221523
2026-04-27T10:45:00+05:30,105.50,105.75,105.45,105.70,205860
2026-04-27T10:50:00+05:30,105.70,105.70,105.60,105.65,106805
2026-04-27T10:55:00+05:30,105.65,105.90,105.65,105.70,260587
2026-04-27T11:00:00+05:30,105.75,106.00,105.75,105.95,520970
2026-04-27T11:05:00+05:30,105.95,106.00,105.75,105.85,169795
2026-04-27T11:10:00+05:30,105.95,106.15,105.95,106.05,425921
2026-04-27T11:15:00+05:30,106.05,106.10,105.95,106.05,152502
2026-04-27T11:20:00+05:30,106.05,106.05,105.75,105.95,108491
2026-04-27T11:25:00+05:30,105.95,105.95,105.70,105.75,129899
2026-04-27T11:30:00+05:30,105.75,105.85,105.70,105.70,64180
2026-04-27T11:35:00+05:30,105.70,105.75,105.50,105.65,90340
2026-04-27T11:40:00+05:30,105.70,105.70,105.55,105.60,88884
2026-04-27T11:45:00+05:30,105.65,105.90,105.60,105.80,98548
2026-04-27T11:50:00+05:30,105.75,105.80,105.65,105.75,106270
2026-04-27T11:55:00+05:30,105.75,105.80,105.55,105.55,78116
2026-04-27T12:00:00+05:30,105.60,105.60,105.45,105.45,119124
2026-04-27T12:05:00+05:30,105.45,105.60,105.45,105.60,80034
2026-04-27T12:10:00+05:30,105.60,105.60,105.40,105.40,61925
2026-04-27T12:15:00+05:30,105.45,105.50,105.35,105.45,139015
