ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,303.25,304.45,303.00,304.15,0
2026-04-27T09:20:00+05:30,304.55,305.00,304.30,304.70,503149
2026-04-27T09:25:00+05:30,304.75,304.95,304.45,304.65,194745
2026-04-27T09:30:00+05:30,304.80,304.80,304.25,304.35,172381
2026-04-27T09:35:00+05:30,304.45,304.70,304.15,304.20,147485
2026-04-27T09:40:00+05:30,304.15,305.10,304.10,305.10,221320
2026-04-27T09:45:00+05:30,305.00,305.40,304.90,305.40,177153
2026-04-27T09:50:00+05:30,305.40,305.60,305.35,305.40,175576
2026-04-27T09:55:00+05:30,305.30,305.40,305.05,305.05,118150
2026-04-27T10:00:00+05:30,305.20,305.20,304.80,304.85,148168
2026-04-27T10:05:00+05:30,304.80,305.05,304.70,304.90,114608
2026-04-27T10:10:00+05:30,304.95,305.10,304.80,305.00,122714
2026-04-27T10:15:00+05:30,305.00,305.40,305.00,305.20,134417
2026-04-27T10:20:00+05:30,305.15,305.20,304.75,305.05,157763
2026-04-27T10:25:00+05:30,305.05,305.05,304.55,304.65,153141
2026-04-27T10:30:00+05:30,304.75,304.75,304.25,304.35,121363
2026-04-27T10:35:00+05:30,304.30,304.45,304.20,304.40,136348
2026-04-27T10:40:00+05:30,304.35,304.40,304.15,304.20,164144
2026-04-27T10:45:00+05:30,304.20,304.30,304.00,304.25,147666
2026-04-27T10:50:00+05:30,304.20,304.45,304.10,304.20,145291
2026-04-27T10:55:00+05:30,304.30,304.40,304.15,304.30,116880
2026-04-27T11:00:00+05:30,304.35,304.35,303.90,303.95,181194
2026-04-27T11:05:00+05:30,304.00,304.15,303.60,303.60,158856
2026-04-27T11:10:00+05:30,303.70,304.15,303.65,304.10,128427
2026-04-27T11:15:00+05:30,304.10,304.20,303.90,304.15,118249
2026-04-27T11:20:00+05:30,304.10,304.10,303.80,303.90,105819
2026-04-27T11:25:00+05:30,303.90,303.90,303.60,303.65,124554
2026-04-27T11:30:00+05:30,303.70,303.70,303.25,303.35,178236
2026-04-27T11:35:00+05:30,303.30,303.35,302.95,303.25,224141
2026-04-27T11:40:00+05:30,303.30,303.75,303.25,303.60,118432
2026-04-27T11:45:00+05:30,303.50,303.90,303.40,303.90,115593
2026-04-27T11:50:00+05:30,303.80,303.95,303.60,303.95,118800
2026-04-27T11:55:00+05:30,303.95,304.15,303.70,304.05,111993
2026-04-27T12:00:00+05:30,304.00,304.10,303.80,303.80,159917
2026-04-27T12:05:00+05:30,303.75,303.90,303.10,303.10,728256
2026-04-27T12:10:00+05:30,303.15,303.45,303.10,303.30,134551
2026-04-27T12:15:00+05:30,303.35,303.65,303.35,303.50,100196
2026-04-27T12:20:00+05:30,303.40,303.55,303.15,303.50,156859
2026-04-27T12:25:00+05:30,303.50,303.70,303.40,303.70,103944
2026-04-27T12:30:00+05:30,303.70,304.00,303.55,304.00,106376
2026-04-27T12:35:00+05:30,303.95,304.30,303.95,304.00,138513
2026-04-27T12:40:00+05:30,304.05,304.20,303.95,304.10,109518
2026-04-27T12:45:00+05:30,304.15,304.30,303.95,303.95,110676
2026-04-27T12:50:00+05:30,304.05,304.10,303.85,304.05,121436
2026-04-27T12:55:00+05:30,304.00,304.25,303.90,304.20,139232
2026-04-27T13:00:00+05:30,304.05,304.30,304.00,304.20,108401
2026-04-27T13:05:00+05:30,304.25,304.25,303.85,304.00,113903
2026-04-27T13:10:00+05:30,304.00,304.30,303.85,304.20,116842
2026-04-27T13:15:00+05:30,304.25,304.35,304.05,304.05,127609
2026-04-27T13:20:00+05:30,304.15,304.15,303.85,304.00,121836
2026-04-27T13:25:00+05:30,304.00,304.25,303.85,304.15,121046
2026-04-27T13:30:00+05:30,304.00,304.15,303.80,303.85,173583
2026-04-27T13:35:00+05:30,303.95,304.30,303.95,304.20,127325
2026-04-27T13:40:00+05:30,304.20,304.30,304.05,304.05,115313
2026-04-27T13:45:00+05:30,304.15,304.25,304.00,304.05,129503
2026-04-27T13:50:00+05:30,304.05,304.15,303.90,304.05,204585
2026-04-27T13:55:00+05:30,304.15,304.25,304.00,304.25,254601
2026-04-27T14:00:00+05:30,304.25,304.50,304.15,304.35,345388
2026-04-27T14:05:00+05:30,304.35,304.55,304.20,304.40,215808
2026-04-27T14:10:00+05:30,304.45,304.50,304.30,304.50,119900
2026-04-27T14:15:00+05:30,304.50,304.75,304.35,304.45,482345
2026-04-27T14:20:00+05:30,304.35,304.45,304.05,304.25,202850
2026-04-27T14:25:00+05:30,304.10,304.45,304.10,304.45,115540
2026-04-27T14:30:00+05:30,304.45,304.45,303.85,303.95,188055
2026-04-27T14:35:00+05:30,304.00,304.25,303.80,303.95,485796
2026-04-27T14:40:00+05:30,303.95,304.20,303.80,304.15,151767
2026-04-27T14:45:00+05:30,304.10,304.25,304.00,304.20,329882
2026-04-27T14:50:00+05:30,304.05,304.30,304.05,304.05,237607
2026-04-27T14:55:00+05:30,304.15,304.60,304.00,304.25,482913
2026-04-27T15:00:00+05:30,304.10,304.10,303.85,303.95,150336
2026-04-27T15:05:00+05:30,303.95,304.00,303.80,303.95,268430
2026-04-27T15:10:00+05:30,304.00,304.00,303.85,304.00,190735
2026-04-27T15:15:00+05:30,303.95,304.15,303.85,303.90,241795
2026-04-27T15:20:00+05:30,303.80,303.95,303.65,303.70,284562
2026-04-27T15:25:00+05:30,303.70,304.05,303.60,304.00,291101
2026-04-28T09:15:00+05:30,304.00,304.00,302.60,303.80,0
2026-04-28T09:20:00+05:30,303.85,304.35,303.80,304.20,235620
2026-04-28T09:25:00+05:30,304.30,304.50,304.05,304.10,138347
2026-04-28T09:30:00+05:30,304.05,304.10,303.70,303.90,75249
2026-04-28T09:35:00+05:30,303.80,303.95,303.55,303.95,135220
2026-04-28T09:40:00+05:30,303.95,304.45,303.95,304.45,224721
2026-04-28T09:45:00+05:30,304.45,304.65,304.25,304.40,135883
2026-04-28T09:50:00+05:30,304.40,304.45,304.20,304.20,94337
2026-04-28T09:55:00+05:30,304.30,304.95,304.25,304.85,247525
2026-04-28T10:00:00+05:30,304.75,304.90,304.45,304.70,101610
2026-04-28T10:05:00+05:30,304.80,304.95,304.65,304.85,91923
2026-04-28T10:10:00+05:30,304.85,305.20,304.80,305.00,144897
2026-04-28T10:15:00+05:30,305.05,305.10,304.90,305.00,88229
2026-04-28T10:20:00+05:30,305.00,305.20,304.90,305.05,130638
2026-04-28T10:25:00+05:30,305.05,305.15,304.85,305.10,92719
2026-04-28T10:30:00+05:30,305.10,305.15,305.00,305.15,60569
2026-04-28T10:35:00+05:30,305.15,305.35,305.00,305.20,84243
2026-04-28T10:40:00+05:30,305.25,305.30,304.80,305.00,200027
2026-04-28T10:45:00+05:30,304.95,305.05,304.85,305.00,107608
2026-04-28T10:50:00+05:30,305.05,305.25,304.95,305.15,75701
2026-04-28T10:55:00+05:30,305.15,305.35,305.10,305.10,86605
2026-04-28T11:00:00+05:30,305.25,305.25,305.00,305.15,43781
2026-04-28T11:05:00+05:30,305.15,305.20,305.05,305.10,43410
2026-04-28T11:10:00+05:30,305.10,305.15,305.00,305.10,73013
2026-04-28T11:15:00+05:30,305.15,305.15,304.75,304.95,600727
2026-04-28T11:20:00+05:30,304.95,305.00,304.70,304.90,156300
2026-04-28T11:25:00+05:30,304.90,304.95,304.25,304.40,106941
2026-04-28T11:30:00+05:30,304.40,304.40,304.10,304.20,145346
2026-04-28T11:35:00+05:30,304.30,304.50,304.20,304.50,130646
2026-04-28T11:40:00+05:30,304.50,304.65,304.30,304.65,81357
2026-04-28T11:45:00+05:30,304.65,304.70,304.35,304.55,79264
2026-04-28T11:50:00+05:30,304.50,304.80,304.45,304.65,429939
2026-04-28T11:55:00+05:30,304.65,304.80,304.30,304.35,414897
2026-04-28T12:00:00+05:30,304.30,304.55,304.10,304.40,180204
2026-04-28T12:05:00+05:30,304.30,304.45,304.20,304.40,114332
2026-04-28T12:10:00+05:30,304.40,304.50,304.10,304.45,395292
2026-04-28T12:15:00+05:30,304.45,304.55,304.30,304.45,118522
2026-04-28T12:20:00+05:30,304.45,304.50,304.05,304.40,110180
2026-04-28T12:25:00+05:30,304.10,304.50,304.10,304.25,116146
2026-04-28T12:30:00+05:30,304.30,304.40,304.05,304.25,104534
2026-04-28T12:35:00+05:30,304.30,304.50,304.15,304.45,143029
2026-04-28T12:40:00+05:30,304.55,304.95,304.55,304.95,257736
2026-04-28T12:45:00+05:30,304.90,304.95,304.60,304.70,170392
2026-04-28T12:50:00+05:30,304.65,304.75,304.55,304.60,77823
2026-04-28T12:55:00+05:30,304.60,304.85,304.55,304.65,65401
2026-04-28T13:00:00+05:30,304.75,305.20,304.55,305.05,170193
2026-04-28T13:05:00+05:30,305.05,305.45,305.05,305.30,403194
2026-04-28T13:10:00+05:30,305.30,305.55,305.05,305.30,328142
2026-04-28T13:15:00+05:30,305.25,305.40,305.10,305.25,89452
2026-04-28T13:20:00+05:30,305.25,305.50,305.20,305.30,314783
2026-04-28T13:25:00+05:30,305.30,305.45,305.20,305.30,84620
2026-04-28T13:30:00+05:30,305.30,305.30,304.85,305.00,98489
2026-04-28T13:35:00+05:30,305.10,305.15,304.45,304.90,357160
2026-04-28T13:40:00+05:30,304.80,304.95,304.70,304.85,233116
2026-04-28T13:45:00+05:30,304.75,305.05,304.70,304.95,82111
2026-04-28T13:50:00+05:30,304.95,305.10,304.80,305.00,74796
2026-04-28T13:55:00+05:30,305.00,305.20,304.75,305.05,221529
2026-04-28T14:00:00+05:30,305.15,305.15,304.75,305.00,190664
2026-04-28T14:05:00+05:30,305.00,305.00,304.55,304.70,214953
2026-04-28T14:10:00+05:30,304.60,304.70,304.40,304.55,158395
2026-04-28T14:15:00+05:30,304.55,304.60,304.35,304.60,101959
2026-04-28T14:20:00+05:30,304.60,304.80,304.20,304.60,163703
2026-04-28T14:25:00+05:30,304.70,304.85,304.60,304.75,104800
2026-04-28T14:30:00+05:30,304.80,305.00,304.30,304.30,237101
2026-04-28T14:35:00+05:30,304.45,304.95,304.15,304.90,122182
2026-04-28T14:40:00+05:30,304.90,304.95,304.60,304.75,107827
2026-04-28T14:45:00+05:30,304.65,304.85,304.65,304.80,82160
2026-04-28T14:50:00+05:30,304.80,304.95,304.75,304.90,142553
2026-04-28T14:55:00+05:30,304.80,304.90,304.60,304.85,107280
2026-04-28T15:00:00+05:30,304.85,304.85,304.30,304.30,266731
2026-04-28T15:05:00+05:30,304.35,304.65,304.35,304.55,240568
2026-04-28T15:10:00+05:30,304.50,304.70,304.35,304.65,208244
2026-04-28T15:15:00+05:30,304.60,304.60,304.35,304.55,206768
2026-04-28T15:20:00+05:30,304.50,304.55,304.20,304.35,241714
2026-04-28T15:25:00+05:30,304.35,304.50,304.10,304.15,258701
2026-04-29T09:15:00+05:30,305.60,308.00,305.40,307.25,0
2026-04-29T09:20:00+05:30,307.35,310.40,307.35,309.95,968749
2026-04-29T09:25:00+05:30,309.75,312.55,309.60,311.50,1562432
2026-04-29T09:30:00+05:30,311.70,311.70,310.40,311.20,642115
2026-04-29T09:35:00+05:30,311.20,312.35,311.00,312.10,1074375
2026-04-29T09:40:00+05:30,312.20,312.65,310.75,312.15,1131735
2026-04-29T09:45:00+05:30,312.15,312.50,311.50,311.55,637415
2026-04-29T09:50:00+05:30,311.65,312.30,311.25,311.70,403053
2026-04-29T09:55:00+05:30,311.70,311.95,311.30,311.75,304919
2026-04-29T10:00:00+05:30,311.75,312.40,311.75,312.00,505335
2026-04-29T10:05:00+05:30,312.15,312.90,312.00,312.30,614346
2026-04-29T10:10:00+05:30,312.30,312.45,311.75,311.90,310936
2026-04-29T10:15:00+05:30,311.85,312.45,311.70,311.95,330551
2026-04-29T10:20:00+05:30,312.00,312.10,311.75,312.05,194958
2026-04-29T10:25:00+05:30,312.05,312.05,311.20,311.55,320206
2026-04-29T10:30:00+05:30,311.55,312.05,311.55,311.80,309290
2026-04-29T10:35:00+05:30,311.70,311.80,311.45,311.45,137700
2026-04-29T10:40:00+05:30,311.45,311.75,311.35,311.40,171123
2026-04-29T10:45:00+05:30,311.35,312.10,311.05,312.00,457605
2026-04-29T10:50:00+05:30,312.00,312.75,311.90,312.60,389535
2026-04-29T10:55:00+05:30,312.45,312.90,312.45,312.75,207776
2026-04-29T11:00:00+05:30,312.85,312.90,312.50,312.65,197069
2026-04-29T11:05:00+05:30,312.75,314.05,312.60,313.95,883328
2026-04-29T11:10:00+05:30,313.90,313.95,313.25,313.55,232716
2026-04-29T11:15:00+05:30,313.55,313.60,313.15,313.35,126301
2026-04-29T11:20:00+05:30,313.35,313.60,313.20,313.50,158421
2026-04-29T11:25:00+05:30,313.50,313.60,313.30,313.55,171316
2026-04-29T11:30:00+05:30,313.65,314.25,313.65,314.10,460953
2026-04-29T11:35:00+05:30,314.10,314.70,314.05,314.25,518388
2026-04-29T11:40:00+05:30,314.25,314.45,314.10,314.35,274468
2026-04-29T11:45:00+05:30,314.35,314.35,313.80,314.25,148375
2026-04-29T11:50:00+05:30,314.25,315.00,314.10,314.90,759966
2026-04-29T11:55:00+05:30,314.90,315.05,314.60,314.70,270288
2026-04-29T12:00:00+05:30,314.70,314.95,313.85,313.85,256566
2026-04-29T12:05:00+05:30,313.95,314.05,313.55,314.00,180621
2026-04-29T12:10:00+05:30,313.95,314.30,313.65,313.80,501799
2026-04-29T12:15:00+05:30,313.75,314.45,313.75,314.35,327977
2026-04-29T12:20:00+05:30,314.35,314.50,314.10,314.50,380102
2026-04-29T12:25:00+05:30,314.50,314.65,314.25,314.30,208766
2026-04-29T12:30:00+05:30,314.35,314.40,314.00,314.25,102699
2026-04-29T12:35:00+05:30,314.20,314.25,313.75,314.05,235076
2026-04-29T12:40:00+05:30,314.05,314.10,313.75,314.00,130168
2026-04-29T12:45:00+05:30,313.95,314.50,313.95,314.50,224676
2026-04-29T12:50:00+05:30,314.45,314.95,314.35,314.95,528078
2026-04-29T12:55:00+05:30,315.20,316.35,315.20,316.10,1049198
2026-04-29T13:00:00+05:30,316.20,316.20,315.80,315.85,225127
2026-04-29T13:05:00+05:30,315.90,316.95,315.85,316.95,721657
2026-04-29T13:10:00+05:30,316.85,317.50,316.70,317.25,540675
2026-04-29T13:15:00+05:30,317.25,317.30,316.85,317.15,410507
2026-04-29T13:20:00+05:30,317.20,317.50,316.85,316.85,361318
2026-04-29T13:25:00+05:30,316.85,317.00,316.50,316.65,346345
2026-04-29T13:30:00+05:30,316.80,316.80,315.95,316.20,447964
2026-04-29T13:35:00+05:30,316.20,316.35,315.80,315.90,275724
2026-04-29T13:40:00+05:30,315.95,316.30,315.55,316.05,349824
2026-04-29T13:45:00+05:30,316.05,316.65,316.00,316.30,225178
2026-04-29T13:50:00+05:30,316.40,316.50,315.55,315.55,301836
2026-04-29T13:55:00+05:30,315.60,315.80,315.50,315.75,144300
2026-04-29T14:00:00+05:30,315.60,315.60,314.60,314.75,433175
2026-04-29T14:05:00+05:30,314.80,315.30,314.65,315.10,336167
2026-04-29T14:10:00+05:30,315.05,315.55,314.85,315.45,229383
2026-04-29T14:15:00+05:30,315.50,315.90,315.30,315.70,260245
2026-04-29T14:20:00+05:30,315.65,316.45,315.50,316.40,440648
2026-04-29T14:25:00+05:30,316.40,316.45,315.75,316.00,282748
2026-04-29T14:30:00+05:30,315.90,316.15,315.90,316.10,172182
2026-04-29T14:35:00+05:30,316.15,316.15,315.65,316.00,227569
2026-04-29T14:40:00+05:30,315.85,316.25,315.80,316.20,219667
2026-04-29T14:45:00+05:30,316.25,316.75,316.00,316.65,264101
2026-04-29T14:50:00+05:30,316.75,316.85,316.50,316.75,315010
2026-04-29T14:55:00+05:30,316.65,316.75,316.45,316.45,242148
2026-04-29T15:00:00+05:30,316.45,316.70,316.15,316.15,510762
2026-04-29T15:05:00+05:30,316.15,316.60,316.10,316.55,307340
2026-04-29T15:10:00+05:30,316.60,316.65,316.05,316.20,604221
2026-04-29T15:15:00+05:30,316.30,316.40,316.00,316.25,713366
2026-04-29T15:20:00+05:30,316.30,316.35,315.90,316.30,673637
2026-04-29T15:25:00+05:30,316.25,316.25,316.00,316.25,947910
2026-04-30T09:15:00+05:30,316.25,316.45,313.85,314.40,0
2026-04-30T09:20:00+05:30,314.30,314.30,313.50,313.50,328312
2026-04-30T09:25:00+05:30,313.75,315.20,313.75,314.90,349783
2026-04-30T09:30:00+05:30,314.85,315.65,314.60,315.65,256993
2026-04-30T09:35:00+05:30,315.65,316.00,315.35,315.60,206980
2026-04-30T09:40:00+05:30,315.60,316.60,315.60,316.50,393834
2026-04-30T09:45:00+05:30,316.45,316.65,315.40,315.40,279630
2026-04-30T09:50:00+05:30,315.35,316.00,315.30,315.70,158331
2026-04-30T09:55:00+05:30,315.85,316.00,315.45,315.55,117582
2026-04-30T10:00:00+05:30,315.50,315.55,315.10,315.10,103844
2026-04-30T10:05:00+05:30,315.00,315.35,314.80,315.30,210393
2026-04-30T10:10:00+05:30,315.30,315.35,314.65,315.00,167156
2026-04-30T10:15:00+05:30,315.05,315.50,314.95,315.45,188676
2026-04-30T10:20:00+05:30,315.45,315.45,315.05,315.15,69272
2026-04-30T10:25:00+05:30,315.15,315.35,314.85,315.35,116769
2026-04-30T10:30:00+05:30,315.40,315.95,315.20,315.95,112248
2026-04-30T10:35:00+05:30,315.90,317.45,315.90,316.80,437334
2026-04-30T10:40:00+05:30,316.90,317.00,315.35,315.50,205425
2026-04-30T10:45:00+05:30,315.60,315.75,315.20,315.60,104545
2026-04-30T10:50:00+05:30,315.30,315.45,314.95,315.20,170519
2026-04-30T10:55:00+05:30,315.35,315.35,315.00,315.10,58184
2026-04-30T11:00:00+05:30,315.10,315.70,315.00,315.55,67091
2026-04-30T11:05:00+05:30,315.50,315.70,315.25,315.70,53651
2026-04-30T11:10:00+05:30,315.55,315.65,315.10,315.25,54402
2026-04-30T11:15:00+05:30,315.25,315.35,315.00,315.30,105076
2026-04-30T11:20:00+05:30,315.10,315.35,315.10,315.30,39237
2026-04-30T11:25:00+05:30,315.30,315.45,315.15,315.45,45044
2026-04-30T11:30:00+05:30,315.45,316.00,315.45,316.00,66939
2026-04-30T11:35:00+05:30,316.00,316.00,315.80,315.90,79679
2026-04-30T11:40:00+05:30,315.85,315.90,315.60,315.90,32773
2026-04-30T11:45:00+05:30,315.90,315.95,315.60,315.75,39485
2026-04-30T11:50:00+05:30,315.85,315.90,315.50,315.50,41348
2026-04-30T11:55:00+05:30,315.55,315.80,315.50,315.70,42573
2026-04-30T12:00:00+05:30,315.70,315.80,315.55,315.65,54407
2026-04-30T12:05:00+05:30,315.70,316.20,315.50,315.85,131176
2026-04-30T12:10:00+05:30,315.90,316.45,315.70,316.40,95345
2026-04-30T12:15:00+05:30,316.45,316.65,316.00,316.05,82982
2026-04-30T12:20:00+05:30,315.85,316.30,315.75,316.10,77979
2026-04-30T12:25:00+05:30,316.00,316.70,315.95,316.70,85447
2026-04-30T12:30:00+05:30,316.70,316.70,316.15,316.30,54794
2026-04-30T12:35:00+05:30,316.30,316.30,315.75,316.05,68748
2026-04-30T12:40:00+05:30,316.05,316.20,315.75,316.15,69623
2026-04-30T12:45:00+05:30,316.20,316.25,315.95,316.20,52797
2026-04-30T12:50:00+05:30,316.20,316.20,316.00,316.20,27381
2026-04-30T12:55:00+05:30,316.15,316.40,316.05,316.30,34937
2026-04-30T13:00:00+05:30,316.30,316.30,315.75,315.75,72824
2026-04-30T13:05:00+05:30,315.85,316.10,315.50,315.90,345293
2026-04-30T13:10:00+05:30,316.00,316.00,315.80,315.90,29149
2026-04-30T13:15:00+05:30,315.90,315.95,315.20,315.20,92246
2026-04-30T13:20:00+05:30,315.20,315.50,315.00,315.20,180772
2026-04-30T13:25:00+05:30,315.15,315.50,315.05,315.30,69916
2026-04-30T13:30:00+05:30,315.30,315.60,315.15,315.30,54860
2026-04-30T13:35:00+05:30,315.40,315.55,315.10,315.30,140414
2026-04-30T13:40:00+05:30,315.15,315.60,315.15,315.60,113765
2026-04-30T13:45:00+05:30,315.40,315.70,315.15,315.35,105442
2026-04-30T13:50:00+05:30,315.35,315.45,315.10,315.25,98914
2026-04-30T13:55:00+05:30,315.25,315.50,315.15,315.40,33706
2026-04-30T14:00:00+05:30,315.40,315.45,315.10,315.15,138524
2026-04-30T14:05:00+05:30,315.20,315.35,315.00,315.35,123296
2026-04-30T14:10:00+05:30,315.40,315.40,315.00,315.10,189433
2026-04-30T14:15:00+05:30,315.10,315.20,314.85,315.00,192234
2026-04-30T14:20:00+05:30,315.05,315.15,315.00,315.10,107625
2026-04-30T14:25:00+05:30,315.20,315.25,314.85,315.20,273356
2026-04-30T14:30:00+05:30,315.20,315.40,315.10,315.20,75401
2026-04-30T14:35:00+05:30,315.30,315.70,315.20,315.70,110760
2026-04-30T14:40:00+05:30,315.70,315.90,315.45,315.50,229247
2026-04-30T14:45:00+05:30,315.60,315.65,315.25,315.35,78908
2026-04-30T14:50:00+05:30,315.25,315.25,315.00,315.00,277622
2026-04-30T14:55:00+05:30,315.05,315.25,314.90,315.10,319021
2026-04-30T15:00:00+05:30,315.10,315.25,314.90,315.00,236068
2026-04-30T15:05:00+05:30,315.05,315.15,314.25,314.55,303066
2026-04-30T15:10:00+05:30,314.55,315.05,314.40,314.55,237034
2026-04-30T15:15:00+05:30,314.65,315.10,314.45,315.10,213110
2026-04-30T15:20:00+05:30,315.10,315.35,314.75,314.95,243499
2026-04-30T15:25:00+05:30,315.00,315.20,314.70,315.20,300595
2026-05-04T09:15:00+05:30,317.50,317.50,314.15,314.75,0
2026-05-04T09:20:00+05:30,314.75,314.85,313.50,313.50,533530
2026-05-04T09:25:00+05:30,313.45,314.40,312.90,314.15,501046
2026-05-04T09:30:00+05:30,314.10,314.85,313.90,314.85,612386
2026-05-04T09:35:00+05:30,314.95,315.90,314.95,315.90,684964
2026-05-04T09:40:00+05:30,315.80,316.95,315.80,316.90,574940
2026-05-04T09:45:00+05:30,317.15,317.40,316.80,316.85,747320
2026-05-04T09:50:00+05:30,316.95,317.05,316.25,316.30,271076
2026-05-04T09:55:00+05:30,316.50,316.60,316.10,316.15,155020
2026-05-04T10:00:00+05:30,316.15,316.45,315.75,315.85,259692
2026-05-04T10:05:00+05:30,315.90,316.05,315.65,315.80,231777
2026-05-04T10:10:00+05:30,315.75,316.00,315.20,315.25,226334
2026-05-04T10:15:00+05:30,315.20,315.95,315.20,315.75,191335
2026-05-04T10:20:00+05:30,315.85,315.85,315.30,315.30,173796
2026-05-04T10:25:00+05:30,315.40,315.60,315.20,315.60,159928
2026-05-04T10:30:00+05:30,315.65,316.10,315.50,315.80,227544
2026-05-04T10:35:00+05:30,315.80,316.30,315.65,316.10,310271
2026-05-04T10:40:00+05:30,316.25,316.30,315.50,315.65,146322
2026-05-04T10:45:00+05:30,315.50,315.80,315.50,315.65,117269
2026-05-04T10:50:00+05:30,315.75,315.85,315.30,315.50,140034
2026-05-04T10:55:00+05:30,315.30,315.35,314.55,314.60,265854
2026-05-04T11:00:00+05:30,314.55,314.75,314.40,314.70,167911
2026-05-04T11:05:00+05:30,314.45,314.55,314.00,314.00,202945
2026-05-04T11:10:00+05:30,314.15,314.15,313.60,313.75,334014
2026-05-04T11:15:00+05:30,313.85,313.90,313.35,313.50,231964
2026-05-04T11:20:00+05:30,313.40,313.70,313.00,313.70,303617
2026-05-04T11:25:00+05:30,313.70,313.90,313.35,313.80,192481
2026-05-04T11:30:00+05:30,313.90,314.00,313.60,313.70,333307
2026-05-04T11:35:00+05:30,313.70,313.75,313.20,313.30,172867
2026-05-04T11:40:00+05:30,313.40,313.40,312.70,312.75,334181
2026-05-04T11:45:00+05:30,312.70,313.00,312.70,312.85,167517
2026-05-04T11:50:00+05:30,312.90,313.00,312.80,313.00,145126
2026-05-04T11:55:00+05:30,312.95,313.15,312.65,313.15,161282
2026-05-04T12:00:00+05:30,313.25,313.70,313.25,313.30,217878
2026-05-04T12:05:00+05:30,313.40,313.70,313.10,313.40,221154
2026-05-04T12:10:00+05:30,313.40,313.40,312.20,312.30,296718
2026-05-04T12:15:00+05:30,312.30,312.90,312.10,312.75,285437
2026-05-04T12:20:00+05:30,312.75,312.95,312.60,312.75,156860
2026-05-04T12:25:00+05:30,312.75,312.90,311.05,311.75,881043
2026-05-04T12:30:00+05:30,311.85,312.05,311.55,311.95,180479
2026-05-04T12:35:00+05:30,311.95,312.30,311.75,311.90,143128
2026-05-04T12:40:00+05:30,312.00,312.50,311.75,311.80,178647
2026-05-04T12:45:00+05:30,311.80,312.00,311.35,311.55,151127
2026-05-04T12:50:00+05:30,311.55,312.00,311.50,311.70,138241
