ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,488.65,491.85,488.45,489.60,0
2026-04-27T09:20:00+05:30,489.60,491.90,489.45,489.45,64802
2026-04-27T09:25:00+05:30,489.85,490.70,488.55,489.60,43515
2026-04-27T09:30:00+05:30,489.90,490.15,488.80,489.65,30942
2026-04-27T09:35:00+05:30,489.60,491.30,489.45,490.35,45909
2026-04-27T09:40:00+05:30,490.60,491.30,489.65,491.20,33309
2026-04-27T09:45:00+05:30,491.05,491.30,490.10,490.15,17877
2026-04-27T09:50:00+05:30,490.20,494.75,490.20,494.30,381044
2026-04-27T09:55:00+05:30,494.30,498.00,494.30,497.70,94692
2026-04-27T10:00:00+05:30,497.85,498.00,494.95,495.20,103223
2026-04-27T10:05:00+05:30,495.40,495.50,494.45,494.45,25902
2026-04-27T10:10:00+05:30,494.50,494.95,493.75,494.05,30206
2026-04-27T10:15:00+05:30,494.35,495.40,494.00,494.30,22609
2026-04-27T10:20:00+05:30,494.25,494.60,493.75,494.25,27942
2026-04-27T10:25:00+05:30,494.25,494.50,493.50,493.95,15448
2026-04-27T10:30:00+05:30,494.10,494.30,492.10,492.10,18866
2026-04-27T10:35:00+05:30,492.50,492.50,491.30,492.05,17004
2026-04-27T10:40:00+05:30,492.45,493.45,492.20,493.45,14401
2026-04-27T10:45:00+05:30,493.60,494.05,493.00,493.35,21145
2026-04-27T10:50:00+05:30,493.45,494.00,489.20,489.20,264255
2026-04-27T10:55:00+05:30,489.40,492.25,489.40,491.75,202664
2026-04-27T11:00:00+05:30,491.75,492.95,490.75,492.20,85807
2026-04-27T11:05:00+05:30,492.15,492.35,491.10,491.50,15109
2026-04-27T11:10:00+05:30,492.00,492.05,491.25,491.55,6993
2026-04-27T11:15:00+05:30,491.30,492.00,490.40,491.00,8092
2026-04-27T11:20:00+05:30,490.95,491.80,490.35,491.80,13836
2026-04-27T11:25:00+05:30,491.90,491.90,490.60,491.10,24917
2026-04-27T11:30:00+05:30,490.85,491.30,490.10,490.60,9401
2026-04-27T11:35:00+05:30,490.65,491.50,490.40,491.50,9636
2026-04-27T11:40:00+05:30,491.40,491.40,488.55,488.70,33592
2026-04-27T11:45:00+05:30,488.80,489.50,488.60,488.65,43914
2026-04-27T11:50:00+05:30,488.85,489.00,488.40,489.00,63616
2026-04-27T11:55:00+05:30,489.00,490.00,487.00,487.60,97545
2026-04-27T12:00:00+05:30,487.45,487.45,486.00,486.20,24800
2026-04-27T12:05:00+05:30,486.55,487.10,486.25,486.55,11887
2026-04-27T12:10:00+05:30,486.55,487.40,486.25,486.25,9825
2026-04-27T12:15:00+05:30,486.55,487.00,486.05,486.30,10147
2026-04-27T12:20:00+05:30,486.25,488.40,486.10,488.40,27804
2026-04-27T12:25:00+05:30,488.45,490.20,488.45,489.65,55223
2026-04-27T12:30:00+05:30,489.60,489.85,488.95,489.55,24978
2026-04-27T12:35:00+05:30,489.55,489.80,489.00,489.55,15025
2026-04-27T12:40:00+05:30,489.55,489.65,488.70,489.00,11618
2026-04-27T12:45:00+05:30,489.00,489.50,486.80,488.90,53551
2026-04-27T12:50:00+05:30,488.90,489.30,487.80,488.25,11888
2026-04-27T12:55:00+05:30,488.25,489.00,487.40,487.75,24179
2026-04-27T13:00:00+05:30,487.70,488.05,487.50,487.70,7233
2026-04-27T13:05:00+05:30,487.55,487.90,486.70,487.60,17224
2026-04-27T13:10:00+05:30,487.60,488.50,487.00,488.25,24770
2026-04-27T13:15:00+05:30,488.30,488.90,487.55,487.65,16217
