ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,375.00,377.20,373.85,376.05,0
2026-04-27T09:20:00+05:30,376.20,378.30,376.20,378.30,436308
2026-04-27T09:25:00+05:30,378.90,380.00,377.65,379.40,273423
2026-04-27T09:30:00+05:30,379.45,379.80,376.80,377.00,351823
2026-04-27T09:35:00+05:30,376.95,377.40,376.50,376.85,96141
2026-04-27T09:40:00+05:30,376.90,377.80,376.50,377.75,105185
2026-04-27T09:45:00+05:30,377.75,378.70,377.35,378.65,93239
2026-04-27T09:50:00+05:30,378.60,380.00,378.60,379.20,352697
2026-04-27T09:55:00+05:30,379.10,379.15,378.35,378.70,84724
2026-04-27T10:00:00+05:30,378.70,379.20,378.50,378.65,116609
2026-04-27T10:05:00+05:30,378.35,380.10,378.10,380.05,319392
2026-04-27T10:10:00+05:30,380.00,380.30,379.20,379.30,348370
2026-04-27T10:15:00+05:30,379.50,380.40,379.50,380.25,99365
2026-04-27T10:20:00+05:30,380.45,380.45,378.75,379.45,77694
2026-04-27T10:25:00+05:30,379.40,379.45,378.60,378.70,72990
2026-04-27T10:30:00+05:30,378.75,378.85,377.50,377.50,63970
2026-04-27T10:35:00+05:30,377.55,378.00,377.25,378.00,74320
2026-04-27T10:40:00+05:30,377.75,378.20,377.55,378.10,46094
2026-04-27T10:45:00+05:30,378.15,378.15,377.45,377.80,55563
2026-04-27T10:50:00+05:30,377.70,378.80,377.50,378.65,44882
2026-04-27T10:55:00+05:30,378.65,378.65,377.20,377.20,45989
2026-04-27T11:00:00+05:30,377.35,377.40,376.75,377.25,91939
2026-04-27T11:05:00+05:30,377.20,377.90,377.20,377.25,87912
2026-04-27T11:10:00+05:30,377.40,378.35,377.40,378.20,69522
2026-04-27T11:15:00+05:30,378.20,378.50,378.10,378.10,34793
2026-04-27T11:20:00+05:30,378.10,378.10,377.05,377.05,55740
2026-04-27T11:25:00+05:30,377.05,377.25,376.80,376.80,53339
2026-04-27T11:30:00+05:30,376.80,377.05,376.00,376.20,80402
2026-04-27T11:35:00+05:30,376.15,376.25,375.15,375.60,151020
2026-04-27T11:40:00+05:30,375.70,375.95,375.30,375.80,67435
2026-04-27T11:45:00+05:30,375.80,376.20,375.50,376.15,165753
2026-04-27T11:50:00+05:30,376.00,376.05,375.30,375.60,71068
2026-04-27T11:55:00+05:30,375.55,376.55,375.55,376.35,76258
2026-04-27T12:00:00+05:30,376.25,376.60,376.05,376.50,80098
