ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,544.80,545.15,541.40,541.55,0
2026-04-27T09:20:00+05:30,541.90,543.40,541.60,542.05,20315
2026-04-27T09:25:00+05:30,541.75,542.25,539.80,540.60,25543
2026-04-27T09:30:00+05:30,540.50,541.00,539.30,539.30,18911
2026-04-27T09:35:00+05:30,539.30,540.10,538.60,539.05,14917
2026-04-27T09:40:00+05:30,539.45,540.00,538.75,540.00,15352
2026-04-27T09:45:00+05:30,539.75,541.75,539.70,541.75,17579
2026-04-27T09:50:00+05:30,541.80,543.05,541.55,543.00,22677
2026-04-27T09:55:00+05:30,543.00,543.55,542.15,542.35,9686
2026-04-27T10:00:00+05:30,542.25,542.45,541.30,541.30,6664
2026-04-27T10:05:00+05:30,541.15,541.40,540.40,540.40,8450
2026-04-27T10:10:00+05:30,540.40,540.80,538.40,538.50,15206
2026-04-27T10:15:00+05:30,538.90,539.10,538.20,538.25,36242
2026-04-27T10:20:00+05:30,538.10,538.10,536.50,536.50,28130
2026-04-27T10:25:00+05:30,536.40,536.40,534.50,535.25,39727
2026-04-27T10:30:00+05:30,535.25,535.50,534.40,534.80,20578
2026-04-27T10:35:00+05:30,534.85,535.20,534.40,534.40,21009
2026-04-27T10:40:00+05:30,534.75,537.25,534.40,536.75,34647
2026-04-27T10:45:00+05:30,537.40,538.80,537.05,537.80,20553
2026-04-27T10:50:00+05:30,537.40,539.00,537.35,538.00,11574
2026-04-27T10:55:00+05:30,538.30,539.00,537.35,537.50,10884
2026-04-27T11:00:00+05:30,537.45,537.90,537.00,537.65,8100
2026-04-27T11:05:00+05:30,537.60,538.60,537.30,537.45,9000
2026-04-27T11:10:00+05:30,537.45,537.80,537.00,537.00,8157
2026-04-27T11:15:00+05:30,537.30,538.70,537.30,538.20,6947
2026-04-27T11:20:00+05:30,538.00,538.10,537.10,537.55,5603
2026-04-27T11:25:00+05:30,537.15,537.60,536.35,536.55,4306
2026-04-27T11:30:00+05:30,536.55,536.95,536.25,536.60,5210
2026-04-27T11:35:00+05:30,536.60,536.85,536.05,536.75,3475
2026-04-27T11:40:00+05:30,536.85,537.35,536.10,537.05,8236
2026-04-27T11:45:00+05:30,537.00,538.05,536.30,537.85,9136
2026-04-27T11:50:00+05:30,537.85,538.05,537.35,537.55,6426
2026-04-27T11:55:00+05:30,537.65,537.85,536.90,536.90,6095
2026-04-27T12:00:00+05:30,537.35,537.35,536.15,536.30,2215
2026-04-27T12:05:00+05:30,536.15,536.30,535.35,535.90,19571
2026-04-27T12:10:00+05:30,535.70,536.15,535.60,535.90,14546
2026-04-27T12:15:00+05:30,535.95,536.50,535.70,536.40,12171
2026-04-27T12:20:00+05:30,536.10,536.15,535.40,535.40,12787
2026-04-27T12:25:00+05:30,535.50,535.80,535.20,535.20,15688
2026-04-27T12:30:00+05:30,535.20,536.20,535.10,536.00,9563
2026-04-27T12:35:00+05:30,536.20,536.80,535.90,536.35,7325
2026-04-27T12:40:00+05:30,536.30,536.40,535.95,536.20,9640
2026-04-27T12:45:00+05:30,536.15,537.10,536.00,536.65,6889
2026-04-27T12:50:00+05:30,536.75,537.10,536.20,536.45,16351
2026-04-27T12:55:00+05:30,536.40,536.55,535.50,535.70,11520
2026-04-27T13:00:00+05:30,535.95,536.90,535.80,536.70,4614
2026-04-27T13:05:00+05:30,537.00,537.50,536.80,537.50,9460
2026-04-27T13:10:00+05:30,537.65,537.65,536.90,537.45,10803
2026-04-27T13:15:00+05:30,537.70,538.40,537.70,538.05,8451
2026-04-27T13:20:00+05:30,538.00,538.20,537.60,538.00,7528
2026-04-27T13:25:00+05:30,538.00,538.70,537.85,538.40,7856
2026-04-27T13:30:00+05:30,538.40,539.70,538.20,539.55,15021
2026-04-27T13:35:00+05:30,539.60,540.30,539.60,539.95,12743
2026-04-27T13:40:00+05:30,540.00,540.15,539.60,539.65,13553
2026-04-27T13:45:00+05:30,539.65,539.95,539.25,539.40,5125
2026-04-27T13:50:00+05:30,539.55,539.55,538.70,539.00,4882
2026-04-27T13:55:00+05:30,538.90,540.05,538.90,540.00,19315
2026-04-27T14:00:00+05:30,540.05,543.70,540.00,543.55,368207
2026-04-27T14:05:00+05:30,543.55,543.90,543.05,543.55,18455
2026-04-27T14:10:00+05:30,543.65,544.50,543.25,544.15,23762
2026-04-27T14:15:00+05:30,544.60,545.40,544.20,545.10,23773
2026-04-27T14:20:00+05:30,545.00,545.30,544.25,544.60,12087
2026-04-27T14:25:00+05:30,544.90,545.00,544.00,544.40,26847
2026-04-27T14:30:00+05:30,544.35,544.35,543.05,543.60,12125
2026-04-27T14:35:00+05:30,543.40,543.85,543.05,543.60,15410
2026-04-27T14:40:00+05:30,543.60,543.80,543.45,543.75,8743
2026-04-27T14:45:00+05:30,543.55,544.55,543.55,544.35,15270
2026-04-27T14:50:00+05:30,544.40,544.80,544.00,544.20,15688
2026-04-27T14:55:00+05:30,544.55,544.55,544.10,544.50,7425
2026-04-27T15:00:00+05:30,544.40,544.45,543.80,544.30,18455
2026-04-27T15:05:00+05:30,544.00,544.35,543.25,543.25,12279
2026-04-27T15:10:00+05:30,543.25,543.55,543.00,543.05,27719
2026-04-27T15:15:00+05:30,543.00,543.15,542.90,543.10,45941
2026-04-27T15:20:00+05:30,543.00,543.10,542.80,543.10,48613
2026-04-27T15:25:00+05:30,543.00,543.35,543.00,543.00,108636
2026-04-28T09:15:00+05:30,541.80,544.30,541.05,541.60,0
2026-04-28T09:20:00+05:30,542.35,542.35,540.30,540.55,11307
2026-04-28T09:25:00+05:30,540.60,541.95,540.60,541.15,12453
2026-04-28T09:30:00+05:30,541.45,542.35,541.45,542.00,15396
2026-04-28T09:35:00+05:30,541.80,542.95,540.85,542.85,25906
2026-04-28T09:40:00+05:30,542.75,543.05,542.55,542.70,3200
2026-04-28T09:45:00+05:30,542.00,543.20,541.70,542.80,17948
2026-04-28T09:50:00+05:30,542.75,543.10,542.50,542.60,5080
2026-04-28T09:55:00+05:30,542.80,543.45,542.65,543.45,4855
2026-04-28T10:00:00+05:30,543.25,545.75,543.25,545.50,17822
2026-04-28T10:05:00+05:30,545.50,548.80,545.00,548.50,24472
2026-04-28T10:10:00+05:30,548.05,548.80,547.00,547.05,15993
2026-04-28T10:15:00+05:30,547.05,547.35,546.50,547.25,9129
2026-04-28T10:20:00+05:30,547.25,548.30,546.95,547.95,5778
2026-04-28T10:25:00+05:30,547.80,549.90,547.10,549.55,30408
2026-04-28T10:30:00+05:30,549.80,550.30,548.95,549.50,35872
2026-04-28T10:35:00+05:30,549.55,550.25,548.50,549.00,26624
2026-04-28T10:40:00+05:30,548.50,548.95,548.05,548.25,11377
2026-04-28T10:45:00+05:30,548.25,549.40,548.00,548.00,5856
2026-04-28T10:50:00+05:30,548.25,549.00,548.20,549.00,3095
2026-04-28T10:55:00+05:30,549.05,549.25,548.65,548.70,2839
2026-04-28T11:00:00+05:30,548.85,549.30,548.75,549.15,2340
2026-04-28T11:05:00+05:30,549.05,549.05,548.00,548.45,10847
2026-04-28T11:10:00+05:30,548.40,548.90,548.10,548.65,1088
2026-04-28T11:15:00+05:30,548.90,548.95,548.05,548.20,1844
2026-04-28T11:20:00+05:30,548.05,548.65,548.05,548.50,11932
2026-04-28T11:25:00+05:30,548.35,548.35,547.50,547.95,101402
2026-04-28T11:30:00+05:30,547.35,547.45,545.90,546.40,16774
2026-04-28T11:35:00+05:30,546.45,547.60,546.15,547.50,5987
2026-04-28T11:40:00+05:30,547.50,547.85,547.05,547.85,3832
2026-04-28T11:45:00+05:30,547.85,548.00,547.35,547.50,5562
2026-04-28T11:50:00+05:30,547.50,548.10,547.10,548.00,6885
2026-04-28T11:55:00+05:30,548.00,548.00,546.10,546.70,8927
2026-04-28T12:00:00+05:30,546.50,546.90,546.35,546.50,6152
2026-04-28T12:05:00+05:30,546.30,546.50,545.75,546.30,11918
2026-04-28T12:10:00+05:30,546.25,546.55,545.55,546.00,4110
2026-04-28T12:15:00+05:30,545.95,546.60,545.95,546.00,5660
2026-04-28T12:20:00+05:30,545.90,545.90,545.30,545.80,1163
2026-04-28T12:25:00+05:30,545.40,546.90,545.40,546.25,9957
2026-04-28T12:30:00+05:30,546.25,546.95,545.75,546.95,1329
2026-04-28T12:35:00+05:30,546.85,547.05,546.45,546.70,2428
2026-04-28T12:40:00+05:30,546.70,546.70,545.90,546.25,2618
2026-04-28T12:45:00+05:30,546.25,547.10,545.65,546.05,5703
2026-04-28T12:50:00+05:30,546.25,547.05,545.60,545.85,17054
2026-04-28T12:55:00+05:30,545.75,546.80,545.65,546.70,5491
2026-04-28T13:00:00+05:30,546.55,546.70,545.90,546.35,3810
2026-04-28T13:05:00+05:30,546.20,547.30,546.05,546.65,5090
2026-04-28T13:10:00+05:30,546.40,546.90,546.00,546.00,1265
2026-04-28T13:15:00+05:30,546.25,547.25,546.25,546.95,956
2026-04-28T13:20:00+05:30,546.95,548.25,546.65,548.15,2347
2026-04-28T13:25:00+05:30,548.10,548.70,548.10,548.20,5467
2026-04-28T13:30:00+05:30,549.15,549.70,548.60,549.00,16507
2026-04-28T13:35:00+05:30,549.30,549.50,548.25,549.50,6475
2026-04-28T13:40:00+05:30,549.50,549.80,549.05,549.70,6140
2026-04-28T13:45:00+05:30,549.35,549.50,548.10,548.65,8561
2026-04-28T13:50:00+05:30,548.45,549.40,548.35,549.20,4199
2026-04-28T13:55:00+05:30,549.20,551.25,549.10,550.00,15233
2026-04-28T14:00:00+05:30,549.75,550.00,549.25,549.35,5004
2026-04-28T14:05:00+05:30,549.35,549.65,548.85,549.15,997
2026-04-28T14:10:00+05:30,549.15,549.60,548.60,548.65,5421
2026-04-28T14:15:00+05:30,548.65,548.95,548.50,548.85,1885
2026-04-28T14:20:00+05:30,548.85,550.60,548.80,550.60,8817
2026-04-28T14:25:00+05:30,550.60,551.15,550.35,550.35,9642
2026-04-28T14:30:00+05:30,551.15,552.95,550.90,551.80,29487
2026-04-28T14:35:00+05:30,552.15,552.20,551.00,551.50,19979
2026-04-28T14:40:00+05:30,551.50,551.85,551.10,551.70,7722
2026-04-28T14:45:00+05:30,551.95,552.30,551.45,551.45,8171
2026-04-28T14:50:00+05:30,551.20,551.95,551.10,551.60,10039
2026-04-28T14:55:00+05:30,551.55,552.30,551.55,551.95,11629
2026-04-28T15:00:00+05:30,551.95,551.95,549.20,549.20,28852
2026-04-28T15:05:00+05:30,549.20,550.30,548.90,550.20,31082
2026-04-28T15:10:00+05:30,550.20,550.80,549.65,550.60,14793
2026-04-28T15:15:00+05:30,550.55,550.90,549.05,550.00,32599
2026-04-28T15:20:00+05:30,550.00,550.60,549.10,550.40,69719
2026-04-28T15:25:00+05:30,550.20,550.50,549.30,549.30,47456
2026-04-29T09:15:00+05:30,552.60,553.55,548.80,552.65,0
2026-04-29T09:20:00+05:30,552.35,553.45,548.05,548.60,18645
2026-04-29T09:25:00+05:30,548.75,550.20,548.75,549.80,5533
2026-04-29T09:30:00+05:30,549.90,550.65,548.50,548.70,21131
2026-04-29T09:35:00+05:30,548.60,548.90,546.10,546.40,50561
2026-04-29T09:40:00+05:30,546.70,547.65,546.30,547.50,7278
2026-04-29T09:45:00+05:30,547.50,549.00,547.15,548.65,6718
2026-04-29T09:50:00+05:30,548.50,548.85,548.25,548.25,3349
2026-04-29T09:55:00+05:30,548.25,548.55,547.50,547.90,9015
2026-04-29T10:00:00+05:30,547.90,549.85,547.90,549.75,12904
2026-04-29T10:05:00+05:30,549.50,549.70,549.10,549.30,4672
2026-04-29T10:10:00+05:30,549.30,550.85,549.30,550.40,2889
2026-04-29T10:15:00+05:30,550.65,551.80,550.65,551.00,8327
2026-04-29T10:20:00+05:30,551.10,552.25,551.00,552.05,11917
2026-04-29T10:25:00+05:30,552.05,552.50,552.05,552.30,9877
2026-04-29T10:30:00+05:30,552.45,553.00,552.05,552.90,13696
2026-04-29T10:35:00+05:30,552.70,553.00,552.20,552.60,19823
2026-04-29T10:40:00+05:30,552.55,555.00,552.55,554.90,72119
2026-04-29T10:45:00+05:30,555.25,557.20,555.00,557.00,46764
2026-04-29T10:50:00+05:30,557.00,557.50,556.40,557.00,129826
2026-04-29T10:55:00+05:30,557.00,557.65,556.95,557.35,85462
2026-04-29T11:00:00+05:30,557.30,558.35,557.10,557.10,30826
2026-04-29T11:05:00+05:30,557.00,558.30,557.00,557.55,10853
2026-04-29T11:10:00+05:30,557.55,558.50,557.50,558.50,10400
2026-04-29T11:15:00+05:30,558.35,559.50,558.10,559.20,19179
2026-04-29T11:20:00+05:30,558.90,559.40,558.75,559.15,8394
2026-04-29T11:25:00+05:30,558.65,559.50,558.65,559.15,17742
2026-04-29T11:30:00+05:30,558.95,559.85,558.95,559.35,24006
2026-04-29T11:35:00+05:30,559.60,560.50,559.55,560.30,24069
2026-04-29T11:40:00+05:30,560.10,561.10,559.00,559.00,22852
2026-04-29T11:45:00+05:30,559.25,559.80,558.70,559.60,14197
2026-04-29T11:50:00+05:30,559.35,561.80,558.90,561.35,32436
2026-04-29T11:55:00+05:30,561.40,563.05,561.20,562.25,35588
2026-04-29T12:00:00+05:30,562.25,562.75,562.10,562.20,10094
2026-04-29T12:05:00+05:30,562.15,564.40,561.90,564.05,36321
2026-04-29T12:10:00+05:30,564.05,565.00,562.05,562.40,37654
2026-04-29T12:15:00+05:30,562.15,563.95,562.10,563.90,19297
2026-04-29T12:20:00+05:30,563.75,564.50,563.75,564.45,15068
2026-04-29T12:25:00+05:30,564.45,565.40,564.45,565.40,27615
2026-04-29T12:30:00+05:30,565.40,566.55,565.20,566.55,27459
2026-04-29T12:35:00+05:30,566.45,567.70,566.10,566.55,49941
2026-04-29T12:40:00+05:30,566.40,566.55,565.10,565.55,45296
2026-04-29T12:45:00+05:30,565.60,565.90,564.90,564.95,18292
2026-04-29T12:50:00+05:30,565.00,565.40,564.95,565.20,4797
2026-04-29T12:55:00+05:30,565.20,565.65,564.95,565.00,11949
2026-04-29T13:00:00+05:30,565.00,565.50,565.00,565.25,2989
2026-04-29T13:05:00+05:30,565.25,565.25,564.80,565.00,8642
2026-04-29T13:10:00+05:30,565.00,565.15,564.85,565.00,6061
2026-04-29T13:15:00+05:30,565.00,565.25,564.75,565.00,9873
2026-04-29T13:20:00+05:30,564.95,565.25,564.90,565.15,4078
2026-04-29T13:25:00+05:30,565.00,565.25,564.70,564.95,8957
2026-04-29T13:30:00+05:30,565.00,565.80,564.95,565.50,8652
2026-04-29T13:35:00+05:30,565.50,565.70,564.45,564.55,30713
2026-04-29T13:40:00+05:30,564.40,564.55,562.25,563.90,79154
2026-04-29T13:45:00+05:30,563.95,564.45,562.60,562.70,107032
2026-04-29T13:50:00+05:30,562.70,564.40,562.70,563.05,16651
2026-04-29T13:55:00+05:30,563.00,563.50,562.90,563.00,10934
2026-04-29T14:00:00+05:30,562.95,563.25,562.40,562.50,52833
2026-04-29T14:05:00+05:30,562.60,563.40,562.45,563.20,52166
2026-04-29T14:10:00+05:30,562.80,563.25,562.80,563.20,15481
2026-04-29T14:15:00+05:30,563.20,563.30,563.00,563.00,4724
2026-04-29T14:20:00+05:30,563.00,563.90,562.45,563.55,62505
2026-04-29T14:25:00+05:30,563.55,563.55,563.00,563.05,3659
2026-04-29T14:30:00+05:30,562.90,563.50,562.85,563.50,11611
2026-04-29T14:35:00+05:30,563.15,563.65,562.75,563.65,4440
2026-04-29T14:40:00+05:30,563.65,563.85,563.00,563.10,9887
2026-04-29T14:45:00+05:30,563.05,563.25,562.95,563.20,6903
2026-04-29T14:50:00+05:30,563.10,563.10,562.70,562.95,8663
2026-04-29T14:55:00+05:30,563.15,563.15,561.50,562.05,204597
2026-04-29T15:00:00+05:30,562.00,563.65,562.00,562.00,52095
2026-04-29T15:05:00+05:30,562.20,562.65,562.00,562.40,18945
2026-04-29T15:10:00+05:30,562.40,562.40,561.80,562.00,140351
2026-04-29T15:15:00+05:30,562.00,562.45,560.50,561.00,196852
2026-04-29T15:20:00+05:30,560.95,563.15,560.95,562.60,95814
2026-04-29T15:25:00+05:30,562.55,562.95,562.45,562.55,61458
2026-04-30T09:15:00+05:30,560.00,561.05,558.00,558.00,0
2026-04-30T09:20:00+05:30,558.20,558.50,556.50,557.00,48338
2026-04-30T09:25:00+05:30,556.65,558.10,555.55,555.95,43409
2026-04-30T09:30:00+05:30,555.35,557.55,555.00,557.55,15027
2026-04-30T09:35:00+05:30,557.25,557.85,556.00,556.60,12190
2026-04-30T09:40:00+05:30,556.40,557.50,556.05,557.10,11815
2026-04-30T09:45:00+05:30,556.85,557.50,556.15,556.40,10107
2026-04-30T09:50:00+05:30,556.50,556.55,555.30,555.30,9462
2026-04-30T09:55:00+05:30,555.20,555.75,554.30,554.30,9178
2026-04-30T10:00:00+05:30,554.25,554.55,553.05,553.75,6698
2026-04-30T10:05:00+05:30,553.40,554.15,552.20,552.20,4735
2026-04-30T10:10:00+05:30,552.20,552.85,551.55,551.90,14352
2026-04-30T10:15:00+05:30,551.85,551.95,550.75,551.60,7609
2026-04-30T10:20:00+05:30,551.65,552.30,551.10,551.25,4179
2026-04-30T10:25:00+05:30,551.50,551.70,550.25,551.25,9879
2026-04-30T10:30:00+05:30,551.25,551.25,549.60,550.00,15903
2026-04-30T10:35:00+05:30,550.20,551.45,550.20,551.40,3227
2026-04-30T10:40:00+05:30,551.40,551.75,550.90,551.50,2754
2026-04-30T10:45:00+05:30,551.50,551.60,550.30,551.60,3547
2026-04-30T10:50:00+05:30,551.45,553.30,551.45,553.05,8257
2026-04-30T10:55:00+05:30,553.05,553.05,552.05,552.90,3992
2026-04-30T11:00:00+05:30,552.90,553.60,552.55,553.15,4206
2026-04-30T11:05:00+05:30,553.15,554.00,553.15,553.90,3126
2026-04-30T11:10:00+05:30,553.95,553.95,552.95,553.05,2641
2026-04-30T11:15:00+05:30,553.05,553.65,553.05,553.20,1649
2026-04-30T11:20:00+05:30,553.15,553.40,552.55,552.55,1701
2026-04-30T11:25:00+05:30,552.85,553.60,552.60,553.40,4859
2026-04-30T11:30:00+05:30,553.50,554.45,553.40,553.50,5272
2026-04-30T11:35:00+05:30,553.50,554.45,553.50,554.15,1747
2026-04-30T11:40:00+05:30,554.20,554.30,552.95,552.95,2324
2026-04-30T11:45:00+05:30,552.80,553.20,552.55,552.75,1235
2026-04-30T11:50:00+05:30,552.85,553.00,550.70,551.30,7471
2026-04-30T11:55:00+05:30,551.00,551.45,550.80,551.05,2533
2026-04-30T12:00:00+05:30,551.00,551.60,550.80,551.20,3530
2026-04-30T12:05:00+05:30,551.20,551.70,551.05,551.45,2293
2026-04-30T12:10:00+05:30,551.45,552.65,551.40,552.25,3865
2026-04-30T12:15:00+05:30,552.50,552.90,552.05,552.55,1398
2026-04-30T12:20:00+05:30,552.50,552.90,552.20,552.45,3351
2026-04-30T12:25:00+05:30,552.45,553.35,552.30,552.35,10776
2026-04-30T12:30:00+05:30,552.35,552.60,552.20,552.35,778
2026-04-30T12:35:00+05:30,552.35,552.35,551.60,551.75,2755
2026-04-30T12:40:00+05:30,552.00,552.50,551.60,552.45,3081
2026-04-30T12:45:00+05:30,552.45,554.00,552.20,553.75,6162
2026-04-30T12:50:00+05:30,554.00,554.00,553.00,553.10,11200
2026-04-30T12:55:00+05:30,553.10,553.60,553.00,553.00,1914
2026-04-30T13:00:00+05:30,552.90,553.50,552.85,553.25,3332
2026-04-30T13:05:00+05:30,553.30,553.55,552.80,553.35,1684
2026-04-30T13:10:00+05:30,553.30,553.75,553.30,553.45,3266
2026-04-30T13:15:00+05:30,553.45,554.95,553.25,554.50,16900
2026-04-30T13:20:00+05:30,554.50,555.70,554.50,555.50,15460
2026-04-30T13:25:00+05:30,555.75,555.75,554.70,554.95,1924
2026-04-30T13:30:00+05:30,554.40,554.80,554.40,554.40,1134
2026-04-30T13:35:00+05:30,554.65,554.90,554.45,554.45,1434
2026-04-30T13:40:00+05:30,554.45,555.90,554.45,555.65,11377
2026-04-30T13:45:00+05:30,555.75,556.40,555.30,555.70,6211
2026-04-30T13:50:00+05:30,555.70,555.70,554.90,555.10,2356
2026-04-30T13:55:00+05:30,555.10,555.90,555.00,555.90,5396
2026-04-30T14:00:00+05:30,555.90,555.90,554.60,554.60,3315
2026-04-30T14:05:00+05:30,555.00,555.00,554.50,554.70,2307
2026-04-30T14:10:00+05:30,554.70,555.00,554.45,554.60,2198
2026-04-30T14:15:00+05:30,554.65,555.45,554.65,554.95,3667
2026-04-30T14:20:00+05:30,554.70,555.40,554.45,555.40,7049
2026-04-30T14:25:00+05:30,554.85,555.50,554.55,555.35,4863
2026-04-30T14:30:00+05:30,555.45,555.90,555.15,555.60,2149
2026-04-30T14:35:00+05:30,555.95,556.75,555.55,556.20,11027
2026-04-30T14:40:00+05:30,556.20,556.80,556.10,556.55,1064
