ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,850.25,855.80,847.65,848.70,0
2026-04-27T09:20:00+05:30,849.00,856.95,846.00,846.45,97379
2026-04-27T09:25:00+05:30,846.50,850.00,841.45,841.45,141915
2026-04-27T09:30:00+05:30,841.90,843.50,836.35,838.55,108664
2026-04-27T09:35:00+05:30,837.90,844.70,837.90,843.10,53989
2026-04-27T09:40:00+05:30,843.20,844.45,840.60,841.95,52370
2026-04-27T09:45:00+05:30,842.50,847.75,840.95,847.60,60247
2026-04-27T09:50:00+05:30,847.60,851.80,847.50,851.50,45336
2026-04-27T09:55:00+05:30,851.80,852.95,850.55,852.00,38004
2026-04-27T10:00:00+05:30,851.60,853.05,847.15,848.30,31594
2026-04-27T10:05:00+05:30,848.05,851.50,847.65,849.35,28513
2026-04-27T10:10:00+05:30,849.55,850.00,845.10,845.10,34919
2026-04-27T10:15:00+05:30,845.55,847.30,844.30,846.40,30415
2026-04-27T10:20:00+05:30,846.40,846.95,845.70,846.35,10456
2026-04-27T10:25:00+05:30,846.30,847.95,845.00,847.35,21220
2026-04-27T10:30:00+05:30,847.65,848.30,844.95,847.40,16535
2026-04-27T10:35:00+05:30,847.50,848.70,844.45,845.40,43528
2026-04-27T10:40:00+05:30,845.40,849.80,845.40,849.00,25019
2026-04-27T10:45:00+05:30,849.05,851.55,848.40,850.75,44808
2026-04-27T10:50:00+05:30,850.80,851.45,849.10,850.75,23877
2026-04-27T10:55:00+05:30,850.75,854.80,850.75,852.55,28791
2026-04-27T11:00:00+05:30,852.65,854.65,851.50,853.20,23907
2026-04-27T11:05:00+05:30,853.20,854.10,852.05,852.55,18925
2026-04-27T11:10:00+05:30,852.65,854.75,852.65,853.55,25506
2026-04-27T11:15:00+05:30,853.55,856.00,852.80,853.50,25509
2026-04-27T11:20:00+05:30,853.45,854.75,853.30,854.30,15808
2026-04-27T11:25:00+05:30,854.30,860.00,851.80,859.50,85619
2026-04-27T11:30:00+05:30,859.50,859.75,857.40,857.90,36624
2026-04-27T11:35:00+05:30,858.20,858.20,854.75,855.35,32608
2026-04-27T11:40:00+05:30,855.25,855.80,853.00,853.70,16531
2026-04-27T11:45:00+05:30,853.55,855.00,852.00,854.70,31945
2026-04-27T11:50:00+05:30,854.60,855.10,852.60,852.85,18364
2026-04-27T11:55:00+05:30,852.85,853.85,852.20,853.85,10471
2026-04-27T12:00:00+05:30,853.30,853.90,849.10,851.50,42227
2026-04-27T12:05:00+05:30,851.30,854.55,850.70,853.80,52439
2026-04-27T12:10:00+05:30,853.80,855.50,853.35,854.25,12481
2026-04-27T12:15:00+05:30,854.25,855.70,854.20,855.30,9871
2026-04-27T12:20:00+05:30,855.40,861.85,855.20,861.85,42328
2026-04-27T12:25:00+05:30,861.65,864.10,860.10,862.40,37152
2026-04-27T12:30:00+05:30,862.60,866.65,862.10,866.00,36971
