ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,3397.80,3444.50,3397.80,3430.50,0
2026-04-27T09:20:00+05:30,3433.30,3452.30,3433.30,3447.30,1644
2026-04-27T09:25:00+05:30,3448.40,3473.80,3446.70,3466.20,4996
2026-04-27T09:30:00+05:30,3471.30,3484.50,3462.30,3462.30,2721
2026-04-27T09:35:00+05:30,3465.20,3478.60,3460.00,3460.90,1828
2026-04-27T09:40:00+05:30,3459.20,3479.00,3456.20,3479.00,980
2026-04-27T09:45:00+05:30,3481.00,3490.00,3479.90,3488.00,2159
2026-04-27T09:50:00+05:30,3488.00,3488.00,3478.70,3484.00,620
2026-04-27T09:55:00+05:30,3485.00,3485.00,3477.00,3477.20,361
2026-04-27T10:00:00+05:30,3473.90,3495.40,3469.30,3482.80,2540
2026-04-27T10:05:00+05:30,3484.30,3491.50,3482.80,3485.20,962
2026-04-27T10:10:00+05:30,3485.10,3485.10,3482.30,3482.30,155
2026-04-27T10:15:00+05:30,3483.00,3487.20,3481.00,3484.60,572
2026-04-27T10:20:00+05:30,3484.50,3489.20,3481.40,3487.00,367
2026-04-27T10:25:00+05:30,3484.90,3507.10,3484.10,3504.40,4105
2026-04-27T10:30:00+05:30,3503.10,3504.10,3497.00,3502.00,1337
2026-04-27T10:35:00+05:30,3502.00,3502.00,3499.00,3500.00,247
2026-04-27T10:40:00+05:30,3500.00,3502.00,3494.50,3499.00,1583
2026-04-27T10:45:00+05:30,3494.80,3502.00,3494.60,3499.90,685
2026-04-27T10:50:00+05:30,3500.10,3508.00,3499.80,3507.40,884
2026-04-27T10:55:00+05:30,3507.90,3507.90,3500.70,3501.00,689
2026-04-27T11:00:00+05:30,3501.00,3504.30,3500.00,3502.70,1046
2026-04-27T11:05:00+05:30,3502.20,3505.00,3498.30,3500.00,649
2026-04-27T11:10:00+05:30,3500.10,3516.00,3497.00,3513.70,4217
2026-04-27T11:15:00+05:30,3511.00,3514.00,3510.00,3512.90,799
2026-04-27T11:20:00+05:30,3511.00,3512.00,3505.70,3511.30,740
2026-04-27T11:25:00+05:30,3510.00,3510.00,3501.50,3502.00,336
2026-04-27T11:30:00+05:30,3503.10,3506.50,3500.20,3503.80,279
2026-04-27T11:35:00+05:30,3503.00,3506.50,3500.00,3503.30,603
2026-04-27T11:40:00+05:30,3500.40,3503.30,3500.00,3501.50,287
2026-04-27T11:45:00+05:30,3501.50,3503.30,3495.50,3497.00,411
2026-04-27T11:50:00+05:30,3497.00,3509.90,3491.60,3509.90,3193
2026-04-27T11:55:00+05:30,3509.00,3516.80,3508.00,3514.10,468
2026-04-27T12:00:00+05:30,3514.10,3515.00,3507.40,3511.60,295
2026-04-27T12:05:00+05:30,3510.80,3515.00,3508.80,3514.70,620
2026-04-27T12:10:00+05:30,3514.80,3523.70,3514.80,3522.20,3526
2026-04-27T12:15:00+05:30,3522.00,3528.00,3522.00,3525.30,1398
2026-04-27T12:20:00+05:30,3524.50,3527.90,3522.80,3524.70,1050
2026-04-27T12:25:00+05:30,3523.70,3527.90,3521.00,3522.60,956
2026-04-27T12:30:00+05:30,3522.60,3522.60,3516.60,3518.90,383
2026-04-27T12:35:00+05:30,3520.50,3521.90,3514.70,3518.00,936
2026-04-27T12:40:00+05:30,3518.00,3527.80,3513.50,3525.00,1572
2026-04-27T12:45:00+05:30,3529.40,3530.00,3522.10,3524.20,2277
2026-04-27T12:50:00+05:30,3521.70,3526.10,3519.50,3525.00,1148
2026-04-27T12:55:00+05:30,3526.50,3536.00,3525.00,3535.50,1463
2026-04-27T13:00:00+05:30,3536.00,3547.00,3533.70,3543.00,3861
2026-04-27T13:05:00+05:30,3543.00,3548.90,3537.80,3544.30,1968
2026-04-27T13:10:00+05:30,3544.20,3565.70,3543.10,3562.00,6359
2026-04-27T13:15:00+05:30,3562.00,3565.70,3558.00,3561.00,2919
2026-04-27T13:20:00+05:30,3560.40,3564.30,3554.20,3561.40,1573
2026-04-27T13:25:00+05:30,3561.40,3565.90,3557.00,3563.20,2132
2026-04-27T13:30:00+05:30,3563.50,3566.50,3560.00,3561.20,3372
2026-04-27T13:35:00+05:30,3563.90,3564.30,3560.10,3562.00,1097
2026-04-27T13:40:00+05:30,3560.20,3565.00,3558.40,3563.10,2035
2026-04-27T13:45:00+05:30,3563.60,3566.60,3557.00,3560.30,1306
2026-04-27T13:50:00+05:30,3560.00,3562.80,3558.10,3562.40,706
2026-04-27T13:55:00+05:30,3562.40,3570.80,3560.40,3569.00,1995
