ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2296.20,2324.60,2296.20,2323.60,0
2026-04-27T09:20:00+05:30,2322.50,2333.30,2322.30,2322.30,21701
2026-04-27T09:25:00+05:30,2322.30,2323.70,2306.00,2308.80,14736
2026-04-27T09:30:00+05:30,2307.90,2317.30,2307.50,2313.80,10518
2026-04-27T09:35:00+05:30,2314.60,2320.80,2314.60,2319.10,7595
2026-04-27T09:40:00+05:30,2319.20,2331.00,2319.20,2330.50,21478
2026-04-27T09:45:00+05:30,2331.60,2340.20,2331.60,2338.20,14564
2026-04-27T09:50:00+05:30,2335.00,2336.70,2330.00,2333.50,14809
2026-04-27T09:55:00+05:30,2333.50,2336.40,2333.10,2335.30,5064
2026-04-27T10:00:00+05:30,2335.20,2338.20,2332.90,2333.60,6338
2026-04-27T10:05:00+05:30,2332.50,2340.80,2332.20,2332.20,18238
2026-04-27T10:10:00+05:30,2333.00,2334.90,2330.70,2331.60,12862
2026-04-27T10:15:00+05:30,2332.10,2334.90,2328.00,2329.40,7681
2026-04-27T10:20:00+05:30,2329.40,2333.60,2329.00,2332.40,2756
2026-04-27T10:25:00+05:30,2332.10,2332.50,2327.20,2330.00,14275
2026-04-27T10:30:00+05:30,2330.00,2330.00,2326.50,2327.60,12001
2026-04-27T10:35:00+05:30,2327.60,2328.20,2321.70,2322.20,5571
2026-04-27T10:40:00+05:30,2321.70,2323.80,2320.00,2321.70,5783
2026-04-27T10:45:00+05:30,2321.70,2322.20,2316.90,2319.70,7025
2026-04-27T10:50:00+05:30,2319.30,2325.50,2319.30,2324.40,5156
2026-04-27T10:55:00+05:30,2324.40,2324.60,2322.40,2322.80,2324
2026-04-27T11:00:00+05:30,2323.00,2325.50,2322.40,2323.30,6679
2026-04-27T11:05:00+05:30,2323.30,2323.30,2318.00,2319.70,6202
2026-04-27T11:10:00+05:30,2319.70,2320.00,2318.40,2318.50,3620
2026-04-27T11:15:00+05:30,2317.40,2317.90,2311.00,2311.20,11475
