ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,785.70,788.55,783.30,784.50,0
2026-04-27T09:20:00+05:30,784.50,785.90,783.05,783.05,22839
2026-04-27T09:25:00+05:30,782.55,784.95,781.95,782.70,20580
2026-04-27T09:30:00+05:30,783.25,785.35,783.25,784.95,12061
2026-04-27T09:35:00+05:30,784.50,785.95,783.75,785.00,12867
2026-04-27T09:40:00+05:30,784.85,786.40,784.45,786.40,7975
2026-04-27T09:45:00+05:30,786.35,787.15,785.85,786.75,15791
2026-04-27T09:50:00+05:30,786.50,787.70,785.55,787.45,18636
2026-04-27T09:55:00+05:30,787.30,788.85,787.30,788.25,17268
2026-04-27T10:00:00+05:30,788.55,789.75,788.25,788.95,17868
2026-04-27T10:05:00+05:30,788.95,789.00,786.75,787.45,12680
2026-04-27T10:10:00+05:30,787.55,787.65,786.60,786.95,8574
2026-04-27T10:15:00+05:30,786.70,789.35,786.70,789.00,9770
2026-04-27T10:20:00+05:30,788.75,788.75,787.20,787.80,5140
2026-04-27T10:25:00+05:30,787.55,788.00,787.30,787.90,5424
2026-04-27T10:30:00+05:30,787.90,788.20,787.15,788.20,6070
2026-04-27T10:35:00+05:30,787.90,788.95,787.75,788.65,6295
2026-04-27T10:40:00+05:30,789.00,789.95,788.65,789.95,6031
2026-04-27T10:45:00+05:30,789.40,789.80,788.80,789.80,4824
2026-04-27T10:50:00+05:30,789.80,791.00,789.65,790.80,11025
2026-04-27T10:55:00+05:30,790.80,792.00,790.60,791.55,10222
2026-04-27T11:00:00+05:30,791.55,791.55,790.40,791.05,6380
2026-04-27T11:05:00+05:30,791.10,791.40,789.15,789.45,9361
2026-04-27T11:10:00+05:30,789.15,790.20,789.15,789.95,5585
2026-04-27T11:15:00+05:30,790.05,790.75,789.60,789.60,4089
2026-04-27T11:20:00+05:30,789.60,790.00,789.50,789.65,4031
2026-04-27T11:25:00+05:30,789.75,790.00,789.40,790.00,3803
2026-04-27T11:30:00+05:30,789.80,790.00,789.15,789.25,5274
2026-04-27T11:35:00+05:30,789.25,790.70,788.90,790.70,6344
2026-04-27T11:40:00+05:30,790.70,791.05,790.40,790.80,6032
2026-04-27T11:45:00+05:30,790.60,791.35,790.60,791.35,5832
2026-04-27T11:50:00+05:30,791.60,791.70,789.75,790.85,14255
2026-04-27T11:55:00+05:30,790.85,791.55,790.50,791.00,7132
2026-04-27T12:00:00+05:30,791.00,791.50,790.55,790.90,4561
2026-04-27T12:05:00+05:30,790.75,791.45,790.50,790.80,7419
2026-04-27T12:10:00+05:30,790.80,791.40,790.30,790.75,7988
2026-04-27T12:15:00+05:30,791.20,791.50,789.70,789.90,6034
