ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,13153.00,13189.00,13094.00,13108.00,0
2026-04-27T09:20:00+05:30,13111.00,13185.00,13111.00,13173.00,5631
2026-04-27T09:25:00+05:30,13165.00,13178.00,13134.00,13142.00,4714
2026-04-27T09:30:00+05:30,13151.00,13169.00,13101.00,13108.00,5133
2026-04-27T09:35:00+05:30,13103.00,13117.00,13070.00,13073.00,5591
2026-04-27T09:40:00+05:30,13073.00,13115.00,13071.00,13115.00,3198
2026-04-27T09:45:00+05:30,13116.00,13140.00,13116.00,13140.00,2987
2026-04-27T09:50:00+05:30,13137.00,13162.00,13132.00,13143.00,3758
2026-04-27T09:55:00+05:30,13136.00,13148.00,13131.00,13143.00,3382
2026-04-27T10:00:00+05:30,13139.00,13143.00,13113.00,13115.00,3578
2026-04-27T10:05:00+05:30,13114.00,13123.00,13103.00,13114.00,1661
2026-04-27T10:10:00+05:30,13111.00,13124.00,13101.00,13109.00,3224
2026-04-27T10:15:00+05:30,13114.00,13139.00,13114.00,13132.00,2948
2026-04-27T10:20:00+05:30,13132.00,13132.00,13104.00,13109.00,1708
2026-04-27T10:25:00+05:30,13109.00,13116.00,13090.00,13093.00,2895
2026-04-27T10:30:00+05:30,13102.00,13102.00,13053.00,13061.00,5189
2026-04-27T10:35:00+05:30,13064.00,13064.00,13045.00,13048.00,5347
2026-04-27T10:40:00+05:30,13050.00,13073.00,13045.00,13059.00,3726
2026-04-27T10:45:00+05:30,13055.00,13075.00,13043.00,13070.00,7786
2026-04-27T10:50:00+05:30,13070.00,13090.00,13066.00,13087.00,5358
2026-04-27T10:55:00+05:30,13085.00,13094.00,13080.00,13090.00,4952
2026-04-27T11:00:00+05:30,13090.00,13109.00,13084.00,13101.00,8084
2026-04-27T11:05:00+05:30,13100.00,13107.00,13100.00,13100.00,8707
2026-04-27T11:10:00+05:30,13100.00,13116.00,13100.00,13112.00,4578
2026-04-27T11:15:00+05:30,13105.00,13126.00,13102.00,13109.00,3444
2026-04-27T11:20:00+05:30,13113.00,13117.00,13108.00,13109.00,3504
2026-04-27T11:25:00+05:30,13109.00,13110.00,13100.00,13110.00,14667
2026-04-27T11:30:00+05:30,13110.00,13124.00,13108.00,13113.00,2208
2026-04-27T11:35:00+05:30,13115.00,13115.00,13100.00,13111.00,12030
2026-04-27T11:40:00+05:30,13110.00,13120.00,13104.00,13116.00,2833
2026-04-27T11:45:00+05:30,13114.00,13116.00,13110.00,13116.00,2703
2026-04-27T11:50:00+05:30,13116.00,13117.00,13106.00,13112.00,2666
2026-04-27T11:55:00+05:30,13112.00,13136.00,13112.00,13133.00,3400
2026-04-27T12:00:00+05:30,13133.00,13133.00,13124.00,13132.00,2076
2026-04-27T12:05:00+05:30,13132.00,13155.00,13129.00,13155.00,6959
2026-04-27T12:10:00+05:30,13152.00,13168.00,13152.00,13164.00,4005
2026-04-27T12:15:00+05:30,13165.00,13165.00,13150.00,13158.00,1913
2026-04-27T12:20:00+05:30,13155.00,13189.00,13152.00,13185.00,8015
2026-04-27T12:25:00+05:30,13189.00,13230.00,13184.00,13208.00,7431
2026-04-27T12:30:00+05:30,13210.00,13235.00,13210.00,13230.00,3623
2026-04-27T12:35:00+05:30,13231.00,13234.00,13220.00,13233.00,2080
2026-04-27T12:40:00+05:30,13232.00,13235.00,13220.00,13229.00,1698
2026-04-27T12:45:00+05:30,13229.00,13240.00,13221.00,13235.00,3290
2026-04-27T12:50:00+05:30,13232.00,13260.00,13226.00,13257.00,4444
