ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1580.00,1604.50,1580.00,1600.60,0
2026-04-27T09:20:00+05:30,1600.60,1604.90,1597.90,1598.60,7613
2026-04-27T09:25:00+05:30,1598.20,1598.60,1590.50,1592.40,4552
2026-04-27T09:30:00+05:30,1595.30,1595.40,1588.00,1588.00,5956
2026-04-27T09:35:00+05:30,1588.00,1592.30,1588.00,1588.90,5337
2026-04-27T09:40:00+05:30,1589.40,1593.20,1588.30,1593.20,3520
2026-04-27T09:45:00+05:30,1593.70,1596.00,1592.10,1595.90,3210
2026-04-27T09:50:00+05:30,1595.20,1596.80,1590.20,1594.80,9119
2026-04-27T09:55:00+05:30,1595.30,1597.00,1595.30,1596.00,4823
2026-04-27T10:00:00+05:30,1595.80,1596.40,1593.10,1593.10,5957
2026-04-27T10:05:00+05:30,1593.10,1593.10,1589.40,1589.40,5925
2026-04-27T10:10:00+05:30,1589.50,1590.20,1589.10,1589.30,4461
2026-04-27T10:15:00+05:30,1589.30,1591.20,1589.30,1591.10,1753
2026-04-27T10:20:00+05:30,1590.60,1590.60,1588.00,1589.20,3231
2026-04-27T10:25:00+05:30,1589.10,1590.10,1582.90,1585.20,8601
2026-04-27T10:30:00+05:30,1585.20,1586.90,1585.20,1586.80,2200
2026-04-27T10:35:00+05:30,1586.30,1590.60,1586.30,1587.90,8657
2026-04-27T10:40:00+05:30,1588.70,1598.90,1588.70,1596.00,13889
2026-04-27T10:45:00+05:30,1596.10,1596.40,1590.60,1592.90,5175
2026-04-27T10:50:00+05:30,1593.20,1594.60,1592.70,1592.80,4012
2026-04-27T10:55:00+05:30,1592.80,1596.30,1592.00,1595.20,3215
2026-04-27T11:00:00+05:30,1594.90,1595.20,1591.70,1593.60,4200
2026-04-27T11:05:00+05:30,1593.60,1593.80,1590.30,1591.30,3883
2026-04-27T11:10:00+05:30,1591.30,1595.70,1591.30,1595.00,5717
2026-04-27T11:15:00+05:30,1595.70,1598.40,1595.20,1595.80,3329
2026-04-27T11:20:00+05:30,1595.80,1597.10,1594.00,1596.80,2489
2026-04-27T11:25:00+05:30,1596.90,1597.60,1594.80,1595.00,2522
2026-04-27T11:30:00+05:30,1594.30,1597.30,1594.30,1596.00,2086
2026-04-27T11:35:00+05:30,1595.60,1597.70,1595.20,1596.80,3000
2026-04-27T11:40:00+05:30,1597.00,1597.40,1595.00,1597.40,2695
2026-04-27T11:45:00+05:30,1597.00,1598.10,1597.00,1597.30,1817
2026-04-27T11:50:00+05:30,1597.30,1597.30,1596.10,1596.80,1604
2026-04-27T11:55:00+05:30,1596.40,1597.00,1596.40,1596.80,1101
2026-04-27T12:00:00+05:30,1596.80,1598.60,1595.90,1598.60,2707
2026-04-27T12:05:00+05:30,1598.10,1600.50,1598.10,1598.70,3223
2026-04-27T12:10:00+05:30,1599.30,1599.40,1598.00,1598.90,1525
2026-04-27T12:15:00+05:30,1598.90,1600.50,1598.90,1600.20,3380
2026-04-27T12:20:00+05:30,1600.20,1600.20,1598.60,1599.80,3106
2026-04-27T12:25:00+05:30,1599.90,1600.80,1599.80,1600.50,1844
2026-04-27T12:30:00+05:30,1600.10,1600.90,1600.10,1600.30,1058
2026-04-27T12:35:00+05:30,1600.50,1601.00,1599.50,1599.70,2627
2026-04-27T12:40:00+05:30,1599.70,1599.90,1596.50,1596.60,2791
2026-04-27T12:45:00+05:30,1596.60,1597.00,1595.50,1596.30,1458
2026-04-27T12:50:00+05:30,1595.80,1596.70,1595.20,1596.50,2122
2026-04-27T12:55:00+05:30,1596.10,1596.70,1595.30,1595.30,2162
2026-04-27T13:00:00+05:30,1595.30,1596.00,1595.30,1595.60,1296
2026-04-27T13:05:00+05:30,1595.40,1595.40,1594.10,1594.40,2415
2026-04-27T13:10:00+05:30,1594.40,1594.70,1593.50,1593.50,2140
2026-04-27T13:15:00+05:30,1593.50,1594.60,1591.70,1592.10,2939
2026-04-27T13:20:00+05:30,1592.10,1592.20,1590.70,1591.20,2898
2026-04-27T13:25:00+05:30,1591.10,1592.00,1590.60,1591.90,1505
2026-04-27T13:30:00+05:30,1591.50,1591.90,1590.40,1590.80,1868
2026-04-27T13:35:00+05:30,1590.40,1596.00,1590.40,1596.00,3076
2026-04-27T13:40:00+05:30,1595.50,1596.50,1593.50,1595.60,5812
2026-04-27T13:45:00+05:30,1595.10,1595.90,1595.10,1595.70,1911
2026-04-27T13:50:00+05:30,1595.40,1596.70,1594.70,1596.70,1896
2026-04-27T13:55:00+05:30,1596.20,1598.30,1596.20,1598.20,2937
2026-04-27T14:00:00+05:30,1597.80,1598.70,1597.20,1598.30,8619
2026-04-27T14:05:00+05:30,1598.30,1598.70,1594.30,1594.70,11547
2026-04-27T14:10:00+05:30,1594.30,1598.40,1594.10,1598.10,8762
2026-04-27T14:15:00+05:30,1598.00,1598.10,1597.10,1598.10,7045
2026-04-27T14:20:00+05:30,1598.00,1599.10,1596.90,1599.10,7022
2026-04-27T14:25:00+05:30,1597.40,1602.00,1597.40,1601.90,12633
2026-04-27T14:30:00+05:30,1601.80,1601.80,1597.80,1598.90,14953
2026-04-27T14:35:00+05:30,1599.40,1600.30,1598.10,1599.10,11038
2026-04-27T14:40:00+05:30,1598.90,1599.80,1597.60,1599.10,11167
2026-04-27T14:45:00+05:30,1598.20,1600.40,1598.00,1600.00,10509
2026-04-27T14:50:00+05:30,1600.60,1600.60,1598.00,1599.90,11177
2026-04-27T14:55:00+05:30,1600.40,1601.30,1598.70,1598.80,10027
2026-04-27T15:00:00+05:30,1599.00,1600.70,1598.10,1600.40,14786
2026-04-27T15:05:00+05:30,1600.50,1600.50,1600.00,1600.20,7456
2026-04-27T15:10:00+05:30,1600.30,1603.90,1599.30,1600.80,20048
2026-04-27T15:15:00+05:30,1601.00,1604.60,1601.00,1602.20,38059
2026-04-27T15:20:00+05:30,1602.20,1604.40,1599.00,1604.10,64414
2026-04-27T15:25:00+05:30,1604.10,1605.90,1592.00,1603.00,62130
2026-04-28T09:15:00+05:30,1602.90,1615.70,1595.50,1595.50,0
2026-04-28T09:20:00+05:30,1595.00,1599.80,1593.00,1597.10,4043
2026-04-28T09:25:00+05:30,1598.60,1603.00,1598.20,1598.70,2264
2026-04-28T09:30:00+05:30,1599.30,1600.30,1596.00,1598.70,4819
2026-04-28T09:35:00+05:30,1599.30,1601.90,1597.40,1597.40,1917
2026-04-28T09:40:00+05:30,1597.10,1598.00,1595.80,1596.50,3745
2026-04-28T09:45:00+05:30,1595.80,1600.00,1595.80,1599.80,2168
2026-04-28T09:50:00+05:30,1599.60,1608.20,1599.60,1608.20,4407
2026-04-28T09:55:00+05:30,1607.40,1610.00,1606.30,1608.60,3213
2026-04-28T10:00:00+05:30,1608.60,1611.10,1608.50,1610.50,2666
2026-04-28T10:05:00+05:30,1610.50,1613.00,1608.70,1611.30,2626
2026-04-28T10:10:00+05:30,1611.50,1618.80,1610.60,1618.20,12812
2026-04-28T10:15:00+05:30,1618.30,1619.70,1613.00,1616.20,18724
2026-04-28T10:20:00+05:30,1616.60,1622.00,1615.70,1619.70,15652
2026-04-28T10:25:00+05:30,1619.30,1619.60,1615.40,1617.00,10582
2026-04-28T10:30:00+05:30,1617.00,1617.70,1613.20,1614.20,7098
2026-04-28T10:35:00+05:30,1613.70,1615.50,1613.50,1615.00,6451
2026-04-28T10:40:00+05:30,1614.80,1615.90,1613.50,1615.60,5410
2026-04-28T10:45:00+05:30,1615.60,1615.60,1605.70,1607.30,12698
2026-04-28T10:50:00+05:30,1607.30,1609.60,1606.40,1607.10,3273
2026-04-28T10:55:00+05:30,1607.20,1608.30,1606.50,1607.80,3302
2026-04-28T11:00:00+05:30,1607.00,1610.30,1606.00,1610.30,3678
2026-04-28T11:05:00+05:30,1610.00,1610.50,1609.00,1610.30,1559
2026-04-28T11:10:00+05:30,1609.80,1610.50,1606.00,1609.60,5614
2026-04-28T11:15:00+05:30,1609.70,1610.30,1606.60,1607.30,2930
